#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR37406--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR896--MA0742.1.Klf12	chr1	60016437	60016451	-	0.000	0.000	Merged-chr1-60016690-100
NR55067--MA0493.1.Klf1	chr6	38810071	38810081	+	0.000	0.000	Merged-chr6-38810070-95
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR62088--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR7830--MA0599.1.KLF5	chr10	95299983	95299992	-	0.000	0.000	Merged-chr10-95299831-73
NR28488--MA0599.1.KLF5	chr17	31077832	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR22459--MA0741.1.KLF16	chr15	25884683	25884693	-	0.000	0.000	Merged-chr15-25884835-36
NR55559--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR33648--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR18225--MA0741.1.KLF16	chr13	99781081	99781091	-	0.000	0.000	Merged-chr13-99781144-21
NR70843--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR29199--MA0742.1.Klf12	chr17	47221305	47221319	+	0.000	0.000	Merged-chr17-47221287-27
NR33642--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR10278--MA0657.1.KLF13	chr11	55131241	55131258	+	0.000	0.000	Merged-chr11-55131266-10
NR54686--MA0742.1.Klf12	chr6	22340134	22340148	-	0.000	0.000	Merged-chr6-22340067-27
NR66894--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR9203--MA1107.1.KLF9	chr11	4823897	4823909	+	0.000	0.000	Merged-chr11-4823993-46
NR47686--MA1107.1.KLF9	chr4	132749052	132749064	-	0.000	0.000	Merged-chr4-132748989-25
NR39155--MA1107.1.KLF9	chr2	156878024	156878036	+	0.000	0.000	Merged-chr2-156878033-50
NR22011--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR38195--MA1107.1.KLF9	chr2	128470342	128470354	-	0.000	0.000	Merged-chr2-128470524-44
NR32211--MA1107.1.KLF9	chr18	73816989	73817001	+	0.000	0.000	Merged-chr18-73816843-39
NR36353--MA0741.1.KLF16	chr2	60774638	60774648	-	0.000	0.000	Merged-chr2-60774747-55
NR10978--MA1107.1.KLF9	chr11	74555888	74555900	+	0.000	0.000	Merged-chr11-74556046-55
NR47491--MA0740.1.KLF14	chr4	129696177	129696190	+	0.000	0.000	Merged-chr4-129696167-1
NR52053--MA0493.1.Klf1	chr5	113842509	113842519	-	0.000	0.000	Merged-chr5-113842401-77
NR11881--MA0599.1.KLF5	chr11	97133497	97133506	+	0.000	0.000	Merged-chr11-97133494-13
NR57479--MA0039.3.KLF4	chr6	125067857	125067867	-	0.000	0.000	Merged-chr6-125067765-41
NR11292--MA0741.1.KLF16	chr11	79132167	79132177	+	0.000	0.000	Merged-chr11-79132078-52
NR46023--MA0039.3.KLF4	chr4	82755891	82755901	+	0.000	0.000	Merged-chr4-82755852-39
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR8155--MA0599.1.KLF5	chr10	111031829	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR30600--MA1107.1.KLF9	chr17	86958068	86958080	+	0.000	0.000	Merged-chr17-86958132-38
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR36347--MA0740.1.KLF14	chr2	60774636	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR50446--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR18906--MA0599.1.KLF5	chr13	117223260	117223269	+	0.000	0.000	Merged-chr13-117223399-24
NR38201--MA0599.1.KLF5	chr2	128470719	128470728	-	0.000	0.000	Merged-chr2-128470524-44
NR36352--MA0493.1.Klf1	chr2	60774639	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR67341--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR63854--MA0493.1.Klf1	chr7	143724047	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR63079--MA1107.1.KLF9	chr7	130801727	130801739	+	0.000	0.000	Merged-chr7-130801893-35
NR48800--MA0599.1.KLF5	chr4	150894669	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR17344--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR11704--MA0741.1.KLF16	chr11	93995358	93995368	+	0.000	0.000	Merged-chr11-93995310-5
NR69028--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR58418--MA0742.1.Klf12	chr6	142862374	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR50024--MA0741.1.KLF16	chr5	35176593	35176603	+	0.000	0.000	Merged-chr5-35176446-65
NR50022--MA0599.1.KLF5	chr5	35176593	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR8397--MA0599.1.KLF5	chr10	117861085	117861094	-	0.000	0.000	Merged-chr10-117861044-50
NR749--MA0741.1.KLF16	chr1	52578382	52578392	+	0.000	0.000	Merged-chr1-52578518-39
NR22884--MA1107.1.KLF9	chr15	51803263	51803275	-	0.000	0.000	Merged-chr15-51803142-36
NR41038--MA0741.1.KLF16	chr3	52732160	52732170	+	0.000	0.000	Merged-chr3-52732187-17
NR55790--MA0741.1.KLF16	chr6	67533270	67533280	+	0.000	0.000	Merged-chr6-67533170-65
NR8466--MA0741.1.KLF16	chr10	118884343	118884353	-	0.000	0.000	Merged-chr10-118884259-20
NR63523--MA0493.1.Klf1	chr7	139169314	139169324	+	0.000	0.000	Merged-chr7-139169350-23
NR4235--MA0741.1.KLF16	chr1	180410509	180410519	+	0.000	0.000	Merged-chr1-180410391-12
NR2828--MA0039.3.KLF4	chr1	143319643	143319653	+	0.000	0.000	Merged-chr1-143319719-34
NR66851--MA0740.1.KLF14	chr8	116645532	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR68888--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR16739--MA1107.1.KLF9	chr13	43250874	43250886	+	0.000	0.000	Merged-chr13-43250604-89
NR47494--MA0039.3.KLF4	chr4	129696179	129696189	+	0.000	0.000	Merged-chr4-129696167-1
NR18668--MA0740.1.KLF14	chr13	110044580	110044593	+	0.000	0.000	Merged-chr13-110044688-32
NR23116--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR19575--MA0493.1.Klf1	chr14	25421975	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR61249--MA1107.1.KLF9	chr7	81320015	81320027	+	0.000	0.000	Merged-chr7-81320014-23
NR14546--MA0740.1.KLF14	chr12	73657013	73657026	+	0.000	0.000	Merged-chr12-73656860-57
NR33419--MA0493.1.Klf1	chr19	17257001	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR18180--MA1107.1.KLF9	chr13	98692031	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR37465--MA0493.1.Klf1	chr2	104146165	104146175	+	0.000	0.000	Merged-chr2-104146200-22
NR52739--MA0493.1.Klf1	chr5	125052282	125052292	+	0.000	0.000	Merged-chr5-125052528-23
NR43274--MA1107.1.KLF9	chr3	131057379	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR19574--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR53628--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR52430--MA0493.1.Klf1	chr5	120685778	120685788	+	0.000	0.000	Merged-chr5-120685893-52
NR4145--MA0493.1.Klf1	chr1	178182342	178182352	+	0.000	0.000	Merged-chr1-178182458-49
NR18289--MA0599.1.KLF5	chr13	101540641	101540650	+	0.000	0.000	Merged-chr13-101540748-63
NR2771--MA0493.1.Klf1	chr1	138304341	138304351	+	0.000	0.000	Merged-chr1-138304184-80
NR20315--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR30413--MA1107.1.KLF9	chr17	83654864	83654876	-	0.000	0.000	Merged-chr17-83654883-58
NR71527--MA0599.1.KLF5	chr9	123734003	123734012	-	0.000	0.000	Merged-chr9-123734197-54
NR50441--MA0740.1.KLF14	chr5	54111079	54111092	+	0.000	0.000	Merged-chr5-54110931-21
NR35270--MA0740.1.KLF14	chr2	25170651	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR27014--MA0740.1.KLF14	chr16	91588231	91588244	+	0.000	0.000	Merged-chr16-91588038-25
NR60880--MA1107.1.KLF9	chr7	66228681	66228693	+	0.000	0.000	Merged-chr7-66228697-16
NR3086--MA1107.1.KLF9	chr1	153427076	153427088	-	0.000	0.000	Merged-chr1-153426995-33
NR43490--MA0742.1.Klf12	chr3	135675685	135675699	+	0.000	0.000	Merged-chr3-135675679-12
NR30637--MA1107.1.KLF9	chr17	87365447	87365459	-	0.000	0.000	Merged-chr17-87365443-26
NR23782--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR29198--MA0740.1.KLF14	chr17	47221305	47221318	+	0.000	0.000	Merged-chr17-47221287-27
NR65525--MA0599.1.KLF5	chr8	72285418	72285427	+	0.000	0.000	Merged-chr8-72285397-19
NR39340--MA1107.1.KLF9	chr2	160657995	160658007	-	0.000	0.000	Merged-chr2-160657923-30
NR11545--MA0039.3.KLF4	chr11	87725013	87725023	+	0.000	0.000	Merged-chr11-87724985-4
NR96--MA1107.1.KLF9	chr1	13301832	13301844	+	0.000	0.000	Merged-chr1-13301807-39
NR38689--MA1107.1.KLF9	chr2	144188430	144188442	-	0.000	0.000	Merged-chr2-144188289-22
NR42531--MA0741.1.KLF16	chr3	105825697	105825707	+	0.000	0.000	Merged-chr3-105825792-34
NR69086--MA0039.3.KLF4	chr9	62368719	62368729	-	0.000	0.000	Merged-chr9-62368780-17
NR26107--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR18669--MA0657.1.KLF13	chr13	110044579	110044596	+	0.000	0.000	Merged-chr13-110044688-32
NR33814--MA0599.1.KLF5	chr19	38746186	38746195	-	0.000	0.000	Merged-chr19-38746267-36
NR20808--MA0039.3.KLF4	chr14	68078502	68078512	+	0.000	0.000	Merged-chr14-68078565-20
NR3665--MA0599.1.KLF5	chr1	165730350	165730359	+	0.000	0.000	Merged-chr1-165730262-25
NR62386--MA0741.1.KLF16	chr7	118499323	118499333	-	0.000	0.000	Merged-chr7-118499270-20
NR20798--MA0741.1.KLF16	chr14	67886975	67886985	+	0.000	0.000	Merged-chr14-67887091-21
NR42754--MA0493.1.Klf1	chr3	115758852	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR18221--MA0657.1.KLF13	chr13	99781076	99781093	-	0.000	0.000	Merged-chr13-99781144-21
NR56513--MA0742.1.Klf12	chr6	95614912	95614926	+	0.000	0.000	Merged-chr6-95614846-71
NR10273--MA0493.1.Klf1	chr11	55131118	55131128	+	0.000	0.000	Merged-chr11-55131266-10
NR48971--MA0493.1.Klf1	chr4	154105757	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR34264--MA0599.1.KLF5	chr19	53020410	53020419	-	0.000	0.000	Merged-chr19-53020270-32
NR26091--MA0599.1.KLF5	chr16	44337718	44337727	-	0.000	0.000	Merged-chr16-44337753-20
NR4787--MA0740.1.KLF14	chr1	191097826	191097839	+	0.000	0.000	Merged-chr1-191097986-4
NR15136--MA0493.1.Klf1	chr12	94083667	94083677	+	0.000	0.000	Merged-chr12-94083592-14
NR45392--MA1107.1.KLF9	chr4	47251261	47251273	+	0.000	0.000	Merged-chr4-47251279-48
NR10281--MA0039.3.KLF4	chr11	55131244	55131254	+	0.000	0.000	Merged-chr11-55131266-10
NR62054--MA0493.1.Klf1	chr7	110203788	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR46022--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR14175--MA0039.3.KLF4	chr12	54398447	54398457	-	0.000	0.000	Merged-chr12-54398333-42
NR30636--MA0741.1.KLF16	chr17	87365448	87365458	-	0.000	0.000	Merged-chr17-87365443-26
NR52345--MA0039.3.KLF4	chr5	118465398	118465408	-	0.000	0.000	Merged-chr5-118465239-56
NR10707--MA1107.1.KLF9	chr11	68499100	68499112	-	0.000	0.000	Merged-chr11-68499042-49
NR30481--MA1107.1.KLF9	chr17	84116650	84116662	-	0.000	0.000	Merged-chr17-84116630-65
NR23787--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR35452--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR20799--MA0742.1.Klf12	chr14	67912073	67912087	+	0.000	0.000	Merged-chr14-67911920-26
NR39336--MA0039.3.KLF4	chr2	160657971	160657981	-	0.000	0.000	Merged-chr2-160657923-30
NR16938--MA0740.1.KLF14	chr13	51776416	51776429	+	0.000	0.000	Merged-chr13-51776600-43
NR45850--MA0599.1.KLF5	chr4	63399436	63399445	-	0.000	0.000	Merged-chr4-63399469-54
NR66892--MA1107.1.KLF9	chr8	117052559	117052571	-	0.000	0.000	Merged-chr8-117052612-3
NR67109--MA0742.1.Klf12	chr8	120701894	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR47684--MA1107.1.KLF9	chr4	132749036	132749048	-	0.000	0.000	Merged-chr4-132748989-25
NR8158--MA0741.1.KLF16	chr10	111031831	111031841	+	0.000	0.000	Merged-chr10-111031729-43
NR8429--MA0741.1.KLF16	chr10	118419171	118419181	-	0.000	0.000	Merged-chr10-118419236-59
NR5410--MA1107.1.KLF9	chr10	21354071	21354083	-	0.000	0.000	Merged-chr10-21353968-32
NR67037--MA0039.3.KLF4	chr8	120050177	120050187	-	0.000	0.000	Merged-chr8-120050156-23
NR38206--MA0741.1.KLF16	chr2	128470707	128470717	-	0.000	0.000	Merged-chr2-128470524-44
NR62050--MA0657.1.KLF13	chr7	110203782	110203799	-	0.000	0.000	Merged-chr7-110203728-41
NR14847--MA0039.3.KLF4	chr12	85661093	85661103	-	0.000	0.000	Merged-chr12-85661084-38
NR20310--MA0740.1.KLF14	chr14	54146702	54146715	+	0.000	0.000	Merged-chr14-54146707-32
NR29571--MA0493.1.Klf1	chr17	56913627	56913637	-	0.000	0.000	Merged-chr17-56913567-28
NR28127--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR4786--MA1107.1.KLF9	chr1	191097789	191097801	+	0.000	0.000	Merged-chr1-191097986-4
NR52914--MA0039.3.KLF4	chr5	129192021	129192031	+	0.000	0.000	Merged-chr5-129191899-21
NR66888--MA1107.1.KLF9	chr8	117052551	117052563	-	0.000	0.000	Merged-chr8-117052612-3
NR47493--MA0599.1.KLF5	chr4	129696178	129696187	+	0.000	0.000	Merged-chr4-129696167-1
NR56724--MA0493.1.Klf1	chr6	100824841	100824851	-	0.000	0.000	Merged-chr6-100824678-47
NR28355--MA0039.3.KLF4	chr17	28488545	28488555	-	0.000	0.000	Merged-chr17-28488439-21
NR61098--MA0039.3.KLF4	chr7	79262509	79262519	+	0.000	0.000	Merged-chr7-79262630-29
NR67252--MA0741.1.KLF16	chr8	122678202	122678212	+	0.000	0.000	Merged-chr8-122678075-1
NR26384--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR5415--MA1107.1.KLF9	chr10	21975544	21975556	+	0.000	0.000	Merged-chr10-21975536-24
NR17342--MA0741.1.KLF16	chr13	63189564	63189574	-	0.000	0.000	Merged-chr13-63189715-33
NR42496--MA0599.1.KLF5	chr3	104796706	104796715	-	0.000	0.000	Merged-chr3-104796663-34
NR21162--MA0741.1.KLF16	chr14	78679217	78679227	+	0.000	0.000	Merged-chr14-78679093-56
NR33420--MA1107.1.KLF9	chr19	17256999	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR62100--MA0599.1.KLF5	chr7	110956799	110956808	+	0.000	0.000	Merged-chr7-110956692-58
NR56868--MA0599.1.KLF5	chr6	108665782	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR750--MA1107.1.KLF9	chr1	52578381	52578393	+	0.000	0.000	Merged-chr1-52578518-39
NR50767--MA0493.1.Klf1	chr5	66190794	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR56854--MA0493.1.Klf1	chr6	108630897	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR17942--MA0740.1.KLF14	chr13	92844707	92844720	+	0.000	0.000	Merged-chr13-92844902-63
NR13472--MA0741.1.KLF16	chr12	8829812	8829822	-	0.000	0.000	Merged-chr12-8829730-25
NR8489--MA0599.1.KLF5	chr10	119031179	119031188	-	0.000	0.000	Merged-chr10-119031155-35
NR19573--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR1871--MA0493.1.Klf1	chr1	105565262	105565272	+	0.000	0.000	Merged-chr1-105565114-33
NR36354--MA1107.1.KLF9	chr2	60774637	60774649	-	0.000	0.000	Merged-chr2-60774747-55
NR10977--MA0493.1.Klf1	chr11	74555888	74555898	+	0.000	0.000	Merged-chr11-74556046-55
NR20568--MA1107.1.KLF9	chr14	59553387	59553399	-	0.000	0.000	Merged-chr14-59553394-22
NR13677--MA0039.3.KLF4	chr12	21480431	21480441	+	0.000	0.000	Merged-chr12-21480312-60
NR63856--MA1107.1.KLF9	chr7	143724045	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR10279--MA0742.1.Klf12	chr11	55131242	55131256	+	0.000	0.000	Merged-chr11-55131266-10
NR34086--MA0599.1.KLF5	chr19	45577319	45577328	+	0.000	0.000	Merged-chr19-45577468-39
NR43595--MA0599.1.KLF5	chr3	137833589	137833598	+	0.000	0.000	Merged-chr3-137833460-41
NR10873--MA0039.3.KLF4	chr11	70597422	70597432	-	0.000	0.000	Merged-chr11-70597550-26
NR30599--MA0493.1.Klf1	chr17	86958068	86958078	+	0.000	0.000	Merged-chr17-86958132-38
NR54459--MA1107.1.KLF9	chr6	3536249	3536261	+	0.000	0.000	Merged-chr6-3536376-27
NR23512--MA0599.1.KLF5	chr15	76243458	76243467	-	0.000	0.000	Merged-chr15-76243326-45
NR29271--MA1107.1.KLF9	chr17	47943110	47943122	+	0.000	0.000	Merged-chr17-47943297-31
NR70863--MA1107.1.KLF9	chr9	110896832	110896844	-	0.000	0.000	Merged-chr9-110896831-29
NR57481--MA0741.1.KLF16	chr6	125067858	125067868	-	0.000	0.000	Merged-chr6-125067765-41
NR742--MA0493.1.Klf1	chr1	52578321	52578331	+	0.000	0.000	Merged-chr1-52578518-39
NR30445--MA0741.1.KLF16	chr17	83824029	83824039	+	0.000	0.000	Merged-chr17-83824004-16
NR46712--MA0493.1.Klf1	chr4	108371566	108371576	-	0.000	0.000	Merged-chr4-108371608-19
NR26221--MA1107.1.KLF9	chr16	49796925	49796937	+	0.000	0.000	Merged-chr16-49797153-43
NR20810--MA0741.1.KLF16	chr14	68078501	68078511	+	0.000	0.000	Merged-chr14-68078565-20
NR35274--MA0493.1.Klf1	chr2	25170654	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR70528--MA0741.1.KLF16	chr9	104269536	104269546	+	0.000	0.000	Merged-chr9-104269530-16
NR32495--MA0742.1.Klf12	chr18	80609767	80609781	+	0.000	0.000	Merged-chr18-80609939-56
NR25799--MA0741.1.KLF16	chr16	32812980	32812990	-	0.000	0.000	Merged-chr16-32813091-39
NR13840--MA0742.1.Klf12	chr12	30557543	30557557	+	0.000	0.000	Merged-chr12-30557589-12
NR11656--MA0599.1.KLF5	chr11	88993896	88993905	-	0.000	0.000	Merged-chr11-88993773-46
NR36050--MA1107.1.KLF9	chr2	45172978	45172990	-	0.000	0.000	Merged-chr2-45172921-51
NR72116--MA0039.3.KLF4	chrX	71474487	71474497	+	0.000	0.000	Merged-chrX-71474506-18
NR20807--MA0599.1.KLF5	chr14	68078501	68078510	+	0.000	0.000	Merged-chr14-68078565-20
NR9935--MA0741.1.KLF16	chr11	46127134	46127144	-	0.000	0.000	Merged-chr11-46127089-49
NR22883--MA0493.1.Klf1	chr15	51803265	51803275	-	0.000	0.000	Merged-chr15-51803142-36
NR29267--MA1107.1.KLF9	chr17	47943102	47943114	+	0.000	0.000	Merged-chr17-47943297-31
NR67250--MA0599.1.KLF5	chr8	122678196	122678205	+	0.000	0.000	Merged-chr8-122678075-1
NR63763--MA0493.1.Klf1	chr7	142354081	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR14244--MA1107.1.KLF9	chr12	55393016	55393028	-	0.000	0.000	Merged-chr12-55392987-35
NR52648--MA0599.1.KLF5	chr5	124075841	124075850	-	0.000	0.000	Merged-chr5-124075936-23
NR53438--MA0741.1.KLF16	chr5	136953067	136953077	+	0.000	0.000	Merged-chr5-136953170-41
NR69957--MA1107.1.KLF9	chr9	86624895	86624907	-	0.000	0.000	Merged-chr9-86625059-9
NR39712--MA0741.1.KLF16	chr2	168492188	168492198	-	0.000	0.000	Merged-chr2-168492092-36
NR32499--MA0741.1.KLF16	chr18	80609768	80609778	+	0.000	0.000	Merged-chr18-80609939-56
NR17347--MA0741.1.KLF16	chr13	63189569	63189579	-	0.000	0.000	Merged-chr13-63189715-33
NR26217--MA1107.1.KLF9	chr16	49796917	49796929	+	0.000	0.000	Merged-chr16-49797153-43
NR65957--MA0599.1.KLF5	chr8	86838905	86838914	-	0.000	0.000	Merged-chr8-86839061-45
NR69360--MA0741.1.KLF16	chr9	69458369	69458379	+	0.000	0.000	Merged-chr9-69458326-40
NR25635--MA0741.1.KLF16	chr16	24160877	24160887	+	0.000	0.000	Merged-chr16-24160756-32
NR26235--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR54058--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR22593--MA0599.1.KLF5	chr15	34389240	34389249	-	0.000	0.000	Merged-chr15-34389092-27
NR19386--MA0599.1.KLF5	chr14	20023979	20023988	-	0.000	0.000	Merged-chr14-20024041-29
NR43151--MA0039.3.KLF4	chr3	127892091	127892101	-	0.000	0.000	Merged-chr3-127892051-37
NR67108--MA0740.1.KLF14	chr8	120701895	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR7820--MA0741.1.KLF16	chr10	94942958	94942968	+	0.000	0.000	Merged-chr10-94942923-6
NR10280--MA0599.1.KLF5	chr11	55131243	55131252	+	0.000	0.000	Merged-chr11-55131266-10
NR1361--MA1107.1.KLF9	chr1	80700302	80700314	-	0.000	0.000	Merged-chr1-80700065-37
NR1685--MA0741.1.KLF16	chr1	91825517	91825527	-	0.000	0.000	Merged-chr1-91825474-20
NR10329--MA0493.1.Klf1	chr11	57952970	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR10704--MA0741.1.KLF16	chr11	68465197	68465207	+	0.000	0.000	Merged-chr11-68465236-16
NR69653--MA1107.1.KLF9	chr9	78074213	78074225	+	0.000	0.000	Merged-chr9-78074095-46
NR10701--MA0599.1.KLF5	chr11	68442602	68442611	-	0.000	0.000	Merged-chr11-68442579-25
NR22007--MA0599.1.KLF5	chr14	120313645	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR39335--MA0599.1.KLF5	chr2	160657973	160657982	-	0.000	0.000	Merged-chr2-160657923-30
NR40810--MA0599.1.KLF5	chr3	37157149	37157158	+	0.000	0.000	Merged-chr3-37157248-37
NR58421--MA0741.1.KLF16	chr6	142862377	142862387	-	0.000	0.000	Merged-chr6-142862347-56
NR10328--MA0039.3.KLF4	chr11	57952968	57952978	-	0.000	0.000	Merged-chr11-57952769-40
NR33493--MA1107.1.KLF9	chr19	21786045	21786057	-	0.000	0.000	Merged-chr19-21785964-7
NR16111--MA1107.1.KLF9	chr13	5847056	5847068	+	0.000	0.000	Merged-chr13-5847113-25
NR14182--MA1107.1.KLF9	chr12	54398457	54398469	-	0.000	0.000	Merged-chr12-54398333-42
