#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR23501--MA1107.1.KLF9	chr15	76190405	76190417	+	0.000	0.000	Merged-chr15-76190238-30
NR53247--MA0039.3.KLF4	chr5	134494508	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR47935--MA0039.3.KLF4	chr4	135169319	135169329	+	0.000	0.000	Merged-chr4-135169344-25
NR4107--MA0741.1.KLF16	chr1	176827653	176827663	-	0.000	0.000	Merged-chr1-176827492-35
NR51239--MA0741.1.KLF16	chr5	92000942	92000952	+	0.000	0.000	Merged-chr5-92000971-27
NR53246--MA0599.1.KLF5	chr5	134494507	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR33632--MA1107.1.KLF9	chr19	30119063	30119075	+	0.000	0.000	Merged-chr19-30118858-30
NR39711--MA0493.1.Klf1	chr2	168492185	168492195	-	0.000	0.000	Merged-chr2-168492092-36
NR38303--MA0039.3.KLF4	chr2	131448456	131448466	+	0.000	0.000	Merged-chr2-131448367-26
NR50622--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR53245--MA0742.1.Klf12	chr5	134494506	134494520	+	0.000	0.000	Merged-chr5-134494514-28
NR4785--MA0741.1.KLF16	chr1	191097790	191097800	+	0.000	0.000	Merged-chr1-191097986-4
NR39713--MA1107.1.KLF9	chr2	168492183	168492195	-	0.000	0.000	Merged-chr2-168492092-36
NR33631--MA0493.1.Klf1	chr19	30119063	30119073	+	0.000	0.000	Merged-chr19-30118858-30
NR6319--MA0599.1.KLF5	chr10	63023265	63023274	+	0.000	0.000	Merged-chr10-63023225-2
NR6320--MA0741.1.KLF16	chr10	63023265	63023275	+	0.000	0.000	Merged-chr10-63023225-2
NR16439--MA0493.1.Klf1	chr13	28500931	28500941	+	0.000	0.000	Merged-chr13-28501043-27
NR5726--MA1107.1.KLF9	chr10	40688558	40688570	+	0.000	0.000	Merged-chr10-40688620-20
NR34459--MA0493.1.Klf1	chr19	56756564	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR15189--MA0599.1.KLF5	chr12	99468029	99468038	-	0.000	0.000	Merged-chr12-99468213-62
NR43494--MA1107.1.KLF9	chr3	135675685	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR57424--MA0599.1.KLF5	chr6	124759474	124759483	+	0.000	0.000	Merged-chr6-124759478-13
NR26233--MA1107.1.KLF9	chr16	49982428	49982440	-	0.000	0.000	Merged-chr16-49982447-38
NR16440--MA1107.1.KLF9	chr13	28500931	28500943	+	0.000	0.000	Merged-chr13-28501043-27
NR16436--MA0039.3.KLF4	chr13	28500906	28500916	+	0.000	0.000	Merged-chr13-28501043-27
NR4783--MA0599.1.KLF5	chr1	191097790	191097799	+	0.000	0.000	Merged-chr1-191097986-4
NR34457--MA0657.1.KLF13	chr19	56756558	56756575	-	0.000	0.000	Merged-chr19-56756635-43
NR68967--MA0599.1.KLF5	chr9	58583283	58583292	-	0.000	0.000	Merged-chr9-58583464-18
NR39714--MA1107.1.KLF9	chr2	168492187	168492199	-	0.000	0.000	Merged-chr2-168492092-36
NR53249--MA1107.1.KLF9	chr5	134494506	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR24854--MA0599.1.KLF5	chr15	101973883	101973892	+	0.000	0.000	Merged-chr15-101973849-27
NR43493--MA0493.1.Klf1	chr3	135675685	135675695	+	0.000	0.000	Merged-chr3-135675679-12
NR50621--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR4106--MA0599.1.KLF5	chr1	176827654	176827663	-	0.000	0.000	Merged-chr1-176827492-35
NR53248--MA0493.1.Klf1	chr5	134494506	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR68969--MA1107.1.KLF9	chr9	58583281	58583293	-	0.000	0.000	Merged-chr9-58583464-18
NR26234--MA1107.1.KLF9	chr16	49982430	49982442	-	0.000	0.000	Merged-chr16-49982447-38
NR50620--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR34461--MA1107.1.KLF9	chr19	56756562	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR16437--MA1107.1.KLF9	chr13	28500904	28500916	+	0.000	0.000	Merged-chr13-28501043-27
