#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR47863--MA0599.1.KLF5	chr5	112242597	112242606	+	0.000	0.000	Merged-chr5-112242517-49
NR31719--MA0599.1.KLF5	chr19	40661295	40661304	+	0.000	0.000	Merged-chr19-40661209-23
NR45195--MA0741.1.KLF16	chr4	150894754	150894764	+	0.000	0.000	Merged-chr4-150894695-19
NR11786--MA0741.1.KLF16	chr11	107444017	107444027	-	0.000	0.000	Merged-chr11-107443890-34
NR52583--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR11372--MA0741.1.KLF16	chr11	101171557	101171567	-	0.000	0.000	Merged-chr11-101171521-37
NR4543--MA0740.1.KLF14	chr10	8370347	8370360	+	0.000	0.000	Merged-chr10-8370203-10
NR49567--MA0741.1.KLF16	chr5	139377608	139377618	-	0.000	0.000	Merged-chr5-139377554-24
NR22433--MA0740.1.KLF14	chr15	86058711	86058724	-	0.000	0.000	Merged-chr15-86058836-53
NR53865--MA0493.1.Klf1	chr6	145249542	145249552	-	0.000	0.000	Merged-chr6-145249454-6
NR36760--MA0741.1.KLF16	chr2	164913585	164913595	-	0.000	0.000	Merged-chr2-164913622-30
NR31722--MA0039.3.KLF4	chr19	40665956	40665966	-	0.000	0.000	Merged-chr19-40666029-20
NR20984--MA0599.1.KLF5	chr15	34096547	34096556	-	0.000	0.000	Merged-chr15-34096594-23
NR60528--MA0599.1.KLF5	chr8	105636241	105636250	+	0.000	0.000	Merged-chr8-105636224-5
NR51143--MA1107.1.KLF9	chr6	51533580	51533592	-	0.000	0.000	Merged-chr6-51533616-16
NR1336--MA0039.3.KLF4	chr1	88267861	88267871	+	0.000	0.000	Merged-chr1-88267879-42
NR28874--MA0742.1.Klf12	chr18	7869133	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR31607--MA0493.1.Klf1	chr19	37110671	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR52579--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR5155--MA0493.1.Klf1	chr10	44447652	44447662	-	0.000	0.000	Merged-chr10-44447590-6
NR11364--MA0741.1.KLF16	chr11	101082545	101082555	+	0.000	0.000	Merged-chr11-101082516-61
NR34559--MA0493.1.Klf1	chr2	91078388	91078398	-	0.000	0.000	Merged-chr2-91078502-21
NR39569--MA1107.1.KLF9	chr3	105900446	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR4544--MA0657.1.KLF13	chr10	8370346	8370363	+	0.000	0.000	Merged-chr10-8370203-10
NR39566--MA0742.1.Klf12	chr3	105900444	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR56628--MA0740.1.KLF14	chr7	101537734	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR47858--MA0039.3.KLF4	chr5	112239789	112239799	-	0.000	0.000	Merged-chr5-112239781-12
NR9993--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
NR43766--MA0742.1.Klf12	chr4	129621212	129621226	+	0.000	0.000	Merged-chr4-129621333-30
NR6389--MA0599.1.KLF5	chr10	81401779	81401788	-	0.000	0.000	Merged-chr10-81401925-26
NR1065--MA0599.1.KLF5	chr1	75213263	75213272	-	0.000	0.000	Merged-chr1-75213327-22
NR4446--MA0742.1.Klf12	chr1	194995347	194995361	+	0.000	0.000	Merged-chr1-194995347-49
NR56621--MA0599.1.KLF5	chr7	101466458	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR16108--MA0742.1.Klf12	chr13	49298703	49298717	+	0.000	0.000	Merged-chr13-49298668-48
NR53868--MA0741.1.KLF16	chr6	145249630	145249640	-	0.000	0.000	Merged-chr6-145249454-6
NR14624--MA0493.1.Klf1	chr12	107961261	107961271	+	0.000	0.000	Merged-chr12-107961222-28
NR32895--MA0599.1.KLF5	chr2	25148074	25148083	+	0.000	0.000	Merged-chr2-25148103-14
NR16923--MA0741.1.KLF16	chr13	85505186	85505196	-	0.000	0.000	Merged-chr13-85505133-53
NR5765--MA0599.1.KLF5	chr10	75536382	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR22436--MA0741.1.KLF16	chr15	86058713	86058723	-	0.000	0.000	Merged-chr15-86058836-53
NR3123--MA1107.1.KLF9	chr1	166429125	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR22178--MA0741.1.KLF16	chr15	81872355	81872365	+	0.000	0.000	Merged-chr15-81872198-88
NR47466--MA0742.1.Klf12	chr5	100872339	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR43325--MA1107.1.KLF9	chr4	120053610	120053622	-	0.000	0.000	Merged-chr4-120053646-59
NR56630--MA0493.1.Klf1	chr7	101537737	101537747	-	0.000	0.000	Merged-chr7-101537821-5
NR13016--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR14628--MA0039.3.KLF4	chr12	107961291	107961301	+	0.000	0.000	Merged-chr12-107961222-28
NR62212--MA0599.1.KLF5	chr9	32695948	32695957	+	0.000	0.000	Merged-chr9-32696080-66
NR3720--MA0599.1.KLF5	chr1	181228988	181228997	+	0.000	0.000	Merged-chr1-181229140-10
NR17769--MA0741.1.KLF16	chr13	109239168	109239178	-	0.000	0.000	Merged-chr13-109239401-35
NR6523--MA1107.1.KLF9	chr10	83336548	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR1509--MA0740.1.KLF14	chr1	97613886	97613899	+	0.000	0.000	Merged-chr1-97613912-17
NR30381--MA0740.1.KLF14	chr18	80178394	80178407	+	0.000	0.000	Merged-chr18-80178605-23
NR66273--MA0657.1.KLF13	chrX	94212910	94212927	+	0.000	0.000	Merged-chrX-94212981-107
NR58833--MA0599.1.KLF5	chr8	25578445	25578454	+	0.000	0.000	Merged-chr8-25578502-39
NR35918--MA1107.1.KLF9	chr2	144753671	144753683	-	0.000	0.000	Merged-chr2-144753678-53
NR24588--MA0493.1.Klf1	chr16	52470451	52470461	+	0.000	0.000	Merged-chr16-52470408-42
NR28873--MA0740.1.KLF14	chr18	7869134	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR47919--MA0599.1.KLF5	chr5	112311049	112311058	+	0.000	0.000	Merged-chr5-112310969-9
NR58832--MA1107.1.KLF9	chr8	25578423	25578435	+	0.000	0.000	Merged-chr8-25578502-39
NR8975--MA0742.1.Klf12	chr11	34782728	34782742	+	0.000	0.000	Merged-chr11-34782610-2
NR6829--MA0741.1.KLF16	chr10	95009039	95009049	+	0.000	0.000	Merged-chr10-95009173-43
NR14352--MA0493.1.Klf1	chr12	102725371	102725381	+	0.000	0.000	Merged-chr12-102725313-9
NR39565--MA0740.1.KLF14	chr3	105900445	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR24937--MA1107.1.KLF9	chr16	78606415	78606427	-	0.000	0.000	Merged-chr16-78606501-17
NR45565--MA0599.1.KLF5	chr4	156033120	156033129	-	0.000	0.000	Merged-chr4-156033433-76
NR46749--MA0599.1.KLF5	chr5	65850934	65850943	-	0.000	0.000	Merged-chr5-65850971-35
NR30382--MA0657.1.KLF13	chr18	80178393	80178410	+	0.000	0.000	Merged-chr18-80178605-23
NR43765--MA0740.1.KLF14	chr4	129621212	129621225	+	0.000	0.000	Merged-chr4-129621333-30
NR33705--MA0741.1.KLF16	chr2	39009187	39009197	+	0.000	0.000	Merged-chr2-39009126-39
NR47851--MA1107.1.KLF9	chr5	112239639	112239651	-	0.000	0.000	Merged-chr5-112239781-12
NR38688--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR12857--MA1107.1.KLF9	chr12	16580528	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR31720--MA0741.1.KLF16	chr19	40661295	40661305	+	0.000	0.000	Merged-chr19-40661209-23
NR17766--MA0599.1.KLF5	chr13	109239171	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR30384--MA0741.1.KLF16	chr18	80178395	80178405	+	0.000	0.000	Merged-chr18-80178605-23
NR5839--MA0741.1.KLF16	chr10	77264474	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR11361--MA0599.1.KLF5	chr11	101082545	101082554	+	0.000	0.000	Merged-chr11-101082516-61
NR56632--MA0741.1.KLF16	chr7	101555584	101555594	+	0.000	0.000	Merged-chr7-101555691-65
NR14630--MA0741.1.KLF16	chr12	107961290	107961300	+	0.000	0.000	Merged-chr12-107961222-28
NR55921--MA0039.3.KLF4	chr7	67425610	67425620	+	0.000	0.000	Merged-chr7-67425669-21
NR60838--MA0039.3.KLF4	chr8	115531468	115531478	+	0.000	0.000	Merged-chr8-115531430-21
NR31614--MA0493.1.Klf1	chr19	37333607	37333617	+	0.000	0.000	Merged-chr19-37333490-26
NR53862--MA0742.1.Klf12	chr6	145249538	145249552	-	0.000	0.000	Merged-chr6-145249454-6
NR51040--MA0742.1.Klf12	chr6	48693966	48693980	-	0.000	0.000	Merged-chr6-48693973-35
NR2309--MA0657.1.KLF13	chr1	138963221	138963238	-	0.000	0.000	Merged-chr1-138963261-12
NR11789--MA0741.1.KLF16	chr11	107444020	107444030	-	0.000	0.000	Merged-chr11-107443890-34
NR51142--MA0493.1.Klf1	chr6	51533557	51533567	+	0.000	0.000	Merged-chr6-51533616-16
NR20955--MA0493.1.Klf1	chr15	31117642	31117652	-	0.000	0.000	Merged-chr15-31117559-26
NR902--MA0741.1.KLF16	chr1	66897060	66897070	+	0.000	0.000	Merged-chr1-66897217-4
NR47847--MA0039.3.KLF4	chr5	112239645	112239655	-	0.000	0.000	Merged-chr5-112239781-12
NR50289--MA1107.1.KLF9	chr5	149594188	149594200	+	0.000	0.000	Merged-chr5-149594297-11
NR57494--MA0599.1.KLF5	chr7	127137855	127137864	+	0.000	0.000	Merged-chr7-127137762-54
NR56624--MA0741.1.KLF16	chr7	101466453	101466463	-	0.000	0.000	Merged-chr7-101466620-78
NR54966--MA0039.3.KLF4	chr7	28609177	28609187	+	0.000	0.000	Merged-chr7-28609310-17
NR14627--MA0599.1.KLF5	chr12	107961290	107961299	+	0.000	0.000	Merged-chr12-107961222-28
NR60567--MA0599.1.KLF5	chr8	106007473	106007482	-	0.000	0.000	Merged-chr8-106007407-44
NR43767--MA0599.1.KLF5	chr4	129621213	129621222	+	0.000	0.000	Merged-chr4-129621333-30
NR24586--MA0740.1.KLF14	chr16	52470451	52470464	+	0.000	0.000	Merged-chr16-52470408-42
NR39568--MA0493.1.Klf1	chr3	105900448	105900458	-	0.000	0.000	Merged-chr3-105900628-63
NR28470--MA0493.1.Klf1	chr17	84032431	84032441	+	0.000	0.000	Merged-chr17-84032623-33
NR5754--MA0599.1.KLF5	chr10	75320541	75320550	+	0.000	0.000	Merged-chr10-75320421-51
NR14626--MA1107.1.KLF9	chr12	107961261	107961273	+	0.000	0.000	Merged-chr12-107961222-28
NR2922--MA1107.1.KLF9	chr1	162565216	162565228	+	0.000	0.000	Merged-chr1-162565187-22
NR11707--MA0599.1.KLF5	chr11	106216943	106216952	+	0.000	0.000	Merged-chr11-106216790-91
NR12142--MA1107.1.KLF9	chr11	115603722	115603734	-	0.000	0.000	Merged-chr11-115603871-66
NR4545--MA0742.1.Klf12	chr10	8370347	8370361	+	0.000	0.000	Merged-chr10-8370203-10
NR9087--MA0039.3.KLF4	chr11	48823885	48823895	+	0.000	0.000	Merged-chr11-48823880-45
NR9097--MA0493.1.Klf1	chr11	49051306	49051316	+	0.000	0.000	Merged-chr11-49051380-85
NR43323--MA1107.1.KLF9	chr4	120053606	120053618	-	0.000	0.000	Merged-chr4-120053646-59
NR61147--MA0741.1.KLF16	chr8	121573582	121573592	+	0.000	0.000	Merged-chr8-121573521-19
NR3122--MA0493.1.Klf1	chr1	166429127	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR31480--MA1107.1.KLF9	chr19	32216868	32216880	+	0.000	0.000	Merged-chr19-32216974-24
NR5834--MA0740.1.KLF14	chr10	77264471	77264484	+	0.000	0.000	Merged-chr10-77264465-20
NR19204--MA0599.1.KLF5	chr14	55913577	55913586	+	0.000	0.000	Merged-chr14-55913661-13
NR48629--MA0039.3.KLF4	chr5	124075986	124075996	-	0.000	0.000	Merged-chr5-124075936-23
NR49528--MA0599.1.KLF5	chr5	139290677	139290686	+	0.000	0.000	Merged-chr5-139290875-38
NR35916--MA1107.1.KLF9	chr2	144753667	144753679	-	0.000	0.000	Merged-chr2-144753678-53
NR56629--MA0599.1.KLF5	chr7	101537737	101537746	-	0.000	0.000	Merged-chr7-101537821-5
NR17181--MA0599.1.KLF5	chr13	95524222	95524231	+	0.000	0.000	Merged-chr13-95524264-2
NR19561--MA1107.1.KLF9	chr14	69774963	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR45633--MA1107.1.KLF9	chr5	5420284	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR4547--MA0039.3.KLF4	chr10	8370349	8370359	+	0.000	0.000	Merged-chr10-8370203-10
NR57153--MA0742.1.Klf12	chr7	118254247	118254261	+	0.000	0.000	Merged-chr7-118254195-24
NR10614--MA0741.1.KLF16	chr11	87595524	87595534	-	0.000	0.000	Merged-chr11-87595611-9
NR38751--MA0039.3.KLF4	chr3	87841000	87841010	+	0.000	0.000	Merged-chr3-87841057-16
NR49564--MA0599.1.KLF5	chr5	139377605	139377614	-	0.000	0.000	Merged-chr5-139377554-24
NR60925--MA1107.1.KLF9	chr8	117320831	117320843	+	0.000	0.000	Merged-chr8-117320786-24
NR6522--MA0493.1.Klf1	chr10	83336550	83336560	-	0.000	0.000	Merged-chr10-83336542-10
NR3056--MA0599.1.KLF5	chr1	165691477	165691486	+	0.000	0.000	Merged-chr1-165691684-32
NR19245--MA0740.1.KLF14	chr14	57769258	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR22434--MA0599.1.KLF5	chr15	86058698	86058707	-	0.000	0.000	Merged-chr15-86058836-53
NR47469--MA0493.1.Klf1	chr5	100872343	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR47920--MA0039.3.KLF4	chr5	112311050	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR3120--MA0742.1.Klf12	chr1	166429123	166429137	-	0.000	0.000	Merged-chr1-166429186-23
NR52589--MA0741.1.KLF16	chr6	119199105	119199115	+	0.000	0.000	Merged-chr6-119199024-52
NR8976--MA0599.1.KLF5	chr11	34782729	34782738	+	0.000	0.000	Merged-chr11-34782610-2
NR51448--MA1107.1.KLF9	chr6	70709684	70709696	-	0.000	0.000	Merged-chr6-70709572-48
NR47591--MA0741.1.KLF16	chr5	105649550	105649560	+	0.000	0.000	Merged-chr5-105649431-102
NR47850--MA0493.1.Klf1	chr5	112239656	112239666	-	0.000	0.000	Merged-chr5-112239781-12
NR19246--MA0657.1.KLF13	chr14	57769255	57769272	-	0.000	0.000	Merged-chr14-57769251-39
NR38591--MA1107.1.KLF9	chr3	79237833	79237845	+	0.000	0.000	Merged-chr3-79237925-42
NR19329--MA0039.3.KLF4	chr14	60736371	60736381	-	0.000	0.000	Merged-chr14-60736285-1
NR12856--MA0493.1.Klf1	chr12	16580530	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR7225--MA0741.1.KLF16	chr10	111571232	111571242	+	0.000	0.000	Merged-chr10-111571158-21
NR18186--MA1107.1.KLF9	chr13	119657283	119657295	+	0.000	0.000	Merged-chr13-119657260-10
NR46287--MA0741.1.KLF16	chr5	35786170	35786180	+	0.000	0.000	Merged-chr5-35786047-15
NR55057--MA0599.1.KLF5	chr7	29906112	29906121	-	0.000	0.000	Merged-chr7-29906235-59
NR50287--MA1107.1.KLF9	chr5	149594184	149594196	+	0.000	0.000	Merged-chr5-149594297-11
NR5840--MA1107.1.KLF9	chr10	77264471	77264483	+	0.000	0.000	Merged-chr10-77264465-20
NR1391--MA1107.1.KLF9	chr1	91193338	91193350	-	0.000	0.000	Merged-chr1-91193266-65
NR52592--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR55145--MA0039.3.KLF4	chr7	30887691	30887701	-	0.000	0.000	Merged-chr7-30887782-39
NR55155--MA0493.1.Klf1	chr7	31028758	31028768	+	0.000	0.000	Merged-chr7-31028766-21
NR47854--MA0039.3.KLF4	chr5	112239765	112239775	-	0.000	0.000	Merged-chr5-112239781-12
NR1145--MA1107.1.KLF9	chr1	80389547	80389559	-	0.000	0.000	Merged-chr1-80389705-48
NR34802--MA0599.1.KLF5	chr2	103750420	103750429	+	0.000	0.000	Merged-chr2-103750485-21
NR52584--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR48628--MA0599.1.KLF5	chr5	124075988	124075997	-	0.000	0.000	Merged-chr5-124075936-23
NR13013--MA0740.1.KLF14	chr12	25155527	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR4546--MA0599.1.KLF5	chr10	8370348	8370357	+	0.000	0.000	Merged-chr10-8370203-10
NR905--MA0741.1.KLF16	chr1	66897063	66897073	+	0.000	0.000	Merged-chr1-66897217-4
NR60529--MA0493.1.Klf1	chr8	105636240	105636250	+	0.000	0.000	Merged-chr8-105636224-5
NR11705--MA0599.1.KLF5	chr11	106216895	106216904	+	0.000	0.000	Merged-chr11-106216790-91
NR22176--MA0599.1.KLF5	chr15	81872355	81872364	+	0.000	0.000	Merged-chr15-81872198-88
NR38750--MA0599.1.KLF5	chr3	87840999	87841008	+	0.000	0.000	Merged-chr3-87841057-16
NR18485--MA0742.1.Klf12	chr14	21525773	21525787	+	0.000	0.000	Merged-chr14-21525854-33
NR37081--MA0039.3.KLF4	chr2	168429754	168429764	+	0.000	0.000	Merged-chr2-168429700-17
NR40714--MA1107.1.KLF9	chr3	142863420	142863432	+	0.000	0.000	Merged-chr3-142863489-16
NR47470--MA1107.1.KLF9	chr5	100872341	100872353	-	0.000	0.000	Merged-chr5-100872198-32
NR16925--MA1107.1.KLF9	chr13	85505187	85505199	-	0.000	0.000	Merged-chr13-85505133-53
NR43330--MA1107.1.KLF9	chr4	120053628	120053640	-	0.000	0.000	Merged-chr4-120053646-59
NR50665--MA0599.1.KLF5	chr6	30230375	30230384	-	0.000	0.000	Merged-chr6-30230479-12
NR2921--MA0493.1.Klf1	chr1	162565216	162565226	+	0.000	0.000	Merged-chr1-162565187-22
NR14625--MA0741.1.KLF16	chr12	107961262	107961272	+	0.000	0.000	Merged-chr12-107961222-28
NR14633--MA0039.3.KLF4	chr12	107963070	107963080	+	0.000	0.000	Merged-chr12-107963174-17
NR11064--MA1107.1.KLF9	chr11	97133378	97133390	+	0.000	0.000	Merged-chr11-97133494-13
NR60569--MA0741.1.KLF16	chr8	106007461	106007471	-	0.000	0.000	Merged-chr8-106007407-44
NR43326--MA1107.1.KLF9	chr4	120053612	120053624	-	0.000	0.000	Merged-chr4-120053646-59
NR9216--MA0741.1.KLF16	chr11	51898827	51898837	-	0.000	0.000	Merged-chr11-51898870-27
NR52576--MA0740.1.KLF14	chr6	119199104	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR5766--MA0493.1.Klf1	chr10	75536382	75536392	-	0.000	0.000	Merged-chr10-75536310-39
NR19560--MA0493.1.Klf1	chr14	69774965	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR62558--MA0599.1.KLF5	chr9	45329720	45329729	-	0.000	0.000	Merged-chr9-45329808-12
NR35919--MA1107.1.KLF9	chr2	144753673	144753685	-	0.000	0.000	Merged-chr2-144753678-53
NR38752--MA0741.1.KLF16	chr3	87840999	87841009	+	0.000	0.000	Merged-chr3-87841057-16
NR49570--MA1107.1.KLF9	chr5	139377607	139377619	-	0.000	0.000	Merged-chr5-139377554-24
NR2294--MA0039.3.KLF4	chr1	138843411	138843421	-	0.000	0.000	Merged-chr1-138843569-18
NR23531--MA0599.1.KLF5	chr16	3859463	3859472	-	0.000	0.000	Merged-chr16-3859586-8
NR61146--MA0599.1.KLF5	chr8	121573582	121573591	+	0.000	0.000	Merged-chr8-121573521-19
NR5131--MA0740.1.KLF14	chr10	43998140	43998153	-	0.000	0.000	Merged-chr10-43998227-1
NR58287--MA1107.1.KLF9	chr7	142396756	142396768	-	0.000	0.000	Merged-chr7-142396800-18
NR31721--MA1107.1.KLF9	chr19	40661294	40661306	+	0.000	0.000	Merged-chr19-40661209-23
NR12835--MA0039.3.KLF4	chr12	15811851	15811861	+	0.000	0.000	Merged-chr12-15811908-21
NR31606--MA0599.1.KLF5	chr19	37110672	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR47852--MA1107.1.KLF9	chr5	112239645	112239657	-	0.000	0.000	Merged-chr5-112239781-12
NR11785--MA0741.1.KLF16	chr11	107444016	107444026	-	0.000	0.000	Merged-chr11-107443890-34
NR14620--MA0740.1.KLF14	chr12	107961219	107961232	+	0.000	0.000	Merged-chr12-107961222-28
NR1063--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR11371--MA0741.1.KLF16	chr11	101171556	101171566	-	0.000	0.000	Merged-chr11-101171521-37
NR3266--MA0742.1.Klf12	chr1	170972720	170972734	+	0.000	0.000	Merged-chr1-170972744-20
NR49566--MA0741.1.KLF16	chr5	139377604	139377614	-	0.000	0.000	Merged-chr5-139377554-24
NR61166--MA0740.1.KLF14	chr8	121898638	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR32905--MA0039.3.KLF4	chr2	25148133	25148143	+	0.000	0.000	Merged-chr2-25148103-14
NR37944--MA0599.1.KLF5	chr3	28244441	28244450	+	0.000	0.000	Merged-chr3-28244555-21
NR17991--MA0740.1.KLF14	chr13	113556697	113556710	+	0.000	0.000	Merged-chr13-113556743-10
NR11362--MA0599.1.KLF5	chr11	101082550	101082559	+	0.000	0.000	Merged-chr11-101082516-61
NR38590--MA0493.1.Klf1	chr3	79237833	79237843	+	0.000	0.000	Merged-chr3-79237925-42
NR40787--MA0039.3.KLF4	chr3	144561695	144561705	-	0.000	0.000	Merged-chr3-144561824-38
NR54967--MA1107.1.KLF9	chr7	28609175	28609187	+	0.000	0.000	Merged-chr7-28609310-17
NR6833--MA0740.1.KLF14	chr10	95193990	95194003	-	0.000	0.000	Merged-chr10-95194130-23
NR28878--MA0493.1.Klf1	chr18	7869137	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR31613--MA0742.1.Klf12	chr19	37333607	37333621	+	0.000	0.000	Merged-chr19-37333490-26
NR45566--MA0741.1.KLF16	chr4	156033119	156033129	-	0.000	0.000	Merged-chr4-156033433-76
