#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR6052--MA0769.1.Tcf7	chr7	90007426	90007437	+	0.000	0.000	Merged-chr7-90007418-46
NR3481--MA0769.1.Tcf7	chr2	17597779	17597790	+	0.000	0.000	Merged-chr2-17597899-18
NR5323--MA0523.1.TCF7L2	chr5	137870834	137870847	+	0.000	0.000	Merged-chr5-137870793-17
NR3833--MA0523.1.TCF7L2	chr2	129180195	129180208	-	0.000	0.000	Merged-chr2-129180074-1
NR177--MA0769.1.Tcf7	chr1	87378189	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR5310--MA0523.1.TCF7L2	chr5	134269609	134269622	+	0.000	0.000	Merged-chr5-134269909-65
NR6480--MA1421.1.TCF7L1	chr8	116717017	116717028	+	0.000	0.000	Merged-chr8-116716942-1
NR2391--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR5912--MA0523.1.TCF7L2	chr7	31086476	31086489	+	0.000	0.000	Merged-chr7-31086534-15
NR5657--MA0769.1.Tcf7	chr6	115513323	115513334	-	0.000	0.000	Merged-chr6-115513314-25
NR6164--MA0523.1.TCF7L2	chr7	120921346	120921359	-	0.000	0.000	Merged-chr7-120921372-21
NR2750--MA0523.1.TCF7L2	chr16	76323634	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR6210--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR6585--MA0523.1.TCF7L2	chr9	14908165	14908178	+	0.000	0.000	Merged-chr9-14908176-52
NR1760--MA1421.1.TCF7L1	chr13	44807244	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR1592--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR2552--MA0523.1.TCF7L2	chr15	98623469	98623482	+	0.000	0.000	Merged-chr15-98623504-45
NR3536--MA0523.1.TCF7L2	chr2	37565776	37565789	-	0.000	0.000	Merged-chr2-37565860-32
NR2429--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR2371--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR759--MA0523.1.TCF7L2	chr10	75294288	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR1129--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2152--MA0523.1.TCF7L2	chr14	62627559	62627572	+	0.000	0.000	Merged-chr14-62627525-13
NR2465--MA0769.1.Tcf7	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR6050--MA0769.1.Tcf7	chr7	90004036	90004047	+	0.000	0.000	Merged-chr7-90004026-23
NR2285--MA0523.1.TCF7L2	chr14	121830283	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR4025--MA0523.1.TCF7L2	chr2	173455294	173455307	+	0.000	0.000	Merged-chr2-173455329-43
NR4884--MA0523.1.TCF7L2	chr4	139367504	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR3944--MA0523.1.TCF7L2	chr2	152803330	152803343	-	0.000	0.000	Merged-chr2-152803348-34
NR1899--MA0523.1.TCF7L2	chr13	95449977	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR3108--MA0769.1.Tcf7	chr18	39141919	39141930	-	0.000	0.000	Merged-chr18-39141814-16
NR3254--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR1835--MA0523.1.TCF7L2	chr13	73491212	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR6069--MA0769.1.Tcf7	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR3256--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR2708--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR1545--MA1421.1.TCF7L1	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR5682--MA0769.1.Tcf7	chr6	120181446	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR5324--MA0769.1.Tcf7	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR5454--MA0769.1.Tcf7	chr6	41163688	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR5548--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5825--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR5489--MA0523.1.TCF7L2	chr6	54926015	54926028	+	0.000	0.000	Merged-chr6-54926058-40
NR3946--MA0769.1.Tcf7	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR3795--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR758--MA0769.1.Tcf7	chr10	75000945	75000956	-	0.000	0.000	Merged-chr10-75001009-7
NR5490--MA0769.1.Tcf7	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR2707--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR1593--MA0523.1.TCF7L2	chr12	110939500	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR268--MA0523.1.TCF7L2	chr1	127652946	127652959	+	0.000	0.000	Merged-chr1-127652975-7
NR1902--MA1421.1.TCF7L1	chr13	95518101	95518112	+	0.000	0.000	Merged-chr13-95518086-22
NR2116--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR3430--MA1421.1.TCF7L1	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR5303--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR1721--MA1421.1.TCF7L1	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR1189--MA0523.1.TCF7L2	chr11	87935640	87935653	+	0.000	0.000	Merged-chr11-87935646-41
NR1660--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
NR3790--MA1421.1.TCF7L1	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR3341--MA0523.1.TCF7L2	chr19	32455179	32455192	+	0.000	0.000	Merged-chr19-32455050-22
NR1723--MA0769.1.Tcf7	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR900--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR2463--MA1421.1.TCF7L1	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR3255--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR493--MA1421.1.TCF7L1	chr1	178629376	178629387	+	0.000	0.000	Merged-chr1-178629339-6
NR6068--MA0523.1.TCF7L2	chr7	98797795	98797808	+	0.000	0.000	Merged-chr7-98797577-28
NR5431--MA1421.1.TCF7L1	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR261--MA1421.1.TCF7L1	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR5646--MA1421.1.TCF7L1	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR2593--MA0523.1.TCF7L2	chr16	8472066	8472079	-	0.000	0.000	Merged-chr16-8472129-3
NR2241--MA0523.1.TCF7L2	chr14	101892407	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR6257--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2940--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR4959--MA1421.1.TCF7L1	chr5	8839300	8839311	-	0.000	0.000	Merged-chr5-8839426-88
NR4273--MA0769.1.Tcf7	chr3	106967025	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3431--MA0523.1.TCF7L2	chr2	5003239	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR6737--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR3794--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR4778--MA1421.1.TCF7L1	chr4	103113538	103113549	+	0.000	0.000	Merged-chr4-103113589-3
NR2792--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR1722--MA0523.1.TCF7L2	chr13	33071990	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR3318--MA1421.1.TCF7L1	chr19	20931282	20931293	-	0.000	0.000	Merged-chr19-20931393-10
NR779--MA0769.1.Tcf7	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR4272--MA0523.1.TCF7L2	chr3	106967023	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR3748--MA0769.1.Tcf7	chr2	103632623	103632634	+	0.000	0.000	Merged-chr2-103632734-49
NR5557--MA0523.1.TCF7L2	chr6	82744572	82744585	-	0.000	0.000	Merged-chr6-82744737-54
NR4135--MA0523.1.TCF7L2	chr3	60422472	60422485	+	0.000	0.000	Merged-chr3-60422418-15
NR3945--MA1421.1.TCF7L1	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR5740--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR265--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR4255--MA0523.1.TCF7L2	chr3	103860214	103860227	-	0.000	0.000	Merged-chr3-103860030-82
NR2437--MA1421.1.TCF7L1	chr15	66899056	66899067	-	0.000	0.000	Merged-chr15-66899064-14
NR4939--MA0523.1.TCF7L2	chr4	150995032	150995045	+	0.000	0.000	Merged-chr4-150995020-21
NR4711--MA0523.1.TCF7L2	chr4	89393653	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR6929--MA0769.1.Tcf7	chr9	123733973	123733984	-	0.000	0.000	Merged-chr9-123734197-54
NR2941--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR3603--MA0523.1.TCF7L2	chr2	59513724	59513737	+	0.000	0.000	Merged-chr2-59513816-12
NR5990--MA0523.1.TCF7L2	chr7	74697932	74697945	+	0.000	0.000	Merged-chr7-74698017-54
NR4707--MA0523.1.TCF7L2	chr4	89302226	89302239	+	0.000	0.000	Merged-chr4-89302202-17
NR3391--MA0769.1.Tcf7	chr19	53395846	53395857	-	0.000	0.000	Merged-chr19-53395914-16
NR5647--MA0769.1.Tcf7	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR3528--MA1421.1.TCF7L1	chr2	34198752	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR176--MA0523.1.TCF7L2	chr1	87378187	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR3433--MA1421.1.TCF7L1	chr2	5003345	5003356	+	0.000	0.000	Merged-chr2-5003396-19
NR778--MA0523.1.TCF7L2	chr10	78115087	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR2400--MA0769.1.Tcf7	chr15	60136827	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR5437--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR2399--MA0523.1.TCF7L2	chr15	60136825	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR1122--MA1421.1.TCF7L1	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5549--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5716--MA0523.1.TCF7L2	chr6	128474316	128474329	+	0.000	0.000	Merged-chr6-128474299-11
NR1767--MA0769.1.Tcf7	chr13	46340091	46340102	-	0.000	0.000	Merged-chr13-46340117-51
NR5491--MA0523.1.TCF7L2	chr6	54991451	54991464	-	0.000	0.000	Merged-chr6-54991459-9
NR2535--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR2397--MA1421.1.TCF7L1	chr15	59641420	59641431	+	0.000	0.000	Merged-chr15-59641442-25
NR2553--MA0769.1.Tcf7	chr15	98623469	98623480	+	0.000	0.000	Merged-chr15-98623504-45
NR2428--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1253--MA0769.1.Tcf7	chr11	106958390	106958401	-	0.000	0.000	Merged-chr11-106958567-20
NR1128--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6805--MA1421.1.TCF7L1	chr9	95834855	95834866	+	0.000	0.000	Merged-chr9-95834941-16
NR5711--MA0523.1.TCF7L2	chr6	127617488	127617501	+	0.000	0.000	Merged-chr6-127617353-34
NR3628--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6036--MA0769.1.Tcf7	chr7	84166258	84166269	+	0.000	0.000	Merged-chr7-84166236-11
NR866--MA1421.1.TCF7L1	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4709--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR5085--MA0769.1.Tcf7	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR1766--MA1421.1.TCF7L1	chr13	46340091	46340102	-	0.000	0.000	Merged-chr13-46340117-51
NR3465--MA0769.1.Tcf7	chr2	11203137	11203148	+	0.000	0.000	Merged-chr2-11202996-2
NR5276--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR6972--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR5322--MA1421.1.TCF7L1	chr5	137870834	137870845	+	0.000	0.000	Merged-chr5-137870793-17
NR2282--MA0523.1.TCF7L2	chr14	121324888	121324901	-	0.000	0.000	Merged-chr14-121324999-52
NR4130--MA0769.1.Tcf7	chr3	59081167	59081178	-	0.000	0.000	Merged-chr3-59081244-57
NR3516--MA0523.1.TCF7L2	chr2	30112724	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR3277--MA1421.1.TCF7L1	chr19	4294603	4294614	+	0.000	0.000	Merged-chr19-4294616-52
NR5212--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR5575--MA1421.1.TCF7L1	chr6	86754831	86754842	+	0.000	0.000	Merged-chr6-86754818-10
NR2747--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR1090--MA1421.1.TCF7L1	chr11	58829945	58829956	+	0.000	0.000	Merged-chr11-58829916-12
NR3609--MA1421.1.TCF7L1	chr2	60204294	60204305	+	0.000	0.000	Merged-chr2-60204421-25
NR6971--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR1546--MA0769.1.Tcf7	chr12	102945789	102945800	+	0.000	0.000	Merged-chr12-102945751-11
NR878--MA0769.1.Tcf7	chr10	98776738	98776749	+	0.000	0.000	Merged-chr10-98776574-38
NR6584--MA1421.1.TCF7L1	chr9	14908165	14908176	+	0.000	0.000	Merged-chr9-14908176-52
NR6400--MA1421.1.TCF7L1	chr8	72331241	72331252	+	0.000	0.000	Merged-chr8-72331186-66
NR2654--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5886--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR2290--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2334--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR6049--MA0523.1.TCF7L2	chr7	90004036	90004049	+	0.000	0.000	Merged-chr7-90004026-23
NR346--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR3969--MA1421.1.TCF7L1	chr2	158719454	158719465	-	0.000	0.000	Merged-chr2-158719347-62
NR5254--MA0523.1.TCF7L2	chr5	117938560	117938573	+	0.000	0.000	Merged-chr5-117938550-41
NR6258--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2118--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR2791--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR4883--MA1421.1.TCF7L1	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR5309--MA1421.1.TCF7L1	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR1190--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR5084--MA1421.1.TCF7L1	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR6066--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1898--MA1421.1.TCF7L1	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR345--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR286--MA0523.1.TCF7L2	chr1	132012013	132012026	-	0.000	0.000	Merged-chr1-132011905-3
NR3747--MA0523.1.TCF7L2	chr2	103632623	103632636	+	0.000	0.000	Merged-chr2-103632734-49
NR4129--MA0523.1.TCF7L2	chr3	59081165	59081178	-	0.000	0.000	Merged-chr3-59081244-57
NR2075--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR5433--MA0769.1.Tcf7	chr6	33675687	33675698	+	0.000	0.000	Merged-chr6-33675584-7
NR5005--MA0523.1.TCF7L2	chr5	24776939	24776952	+	0.000	0.000	Merged-chr5-24777004-40
NR5645--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR867--MA0769.1.Tcf7	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4478--MA0769.1.Tcf7	chr3	148419657	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR2938--MA1421.1.TCF7L1	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR6065--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR5568--MA0769.1.Tcf7	chr6	85147835	85147846	+	0.000	0.000	Merged-chr6-85147771-14
NR5426--MA0523.1.TCF7L2	chr6	31085587	31085600	-	0.000	0.000	Merged-chr6-31085577-29
NR5824--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR5488--MA1421.1.TCF7L1	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR1594--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1272--MA0769.1.Tcf7	chr11	110897150	110897161	+	0.000	0.000	Merged-chr11-110897111-25
NR3792--MA0769.1.Tcf7	chr2	117089661	117089672	+	0.000	0.000	Merged-chr2-117089625-28
NR407--MA0523.1.TCF7L2	chr1	161775361	161775374	-	0.000	0.000	Merged-chr1-161775163-66
NR5717--MA0769.1.Tcf7	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR4928--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR264--MA0523.1.TCF7L2	chr1	127348985	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR3340--MA1421.1.TCF7L1	chr19	32455179	32455190	+	0.000	0.000	Merged-chr19-32455050-22
NR4484--MA0523.1.TCF7L2	chr3	148762785	148762798	+	0.000	0.000	Merged-chr3-148762804-58
NR2291--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR1328--MA0523.1.TCF7L2	chr11	120642258	120642271	-	0.000	0.000	Merged-chr11-120642267-6
NR2013--MA1421.1.TCF7L1	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR6067--MA1421.1.TCF7L1	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR6207--MA0523.1.TCF7L2	chr7	130448293	130448306	+	0.000	0.000	Merged-chr7-130448231-21
NR1121--MA0523.1.TCF7L2	chr11	68465259	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR1761--MA0523.1.TCF7L2	chr13	44807242	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR4728--MA1421.1.TCF7L1	chr4	95068195	95068206	-	0.000	0.000	Merged-chr4-95068269-28
NR2240--MA1421.1.TCF7L1	chr14	101892409	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR6256--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR324--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR775--MA0523.1.TCF7L2	chr10	77273401	77273414	+	0.000	0.000	Merged-chr10-77273499-67
NR3651--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR5907--MA0769.1.Tcf7	chr7	29900783	29900794	+	0.000	0.000	Merged-chr7-29900753-5
NR2564--MA0523.1.TCF7L2	chr15	100668288	100668301	-	0.000	0.000	Merged-chr15-100668117-50
NR6352--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR3517--MA0769.1.Tcf7	chr2	30112726	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5569--MA1421.1.TCF7L1	chr6	85147882	85147893	+	0.000	0.000	Merged-chr6-85147771-14
NR1104--MA0523.1.TCF7L2	chr11	62507992	62508005	-	0.000	0.000	Merged-chr11-62507903-32
NR3629--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6458--MA1421.1.TCF7L1	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR6133--MA0523.1.TCF7L2	chr7	114671142	114671155	+	0.000	0.000	Merged-chr7-114671342-44
NR6735--MA0523.1.TCF7L2	chr9	79756211	79756224	+	0.000	0.000	Merged-chr9-79756214-5
NR3432--MA0769.1.Tcf7	chr2	5003241	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1033--MA0769.1.Tcf7	chr11	21314423	21314434	+	0.000	0.000	Merged-chr11-21314524-33
NR3464--MA1421.1.TCF7L1	chr2	11203137	11203148	+	0.000	0.000	Merged-chr2-11202996-2
NR5397--MA0769.1.Tcf7	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR262--MA0769.1.Tcf7	chr1	127318709	127318720	+	0.000	0.000	Merged-chr1-127318690-2
NR1191--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR4885--MA0769.1.Tcf7	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR5471--MA0523.1.TCF7L2	chr6	50146433	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR3339--MA0769.1.Tcf7	chr19	32172874	32172885	+	0.000	0.000	Merged-chr19-32172725-56
NR4710--MA1421.1.TCF7L1	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR2979--MA1421.1.TCF7L1	chr17	69422860	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR5396--MA1421.1.TCF7L1	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR657--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
