#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR7354--MA1107.1.KLF9	chr10	94942931	94942943	+	0.000	0.000	Merged-chr10-94942923-6
NR37766--MA0742.1.Klf12	chr2	167831831	167831845	-	0.000	0.000	Merged-chr2-167831852-3
NR24780--MA0039.3.KLF4	chr16	64800653	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR29531--MA0039.3.KLF4	chr18	39141874	39141884	-	0.000	0.000	Merged-chr18-39141814-16
NR53029--MA0742.1.Klf12	chr6	88939585	88939599	-	0.000	0.000	Merged-chr6-88939617-36
NR42406--MA0039.3.KLF4	chr4	11684334	11684344	+	0.000	0.000	Merged-chr4-11684265-15
NR47999--MA1107.1.KLF9	chr5	72202164	72202176	+	0.000	0.000	Merged-chr5-72202096-40
NR7127--MA0599.1.KLF5	chr10	88540383	88540392	-	0.000	0.000	Merged-chr10-88540211-41
NR54555--MA0599.1.KLF5	chr6	140507838	140507847	+	0.000	0.000	Merged-chr6-140507900-3
NR35471--MA1107.1.KLF9	chr2	103703461	103703473	-	0.000	0.000	Merged-chr2-103703560-39
NR41245--MA1107.1.KLF9	chr3	135590638	135590650	+	0.000	0.000	Merged-chr3-135590750-10
NR33019--MA0493.1.Klf1	chr2	6444947	6444957	+	0.000	0.000	Merged-chr2-6444990-17
NR39669--MA0039.3.KLF4	chr3	89869853	89869863	+	0.000	0.000	Merged-chr3-89869741-17
NR10719--MA0599.1.KLF5	chr11	75878000	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR59570--MA0599.1.KLF5	chr7	141006602	141006611	-	0.000	0.000	Merged-chr7-141006658-12
NR45013--MA0039.3.KLF4	chr4	130921147	130921157	-	0.000	0.000	Merged-chr4-130921297-32
NR26677--MA0741.1.KLF16	chr17	28488298	28488308	+	0.000	0.000	Merged-chr17-28488439-21
NR21757--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR45139--MA1107.1.KLF9	chr4	132808283	132808295	-	0.000	0.000	Merged-chr4-132808337-17
NR54868--MA0493.1.Klf1	chr6	144664961	144664971	+	0.000	0.000	Merged-chr6-144664964-20
NR39227--MA0493.1.Klf1	chr3	68784321	68784331	-	0.000	0.000	Merged-chr3-68784168-43
NR35704--MA0742.1.Klf12	chr2	114136989	114137003	-	0.000	0.000	Merged-chr2-114137020-31
NR7121--MA0039.3.KLF4	chr10	88428302	88428312	-	0.000	0.000	Merged-chr10-88428108-41
NR37530--MA1107.1.KLF9	chr2	164828985	164828997	+	0.000	0.000	Merged-chr2-164829091-12
NR13527--MA0493.1.Klf1	chr12	41040128	41040138	-	0.000	0.000	Merged-chr12-41040097-12
NR26504--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR13786--MA1107.1.KLF9	chr12	69412105	69412117	+	0.000	0.000	Merged-chr12-69412167-34
NR29205--MA1107.1.KLF9	chr18	23733797	23733809	+	0.000	0.000	Merged-chr18-23733972-8
NR1120--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR45949--MA0741.1.KLF16	chr4	145177761	145177771	-	0.000	0.000	Merged-chr4-145177901-38
NR40500--MA1107.1.KLF9	chr3	115706524	115706536	+	0.000	0.000	Merged-chr3-115706402-1
NR49531--MA0599.1.KLF5	chr5	117126026	117126035	+	0.000	0.000	Merged-chr5-117125989-17
NR64138--MA0599.1.KLF5	chr9	50537458	50537467	+	0.000	0.000	Merged-chr9-50537430-19
NR33069--MA0599.1.KLF5	chr2	10581282	10581291	+	0.000	0.000	Merged-chr2-10581253-23
NR26500--MA0741.1.KLF16	chr17	25583846	25583856	+	0.000	0.000	Merged-chr17-25583989-33
NR32871--MA0741.1.KLF16	chr19	60183111	60183121	+	0.000	0.000	Merged-chr19-60182957-49
NR12457--MA0741.1.KLF16	chr11	113802542	113802552	-	0.000	0.000	Merged-chr11-113802652-27
NR18789--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR26818--MA0741.1.KLF16	chr17	31077831	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR19380--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR45274--MA0493.1.Klf1	chr4	134059064	134059074	+	0.000	0.000	Merged-chr4-134059039-2
NR64035--MA0599.1.KLF5	chr9	45329725	45329734	-	0.000	0.000	Merged-chr9-45329808-12
NR14881--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR54210--MA0493.1.Klf1	chr6	131276846	131276856	-	0.000	0.000	Merged-chr6-131276753-31
NR47784--MA0039.3.KLF4	chr5	64864834	64864844	+	0.000	0.000	Merged-chr5-64864889-25
NR51401--MA1107.1.KLF9	chr6	5295226	5295238	+	0.000	0.000	Merged-chr6-5295174-26
NR22284--MA0493.1.Klf1	chr15	78926264	78926274	+	0.000	0.000	Merged-chr15-78926202-1
NR48762--MA0039.3.KLF4	chr5	100572395	100572405	-	0.000	0.000	Merged-chr5-100572278-24
NR24226--MA1107.1.KLF9	chr16	32434126	32434138	+	0.000	0.000	Merged-chr16-32434269-25
NR53455--MA0039.3.KLF4	chr6	108630899	108630909	+	0.000	0.000	Merged-chr6-108631007-44
NR26242--MA0741.1.KLF16	chr17	21423173	21423183	-	0.000	0.000	Merged-chr17-21423109-81
NR22992--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR63942--MA0039.3.KLF4	chr9	44037382	44037392	-	0.000	0.000	Merged-chr9-44037294-17
NR3056--MA0741.1.KLF16	chr1	159813015	159813025	-	0.000	0.000	Merged-chr1-159812982-41
NR10124--MA0741.1.KLF16	chr11	60937982	60937992	-	0.000	0.000	Merged-chr11-60937827-26
NR35235--MA0493.1.Klf1	chr2	92243970	92243980	-	0.000	0.000	Merged-chr2-92243919-9
NR61230--MA1107.1.KLF9	chr8	72162998	72163010	+	0.000	0.000	Merged-chr8-72162977-17
NR25321--MA0493.1.Klf1	chr16	91588189	91588199	+	0.000	0.000	Merged-chr16-91588038-25
NR54709--MA0741.1.KLF16	chr6	142835010	142835020	+	0.000	0.000	Merged-chr6-142835169-31
NR45633--MA0599.1.KLF5	chr4	138033652	138033661	-	0.000	0.000	Merged-chr4-138033707-13
NR52147--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR39501--MA0599.1.KLF5	chr3	87960828	87960837	+	0.000	0.000	Merged-chr3-87960988-36
NR45386--MA0741.1.KLF16	chr4	135068052	135068062	-	0.000	0.000	Merged-chr4-135068016-12
NR30013--MA0039.3.KLF4	chr18	62089808	62089818	-	0.000	0.000	Merged-chr18-62089904-13
NR3133--MA0740.1.KLF14	chr1	161791976	161791989	-	0.000	0.000	Merged-chr1-161792020-2
NR33499--MA0741.1.KLF16	chr2	27487420	27487430	-	0.000	0.000	Merged-chr2-27487515-13
NR54863--MA0740.1.KLF14	chr6	144664961	144664974	+	0.000	0.000	Merged-chr6-144664964-20
NR66163--MA0741.1.KLF16	chr9	110896831	110896841	-	0.000	0.000	Merged-chr9-110896831-29
NR59677--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR10615--MA0039.3.KLF4	chr11	73132362	73132372	+	0.000	0.000	Merged-chr11-73132319-6
NR11951--MA0039.3.KLF4	chr11	102074301	102074311	+	0.000	0.000	Merged-chr11-102074455-23
NR30722--MA0599.1.KLF5	chr18	80600738	80600747	-	0.000	0.000	Merged-chr18-80600681-25
NR45632--MA0742.1.Klf12	chr4	138033648	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR56923--MA0740.1.KLF14	chr7	64043089	64043102	-	0.000	0.000	Merged-chr7-64043125-48
NR44874--MA0493.1.Klf1	chr4	129060106	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR40514--MA1107.1.KLF9	chr3	115706552	115706564	+	0.000	0.000	Merged-chr3-115706402-1
NR62572--MA0599.1.KLF5	chr8	117548551	117548560	-	0.000	0.000	Merged-chr8-117548585-70
NR3046--MA0657.1.KLF13	chr1	159813010	159813027	-	0.000	0.000	Merged-chr1-159812982-41
NR56520--MA0493.1.Klf1	chr7	45120443	45120453	-	0.000	0.000	Merged-chr7-45120364-12
NR33331--MA0742.1.Klf12	chr2	25148073	25148087	+	0.000	0.000	Merged-chr2-25148103-14
NR36930--MA0599.1.KLF5	chr2	151581107	151581116	-	0.000	0.000	Merged-chr2-151581099-26
NR37670--MA0493.1.Klf1	chr2	166754508	166754518	+	0.000	0.000	Merged-chr2-166754668-37
NR37077--MA0741.1.KLF16	chr2	154615972	154615982	+	0.000	0.000	Merged-chr2-154615883-15
NR2716--MA1107.1.KLF9	chr1	151613463	151613475	+	0.000	0.000	Merged-chr1-151613371-29
NR3080--MA0740.1.KLF14	chr1	160307373	160307386	+	0.000	0.000	Merged-chr1-160307254-61
NR65394--MA0599.1.KLF5	chr9	94453391	94453400	+	0.000	0.000	Merged-chr9-94453263-19
NR28704--MA0742.1.Klf12	chr17	85908829	85908843	+	0.000	0.000	Merged-chr17-85908968-35
NR39417--MA0742.1.Klf12	chr3	84630933	84630947	-	0.000	0.000	Merged-chr3-84630888-13
NR26676--MA0599.1.KLF5	chr17	28488304	28488313	+	0.000	0.000	Merged-chr17-28488439-21
NR16537--MA0741.1.KLF16	chr13	54073629	54073639	+	0.000	0.000	Merged-chr13-54073650-18
NR29850--MA0741.1.KLF16	chr18	56871834	56871844	-	0.000	0.000	Merged-chr18-56871976-16
NR57717--MA1107.1.KLF9	chr7	98108941	98108953	+	0.000	0.000	Merged-chr7-98109106-60
NR9894--MA0740.1.KLF14	chr11	55131242	55131255	+	0.000	0.000	Merged-chr11-55131266-10
NR21759--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR14693--MA1107.1.KLF9	chr12	102351065	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR47782--MA0742.1.Klf12	chr5	64864832	64864846	+	0.000	0.000	Merged-chr5-64864889-25
NR54162--MA0599.1.KLF5	chr6	128826858	128826867	-	0.000	0.000	Merged-chr6-128826735-1
NR17157--MA1107.1.KLF9	chr13	81402027	81402039	+	0.000	0.000	Merged-chr13-81401902-10
NR62848--MA0741.1.KLF16	chr8	122678196	122678206	+	0.000	0.000	Merged-chr8-122678075-1
NR20006--MA1107.1.KLF9	chr14	73596754	73596766	+	0.000	0.000	Merged-chr14-73596722-14
NR49223--MA0599.1.KLF5	chr5	112301910	112301919	+	0.000	0.000	Merged-chr5-112301937-36
NR22398--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR51779--MA0599.1.KLF5	chr6	33052044	33052053	+	0.000	0.000	Merged-chr6-33051908-11
NR48499--MA0740.1.KLF14	chr5	92967505	92967518	+	0.000	0.000	Merged-chr5-92967427-8
NR7718--MA1107.1.KLF9	chr10	111031830	111031842	+	0.000	0.000	Merged-chr10-111031729-43
NR21758--MA0039.3.KLF4	chr15	60120106	60120116	-	0.000	0.000	Merged-chr15-60120172-38
NR57750--MA0742.1.Klf12	chr7	98797411	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR41179--MA1107.1.KLF9	chr3	133583902	133583914	-	0.000	0.000	Merged-chr3-133583850-2
NR6431--MA1107.1.KLF9	chr10	79692122	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR2717--MA0741.1.KLF16	chr1	151644342	151644352	-	0.000	0.000	Merged-chr1-151644358-13
NR54161--MA1107.1.KLF9	chr6	128796574	128796586	-	0.000	0.000	Merged-chr6-128796510-47
NR20382--MA1107.1.KLF9	chr14	99266182	99266194	-	0.000	0.000	Merged-chr14-99266048-28
NR31808--MA0599.1.KLF5	chr19	29347353	29347362	+	0.000	0.000	Merged-chr19-29347328-12
NR8214--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR37209--MA1107.1.KLF9	chr2	157147998	157148010	-	0.000	0.000	Merged-chr2-157147783-53
NR7755--MA0599.1.KLF5	chr10	111635684	111635693	-	0.000	0.000	Merged-chr10-111635766-22
NR13269--MA0599.1.KLF5	chr12	21480430	21480439	+	0.000	0.000	Merged-chr12-21480312-60
NR42288--MA0599.1.KLF5	chr4	4790263	4790272	-	0.000	0.000	Merged-chr4-4790293-30
NR3161--MA0039.3.KLF4	chr1	162586469	162586479	+	0.000	0.000	Merged-chr1-162586427-19
NR53971--MA1107.1.KLF9	chr6	125067857	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR11607--MA0039.3.KLF4	chr11	97133424	97133434	-	0.000	0.000	Merged-chr11-97133494-13
NR14327--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR9678--MA0039.3.KLF4	chr11	51638312	51638322	-	0.000	0.000	Merged-chr11-51638186-26
NR8057--MA0599.1.KLF5	chr10	118470799	118470808	-	0.000	0.000	Merged-chr10-118470709-40
NR3134--MA0657.1.KLF13	chr1	161791973	161791990	-	0.000	0.000	Merged-chr1-161792020-2
NR43412--MA0741.1.KLF16	chr4	62661631	62661641	-	0.000	0.000	Merged-chr4-62661511-68
NR24510--MA0599.1.KLF5	chr16	45998442	45998451	+	0.000	0.000	Merged-chr16-45998415-40
NR17610--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR64748--MA0599.1.KLF5	chr9	69458367	69458376	+	0.000	0.000	Merged-chr9-69458326-40
NR25396--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR56924--MA0657.1.KLF13	chr7	64043086	64043103	-	0.000	0.000	Merged-chr7-64043125-48
NR49231--MA1107.1.KLF9	chr5	112311048	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR36174--MA0599.1.KLF5	chr2	128318409	128318418	+	0.000	0.000	Merged-chr2-128318457-15
NR27886--MA1107.1.KLF9	chr17	56905167	56905179	+	0.000	0.000	Merged-chr17-56905051-10
NR51796--MA1107.1.KLF9	chr6	34497750	34497762	-	0.000	0.000	Merged-chr6-34497714-15
NR53837--MA1107.1.KLF9	chr6	120264383	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR25319--MA0742.1.Klf12	chr16	91588189	91588203	+	0.000	0.000	Merged-chr16-91588038-25
NR2250--MA0741.1.KLF16	chr1	133801282	133801292	-	0.000	0.000	Merged-chr1-133801271-79
NR23368--MA0742.1.Klf12	chr15	102110641	102110655	-	0.000	0.000	Merged-chr15-102110732-12
NR47404--MA0741.1.KLF16	chr5	35176571	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19983--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR37765--MA0740.1.KLF14	chr2	167831832	167831845	-	0.000	0.000	Merged-chr2-167831852-3
NR62796--MA0493.1.Klf1	chr8	121995346	121995356	-	0.000	0.000	Merged-chr8-121995236-25
NR1337--MA0599.1.KLF5	chr1	85680402	85680411	+	0.000	0.000	Merged-chr1-85680352-18
NR39426--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR19887--MA0741.1.KLF16	chr14	70276656	70276666	+	0.000	0.000	Merged-chr14-70276833-36
NR20392--MA0493.1.Klf1	chr14	100235722	100235732	+	0.000	0.000	Merged-chr14-100235821-25
NR29851--MA1107.1.KLF9	chr18	56871833	56871845	-	0.000	0.000	Merged-chr18-56871976-16
NR42552--MA0741.1.KLF16	chr4	33147016	33147026	+	0.000	0.000	Merged-chr4-33147019-23
NR5476--MA1107.1.KLF9	chr10	43004694	43004706	+	0.000	0.000	Merged-chr10-43004823-13
NR3978--MA0599.1.KLF5	chr1	182383261	182383270	-	0.000	0.000	Merged-chr1-182383219-38
NR49581--MA0493.1.Klf1	chr5	118478260	118478270	+	0.000	0.000	Merged-chr5-118478208-82
NR36162--MA0741.1.KLF16	chr2	128111917	128111927	+	0.000	0.000	Merged-chr2-128111932-19
NR35089--MA0599.1.KLF5	chr2	85060752	85060761	-	0.000	0.000	Merged-chr2-85060915-54
NR9930--MA0493.1.Klf1	chr11	57958376	57958386	-	0.000	0.000	Merged-chr11-57958407-27
NR57353--MA0741.1.KLF16	chr7	81075554	81075564	-	0.000	0.000	Merged-chr7-81075371-56
NR3082--MA0493.1.Klf1	chr1	160307373	160307383	+	0.000	0.000	Merged-chr1-160307254-61
NR15006--MA0599.1.KLF5	chr12	107144554	107144563	-	0.000	0.000	Merged-chr12-107144688-5
NR53749--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR47074--MA1107.1.KLF9	chr5	24517981	24517993	+	0.000	0.000	Merged-chr5-24518156-18
NR34979--MA0493.1.Klf1	chr2	79122753	79122763	+	0.000	0.000	Merged-chr2-79122721-3
NR47402--MA0599.1.KLF5	chr5	35176572	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19853--MA0741.1.KLF16	chr14	67911782	67911792	-	0.000	0.000	Merged-chr14-67911920-26
NR29530--MA0599.1.KLF5	chr18	39141876	39141885	-	0.000	0.000	Merged-chr18-39141814-16
NR33031--MA0742.1.Klf12	chr2	7254629	7254643	-	0.000	0.000	Merged-chr2-7254714-17
NR39420--MA0039.3.KLF4	chr3	84630935	84630945	-	0.000	0.000	Merged-chr3-84630888-13
NR24966--MA1107.1.KLF9	chr16	75920943	75920955	+	0.000	0.000	Merged-chr16-75921068-56
NR42405--MA0599.1.KLF5	chr4	11684322	11684331	-	0.000	0.000	Merged-chr4-11684265-15
NR54704--MA0493.1.Klf1	chr6	142752669	142752679	+	0.000	0.000	Merged-chr6-142752635-30
NR38779--MA0493.1.Klf1	chr3	37387237	37387247	+	0.000	0.000	Merged-chr3-37387338-33
NR32039--MA0599.1.KLF5	chr19	38746129	38746138	-	0.000	0.000	Merged-chr19-38746267-36
NR31137--MA0741.1.KLF16	chr19	4294652	4294662	+	0.000	0.000	Merged-chr19-4294616-52
NR35774--MA0599.1.KLF5	chr2	117418841	117418850	-	0.000	0.000	Merged-chr2-117418760-26
NR28809--MA0741.1.KLF16	chr17	87365448	87365458	-	0.000	0.000	Merged-chr17-87365443-26
NR3081--MA0039.3.KLF4	chr1	160307375	160307385	+	0.000	0.000	Merged-chr1-160307254-61
NR65076--MA1107.1.KLF9	chr9	78074221	78074233	+	0.000	0.000	Merged-chr9-78074095-46
NR66143--MA0039.3.KLF4	chr9	110641167	110641177	+	0.000	0.000	Merged-chr9-110641188-21
NR42399--MA0039.3.KLF4	chr4	11077626	11077636	-	0.000	0.000	Merged-chr4-11077783-17
NR9907--MA0039.3.KLF4	chr11	55131334	55131344	+	0.000	0.000	Merged-chr11-55131266-10
NR13165--MA0039.3.KLF4	chr12	13508948	13508958	-	0.000	0.000	Merged-chr12-13508859-14
NR47960--MA0657.1.KLF13	chr5	72163104	72163121	+	0.000	0.000	Merged-chr5-72163190-22
NR52667--MA1107.1.KLF9	chr6	72841929	72841941	+	0.000	0.000	Merged-chr6-72841906-9
NR51184--MA0741.1.KLF16	chr5	148489557	148489567	+	0.000	0.000	Merged-chr5-148489625-52
NR56805--MA0742.1.Klf12	chr7	56202989	56203003	-	0.000	0.000	Merged-chr7-56202998-14
NR22576--MA1107.1.KLF9	chr15	83474241	83474253	+	0.000	0.000	Merged-chr15-83474258-63
NR34456--MA0599.1.KLF5	chr2	65022852	65022861	-	0.000	0.000	Merged-chr2-65022793-47
NR12332--MA0599.1.KLF5	chr11	110897081	110897090	-	0.000	0.000	Merged-chr11-110897111-25
NR681--MA0039.3.KLF4	chr1	52578410	52578420	+	0.000	0.000	Merged-chr1-52578518-39
NR57324--MA1107.1.KLF9	chr7	80782500	80782512	+	0.000	0.000	Merged-chr7-80782374-50
NR19374--MA0493.1.Klf1	chr14	54061508	54061518	+	0.000	0.000	Merged-chr14-54061633-25
NR31652--MA0599.1.KLF5	chr19	21785256	21785265	+	0.000	0.000	Merged-chr19-21785424-37
NR49371--MA0493.1.Klf1	chr5	114041787	114041797	-	0.000	0.000	Merged-chr5-114041714-24
NR11108--MA0599.1.KLF5	chr11	83746226	83746235	+	0.000	0.000	Merged-chr11-83746367-9
NR1225--MA0493.1.Klf1	chr1	80703445	80703455	-	0.000	0.000	Merged-chr1-80703457-36
NR58728--MA0493.1.Klf1	chr7	123218375	123218385	-	0.000	0.000	Merged-chr7-123218226-57
NR50972--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR64207--MA0599.1.KLF5	chr9	54624196	54624205	-	0.000	0.000	Merged-chr9-54624263-10
NR36187--MA1107.1.KLF9	chr2	128392480	128392492	+	0.000	0.000	Merged-chr2-128392502-21
NR49533--MA0741.1.KLF16	chr5	117126111	117126121	+	0.000	0.000	Merged-chr5-117125989-17
NR40113--MA0493.1.Klf1	chr3	101588934	101588944	+	0.000	0.000	Merged-chr3-101588946-10
NR54866--MA0599.1.KLF5	chr6	144664962	144664971	+	0.000	0.000	Merged-chr6-144664964-20
NR26901--MA0740.1.KLF14	chr17	32363863	32363876	-	0.000	0.000	Merged-chr17-32364018-2
NR51255--MA1107.1.KLF9	chr5	149583725	149583737	-	0.000	0.000	Merged-chr5-149583571-10
NR39901--MA0599.1.KLF5	chr3	96338272	96338281	+	0.000	0.000	Merged-chr3-96338308-3
NR45123--MA1107.1.KLF9	chr4	132749106	132749118	-	0.000	0.000	Merged-chr4-132748989-25
NR20190--MA0039.3.KLF4	chr14	78679090	78679100	-	0.000	0.000	Merged-chr14-78679093-56
NR33020--MA0039.3.KLF4	chr2	6462508	6462518	+	0.000	0.000	Merged-chr2-6462544-11
NR47783--MA0599.1.KLF5	chr5	64864833	64864842	+	0.000	0.000	Merged-chr5-64864889-25
NR29672--MA0741.1.KLF16	chr18	46917800	46917810	-	0.000	0.000	Merged-chr18-46917814-10
NR48761--MA0599.1.KLF5	chr5	100572397	100572406	-	0.000	0.000	Merged-chr5-100572278-24
NR57821--MA0741.1.KLF16	chr7	100448846	100448856	+	0.000	0.000	Merged-chr7-100448653-1
NR53454--MA0599.1.KLF5	chr6	108630898	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR47661--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR16436--MA0740.1.KLF14	chr13	51776416	51776429	+	0.000	0.000	Merged-chr13-51776600-43
NR63941--MA0599.1.KLF5	chr9	44037384	44037393	-	0.000	0.000	Merged-chr9-44037294-17
NR19379--MA0493.1.Klf1	chr14	54146702	54146712	+	0.000	0.000	Merged-chr14-54146707-32
NR60324--MA0741.1.KLF16	chr8	25423550	25423560	+	0.000	0.000	Merged-chr8-25423506-11
NR28315--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR3043--MA0740.1.KLF14	chr1	159812994	159813007	-	0.000	0.000	Merged-chr1-159812982-41
NR34339--MA1107.1.KLF9	chr2	59513731	59513743	-	0.000	0.000	Merged-chr2-59513816-12
NR11906--MA0741.1.KLF16	chr11	101171558	101171568	-	0.000	0.000	Merged-chr11-101171521-37
NR32150--MA0742.1.Klf12	chr19	42149846	42149860	+	0.000	0.000	Merged-chr19-42149753-11
NR51795--MA0741.1.KLF16	chr6	34497751	34497761	-	0.000	0.000	Merged-chr6-34497714-15
NR15699--MA0039.3.KLF4	chr13	15982599	15982609	+	0.000	0.000	Merged-chr13-15982553-21
NR6902--MA0039.3.KLF4	chr10	83733821	83733831	-	0.000	0.000	Merged-chr10-83733897-13
NR53452--MA0657.1.KLF13	chr6	108630896	108630913	+	0.000	0.000	Merged-chr6-108631007-44
NR10614--MA0599.1.KLF5	chr11	73132361	73132370	+	0.000	0.000	Merged-chr11-73132319-6
NR7473--MA1107.1.KLF9	chr10	98776711	98776723	-	0.000	0.000	Merged-chr10-98776574-38
NR33179--MA0742.1.Klf12	chr2	17712687	17712701	+	0.000	0.000	Merged-chr2-17712795-10
NR13324--MA0599.1.KLF5	chr12	25216881	25216890	-	0.000	0.000	Merged-chr12-25216883-29
NR57215--MA0741.1.KLF16	chr7	80032535	80032545	+	0.000	0.000	Merged-chr7-80032517-2
NR5074--MA1107.1.KLF9	chr10	19594670	19594682	-	0.000	0.000	Merged-chr10-19594652-16
NR52278--MA0657.1.KLF13	chr6	54116480	54116497	+	0.000	0.000	Merged-chr6-54116572-22
NR11610--MA0742.1.Klf12	chr11	97146172	97146186	+	0.000	0.000	Merged-chr11-97146058-3
NR10267--MA0740.1.KLF14	chr11	66961665	66961678	+	0.000	0.000	Merged-chr11-66961666-9
NR29203--MA1107.1.KLF9	chr18	23733793	23733805	+	0.000	0.000	Merged-chr18-23733972-8
NR45165--MA0599.1.KLF5	chr4	133058025	133058034	+	0.000	0.000	Merged-chr4-133057911-45
NR62847--MA0599.1.KLF5	chr8	122678196	122678205	+	0.000	0.000	Merged-chr8-122678075-1
NR33809--MA1107.1.KLF9	chr2	32493473	32493485	-	0.000	0.000	Merged-chr2-32493543-52
