#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR30124--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR65999--MA1107.1.KLF9	chr9	107719431	107719443	+	0.000	0.000	Merged-chr9-107719377-27
NR34018--MA0599.1.KLF5	chr2	37765371	37765380	-	0.000	0.000	Merged-chr2-37765232-35
NR60510--MA0740.1.KLF14	chr8	36249516	36249529	+	0.000	0.000	Merged-chr8-36249558-6
NR5809--MA0493.1.Klf1	chr10	61559992	61560002	-	0.000	0.000	Merged-chr10-61559785-43
NR43728--MA0493.1.Klf1	chr4	88912398	88912408	-	0.000	0.000	Merged-chr4-88912378-27
NR35466--MA0599.1.KLF5	chr2	103668281	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR63806--MA1107.1.KLF9	chr9	37236214	37236226	-	0.000	0.000	Merged-chr9-37236124-32
NR13422--MA0493.1.Klf1	chr12	32999958	32999968	-	0.000	0.000	Merged-chr12-32999849-21
NR28063--MA0741.1.KLF16	chr17	65884522	65884532	+	0.000	0.000	Merged-chr17-65884407-1
NR33058--MA0599.1.KLF5	chr2	9986365	9986374	-	0.000	0.000	Merged-chr2-9986324-23
NR18388--MA0742.1.Klf12	chr13	117198859	117198873	-	0.000	0.000	Merged-chr13-117198790-41
NR63731--MA0599.1.KLF5	chr9	32672295	32672304	-	0.000	0.000	Merged-chr9-32672440-49
NR45043--MA1107.1.KLF9	chr4	131696143	131696155	-	0.000	0.000	Merged-chr4-131696229-22
NR41011--MA0493.1.Klf1	chr3	130894555	130894565	-	0.000	0.000	Merged-chr3-130894407-22
NR53695--MA1107.1.KLF9	chr6	116682494	116682506	-	0.000	0.000	Merged-chr6-116682504-22
NR46241--MA0493.1.Klf1	chr4	150518992	150519002	+	0.000	0.000	Merged-chr4-150519164-27
NR56714--MA1107.1.KLF9	chr7	48137406	48137418	+	0.000	0.000	Merged-chr7-48137318-1
NR18562--MA1107.1.KLF9	chr14	7929179	7929191	-	0.000	0.000	Merged-chr14-7929252-11
NR6949--MA0599.1.KLF5	chr10	84904054	84904063	+	0.000	0.000	Merged-chr10-84904074-24
NR43429--MA0599.1.KLF5	chr4	63486710	63486719	+	0.000	0.000	Merged-chr4-63486767-20
NR54298--MA0657.1.KLF13	chr6	134183956	134183973	+	0.000	0.000	Merged-chr6-134184108-53
NR56701--MA0741.1.KLF16	chr7	47104264	47104274	-	0.000	0.000	Merged-chr7-47104097-36
NR6733--MA1107.1.KLF9	chr10	81247992	81248004	+	0.000	0.000	Merged-chr10-81248090-40
NR52369--MA0493.1.Klf1	chr6	57449423	57449433	-	0.000	0.000	Merged-chr6-57449516-18
NR57935--MA0741.1.KLF16	chr7	102347591	102347601	+	0.000	0.000	Merged-chr7-102347477-20
NR32210--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR45643--MA0742.1.Klf12	chr4	138262423	138262437	+	0.000	0.000	Merged-chr4-138262353-56
NR17724--MA0740.1.KLF14	chr13	101569398	101569411	-	0.000	0.000	Merged-chr13-101569413-14
NR27807--MA0039.3.KLF4	chr17	56425191	56425201	-	0.000	0.000	Merged-chr17-56425045-2
NR47032--MA0599.1.KLF5	chr5	24348289	24348298	+	0.000	0.000	Merged-chr5-24348360-46
NR14008--MA0657.1.KLF13	chr12	76312170	76312187	+	0.000	0.000	Merged-chr12-76312183-20
NR48644--MA0741.1.KLF16	chr5	96219746	96219756	+	0.000	0.000	Merged-chr5-96219655-31
NR965--MA1107.1.KLF9	chr1	69499064	69499076	-	0.000	0.000	Merged-chr1-69499196-51
NR2933--MA0039.3.KLF4	chr1	156522400	156522410	-	0.000	0.000	Merged-chr1-156522298-40
NR960--MA0039.3.KLF4	chr1	69499064	69499074	-	0.000	0.000	Merged-chr1-69499196-51
NR22403--MA1107.1.KLF9	chr15	80219311	80219323	-	0.000	0.000	Merged-chr15-80219438-40
NR53698--MA0741.1.KLF16	chr6	116682512	116682522	-	0.000	0.000	Merged-chr6-116682504-22
NR6729--MA1107.1.KLF9	chr10	81247984	81247996	+	0.000	0.000	Merged-chr10-81248090-40
NR38412--MA0742.1.Klf12	chr3	8717392	8717406	+	0.000	0.000	Merged-chr3-8717539-26
NR28925--MA0493.1.Klf1	chr17	88668541	88668551	+	0.000	0.000	Merged-chr17-88668603-31
NR7707--MA1107.1.KLF9	chr10	110952116	110952128	+	0.000	0.000	Merged-chr10-110952029-21
NR37444--MA1107.1.KLF9	chr2	163298968	163298980	+	0.000	0.000	Merged-chr2-163299110-16
NR39386--MA0039.3.KLF4	chr3	84039284	84039294	+	0.000	0.000	Merged-chr3-84039248-13
NR13902--MA0493.1.Klf1	chr12	71577482	71577492	-	0.000	0.000	Merged-chr12-71577475-38
NR47031--MA0742.1.Klf12	chr5	24348299	24348313	+	0.000	0.000	Merged-chr5-24348360-46
NR40089--MA0742.1.Klf12	chr3	101066372	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR4622--MA0742.1.Klf12	chr1	193146634	193146648	-	0.000	0.000	Merged-chr1-193146532-29
NR56689--MA0740.1.KLF14	chr7	47104262	47104275	-	0.000	0.000	Merged-chr7-47104097-36
NR7725--MA1107.1.KLF9	chr10	111102965	111102977	+	0.000	0.000	Merged-chr10-111102896-60
NR21201--MA0039.3.KLF4	chr15	25216705	25216715	+	0.000	0.000	Merged-chr15-25216736-38
NR17280--MA0039.3.KLF4	chr13	89521654	89521664	+	0.000	0.000	Merged-chr13-89521757-30
NR38440--MA1107.1.KLF9	chr3	9500015	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR54926--MA0599.1.KLF5	chr6	145469422	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR28065--MA1107.1.KLF9	chr17	65884521	65884533	+	0.000	0.000	Merged-chr17-65884407-1
NR17725--MA0599.1.KLF5	chr13	101569401	101569410	-	0.000	0.000	Merged-chr13-101569413-14
NR68369--MA0741.1.KLF16	chrY	90799069	90799079	-	0.000	0.000	Merged-chrY-90799205-23
NR65397--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR50804--MA0599.1.KLF5	chr5	140944722	140944731	-	0.000	0.000	Merged-chr5-140944857-24
NR39200--MA0599.1.KLF5	chr3	68543313	68543322	+	0.000	0.000	Merged-chr3-68543251-15
NR29049--MA0599.1.KLF5	chr18	5819923	5819932	+	0.000	0.000	Merged-chr18-5820020-28
NR56694--MA0599.1.KLF5	chr7	47104250	47104259	-	0.000	0.000	Merged-chr7-47104097-36
NR4824--MA0599.1.KLF5	chr10	7212249	7212258	-	0.000	0.000	Merged-chr10-7212223-140
NR38682--MA1107.1.KLF9	chr3	31095080	31095092	-	0.000	0.000	Merged-chr3-31095271-1
NR28929--MA0039.3.KLF4	chr17	88668755	88668765	+	0.000	0.000	Merged-chr17-88668603-31
NR32162--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR60512--MA0599.1.KLF5	chr8	36249517	36249526	+	0.000	0.000	Merged-chr8-36249558-6
NR32356--MA0741.1.KLF16	chr19	46148528	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR45645--MA0493.1.Klf1	chr4	138262423	138262433	+	0.000	0.000	Merged-chr4-138262353-56
NR53738--MA0599.1.KLF5	chr6	118593943	118593952	+	0.000	0.000	Merged-chr6-118593680-90
NR32354--MA0493.1.Klf1	chr19	46148516	46148526	+	0.000	0.000	Merged-chr19-46148494-21
NR47601--MA0740.1.KLF14	chr5	51552660	51552673	+	0.000	0.000	Merged-chr5-51552540-96
NR51889--MA0493.1.Klf1	chr6	38551356	38551366	-	0.000	0.000	Merged-chr6-38551188-3
NR29200--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR7720--MA0742.1.Klf12	chr10	111102953	111102967	+	0.000	0.000	Merged-chr10-111102896-60
NR25906--MA0741.1.KLF16	chr17	8525165	8525175	-	0.000	0.000	Merged-chr17-8525059-23
NR10800--MA0741.1.KLF16	chr11	77887856	77887866	+	0.000	0.000	Merged-chr11-77887652-60
NR17469--MA0741.1.KLF16	chr13	95765257	95765267	-	0.000	0.000	Merged-chr13-95765232-46
NR16868--MA0493.1.Klf1	chr13	64432306	64432316	+	0.000	0.000	Merged-chr13-64432516-70
NR7724--MA0741.1.KLF16	chr10	111102954	111102964	+	0.000	0.000	Merged-chr10-111102896-60
NR63733--MA0741.1.KLF16	chr9	32672294	32672304	-	0.000	0.000	Merged-chr9-32672440-49
NR354--MA0599.1.KLF5	chr1	36919867	36919876	+	0.000	0.000	Merged-chr1-36919930-2
NR10799--MA0493.1.Klf1	chr11	77887855	77887865	+	0.000	0.000	Merged-chr11-77887652-60
NR25691--MA0741.1.KLF16	chr17	5138646	5138656	-	0.000	0.000	Merged-chr17-5138884-51
NR57686--MA0599.1.KLF5	chr7	96920647	96920656	-	0.000	0.000	Merged-chr7-96920782-38
NR39335--MA0599.1.KLF5	chr3	79451644	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR31708--MA0493.1.Klf1	chr19	24166912	24166922	+	0.000	0.000	Merged-chr19-24166764-51
NR3887--MA0599.1.KLF5	chr1	180280034	180280043	+	0.000	0.000	Merged-chr1-180279893-43
NR43927--MA0493.1.Klf1	chr4	102908262	102908272	-	0.000	0.000	Merged-chr4-102908208-33
NR57085--MA0741.1.KLF16	chr7	75397646	75397656	+	0.000	0.000	Merged-chr7-75397713-20
NR35428--MA0599.1.KLF5	chr2	102050138	102050147	-	0.000	0.000	Merged-chr2-102050053-17
NR51823--MA0599.1.KLF5	chr6	35381370	35381379	-	0.000	0.000	Merged-chr6-35381159-33
NR29766--MA0599.1.KLF5	chr18	54992555	54992564	-	0.000	0.000	Merged-chr18-54992765-44
NR47544--MA0599.1.KLF5	chr5	43355361	43355370	-	0.000	0.000	Merged-chr5-43355421-55
NR60571--MA0599.1.KLF5	chr8	45410379	45410388	-	0.000	0.000	Merged-chr8-45410262-39
NR59397--MA0741.1.KLF16	chr7	136164719	136164729	+	0.000	0.000	Merged-chr7-136164647-23
NR52428--MA0039.3.KLF4	chr6	59363660	59363670	+	0.000	0.000	Merged-chr6-59363496-31
NR56699--MA0493.1.Klf1	chr7	47104265	47104275	-	0.000	0.000	Merged-chr7-47104097-36
NR4829--MA0493.1.Klf1	chr10	7212276	7212286	-	0.000	0.000	Merged-chr10-7212223-140
NR62258--MA0493.1.Klf1	chr8	108887219	108887229	-	0.000	0.000	Merged-chr8-108887120-78
NR5479--MA0039.3.KLF4	chr10	43706426	43706436	-	0.000	0.000	Merged-chr10-43706280-54
NR29765--MA1107.1.KLF9	chr18	54822926	54822938	+	0.000	0.000	Merged-chr18-54822886-30
NR23898--MA0493.1.Klf1	chr16	18733719	18733729	-	0.000	0.000	Merged-chr16-18733506-32
NR38411--MA0740.1.KLF14	chr3	8717392	8717405	+	0.000	0.000	Merged-chr3-8717539-26
NR21504--MA0599.1.KLF5	chr15	38535549	38535558	+	0.000	0.000	Merged-chr15-38535554-39
NR56282--MA1107.1.KLF9	chr7	35119048	35119060	-	0.000	0.000	Merged-chr7-35119008-87
NR27806--MA0599.1.KLF5	chr17	56425193	56425202	-	0.000	0.000	Merged-chr17-56425045-2
NR47030--MA0740.1.KLF14	chr5	24348299	24348312	+	0.000	0.000	Merged-chr5-24348360-46
NR54299--MA0039.3.KLF4	chr6	134183959	134183969	+	0.000	0.000	Merged-chr6-134184108-53
NR56918--MA1107.1.KLF9	chr7	64012076	64012088	-	0.000	0.000	Merged-chr7-64011985-78
NR56703--MA1107.1.KLF9	chr7	47104263	47104275	-	0.000	0.000	Merged-chr7-47104097-36
NR1914--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR63813--MA1107.1.KLF9	chr9	37236228	37236240	-	0.000	0.000	Merged-chr9-37236124-32
NR2932--MA0599.1.KLF5	chr1	156522402	156522411	-	0.000	0.000	Merged-chr1-156522298-40
NR19990--MA1107.1.KLF9	chr14	73377970	73377982	-	0.000	0.000	Merged-chr14-73378030-18
NR27809--MA0741.1.KLF16	chr17	56425180	56425190	-	0.000	0.000	Merged-chr17-56425045-2
NR21723--MA0493.1.Klf1	chr15	59019026	59019036	+	0.000	0.000	Merged-chr15-59019141-20
NR13837--MA0742.1.Klf12	chr12	69853616	69853630	+	0.000	0.000	Merged-chr12-69853558-20
NR65797--MA0599.1.KLF5	chr9	105078826	105078835	-	0.000	0.000	Merged-chr9-105078921-24
NR13442--MA1107.1.KLF9	chr12	33220641	33220653	-	0.000	0.000	Merged-chr12-33220672-27
NR65399--MA0741.1.KLF16	chr9	94607630	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR65998--MA0493.1.Klf1	chr9	107719431	107719441	+	0.000	0.000	Merged-chr9-107719377-27
NR56709--MA0599.1.KLF5	chr7	48137396	48137405	-	0.000	0.000	Merged-chr7-48137318-1
NR19987--MA0599.1.KLF5	chr14	73377972	73377981	-	0.000	0.000	Merged-chr14-73378030-18
NR52496--MA0741.1.KLF16	chr6	66973327	66973337	+	0.000	0.000	Merged-chr6-66973310-7
NR35664--MA0741.1.KLF16	chr2	112240500	112240510	+	0.000	0.000	Merged-chr2-112240570-1
NR65997--MA0039.3.KLF4	chr9	107719433	107719443	+	0.000	0.000	Merged-chr9-107719377-27
NR18557--MA0599.1.KLF5	chr14	7929181	7929190	-	0.000	0.000	Merged-chr14-7929252-11
NR18561--MA0741.1.KLF16	chr14	7929186	7929196	-	0.000	0.000	Merged-chr14-7929252-11
NR13900--MA0599.1.KLF5	chr12	71577482	71577491	-	0.000	0.000	Merged-chr12-71577475-38
NR8039--MA0741.1.KLF16	chr10	118310793	118310803	+	0.000	0.000	Merged-chr10-118310957-20
NR41107--MA0039.3.KLF4	chr3	132791416	132791426	+	0.000	0.000	Merged-chr3-132791387-40
NR56712--MA0741.1.KLF16	chr7	48137407	48137417	+	0.000	0.000	Merged-chr7-48137318-1
NR63809--MA1107.1.KLF9	chr9	37236220	37236232	-	0.000	0.000	Merged-chr9-37236124-32
NR52254--MA0039.3.KLF4	chr6	53455550	53455560	+	0.000	0.000	Merged-chr6-53455637-20
NR23886--MA0741.1.KLF16	chr16	18460125	18460135	+	0.000	0.000	Merged-chr16-18460092-61
NR53590--MA0039.3.KLF4	chr6	114777885	114777895	+	0.000	0.000	Merged-chr6-114777982-17
NR12283--MA0741.1.KLF16	chr11	109347875	109347885	-	0.000	0.000	Merged-chr11-109347836-28
NR61766--MA0741.1.KLF16	chr8	88604242	88604252	-	0.000	0.000	Merged-chr8-88604204-17
NR18556--MA1107.1.KLF9	chr14	7864735	7864747	-	0.000	0.000	Merged-chr14-7864865-9
NR7760--MA0742.1.Klf12	chr10	111715397	111715411	-	0.000	0.000	Merged-chr10-111715471-15
NR29763--MA0741.1.KLF16	chr18	54822921	54822931	+	0.000	0.000	Merged-chr18-54822886-30
NR57436--MA0741.1.KLF16	chr7	84149143	84149153	-	0.000	0.000	Merged-chr7-84149073-24
NR55221--MA0599.1.KLF5	chr7	4464608	4464617	+	0.000	0.000	Merged-chr7-4464501-45
NR17458--MA0493.1.Klf1	chr13	95524226	95524236	+	0.000	0.000	Merged-chr13-95524264-2
NR3821--MA0599.1.KLF5	chr1	178530678	178530687	+	0.000	0.000	Merged-chr1-178530666-29
NR34611--MA1107.1.KLF9	chr2	70425767	70425779	+	0.000	0.000	Merged-chr2-70425902-24
NR6727--MA1107.1.KLF9	chr10	81247980	81247992	+	0.000	0.000	Merged-chr10-81248090-40
NR57933--MA0493.1.Klf1	chr7	102347594	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR25688--MA0741.1.KLF16	chr17	5138643	5138653	-	0.000	0.000	Merged-chr17-5138884-51
NR2718--MA0599.1.KLF5	chr1	151698130	151698139	-	0.000	0.000	Merged-chr1-151698105-31
NR963--MA0741.1.KLF16	chr1	69499065	69499075	-	0.000	0.000	Merged-chr1-69499196-51
NR59129--MA0741.1.KLF16	chr7	129774305	129774315	+	0.000	0.000	Merged-chr7-129774380-36
NR28927--MA1107.1.KLF9	chr17	88668530	88668542	+	0.000	0.000	Merged-chr17-88668603-31
NR38436--MA0742.1.Klf12	chr3	9500013	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR16500--MA0742.1.Klf12	chr13	52976726	52976740	+	0.000	0.000	Merged-chr13-52976718-35
NR31709--MA0741.1.KLF16	chr19	24166913	24166923	+	0.000	0.000	Merged-chr19-24166764-51
NR5482--MA0599.1.KLF5	chr10	43706480	43706489	-	0.000	0.000	Merged-chr10-43706280-54
NR40682--MA0599.1.KLF5	chr3	121967722	121967731	+	0.000	0.000	Merged-chr3-121967857-57
NR45648--MA0599.1.KLF5	chr4	138262443	138262452	+	0.000	0.000	Merged-chr4-138262353-56
NR42074--MA0599.1.KLF5	chr3	154269932	154269941	+	0.000	0.000	Merged-chr3-154269984-40
NR21335--MA0493.1.Klf1	chr15	31239986	31239996	+	0.000	0.000	Merged-chr15-31239940-27
NR6223--MA0599.1.KLF5	chr10	75932513	75932522	+	0.000	0.000	Merged-chr10-75932376-39
NR58291--MA0741.1.KLF16	chr7	113419648	113419658	+	0.000	0.000	Merged-chr7-113419557-35
