#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR25613--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR17361--MA0599.1.KLF5	chr13	63639903	63639912	-	0.000	0.000	Merged-chr13-63639916-9
NR61159--MA0740.1.KLF14	chr7	125620283	125620296	-	0.000	0.000	Merged-chr7-125620287-12
NR52252--MA0493.1.Klf1	chr5	136449972	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR16153--MA0657.1.KLF13	chr13	4191108	4191125	-	0.000	0.000	Merged-chr13-4191269-39
NR46903--MA1107.1.KLF9	chr4	132775197	132775209	-	0.000	0.000	Merged-chr4-132775105-24
NR5612--MA0493.1.Klf1	chr10	42269538	42269548	+	0.000	0.000	Merged-chr10-42269495-58
NR54404--MA0039.3.KLF4	chr6	66313068	66313078	+	0.000	0.000	Merged-chr6-66313006-24
NR67892--MA0741.1.KLF16	chr9	94607624	94607634	-	0.000	0.000	Merged-chr9-94607543-65
NR11192--MA0657.1.KLF13	chr11	83637040	83637057	-	0.000	0.000	Merged-chr11-83637048-8
NR40585--MA0741.1.KLF16	chr3	52470110	52470120	-	0.000	0.000	Merged-chr3-52470194-16
NR3238--MA0742.1.Klf12	chr1	165816638	165816652	-	0.000	0.000	Merged-chr1-165816619-40
NR52248--MA0740.1.KLF14	chr5	136449969	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR22394--MA0493.1.Klf1	chr15	38122405	38122415	+	0.000	0.000	Merged-chr15-38122272-49
NR64285--MA0742.1.Klf12	chr8	104439600	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR14477--MA0740.1.KLF14	chr12	76085169	76085182	-	0.000	0.000	Merged-chr12-76085234-6
NR52950--MA1107.1.KLF9	chr5	146655614	146655626	-	0.000	0.000	Merged-chr5-146655552-37
NR45294--MA1107.1.KLF9	chr4	70601487	70601499	-	0.000	0.000	Merged-chr4-70601569-19
NR54106--MA0599.1.KLF5	chr6	50394125	50394134	-	0.000	0.000	Merged-chr6-50394261-50
NR60135--MA0599.1.KLF5	chr7	98995323	98995332	-	0.000	0.000	Merged-chr7-98995432-21
NR11194--MA0741.1.KLF16	chr11	83637045	83637055	-	0.000	0.000	Merged-chr11-83637048-8
NR21800--MA0741.1.KLF16	chr14	121315915	121315925	-	0.000	0.000	Merged-chr14-121315767-6
NR43749--MA0741.1.KLF16	chr3	152209701	152209711	-	0.000	0.000	Merged-chr3-152209810-2
NR4092--MA0741.1.KLF16	chr1	184064443	184064453	+	0.000	0.000	Merged-chr1-184064517-33
NR38328--MA0741.1.KLF16	chr2	147832614	147832624	+	0.000	0.000	Merged-chr2-147832545-2
NR69137--MA1107.1.KLF9	chr9	120039505	120039517	-	0.000	0.000	Merged-chr9-120039595-19
NR8246--MA0741.1.KLF16	chr10	117925715	117925725	+	0.000	0.000	Merged-chr10-117925903-63
NR65319--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR27833--MA0741.1.KLF16	chr17	28590946	28590956	-	0.000	0.000	Merged-chr17-28590948-24
NR69604--MA0599.1.KLF5	chrX	13552351	13552360	-	0.000	0.000	Merged-chrX-13552455-23
NR57643--MA0741.1.KLF16	chr7	4777060	4777070	-	0.000	0.000	Merged-chr7-4777194-35
NR46398--MA1107.1.KLF9	chr4	120053626	120053638	-	0.000	0.000	Merged-chr4-120053646-59
NR68576--MA0740.1.KLF14	chr9	110880111	110880124	+	0.000	0.000	Merged-chr9-110880207-47
NR52764--MA0599.1.KLF5	chr5	143975135	143975144	+	0.000	0.000	Merged-chr5-143975077-1
NR27712--MA0742.1.Klf12	chr17	27564904	27564918	-	0.000	0.000	Merged-chr17-27564806-2
NR49174--MA0740.1.KLF14	chr5	35771277	35771290	-	0.000	0.000	Merged-chr5-35771159-16
NR52750--MA0493.1.Klf1	chr5	143561633	143561643	-	0.000	0.000	Merged-chr5-143561800-6
NR46058--MA1107.1.KLF9	chr4	109136948	109136960	+	0.000	0.000	Merged-chr4-109136872-28
NR50910--MA1107.1.KLF9	chr5	112239855	112239867	-	0.000	0.000	Merged-chr5-112239781-12
NR69085--MA0599.1.KLF5	chr9	119254822	119254831	+	0.000	0.000	Merged-chr9-119254891-26
NR25373--MA1107.1.KLF9	chr16	32516547	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR27716--MA0741.1.KLF16	chr17	27564907	27564917	-	0.000	0.000	Merged-chr17-27564806-2
NR7981--MA0493.1.Klf1	chr10	111562892	111562902	+	0.000	0.000	Merged-chr10-111562842-26
NR13495--MA0493.1.Klf1	chr12	12580877	12580887	+	0.000	0.000	Merged-chr12-12580881-28
NR20586--MA0039.3.KLF4	chr14	64628281	64628291	-	0.000	0.000	Merged-chr14-64628307-21
NR69394--MA0741.1.KLF16	chr9	123845250	123845260	-	0.000	0.000	Merged-chr9-123845275-20
NR41304--MA0599.1.KLF5	chr3	89378611	89378620	-	0.000	0.000	Merged-chr3-89378543-26
NR40580--MA0740.1.KLF14	chr3	52470108	52470121	-	0.000	0.000	Merged-chr3-52470194-16
NR62351--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR12514--MA0741.1.KLF16	chr11	109792072	109792082	+	0.000	0.000	Merged-chr11-109792147-5
NR38342--MA1107.1.KLF9	chr2	147832633	147832645	+	0.000	0.000	Merged-chr2-147832545-2
NR21799--MA0741.1.KLF16	chr14	121315914	121315924	-	0.000	0.000	Merged-chr14-121315767-6
NR30635--MA1107.1.KLF9	chr18	34777007	34777019	-	0.000	0.000	Merged-chr18-34776840-4
NR43750--MA0741.1.KLF16	chr3	152209703	152209713	-	0.000	0.000	Merged-chr3-152209810-2
NR28278--MA0741.1.KLF16	chr17	35706199	35706209	-	0.000	0.000	Merged-chr17-35706172-14
NR27997--MA0493.1.Klf1	chr17	31326305	31326315	-	0.000	0.000	Merged-chr17-31326302-35
NR52302--MA0039.3.KLF4	chr5	137425543	137425553	+	0.000	0.000	Merged-chr5-137425710-17
NR57648--MA0741.1.KLF16	chr7	4777376	4777386	+	0.000	0.000	Merged-chr7-4777194-35
NR7977--MA0493.1.Klf1	chr10	111562799	111562809	+	0.000	0.000	Merged-chr10-111562842-26
NR39441--MA1107.1.KLF9	chr2	169520065	169520077	-	0.000	0.000	Merged-chr2-169519991-22
NR64284--MA0740.1.KLF14	chr8	104439601	104439614	-	0.000	0.000	Merged-chr8-104439585-1
NR51557--MA0039.3.KLF4	chr5	124075944	124075954	+	0.000	0.000	Merged-chr5-124075936-23
NR40576--MA1107.1.KLF9	chr3	52297519	52297531	+	0.000	0.000	Merged-chr3-52297502-16
NR38338--MA1107.1.KLF9	chr2	147832625	147832637	+	0.000	0.000	Merged-chr2-147832545-2
NR68579--MA0741.1.KLF16	chr9	110880152	110880162	-	0.000	0.000	Merged-chr9-110880207-47
NR54403--MA0599.1.KLF5	chr6	66313067	66313076	+	0.000	0.000	Merged-chr6-66313006-24
NR13048--MA0493.1.Klf1	chr11	118035288	118035298	-	0.000	0.000	Merged-chr11-118035350-21
NR13676--MA0740.1.KLF14	chr12	25155527	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR62051--MA1107.1.KLF9	chr7	142396756	142396768	-	0.000	0.000	Merged-chr7-142396800-18
NR24993--MA0741.1.KLF16	chr16	17405428	17405438	+	0.000	0.000	Merged-chr16-17405439-1
NR1045--MA0741.1.KLF16	chr1	66897062	66897072	+	0.000	0.000	Merged-chr1-66897217-4
NR46902--MA0599.1.KLF5	chr4	132771916	132771925	+	0.000	0.000	Merged-chr4-132771976-11
NR39229--MA0742.1.Klf12	chr2	166664664	166664678	-	0.000	0.000	Merged-chr2-166664771-14
NR47087--MA0493.1.Klf1	chr4	134652273	134652283	-	0.000	0.000	Merged-chr4-134652470-11
NR9330--MA0741.1.KLF16	chr11	21247765	21247775	+	0.000	0.000	Merged-chr11-21247881-35
NR46225--MA1107.1.KLF9	chr4	116185271	116185283	-	0.000	0.000	Merged-chr4-116185296-27
NR10534--MA0741.1.KLF16	chr11	70622584	70622594	-	0.000	0.000	Merged-chr11-70622499-26
NR39231--MA0039.3.KLF4	chr2	166664666	166664676	-	0.000	0.000	Merged-chr2-166664771-14
NR13677--MA0657.1.KLF13	chr12	25155524	25155541	-	0.000	0.000	Merged-chr12-25155613-40
NR22396--MA1107.1.KLF9	chr15	38122405	38122417	+	0.000	0.000	Merged-chr15-38122272-49
NR6464--MA0742.1.Klf12	chr10	77264471	77264485	+	0.000	0.000	Merged-chr10-77264465-20
NR52767--MA0741.1.KLF16	chr5	143975135	143975145	+	0.000	0.000	Merged-chr5-143975077-1
NR6956--MA0599.1.KLF5	chr10	81401779	81401788	-	0.000	0.000	Merged-chr10-81401925-26
NR25391--MA0741.1.KLF16	chr16	32658898	32658908	+	0.000	0.000	Merged-chr16-32659000-27
NR20368--MA0740.1.KLF14	chr14	57769258	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR5606--MA0493.1.Klf1	chr10	42269342	42269352	-	0.000	0.000	Merged-chr10-42269495-58
NR31570--MA0493.1.Klf1	chr18	69196479	69196489	+	0.000	0.000	Merged-chr18-69196479-70
NR28274--MA0599.1.KLF5	chr17	35706103	35706112	-	0.000	0.000	Merged-chr17-35706172-14
NR46391--MA1107.1.KLF9	chr4	119947766	119947778	-	0.000	0.000	Merged-chr4-119947761-47
NR40575--MA0741.1.KLF16	chr3	52297524	52297534	+	0.000	0.000	Merged-chr3-52297502-16
NR30933--MA0599.1.KLF5	chr18	50022791	50022800	+	0.000	0.000	Merged-chr18-50022640-10
NR6960--MA0493.1.Klf1	chr10	81401814	81401824	-	0.000	0.000	Merged-chr10-81401925-26
NR15707--MA0740.1.KLF14	chr12	111166499	111166512	+	0.000	0.000	Merged-chr12-111166510-86
NR42906--MA0741.1.KLF16	chr3	132928122	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR4584--MA0599.1.KLF5	chr1	191802743	191802752	-	0.000	0.000	Merged-chr1-191802759-25
NR40837--MA1107.1.KLF9	chr3	65985104	65985116	+	0.000	0.000	Merged-chr3-65985116-9
NR50676--MA0599.1.KLF5	chr5	107533757	107533766	+	0.000	0.000	Merged-chr5-107533890-8
NR62349--MA0740.1.KLF14	chr8	11107238	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR59693--MA0657.1.KLF13	chr7	80598072	80598089	-	0.000	0.000	Merged-chr7-80598123-7
NR11193--MA0742.1.Klf12	chr11	83637042	83637056	-	0.000	0.000	Merged-chr11-83637048-8
NR5602--MA0742.1.Klf12	chr10	42269338	42269352	-	0.000	0.000	Merged-chr10-42269495-58
NR55463--MA0599.1.KLF5	chr6	112948655	112948664	+	0.000	0.000	Merged-chr6-112948653-15
NR39721--MA0493.1.Klf1	chr2	174566141	174566151	+	0.000	0.000	Merged-chr2-174566072-46
NR41027--MA0039.3.KLF4	chr3	79504657	79504667	+	0.000	0.000	Merged-chr3-79504650-9
NR20369--MA0657.1.KLF13	chr14	57769255	57769272	-	0.000	0.000	Merged-chr14-57769251-39
NR52301--MA0599.1.KLF5	chr5	137425542	137425551	+	0.000	0.000	Merged-chr5-137425710-17
NR10536--MA1107.1.KLF9	chr11	70622583	70622595	-	0.000	0.000	Merged-chr11-70622499-26
NR67398--MA0741.1.KLF16	chr9	79895081	79895091	+	0.000	0.000	Merged-chr9-79895109-7
NR33671--MA0741.1.KLF16	chr19	43809535	43809545	+	0.000	0.000	Merged-chr19-43809499-23
NR8244--MA0039.3.KLF4	chr10	117925716	117925726	+	0.000	0.000	Merged-chr10-117925903-63
NR8254--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR3241--MA0741.1.KLF16	chr1	165816641	165816651	-	0.000	0.000	Merged-chr1-165816619-40
NR27322--MA0742.1.Klf12	chr17	21383733	21383747	-	0.000	0.000	Merged-chr17-21383828-70
NR22312--MA1107.1.KLF9	chr15	36241632	36241644	-	0.000	0.000	Merged-chr15-36241584-11
NR41302--MA0599.1.KLF5	chr3	89378533	89378542	+	0.000	0.000	Merged-chr3-89378543-26
NR7080--MA0742.1.Klf12	chr10	83154013	83154027	-	0.000	0.000	Merged-chr10-83154095-25
NR38331--MA1107.1.KLF9	chr2	147832607	147832619	+	0.000	0.000	Merged-chr2-147832545-2
NR6360--MA0741.1.KLF16	chr10	75536381	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR16838--MA0039.3.KLF4	chr13	45455941	45455951	+	0.000	0.000	Merged-chr13-45455779-40
NR55458--MA1107.1.KLF9	chr6	112862175	112862187	+	0.000	0.000	Merged-chr6-112862022-40
NR62353--MA1107.1.KLF9	chr8	11107239	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR27326--MA0741.1.KLF16	chr17	21383736	21383746	-	0.000	0.000	Merged-chr17-21383828-70
NR25372--MA0493.1.Klf1	chr16	32516549	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR52762--MA0740.1.KLF14	chr5	143975134	143975147	+	0.000	0.000	Merged-chr5-143975077-1
NR33451--MA0493.1.Klf1	chr19	37333675	37333685	-	0.000	0.000	Merged-chr19-37333490-26
NR27999--MA1107.1.KLF9	chr17	31326298	31326310	-	0.000	0.000	Merged-chr17-31326302-35
NR36197--MA0741.1.KLF16	chr2	71843327	71843337	+	0.000	0.000	Merged-chr2-71843530-15
NR25385--MA1107.1.KLF9	chr16	32645441	32645453	-	0.000	0.000	Merged-chr16-32645495-50
NR25388--MA0741.1.KLF16	chr16	32658894	32658904	+	0.000	0.000	Merged-chr16-32659000-27
NR8286--MA0493.1.Klf1	chr10	118446205	118446215	+	0.000	0.000	Merged-chr10-118446344-23
NR48050--MA0741.1.KLF16	chr4	150894772	150894782	+	0.000	0.000	Merged-chr4-150894695-19
NR361--MA0599.1.KLF5	chr1	36571861	36571870	-	0.000	0.000	Merged-chr1-36571820-13
NR39230--MA0599.1.KLF5	chr2	166664668	166664677	-	0.000	0.000	Merged-chr2-166664771-14
NR1043--MA0741.1.KLF16	chr1	66897060	66897070	+	0.000	0.000	Merged-chr1-66897217-4
NR6358--MA0599.1.KLF5	chr10	75536382	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR32944--MA0741.1.KLF16	chr19	12012382	12012392	+	0.000	0.000	Merged-chr19-12012380-1
NR25614--MA1107.1.KLF9	chr16	44362189	44362201	+	0.000	0.000	Merged-chr16-44362356-45
NR40583--MA0039.3.KLF4	chr3	52470109	52470119	-	0.000	0.000	Merged-chr3-52470194-16
NR20372--MA0741.1.KLF16	chr14	57769260	57769270	-	0.000	0.000	Merged-chr14-57769251-39
NR6469--MA1107.1.KLF9	chr10	77264471	77264483	+	0.000	0.000	Merged-chr10-77264465-20
NR42308--MA0599.1.KLF5	chr3	116384512	116384521	+	0.000	0.000	Merged-chr3-116384613-7
NR39583--MA1107.1.KLF9	chr2	173038316	173038328	-	0.000	0.000	Merged-chr2-173038301-38
NR49176--MA0599.1.KLF5	chr5	35771275	35771284	-	0.000	0.000	Merged-chr5-35771159-16
NR27831--MA0599.1.KLF5	chr17	28590947	28590956	-	0.000	0.000	Merged-chr17-28590948-24
NR363--MA0741.1.KLF16	chr1	36571856	36571866	-	0.000	0.000	Merged-chr1-36571820-13
NR1048--MA0741.1.KLF16	chr1	66897065	66897075	+	0.000	0.000	Merged-chr1-66897217-4
NR41026--MA0599.1.KLF5	chr3	79504656	79504665	+	0.000	0.000	Merged-chr3-79504650-9
NR6963--MA0599.1.KLF5	chr10	81401939	81401948	-	0.000	0.000	Merged-chr10-81401925-26
NR60272--MA0741.1.KLF16	chr7	101466457	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR8243--MA0599.1.KLF5	chr10	117925715	117925724	+	0.000	0.000	Merged-chr10-117925903-63
NR62603--MA0741.1.KLF16	chr8	25578424	25578434	+	0.000	0.000	Merged-chr8-25578502-39
NR6962--MA1107.1.KLF9	chr10	81401812	81401824	-	0.000	0.000	Merged-chr10-81401925-26
NR5836--MA0039.3.KLF4	chr10	58351781	58351791	-	0.000	0.000	Merged-chr10-58351765-21
NR13679--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR67401--MA1107.1.KLF9	chr9	79895080	79895092	+	0.000	0.000	Merged-chr9-79895109-7
NR62762--MA1107.1.KLF9	chr8	35428948	35428960	-	0.000	0.000	Merged-chr8-35428921-45
NR28280--MA1107.1.KLF9	chr17	35706198	35706210	-	0.000	0.000	Merged-chr17-35706172-14
NR1890--MA0599.1.KLF5	chr1	120073818	120073827	-	0.000	0.000	Merged-chr1-120073802-51
NR55592--MA0741.1.KLF16	chr6	114883572	114883582	-	0.000	0.000	Merged-chr6-114883519-32
NR29798--MA0657.1.KLF13	chr17	83824027	83824044	+	0.000	0.000	Merged-chr17-83824004-16
NR4590--MA1107.1.KLF9	chr1	191802741	191802753	-	0.000	0.000	Merged-chr1-191802759-25
NR21801--MA0741.1.KLF16	chr14	121315916	121315926	-	0.000	0.000	Merged-chr14-121315767-6
NR60264--MA0741.1.KLF16	chr7	101348692	101348702	-	0.000	0.000	Merged-chr7-101348573-1
NR1425--MA0599.1.KLF5	chr1	85720716	85720725	+	0.000	0.000	Merged-chr1-85720773-26
NR60270--MA0493.1.Klf1	chr7	101466458	101466468	-	0.000	0.000	Merged-chr7-101466620-78
NR8251--MA0039.3.KLF4	chr10	117969953	117969963	-	0.000	0.000	Merged-chr10-117970017-9
NR31567--MA0742.1.Klf12	chr18	69196479	69196493	+	0.000	0.000	Merged-chr18-69196479-70
NR54107--MA0493.1.Klf1	chr6	50394125	50394135	-	0.000	0.000	Merged-chr6-50394261-50
NR46399--MA1107.1.KLF9	chr4	120053628	120053640	-	0.000	0.000	Merged-chr4-120053646-59
NR69132--MA0740.1.KLF14	chr9	120039504	120039517	-	0.000	0.000	Merged-chr9-120039595-19
NR69138--MA0039.3.KLF4	chr9	120057113	120057123	-	0.000	0.000	Merged-chr9-120057282-6
NR30632--MA0599.1.KLF5	chr18	34777009	34777018	-	0.000	0.000	Merged-chr18-34776840-4
NR46059--MA1107.1.KLF9	chr4	109136950	109136962	+	0.000	0.000	Merged-chr4-109136872-28
NR25370--MA0493.1.Klf1	chr16	32516539	32516549	-	0.000	0.000	Merged-chr16-32516451-30
NR33669--MA0599.1.KLF5	chr19	43809535	43809544	+	0.000	0.000	Merged-chr19-43809499-23
NR11625--MA0493.1.Klf1	chr11	95356928	95356938	+	0.000	0.000	Merged-chr11-95356897-59
NR7082--MA0493.1.Klf1	chr10	83154017	83154027	-	0.000	0.000	Merged-chr10-83154095-25
NR33440--MA0493.1.Klf1	chr19	37110671	37110681	+	0.000	0.000	Merged-chr19-37110576-17
NR59467--MA0493.1.Klf1	chr7	72339565	72339575	+	0.000	0.000	Merged-chr7-72339570-17
NR57646--MA0599.1.KLF5	chr7	4777376	4777385	+	0.000	0.000	Merged-chr7-4777194-35
NR40582--MA0599.1.KLF5	chr3	52470111	52470120	-	0.000	0.000	Merged-chr3-52470194-16
NR33453--MA1107.1.KLF9	chr19	37333673	37333685	-	0.000	0.000	Merged-chr19-37333490-26
NR69605--MA0493.1.Klf1	chrX	13552351	13552361	-	0.000	0.000	Merged-chrX-13552455-23
NR51483--MA0599.1.KLF5	chr5	122987505	122987514	+	0.000	0.000	Merged-chr5-122987462-4
NR32942--MA0599.1.KLF5	chr19	12012388	12012397	+	0.000	0.000	Merged-chr19-12012380-1
NR62599--MA0599.1.KLF5	chr8	25578422	25578431	+	0.000	0.000	Merged-chr8-25578502-39
NR87--MA0599.1.KLF5	chr1	13560085	13560094	+	0.000	0.000	Merged-chr1-13560165-1
NR69133--MA0657.1.KLF13	chr9	120039501	120039518	-	0.000	0.000	Merged-chr9-120039595-19
NR4587--MA0741.1.KLF16	chr1	191802746	191802756	-	0.000	0.000	Merged-chr1-191802759-25
NR10702--MA0599.1.KLF5	chr11	74837926	74837935	+	0.000	0.000	Merged-chr11-74837874-1
NR38343--MA0741.1.KLF16	chr2	147832654	147832664	-	0.000	0.000	Merged-chr2-147832545-2
NR61164--MA0493.1.Klf1	chr7	125620286	125620296	-	0.000	0.000	Merged-chr7-125620287-12
NR40577--MA1107.1.KLF9	chr3	52297521	52297533	+	0.000	0.000	Merged-chr3-52297502-16
NR4972--MA1107.1.KLF9	chr10	8535716	8535728	+	0.000	0.000	Merged-chr10-8535682-19
NR47661--MA0599.1.KLF5	chr4	145305931	145305940	-	0.000	0.000	Merged-chr4-145306183-45
NR38339--MA1107.1.KLF9	chr2	147832627	147832639	+	0.000	0.000	Merged-chr2-147832545-2
NR56830--MA0599.1.KLF5	chr6	140724712	140724721	-	0.000	0.000	Merged-chr6-140724746-15
NR43745--MA0599.1.KLF5	chr3	152209704	152209713	-	0.000	0.000	Merged-chr3-152209810-2
NR54465--MA0742.1.Klf12	chr6	71322741	71322755	+	0.000	0.000	Merged-chr6-71322825-41
NR12796--MA1107.1.KLF9	chr11	115603685	115603697	-	0.000	0.000	Merged-chr11-115603871-66
