#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR17992--MA0741.1.KLF16	chr13	94567545	94567555	-	0.000	0.000	Merged-chr13-94567668-9
NR18765--MA1107.1.KLF9	chr13	112824335	112824347	+	0.000	0.000	Merged-chr13-112824318-13
NR21097--MA0741.1.KLF16	chr14	75892275	75892285	-	0.000	0.000	Merged-chr14-75892464-20
NR5963--MA0740.1.KLF14	chr10	53889521	53889534	-	0.000	0.000	Merged-chr10-53889619-14
NR25508--MA1107.1.KLF9	chr16	18733522	18733534	+	0.000	0.000	Merged-chr16-18733506-32
NR1613--MA0599.1.KLF5	chr1	88708225	88708234	+	0.000	0.000	Merged-chr1-88708373-21
NR71255--MA0657.1.KLF13	chr9	118678596	118678613	+	0.000	0.000	Merged-chr9-118678587-68
NR70264--MA1107.1.KLF9	chr9	96772965	96772977	+	0.000	0.000	Merged-chr9-96773309-49
NR11253--MA0493.1.Klf1	chr11	78690774	78690784	+	0.000	0.000	Merged-chr11-78690691-3
NR33503--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR14765--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR39026--MA0599.1.KLF5	chr2	153278559	153278568	+	0.000	0.000	Merged-chr2-153278581-35
NR14758--MA0740.1.KLF14	chr12	82166461	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR3232--MA1107.1.KLF9	chr1	155215382	155215394	-	0.000	0.000	Merged-chr1-155215542-10
NR1182--MA1107.1.KLF9	chr1	73940867	73940879	+	0.000	0.000	Merged-chr1-73940938-50
NR68908--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR66186--MA0039.3.KLF4	chr8	94827954	94827964	-	0.000	0.000	Merged-chr8-94828163-36
NR41577--MA0493.1.Klf1	chr3	84770750	84770760	-	0.000	0.000	Merged-chr3-84770670-24
NR16918--MA0599.1.KLF5	chr13	51685365	51685374	-	0.000	0.000	Merged-chr13-51685389-6
NR46453--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR8329--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR61754--MA0493.1.Klf1	chr7	101012085	101012095	-	0.000	0.000	Merged-chr7-101011923-30
NR62722--MA0039.3.KLF4	chr7	126230480	126230490	-	0.000	0.000	Merged-chr7-126230639-34
NR36769--MA0740.1.KLF14	chr2	75965079	75965092	+	0.000	0.000	Merged-chr2-75964949-43
NR66203--MA0741.1.KLF16	chr8	95349076	95349086	-	0.000	0.000	Merged-chr8-95348986-27
NR52365--MA0741.1.KLF16	chr5	118661947	118661957	+	0.000	0.000	Merged-chr5-118661904-17
NR45264--MA0741.1.KLF16	chr4	45766158	45766168	-	0.000	0.000	Merged-chr4-45766216-17
NR13893--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR8328--MA1107.1.KLF9	chr10	117118448	117118460	-	0.000	0.000	Merged-chr10-117118585-40
NR66782--MA1107.1.KLF9	chr8	115137016	115137028	-	0.000	0.000	Merged-chr8-115136921-34
NR16069--MA0741.1.KLF16	chr12	119238859	119238869	-	0.000	0.000	Merged-chr12-119238922-2
NR64711--MA0599.1.KLF5	chr8	40634797	40634806	-	0.000	0.000	Merged-chr8-40634821-50
NR71257--MA0741.1.KLF16	chr9	118678598	118678608	+	0.000	0.000	Merged-chr9-118678587-68
NR44864--MA1107.1.KLF9	chr4	33390941	33390953	+	0.000	0.000	Merged-chr4-33390737-19
NR6467--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR46458--MA0493.1.Klf1	chr4	101419676	101419686	-	0.000	0.000	Merged-chr4-101419713-70
NR56510--MA1107.1.KLF9	chr6	95552789	95552801	+	0.000	0.000	Merged-chr6-95552744-18
NR62185--MA0039.3.KLF4	chr7	114088140	114088150	+	0.000	0.000	Merged-chr7-114088152-53
NR64156--MA0599.1.KLF5	chr8	13200628	13200637	-	0.000	0.000	Merged-chr8-13200567-28
NR9776--MA1107.1.KLF9	chr11	32486697	32486709	-	0.000	0.000	Merged-chr11-32486832-15
NR13558--MA1107.1.KLF9	chr12	16384356	16384368	+	0.000	0.000	Merged-chr12-16384404-18
NR2259--MA1107.1.KLF9	chr1	127380937	127380949	-	0.000	0.000	Merged-chr1-127381080-26
NR65629--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR22425--MA0741.1.KLF16	chr15	25269715	25269725	-	0.000	0.000	Merged-chr15-25269773-79
NR30498--MA0599.1.KLF5	chr17	84336153	84336162	-	0.000	0.000	Merged-chr17-84336226-16
NR24--MA0599.1.KLF5	chr1	6454098	6454107	+	0.000	0.000	Merged-chr1-6454252-50
NR1706--MA0039.3.KLF4	chr1	92640408	92640418	+	0.000	0.000	Merged-chr1-92640529-29
NR2597--MA0741.1.KLF16	chr1	135019083	135019093	+	0.000	0.000	Merged-chr1-135019182-17
NR2277--MA1107.1.KLF9	chr1	127796453	127796465	-	0.000	0.000	Merged-chr1-127796546-56
NR39192--MA0599.1.KLF5	chr2	158160216	158160225	+	0.000	0.000	Merged-chr2-158160127-37
NR17850--MA0742.1.Klf12	chr13	89521652	89521666	+	0.000	0.000	Merged-chr13-89521757-30
NR20696--MA0599.1.KLF5	chr14	63943535	63943544	+	0.000	0.000	Merged-chr14-63943640-23
NR26146--MA0741.1.KLF16	chr16	45347019	45347029	-	0.000	0.000	Merged-chr16-45346908-42
NR10308--MA0742.1.Klf12	chr11	57791222	57791236	+	0.000	0.000	Merged-chr11-57791276-17
NR37335--MA0741.1.KLF16	chr2	102186262	102186272	+	0.000	0.000	Merged-chr2-102186171-70
NR9637--MA0039.3.KLF4	chr11	24077554	24077564	-	0.000	0.000	Merged-chr11-24077473-13
NR39840--MA1107.1.KLF9	chr2	170291893	170291905	+	0.000	0.000	Merged-chr2-170292078-34
NR613--MA1107.1.KLF9	chr1	43110778	43110790	+	0.000	0.000	Merged-chr1-43110700-26
NR68716--MA1107.1.KLF9	chr9	51162022	51162034	-	0.000	0.000	Merged-chr9-51161990-29
NR64071--MA0599.1.KLF5	chr8	11009006	11009015	+	0.000	0.000	Merged-chr8-11009107-63
NR10639--MA0599.1.KLF5	chr11	67017986	67017995	-	0.000	0.000	Merged-chr11-67017936-9
NR56507--MA0742.1.Klf12	chr6	95552789	95552803	+	0.000	0.000	Merged-chr6-95552744-18
NR2040--MA0741.1.KLF16	chr1	119637161	119637171	+	0.000	0.000	Merged-chr1-119636990-21
NR2511--MA0599.1.KLF5	chr1	133801881	133801890	+	0.000	0.000	Merged-chr1-133801920-3
NR56085--MA1107.1.KLF9	chr6	85339431	85339443	+	0.000	0.000	Merged-chr6-85339410-34
NR14116--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR40975--MA1107.1.KLF9	chr3	51701526	51701538	+	0.000	0.000	Merged-chr3-51701450-64
NR61038--MA0742.1.Klf12	chr7	75914145	75914159	-	0.000	0.000	Merged-chr7-75914112-33
NR60490--MA0493.1.Klf1	chr7	46832393	46832403	-	0.000	0.000	Merged-chr7-46832342-27
NR975--MA0741.1.KLF16	chr1	64088020	64088030	+	0.000	0.000	Merged-chr1-64088195-22
NR40612--MA0039.3.KLF4	chr3	28402421	28402431	-	0.000	0.000	Merged-chr3-28402386-46
NR23136--MA0039.3.KLF4	chr15	61441929	61441939	+	0.000	0.000	Merged-chr15-61441836-34
NR31578--MA1107.1.KLF9	chr18	54822920	54822932	+	0.000	0.000	Merged-chr18-54822886-30
NR45838--MA1107.1.KLF9	chr4	62731465	62731477	+	0.000	0.000	Merged-chr4-62731520-17
NR14486--MA0742.1.Klf12	chr12	71030418	71030432	+	0.000	0.000	Merged-chr12-71030638-56
NR1690--MA0741.1.KLF16	chr1	91825522	91825532	-	0.000	0.000	Merged-chr1-91825474-20
NR41121--MA0741.1.KLF16	chr3	55688152	55688162	-	0.000	0.000	Merged-chr3-55687980-1
NR64387--MA0741.1.KLF16	chr8	22228790	22228800	+	0.000	0.000	Merged-chr8-22228766-14
NR24923--MA0740.1.KLF14	chr15	103215351	103215364	+	0.000	0.000	Merged-chr15-103215427-34
NR19805--MA0741.1.KLF16	chr14	31934163	31934173	-	0.000	0.000	Merged-chr14-31934172-18
NR17854--MA0741.1.KLF16	chr13	89521653	89521663	+	0.000	0.000	Merged-chr13-89521757-30
NR61428--MA0493.1.Klf1	chr7	90341962	90341972	-	0.000	0.000	Merged-chr7-90341759-29
NR59965--MA0741.1.KLF16	chr7	30717403	30717413	+	0.000	0.000	Merged-chr7-30717543-30
NR25483--MA0599.1.KLF5	chr16	18348190	18348199	-	0.000	0.000	Merged-chr16-18348236-26
NR465--MA0741.1.KLF16	chr1	38395439	38395449	+	0.000	0.000	Merged-chr1-38395375-19
NR188--MA1107.1.KLF9	chr1	20912781	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR1854--MA0039.3.KLF4	chr1	98589913	98589923	+	0.000	0.000	Merged-chr1-98589738-39
NR19643--MA0741.1.KLF16	chr14	27262418	27262428	+	0.000	0.000	Merged-chr14-27262535-17
NR58377--MA0741.1.KLF16	chr6	142507960	142507970	-	0.000	0.000	Merged-chr6-142507875-63
NR117--MA0741.1.KLF16	chr1	13426973	13426983	-	0.000	0.000	Merged-chr1-13426973-84
NR16762--MA0599.1.KLF5	chr13	44323957	44323966	+	0.000	0.000	Merged-chr13-44323801-22
NR15412--MA0741.1.KLF16	chr12	105537581	105537591	+	0.000	0.000	Merged-chr12-105537597-12
NR42928--MA0599.1.KLF5	chr3	121967795	121967804	-	0.000	0.000	Merged-chr3-121967857-57
NR17134--MA0039.3.KLF4	chr13	56704044	56704054	-	0.000	0.000	Merged-chr13-56703613-154
NR976--MA1107.1.KLF9	chr1	64088019	64088031	+	0.000	0.000	Merged-chr1-64088195-22
NR39169--MA1107.1.KLF9	chr2	157119295	157119307	-	0.000	0.000	Merged-chr2-157119108-55
NR63407--MA0599.1.KLF5	chr7	136894429	136894438	+	0.000	0.000	Merged-chr7-136894538-85
NR61347--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR69067--MA0657.1.KLF13	chr9	61745280	61745297	+	0.000	0.000	Merged-chr9-61745239-9
NR54377--MA0599.1.KLF5	chr5	150232878	150232887	+	0.000	0.000	Merged-chr5-150232910-1
NR34770--MA0742.1.Klf12	chr2	6379102	6379116	+	0.000	0.000	Merged-chr2-6378947-26
NR36365--MA1107.1.KLF9	chr2	60880817	60880829	+	0.000	0.000	Merged-chr2-60880763-2
NR66208--MA0741.1.KLF16	chr8	95349081	95349091	-	0.000	0.000	Merged-chr8-95348986-27
NR14108--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR4790--MA0740.1.KLF14	chr1	191111363	191111376	-	0.000	0.000	Merged-chr1-191111364-43
NR60026--MA0741.1.KLF16	chr7	34630499	34630509	-	0.000	0.000	Merged-chr7-34630517-24
NR71083--MA0599.1.KLF5	chr9	115205647	115205656	+	0.000	0.000	Merged-chr9-115205642-30
NR12715--MA1107.1.KLF9	chr11	113508531	113508543	-	0.000	0.000	Merged-chr11-113508478-30
NR45269--MA0741.1.KLF16	chr4	45766163	45766173	-	0.000	0.000	Merged-chr4-45766216-17
NR57945--MA0039.3.KLF4	chr6	134450906	134450916	-	0.000	0.000	Merged-chr6-134450954-21
NR63998--MA0599.1.KLF5	chr8	8661411	8661420	+	0.000	0.000	Merged-chr8-8661451-105
NR31004--MA0740.1.KLF14	chr18	21300233	21300246	+	0.000	0.000	Merged-chr18-21300237-62
NR24411--MA0741.1.KLF16	chr15	93756158	93756168	+	0.000	0.000	Merged-chr15-93756205-23
NR33781--MA0493.1.Klf1	chr19	37523772	37523782	-	0.000	0.000	Merged-chr19-37523720-44
NR19590--MA0741.1.KLF16	chr14	25719559	25719569	+	0.000	0.000	Merged-chr14-25719567-22
NR16723--MA0740.1.KLF14	chr13	43192068	43192081	+	0.000	0.000	Merged-chr13-43191968-21
NR15630--MA0741.1.KLF16	chr12	109067991	109068001	+	0.000	0.000	Merged-chr12-109068052-48
NR30839--MA0599.1.KLF5	chr18	5819884	5819893	+	0.000	0.000	Merged-chr18-5820020-28
NR46606--MA1107.1.KLF9	chr4	106841998	106842010	-	0.000	0.000	Merged-chr4-106841993-21
NR69033--MA0657.1.KLF13	chr9	61054574	61054591	-	0.000	0.000	Merged-chr9-61054632-26
NR36821--MA0741.1.KLF16	chr2	77249874	77249884	+	0.000	0.000	Merged-chr2-77250040-39
NR60024--MA0039.3.KLF4	chr7	34630505	34630515	-	0.000	0.000	Merged-chr7-34630517-24
NR48263--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR65044--MA1107.1.KLF9	chr8	61283228	61283240	+	0.000	0.000	Merged-chr8-61283229-50
NR24384--MA0493.1.Klf1	chr15	93443907	93443917	+	0.000	0.000	Merged-chr15-93443797-12
NR45534--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR31808--MA0599.1.KLF5	chr18	62267378	62267387	-	0.000	0.000	Merged-chr18-62267467-16
NR41771--MA0599.1.KLF5	chr3	89911450	89911459	+	0.000	0.000	Merged-chr3-89911440-10
NR48911--MA1107.1.KLF9	chr4	152247435	152247447	+	0.000	0.000	Merged-chr4-152247398-23
NR47191--MA0599.1.KLF5	chr4	122829454	122829463	-	0.000	0.000	Merged-chr4-122829434-12
NR23616--MA1107.1.KLF9	chr15	77306643	77306655	+	0.000	0.000	Merged-chr15-77306793-46
NR34522--MA0741.1.KLF16	chr19	57430074	57430084	-	0.000	0.000	Merged-chr19-57430178-33
NR16726--MA0493.1.Klf1	chr13	43192068	43192078	+	0.000	0.000	Merged-chr13-43191968-21
NR14327--MA0493.1.Klf1	chr12	65258708	65258718	-	0.000	0.000	Merged-chr12-65258774-28
NR50419--MA0740.1.KLF14	chr5	53605579	53605592	-	0.000	0.000	Merged-chr5-53605625-25
NR20684--MA0741.1.KLF16	chr14	63906104	63906114	-	0.000	0.000	Merged-chr14-63906056-16
NR14112--MA0493.1.Klf1	chr12	52383127	52383137	-	0.000	0.000	Merged-chr12-52383146-23
NR72285--MA0599.1.KLF5	chrX	93911289	93911298	+	0.000	0.000	Merged-chrX-93911345-24
NR65156--MA1107.1.KLF9	chr8	67860356	67860368	+	0.000	0.000	Merged-chr8-67860375-11
NR43421--MA0742.1.Klf12	chr3	133758585	133758599	+	0.000	0.000	Merged-chr3-133758511-65
NR60047--MA1107.1.KLF9	chr7	35172052	35172064	-	0.000	0.000	Merged-chr7-35172078-26
NR48017--MA0599.1.KLF5	chr4	136123306	136123315	-	0.000	0.000	Merged-chr4-136123235-13
NR57526--MA0599.1.KLF5	chr6	125433809	125433818	+	0.000	0.000	Merged-chr6-125433874-28
NR60929--MA1107.1.KLF9	chr7	68205947	68205959	-	0.000	0.000	Merged-chr7-68206033-25
NR24058--MA0599.1.KLF5	chr15	84372976	84372985	-	0.000	0.000	Merged-chr15-84372915-18
NR57507--MA1107.1.KLF9	chr6	125229077	125229089	-	0.000	0.000	Merged-chr6-125228994-3
NR24392--MA0039.3.KLF4	chr15	93530754	93530764	-	0.000	0.000	Merged-chr15-93530912-20
NR44179--MA0742.1.Klf12	chr3	153276259	153276273	+	0.000	0.000	Merged-chr3-153276398-51
NR19234--MA1107.1.KLF9	chr14	12307769	12307781	-	0.000	0.000	Merged-chr14-12307905-40
NR11415--MA1107.1.KLF9	chr11	82961944	82961956	-	0.000	0.000	Merged-chr11-82962014-19
NR25008--MA1107.1.KLF9	chr16	4469938	4469950	+	0.000	0.000	Merged-chr16-4469915-27
NR31807--MA1107.1.KLF9	chr18	62169309	62169321	-	0.000	0.000	Merged-chr18-62169369-48
NR21245--MA0599.1.KLF5	chr14	84443429	84443438	+	0.000	0.000	Merged-chr14-84443299-57
NR56328--MA0741.1.KLF16	chr6	90629686	90629696	+	0.000	0.000	Merged-chr6-90629668-42
NR71047--MA0493.1.Klf1	chr9	114613181	114613191	-	0.000	0.000	Merged-chr9-114613191-38
NR19589--MA0599.1.KLF5	chr14	25719559	25719568	+	0.000	0.000	Merged-chr14-25719567-22
NR57614--MA0039.3.KLF4	chr6	127365545	127365555	-	0.000	0.000	Merged-chr6-127365482-29
NR36822--MA1107.1.KLF9	chr2	77249873	77249885	+	0.000	0.000	Merged-chr2-77250040-39
NR72492--MA0741.1.KLF16	chrX	114474273	114474283	-	0.000	0.000	Merged-chrX-114474330-36
NR26213--MA0741.1.KLF16	chr16	49699194	49699204	-	0.000	0.000	Merged-chr16-49699249-55
NR44468--MA0599.1.KLF5	chr4	6941241	6941250	+	0.000	0.000	Merged-chr4-6941109-33
NR35083--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR55475--MA1107.1.KLF9	chr6	53038243	53038255	+	0.000	0.000	Merged-chr6-53038389-13
NR64661--MA0740.1.KLF14	chr8	36249516	36249529	+	0.000	0.000	Merged-chr8-36249558-6
NR40408--MA0493.1.Klf1	chr3	14381736	14381746	+	0.000	0.000	Merged-chr3-14381825-37
NR40328--MA0599.1.KLF5	chr3	8667155	8667164	-	0.000	0.000	Merged-chr3-8667385-80
NR41754--MA0742.1.Klf12	chr3	89892865	89892879	-	0.000	0.000	Merged-chr3-89892725-25
NR11433--MA1107.1.KLF9	chr11	83185900	83185912	-	0.000	0.000	Merged-chr11-83185820-16
NR39197--MA0493.1.Klf1	chr2	158179184	158179194	-	0.000	0.000	Merged-chr2-158179183-18
NR33697--MA0599.1.KLF5	chr19	33053382	33053391	+	0.000	0.000	Merged-chr19-33053321-32
NR64074--MA0741.1.KLF16	chr8	11009081	11009091	-	0.000	0.000	Merged-chr8-11009107-63
NR72938--MA0741.1.KLF16	chrX	166329051	166329061	-	0.000	0.000	Merged-chrX-166329162-24
NR52360--MA0740.1.KLF14	chr5	118661941	118661954	+	0.000	0.000	Merged-chr5-118661904-17
NR31750--MA0599.1.KLF5	chr18	60632874	60632883	-	0.000	0.000	Merged-chr18-60633052-25
NR26689--MA1107.1.KLF9	chr16	76283384	76283396	-	0.000	0.000	Merged-chr16-76283420-1
NR6242--MA0741.1.KLF16	chr10	61657978	61657988	+	0.000	0.000	Merged-chr10-61658061-29
NR64868--MA0741.1.KLF16	chr8	48109937	48109947	-	0.000	0.000	Merged-chr8-48110185-80
NR64663--MA0599.1.KLF5	chr8	36249517	36249526	+	0.000	0.000	Merged-chr8-36249558-6
NR13976--MA0741.1.KLF16	chr12	35770599	35770609	+	0.000	0.000	Merged-chr12-35770526-40
NR39323--MA0599.1.KLF5	chr2	160451807	160451816	+	0.000	0.000	Merged-chr2-160451916-68
NR47093--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR34773--MA0493.1.Klf1	chr2	6379102	6379112	+	0.000	0.000	Merged-chr2-6378947-26
NR40332--MA0493.1.Klf1	chr3	8667338	8667348	+	0.000	0.000	Merged-chr3-8667385-80
NR6417--MA0741.1.KLF16	chr10	67891156	67891166	-	0.000	0.000	Merged-chr10-67891340-18
NR11304--MA0493.1.Klf1	chr11	79460472	79460482	-	0.000	0.000	Merged-chr11-79460483-1
NR51465--MA1107.1.KLF9	chr5	99339969	99339981	-	0.000	0.000	Merged-chr5-99339913-40
NR35957--MA0493.1.Klf1	chr2	37765371	37765381	-	0.000	0.000	Merged-chr2-37765232-35
NR19239--MA1107.1.KLF9	chr14	12307779	12307791	-	0.000	0.000	Merged-chr14-12307905-40
NR37160--MA1107.1.KLF9	chr2	93454472	93454484	+	0.000	0.000	Merged-chr2-93454506-54
NR41758--MA0741.1.KLF16	chr3	89892868	89892878	-	0.000	0.000	Merged-chr3-89892725-25
NR27337--MA0599.1.KLF5	chr17	3246813	3246822	-	0.000	0.000	Merged-chr17-3246798-10
NR43144--MA0039.3.KLF4	chr3	127845179	127845189	+	0.000	0.000	Merged-chr3-127845262-14
NR51112--MA0493.1.Klf1	chr5	88499998	88500008	-	0.000	0.000	Merged-chr5-88499946-26
NR18387--MA0493.1.Klf1	chr13	102773322	102773332	-	0.000	0.000	Merged-chr13-102773383-12
NR52057--MA0741.1.KLF16	chr5	113873212	113873222	-	0.000	0.000	Merged-chr5-113873174-24
NR42770--MA0741.1.KLF16	chr3	115897929	115897939	+	0.000	0.000	Merged-chr3-115897908-5
NR16636--MA0039.3.KLF4	chr13	38958320	38958330	+	0.000	0.000	Merged-chr13-38958304-24
NR2690--MA1107.1.KLF9	chr1	136617578	136617590	-	0.000	0.000	Merged-chr1-136617404-40
NR22627--MA0741.1.KLF16	chr15	36438863	36438873	-	0.000	0.000	Merged-chr15-36438812-16
NR20644--MA0740.1.KLF14	chr14	61744089	61744102	-	0.000	0.000	Merged-chr14-61744186-5
NR69068--MA0039.3.KLF4	chr9	61779442	61779452	-	0.000	0.000	Merged-chr9-61779248-32
NR24505--MA1107.1.KLF9	chr15	95885008	95885020	+	0.000	0.000	Merged-chr15-95885143-33
NR43923--MA0039.3.KLF4	chr3	148465659	148465669	-	0.000	0.000	Merged-chr3-148465597-36
NR65619--MA0599.1.KLF5	chr8	76902283	76902292	+	0.000	0.000	Merged-chr8-76902143-41
NR64636--MA0493.1.Klf1	chr8	35826693	35826703	+	0.000	0.000	Merged-chr8-35826884-2
NR2938--MA0657.1.KLF13	chr1	150465583	150465600	+	0.000	0.000	Merged-chr1-150465561-21
NR62600--MA0599.1.KLF5	chr7	121734723	121734732	-	0.000	0.000	Merged-chr7-121734819-1
NR60079--MA1107.1.KLF9	chr7	35742595	35742607	-	0.000	0.000	Merged-chr7-35742502-39
NR17995--MA1107.1.KLF9	chr13	94567551	94567563	-	0.000	0.000	Merged-chr13-94567668-9
NR38506--MA0741.1.KLF16	chr2	136917805	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR2385--MA0741.1.KLF16	chr1	130522445	130522455	+	0.000	0.000	Merged-chr1-130522626-12
NR17990--MA0039.3.KLF4	chr13	94567555	94567565	-	0.000	0.000	Merged-chr13-94567668-9
NR64162--MA0741.1.KLF16	chr8	13200677	13200687	-	0.000	0.000	Merged-chr8-13200567-28
NR47625--MA1107.1.KLF9	chr4	131696143	131696155	-	0.000	0.000	Merged-chr4-131696229-22
NR36295--MA0493.1.Klf1	chr2	59332405	59332415	-	0.000	0.000	Merged-chr2-59332590-12
NR23327--MA0599.1.KLF5	chr15	72859486	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR39198--MA0741.1.KLF16	chr2	158179183	158179193	-	0.000	0.000	Merged-chr2-158179183-18
NR57332--MA0741.1.KLF16	chr6	121110179	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR42783--MA0741.1.KLF16	chr3	116200268	116200278	+	0.000	0.000	Merged-chr3-116200281-40
NR68250--MA0741.1.KLF16	chr9	36905617	36905627	-	0.000	0.000	Merged-chr9-36905642-9
NR7517--MA0039.3.KLF4	chr10	86786237	86786247	-	0.000	0.000	Merged-chr10-86786135-22
NR51569--MA0493.1.Klf1	chr5	100929920	100929930	+	0.000	0.000	Merged-chr5-100929891-31
NR36819--MA0493.1.Klf1	chr2	77249873	77249883	+	0.000	0.000	Merged-chr2-77250040-39
NR20689--MA0741.1.KLF16	chr14	63940966	63940976	-	0.000	0.000	Merged-chr14-63940977-13
NR36604--MA0493.1.Klf1	chr2	72137078	72137088	+	0.000	0.000	Merged-chr2-72136999-23
NR36393--MA0741.1.KLF16	chr2	62409040	62409050	+	0.000	0.000	Merged-chr2-62408986-36
NR19804--MA0493.1.Klf1	chr14	31934164	31934174	-	0.000	0.000	Merged-chr14-31934172-18
NR17969--MA0493.1.Klf1	chr13	94144784	94144794	-	0.000	0.000	Merged-chr13-94144726-31
NR45357--MA0599.1.KLF5	chr4	46794957	46794966	+	0.000	0.000	Merged-chr4-46794898-7
NR20808--MA0039.3.KLF4	chr14	68078502	68078512	+	0.000	0.000	Merged-chr14-68078565-20
NR61841--MA0493.1.Klf1	chr7	102347594	102347604	+	0.000	0.000	Merged-chr7-102347477-20
NR37165--MA1107.1.KLF9	chr2	93454482	93454494	+	0.000	0.000	Merged-chr2-93454506-54
NR43625--MA0599.1.KLF5	chr3	138649839	138649848	-	0.000	0.000	Merged-chr3-138649925-12
