#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR969--MA0768.1.LEF1	chr19	55792728	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR660--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1409--MA0768.1.LEF1	chr5	64766125	64766139	+	0.000	0.000	Merged-chr5-64765991-19
NR1221--MA0768.1.LEF1	chr3	138275305	138275319	-	0.000	0.000	Merged-chr3-138275247-64
NR1548--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR57--MA0768.1.LEF1	chr1	128794047	128794061	+	0.000	0.000	Merged-chr1-128794102-26
NR1445--MA0768.1.LEF1	chr5	103917177	103917191	+	0.000	0.000	Merged-chr5-103917325-19
NR1011--MA0768.1.LEF1	chr2	38548329	38548343	+	0.000	0.000	Merged-chr2-38548313-22
NR1141--MA0768.1.LEF1	chr3	37174957	37174971	+	0.000	0.000	Merged-chr3-37174845-28
NR1347--MA0768.1.LEF1	chr4	145319594	145319608	+	0.000	0.000	Merged-chr4-145319470-38
NR1253--MA0768.1.LEF1	chr4	7455298	7455312	+	0.000	0.000	Merged-chr4-7455242-36
NR679--MA0768.1.LEF1	chr15	63989862	63989876	+	0.000	0.000	Merged-chr15-63989879-13
NR370--MA0768.1.LEF1	chr12	55357448	55357462	-	0.000	0.000	Merged-chr12-55357452-12
NR218--MA0768.1.LEF1	chr10	117056130	117056144	+	0.000	0.000	Merged-chr10-117056166-30
NR697--MA0768.1.LEF1	chr15	82188126	82188140	-	0.000	0.000	Merged-chr15-82188110-14
NR124--MA0768.1.LEF1	chr1	193102946	193102960	-	0.000	0.000	Merged-chr1-193102904-19
NR912--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR142--MA0768.1.LEF1	chr10	19406884	19406898	-	0.000	0.000	Merged-chr10-19406936-14
NR1258--MA0768.1.LEF1	chr4	11990124	11990138	+	0.000	0.000	Merged-chr4-11990097-18
NR1943--MA0768.1.LEF1	chr9	116283890	116283904	-	0.000	0.000	Merged-chr9-116283998-37
NR702--MA0768.1.LEF1	chr15	84372947	84372961	+	0.000	0.000	Merged-chr15-84372915-18
NR1733--MA0768.1.LEF1	chr7	126179029	126179043	+	0.000	0.000	Merged-chr7-126178972-42
NR1178--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR1630--MA0768.1.LEF1	chr7	19837024	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR962--MA0768.1.LEF1	chr19	42305886	42305900	+	0.000	0.000	Merged-chr19-42305883-1
NR1863--MA0768.1.LEF1	chr9	14995766	14995780	+	0.000	0.000	Merged-chr9-14995745-32
NR32--MA0768.1.LEF1	chr1	78591517	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR1407--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR994--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1649--MA0768.1.LEF1	chr7	49421420	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR654--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1309--MA0768.1.LEF1	chr4	107605760	107605774	-	0.000	0.000	Merged-chr4-107605713-1
NR82--MA0768.1.LEF1	chr1	160006267	160006281	-	0.000	0.000	Merged-chr1-160006258-20
NR1242--MA0768.1.LEF1	chr3	152212096	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR87--MA0768.1.LEF1	chr1	161761746	161761760	+	0.000	0.000	Merged-chr1-161761657-43
NR1117--MA0768.1.LEF1	chr2	168575212	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR1014--MA0768.1.LEF1	chr2	44528727	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR234--MA0768.1.LEF1	chr10	128039312	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR1699--MA0768.1.LEF1	chr7	109265814	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR1019--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR1395--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR248--MA0768.1.LEF1	chr11	6705036	6705050	+	0.000	0.000	Merged-chr11-6705219-50
NR154--MA0768.1.LEF1	chr10	44679958	44679972	-	0.000	0.000	Merged-chr10-44679817-10
NR1055--MA0768.1.LEF1	chr2	93417127	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR266--MA0768.1.LEF1	chr11	63146799	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR808--MA0768.1.LEF1	chr17	17792224	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR1185--MA0768.1.LEF1	chr3	108124306	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR1718--MA0768.1.LEF1	chr7	117404664	117404678	+	0.000	0.000	Merged-chr7-117404576-18
NR1642--MA0768.1.LEF1	chr7	39650922	39650936	-	0.000	0.000	Merged-chr7-39650740-5
NR853--MA0768.1.LEF1	chr17	79093364	79093378	+	0.000	0.000	Merged-chr17-79093476-55
NR298--MA0768.1.LEF1	chr11	97905700	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR1660--MA0768.1.LEF1	chr7	75384765	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR26--MA0768.1.LEF1	chr1	64486512	64486526	-	0.000	0.000	Merged-chr1-64486540-36
NR728--MA0768.1.LEF1	chr16	3988599	3988613	-	0.000	0.000	Merged-chr16-3988637-25
NR35--MA0768.1.LEF1	chr1	80416613	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR58--MA0768.1.LEF1	chr1	128794065	128794079	+	0.000	0.000	Merged-chr1-128794102-26
NR1464--MA0768.1.LEF1	chr5	124943849	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR684--MA0768.1.LEF1	chr15	67196442	67196456	+	0.000	0.000	Merged-chr15-67196543-23
NR1003--MA0768.1.LEF1	chr2	29666796	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR796--MA0768.1.LEF1	chr17	5747999	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR1236--MA0768.1.LEF1	chr3	146192739	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR353--MA0768.1.LEF1	chr12	33076323	33076337	+	0.000	0.000	Merged-chr12-33076409-32
NR465--MA0768.1.LEF1	chr13	13582128	13582142	+	0.000	0.000	Merged-chr13-13582107-29
NR1487--MA0768.1.LEF1	chr5	149427631	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR1384--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR1908--MA0768.1.LEF1	chr9	80318137	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1138--MA0768.1.LEF1	chr3	10212021	10212035	-	0.000	0.000	Merged-chr3-10212114-17
NR1926--MA0768.1.LEF1	chr9	92217743	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR1944--MA0768.1.LEF1	chr9	116284010	116284024	+	0.000	0.000	Merged-chr9-116283998-37
NR1080--MA0768.1.LEF1	chr2	132180715	132180729	+	0.000	0.000	Merged-chr2-132180846-32
NR909--MA0768.1.LEF1	chr18	75374206	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR600--MA0768.1.LEF1	chr14	68078399	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR10--MA0768.1.LEF1	chr1	38723946	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR712--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1613--MA0768.1.LEF1	chr6	145469522	145469536	+	0.000	0.000	Merged-chr6-145469437-17
NR1188--MA0768.1.LEF1	chr3	109421018	109421032	+	0.000	0.000	Merged-chr3-109421125-43
NR735--MA0768.1.LEF1	chr16	25587907	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR1636--MA0768.1.LEF1	chr7	29141613	29141627	-	0.000	0.000	Merged-chr7-29141670-31
NR1099--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR507--MA0768.1.LEF1	chr13	84769226	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR1766--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR1408--MA0768.1.LEF1	chr5	64764617	64764631	+	0.000	0.000	Merged-chr5-64764597-23
NR637--MA0768.1.LEF1	chr14	118658091	118658105	+	0.000	0.000	Merged-chr14-118658326-68
NR1538--MA0768.1.LEF1	chr6	86910058	86910072	-	0.000	0.000	Merged-chr6-86910084-11
NR1453--MA0768.1.LEF1	chr5	111235797	111235811	-	0.000	0.000	Merged-chr5-111235959-11
NR673--MA0768.1.LEF1	chr15	59805124	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR879--MA0768.1.LEF1	chr18	32598283	32598297	+	0.000	0.000	Merged-chr18-32598271-33
NR1686--MA0768.1.LEF1	chr7	99833906	99833920	-	0.000	0.000	Merged-chr7-99833987-52
NR360--MA0768.1.LEF1	chr12	39649176	39649190	-	0.000	0.000	Merged-chr12-39649191-14
NR329--MA0768.1.LEF1	chr11	115589121	115589135	+	0.000	0.000	Merged-chr11-115589146-15
NR235--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1803--MA0768.1.LEF1	chr8	91507607	91507621	-	0.000	0.000	Merged-chr8-91507766-35
NR1248--MA0768.1.LEF1	chr3	157938813	157938827	+	0.000	0.000	Merged-chr3-157938783-43
NR1033--MA0768.1.LEF1	chr2	70922738	70922752	+	0.000	0.000	Merged-chr2-70922738-17
NR459--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR1821--MA0768.1.LEF1	chr8	117299276	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR1396--MA0768.1.LEF1	chr5	52245285	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1293--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR1611--MA0768.1.LEF1	chr6	145379545	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR1065--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR1741--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR1186--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR706--MA0768.1.LEF1	chr15	91616722	91616736	-	0.000	0.000	Merged-chr15-91616695-12
NR970--MA0768.1.LEF1	chr19	55915608	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR1737--MA0768.1.LEF1	chr7	127922797	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR872--MA0768.1.LEF1	chr18	19483680	19483694	-	0.000	0.000	Merged-chr18-19483716-13
NR1415--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR626--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR890--MA0768.1.LEF1	chr18	49721699	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR644--MA0768.1.LEF1	chr14	122908308	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR1451--MA0768.1.LEF1	chr5	107754912	107754926	-	0.000	0.000	Merged-chr5-107754930-37
NR877--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR989--MA0768.1.LEF1	chr2	6569286	6569300	+	0.000	0.000	Merged-chr2-6569390-16
NR774--MA0768.1.LEF1	chr16	78573186	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1675--MA0768.1.LEF1	chr7	88459891	88459905	-	0.000	0.000	Merged-chr7-88459917-15
NR546--MA0768.1.LEF1	chr13	112133937	112133951	+	0.000	0.000	Merged-chr13-112133906-22
NR1447--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1371--MA0768.1.LEF1	chr5	8397615	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR694--MA0768.1.LEF1	chr15	78683742	78683756	-	0.000	0.000	Merged-chr15-78683730-20
NR1237--MA0768.1.LEF1	chr3	146192789	146192803	+	0.000	0.000	Merged-chr3-146192596-55
NR1143--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR108--MA0768.1.LEF1	chr1	180252832	180252846	-	0.000	0.000	Merged-chr1-180252895-14
NR587--MA0768.1.LEF1	chr14	56576705	56576719	+	0.000	0.000	Merged-chr14-56576676-41
NR372--MA0768.1.LEF1	chr12	59170101	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR1385--MA0768.1.LEF1	chr5	22740156	22740170	-	0.000	0.000	Merged-chr5-22740212-9
NR1909--MA0768.1.LEF1	chr9	80754675	80754689	-	0.000	0.000	Merged-chr9-80754738-24
NR1806--MA0768.1.LEF1	chr8	92333606	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR1045--MA0768.1.LEF1	chr2	84582511	84582525	+	0.000	0.000	Merged-chr2-84582461-28
NR941--MA0768.1.LEF1	chr19	21547553	21547567	-	0.000	0.000	Merged-chr19-21547622-17
NR180--MA0768.1.LEF1	chr10	80658899	80658913	-	0.000	0.000	Merged-chr10-80658824-84
NR1081--MA0768.1.LEF1	chr2	132669231	132669245	+	0.000	0.000	Merged-chr2-132669439-31
NR713--MA0768.1.LEF1	chr15	94476042	94476056	+	0.000	0.000	Merged-chr15-94476156-15
NR1077--MA0768.1.LEF1	chr2	128544644	128544658	+	0.000	0.000	Merged-chr2-128544786-45
NR1516--MA0768.1.LEF1	chr6	61125592	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR1767--MA0768.1.LEF1	chr8	46543318	46543332	-	0.000	0.000	Merged-chr8-46543326-23
NR1570--MA0768.1.LEF1	chr6	108482613	108482627	+	0.000	0.000	Merged-chr6-108482601-32
NR1682--MA0768.1.LEF1	chr7	97042365	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR1230--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR1360--MA0768.1.LEF1	chr4	148683798	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR1020--MA0768.1.LEF1	chr2	48379935	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR558--MA0768.1.LEF1	chr13	119681295	119681309	-	0.000	0.000	Merged-chr13-119681376-28
NR576--MA0768.1.LEF1	chr14	48427776	48427790	-	0.000	0.000	Merged-chr14-48427656-16
NR361--MA0768.1.LEF1	chr12	40244055	40244069	-	0.000	0.000	Merged-chr12-40244001-31
NR1495--MA0768.1.LEF1	chr6	15716966	15716980	-	0.000	0.000	Merged-chr6-15716932-11
NR903--MA0768.1.LEF1	chr18	68190169	68190183	+	0.000	0.000	Merged-chr18-68190088-51
NR1916--MA0768.1.LEF1	chr9	86358168	86358182	+	0.000	0.000	Merged-chr9-86358018-16
NR1070--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR1182--MA0768.1.LEF1	chr3	104796771	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR286--MA0768.1.LEF1	chr11	84252630	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1966--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1608--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR1626--MA0768.1.LEF1	chr7	16196946	16196960	+	0.000	0.000	Merged-chr7-16196917-6
NR1738--MA0768.1.LEF1	chr7	127922926	127922940	-	0.000	0.000	Merged-chr7-127922827-35
NR1644--MA0768.1.LEF1	chr7	43481482	43481496	-	0.000	0.000	Merged-chr7-43481332-27
NR761--MA0768.1.LEF1	chr16	55769888	55769902	-	0.000	0.000	Merged-chr16-55769882-2
NR967--MA0768.1.LEF1	chr19	47915525	47915539	+	0.000	0.000	Merged-chr19-47915460-18
NR873--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR1416--MA0768.1.LEF1	chr5	74261227	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR878--MA0768.1.LEF1	chr18	32543342	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR663--MA0768.1.LEF1	chr15	50098424	50098438	+	0.000	0.000	Merged-chr15-50098332-1
NR775--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR417--MA0768.1.LEF1	chr12	105538348	105538362	+	0.000	0.000	Merged-chr12-105538395-6
NR1676--MA0768.1.LEF1	chr7	89712886	89712900	+	0.000	0.000	Merged-chr7-89712844-48
NR78--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1484--MA0768.1.LEF1	chr5	148709220	148709234	+	0.000	0.000	Merged-chr5-148709171-35
NR1153--MA0768.1.LEF1	chr3	65793913	65793927	-	0.000	0.000	Merged-chr3-65793747-53
NR1386--MA0768.1.LEF1	chr5	28382467	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR1171--MA0768.1.LEF1	chr3	96847892	96847906	-	0.000	0.000	Merged-chr3-96847710-69
NR239--MA0768.1.LEF1	chr10	130340349	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1292--MA0768.1.LEF1	chr4	88079058	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR906--MA0768.1.LEF1	chr18	69548095	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR1046--MA0768.1.LEF1	chr2	84582503	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR1731--MA0768.1.LEF1	chr7	125186632	125186646	+	0.000	0.000	Merged-chr7-125186656-23
NR275--MA0768.1.LEF1	chr11	74100877	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR1955--MA0768.1.LEF1	chr9	122398993	122399007	+	0.000	0.000	Merged-chr9-122399009-31
NR12--MA0768.1.LEF1	chr1	39895711	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR714--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR1078--MA0768.1.LEF1	chr2	129285383	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR750--MA0768.1.LEF1	chr16	44735811	44735825	+	0.000	0.000	Merged-chr16-44735956-40
NR195--MA0768.1.LEF1	chr10	93188680	93188694	-	0.000	0.000	Merged-chr10-93188465-33
NR719--MA0768.1.LEF1	chr15	99065757	99065771	-	0.000	0.000	Merged-chr15-99065640-20
NR616--MA0768.1.LEF1	chr14	78448462	78448476	-	0.000	0.000	Merged-chr14-78448544-66
NR1517--MA0768.1.LEF1	chr6	61263669	61263683	+	0.000	0.000	Merged-chr6-61263601-18
NR652--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR1665--MA0768.1.LEF1	chr7	79300946	79300960	+	0.000	0.000	Merged-chr7-79300921-71
NR670--MA0768.1.LEF1	chr15	58145493	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR639--MA0768.1.LEF1	chr14	121137384	121137398	+	0.000	0.000	Merged-chr14-121137502-35
NR1683--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR308--MA0768.1.LEF1	chr11	105445155	105445169	-	0.000	0.000	Merged-chr11-105445069-18
NR85--MA0768.1.LEF1	chr1	161436693	161436707	-	0.000	0.000	Merged-chr1-161436721-21
NR1473--MA0768.1.LEF1	chr5	140502564	140502578	-	0.000	0.000	Merged-chr5-140502630-23
