#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR1879--MA1421.1.TCF7L1	chr14	103619883	103619894	+	0.000	0.000	Merged-chr14-103620031-34
NR532--MA1421.1.TCF7L1	chr10	38884932	38884943	+	0.000	0.000	Merged-chr10-38884993-65
NR2676--MA0769.1.Tcf7	chr18	66528875	66528886	+	0.000	0.000	Merged-chr18-66528856-1
NR4943--MA0523.1.TCF7L2	chr7	109265815	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR2632--MA0523.1.TCF7L2	chr18	53904318	53904331	+	0.000	0.000	Merged-chr18-53904421-2
NR489--MA0769.1.Tcf7	chr10	13424827	13424838	+	0.000	0.000	Merged-chr10-13424690-40
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR533--MA0523.1.TCF7L2	chr10	38884932	38884945	+	0.000	0.000	Merged-chr10-38884993-65
NR3146--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR5137--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR5629--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR5448--MA0523.1.TCF7L2	chr9	72890935	72890948	-	0.000	0.000	Merged-chr9-72890879-25
NR1032--MA0769.1.Tcf7	chr11	104158015	104158026	-	0.000	0.000	Merged-chr11-104158136-14
NR515--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2092--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR96--MA1421.1.TCF7L1	chr1	72870326	72870337	+	0.000	0.000	Merged-chr1-72870469-25
NR1404--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1099--MA0523.1.TCF7L2	chr11	117092937	117092950	-	0.000	0.000	Merged-chr11-117092893-43
NR4294--MA0523.1.TCF7L2	chr5	140871436	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR4942--MA1421.1.TCF7L1	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR2093--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR5630--MA0523.1.TCF7L2	chr9	118285729	118285742	-	0.000	0.000	Merged-chr9-118285683-37
NR2180--MA0769.1.Tcf7	chr16	25587910	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2786--MA0769.1.Tcf7	chr19	9044558	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR5628--MA1421.1.TCF7L1	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
