#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR257--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR1453--MA0002.2.RUNX1	chr10	122200005	122200015	+	0.000	0.000	Merged-chr10-122200080-48
NR3830--MA0511.2.RUNX2	chr15	27668288	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR10140--MA0002.2.RUNX1	chr8	95154777	95154787	-	0.000	0.000	Merged-chr8-95154872-23
NR3452--MA0002.2.RUNX1	chr14	47395862	47395872	+	0.000	0.000	Merged-chr14-47395869-114
NR2505--MA0511.2.RUNX2	chr12	99544780	99544788	+	0.000	0.000	Merged-chr12-99544732-47
NR4087--MA0684.1.RUNX3	chr15	94231418	94231427	-	0.000	0.000	Merged-chr15-94231457-27
NR7967--MA0002.2.RUNX1	chr5	45790451	45790461	-	0.000	0.000	Merged-chr5-45790409-20
NR9180--MA0002.2.RUNX1	chr6	145980992	145981002	+	0.000	0.000	Merged-chr6-145981176-43
NR149--MA0511.2.RUNX2	chr1	54421901	54421909	+	0.000	0.000	Merged-chr1-54421982-33
NR6269--MA0684.1.RUNX3	chr2	135737686	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR4046--MA0002.2.RUNX1	chr15	84372841	84372851	+	0.000	0.000	Merged-chr15-84372915-18
NR5743--MA0002.2.RUNX1	chr2	6379922	6379932	-	0.000	0.000	Merged-chr2-6380083-49
NR3814--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR1912--MA0684.1.RUNX3	chr11	85324192	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR9464--MA0002.2.RUNX1	chr7	80828607	80828617	-	0.000	0.000	Merged-chr7-80828687-47
NR10720--MA0511.2.RUNX2	chr9	83564266	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR8246--MA0511.2.RUNX2	chr5	115693470	115693478	+	0.000	0.000	Merged-chr5-115693567-32
NR10571--MA0511.2.RUNX2	chr9	61715135	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR8477--MA0511.2.RUNX2	chr6	5997677	5997685	+	0.000	0.000	Merged-chr6-5997718-16
NR3992--MA0511.2.RUNX2	chr15	76770366	76770374	-	0.000	0.000	Merged-chr15-76770514-52
NR6188--MA0002.2.RUNX1	chr2	121276174	121276184	+	0.000	0.000	Merged-chr2-121276233-14
NR11066--MA0002.2.RUNX1	chrX	42337011	42337021	+	0.000	0.000	Merged-chrX-42336875-23
NR9991--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR10721--MA0684.1.RUNX3	chr9	83564265	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR10844--MA0002.2.RUNX1	chr9	101249834	101249844	+	0.000	0.000	Merged-chr9-101249791-43
NR7788--MA0684.1.RUNX3	chr4	154936711	154936720	+	0.000	0.000	Merged-chr4-154936813-27
NR1063--MA0002.2.RUNX1	chr10	58480391	58480401	-	0.000	0.000	Merged-chr10-58480234-23
NR3471--MA0002.2.RUNX1	chr14	52427858	52427868	+	0.000	0.000	Merged-chr14-52427807-17
NR8369--MA0684.1.RUNX3	chr5	140201483	140201492	-	0.000	0.000	Merged-chr5-140201458-20
NR5544--MA0002.2.RUNX1	chr19	32138397	32138407	-	0.000	0.000	Merged-chr19-32138517-38
NR9983--MA0511.2.RUNX2	chr8	41334319	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR1250--MA0511.2.RUNX2	chr10	90981734	90981742	+	0.000	0.000	Merged-chr10-90981841-14
NR10822--MA0684.1.RUNX3	chr9	96953705	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR5000--MA0002.2.RUNX1	chr17	80418837	80418847	+	0.000	0.000	Merged-chr17-80418993-27
NR5351--MA0511.2.RUNX2	chr18	79297926	79297934	+	0.000	0.000	Merged-chr18-79298014-36
NR8186--MA0684.1.RUNX3	chr5	107449102	107449111	-	0.000	0.000	Merged-chr5-107449243-36
NR2351--MA0002.2.RUNX1	chr12	71294802	71294812	+	0.000	0.000	Merged-chr12-71294636-41
NR6107--MA0511.2.RUNX2	chr2	93411436	93411444	-	0.000	0.000	Merged-chr2-93411481-30
NR9988--MA0511.2.RUNX2	chr8	46420600	46420608	+	0.000	0.000	Merged-chr8-46420639-16
NR3236--MA0684.1.RUNX3	chr13	108527451	108527460	-	0.000	0.000	Merged-chr13-108527257-30
NR1251--MA0684.1.RUNX3	chr10	90981734	90981743	+	0.000	0.000	Merged-chr10-90981841-14
NR1125--MA0511.2.RUNX2	chr10	68673691	68673699	-	0.000	0.000	Merged-chr10-68673774-53
NR884--MA0684.1.RUNX3	chr1	193146437	193146446	+	0.000	0.000	Merged-chr1-193146532-29
NR10026--MA0002.2.RUNX1	chr8	61561437	61561447	-	0.000	0.000	Merged-chr8-61561458-9
NR1072--MA0511.2.RUNX2	chr10	60162576	60162584	-	0.000	0.000	Merged-chr10-60162645-38
NR7092--MA0511.2.RUNX2	chr3	144232151	144232159	-	0.000	0.000	Merged-chr3-144232172-58
NR7787--MA0002.2.RUNX1	chr4	154936711	154936721	-	0.000	0.000	Merged-chr4-154936813-27
NR2530--MA0511.2.RUNX2	chr12	102067865	102067873	+	0.000	0.000	Merged-chr12-102067904-11
NR6391--MA0002.2.RUNX1	chr2	158323021	158323031	+	0.000	0.000	Merged-chr2-158323146-37
NR9066--MA0002.2.RUNX1	chr6	134700987	134700997	+	0.000	0.000	Merged-chr6-134700850-79
NR150--MA0002.2.RUNX1	chr1	54421901	54421911	-	0.000	0.000	Merged-chr1-54421982-33
NR2360--MA0511.2.RUNX2	chr12	73382530	73382538	-	0.000	0.000	Merged-chr12-73382539-19
NR900--MA0511.2.RUNX2	chr10	4632282	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR6872--MA0002.2.RUNX1	chr3	107819323	107819333	+	0.000	0.000	Merged-chr3-107819260-44
NR454--MA0684.1.RUNX3	chr1	128399307	128399316	+	0.000	0.000	Merged-chr1-128399248-36
NR704--MA0684.1.RUNX3	chr1	172197313	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR10227--MA0684.1.RUNX3	chr8	115568646	115568655	-	0.000	0.000	Merged-chr8-115568627-19
NR9463--MA0511.2.RUNX2	chr7	80828607	80828615	+	0.000	0.000	Merged-chr7-80828687-47
NR8510--MA0002.2.RUNX1	chr6	28878170	28878180	-	0.000	0.000	Merged-chr6-28878211-33
NR2361--MA0684.1.RUNX3	chr12	73382529	73382538	-	0.000	0.000	Merged-chr12-73382539-19
NR2864--MA0002.2.RUNX1	chr13	34914836	34914846	+	0.000	0.000	Merged-chr13-34914852-26
NR2367--MA0002.2.RUNX1	chr12	73755672	73755682	+	0.000	0.000	Merged-chr12-73755850-33
NR779--MA0002.2.RUNX1	chr1	180546332	180546342	+	0.000	0.000	Merged-chr1-180546359-32
NR6913--MA0511.2.RUNX2	chr3	116200195	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR4244--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR2507--MA0684.1.RUNX3	chr12	99544780	99544789	+	0.000	0.000	Merged-chr12-99544732-47
NR2315--MA0511.2.RUNX2	chr12	55466581	55466589	+	0.000	0.000	Merged-chr12-55466597-41
NR1075--MA0511.2.RUNX2	chr10	60162675	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR3873--MA0002.2.RUNX1	chr15	38535574	38535584	-	0.000	0.000	Merged-chr15-38535554-39
NR1910--MA0511.2.RUNX2	chr11	85324193	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR6914--MA0684.1.RUNX3	chr3	116200194	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR4053--MA0002.2.RUNX1	chr15	85233150	85233160	-	0.000	0.000	Merged-chr15-85233310-62
NR8479--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR3831--MA0002.2.RUNX1	chr15	27668286	27668296	+	0.000	0.000	Merged-chr15-27668249-55
NR9993--MA0684.1.RUNX3	chr8	46420692	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR6979--MA0511.2.RUNX2	chr3	130894420	130894428	+	0.000	0.000	Merged-chr3-130894407-22
NR9985--MA0684.1.RUNX3	chr8	41334318	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR10898--MA0002.2.RUNX1	chr9	110907689	110907699	-	0.000	0.000	Merged-chr9-110907689-47
NR259--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR3815--MA0002.2.RUNX1	chr15	18951817	18951827	+	0.000	0.000	Merged-chr15-18951851-25
NR10820--MA0511.2.RUNX2	chr9	96953706	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR8247--MA0002.2.RUNX1	chr5	115693470	115693480	-	0.000	0.000	Merged-chr5-115693567-32
NR8184--MA0511.2.RUNX2	chr5	107449103	107449111	-	0.000	0.000	Merged-chr5-107449243-36
NR258--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR10572--MA0002.2.RUNX1	chr9	61715133	61715143	+	0.000	0.000	Merged-chr9-61715160-12
NR1224--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR5421--MA0002.2.RUNX1	chr18	84874255	84874265	+	0.000	0.000	Merged-chr18-84874398-59
NR8478--MA0002.2.RUNX1	chr6	5997677	5997687	-	0.000	0.000	Merged-chr6-5997718-16
NR8880--MA0002.2.RUNX1	chr6	115577646	115577656	+	0.000	0.000	Merged-chr6-115577839-87
NR1381--MA0002.2.RUNX1	chr10	117118607	117118617	-	0.000	0.000	Merged-chr10-117118585-40
NR9984--MA0002.2.RUNX1	chr8	41334317	41334327	+	0.000	0.000	Merged-chr8-41334366-24
NR6831--MA0002.2.RUNX1	chr3	100999247	100999257	-	0.000	0.000	Merged-chr3-100999215-37
NR4370--MA0002.2.RUNX1	chr16	48594584	48594594	-	0.000	0.000	Merged-chr16-48594719-53
NR5352--MA0002.2.RUNX1	chr18	79297926	79297936	-	0.000	0.000	Merged-chr18-79298014-36
NR6701--MA0002.2.RUNX1	chr3	68240113	68240123	-	0.000	0.000	Merged-chr3-68240034-18
NR7141--MA0002.2.RUNX1	chr3	152127413	152127423	+	0.000	0.000	Merged-chr3-152127515-20
NR9989--MA0002.2.RUNX1	chr8	46420600	46420610	-	0.000	0.000	Merged-chr8-46420639-16
NR2830--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR5966--MA0511.2.RUNX2	chr2	65871110	65871118	-	0.000	0.000	Merged-chr2-65871141-19
NR3872--MA0511.2.RUNX2	chr15	38535574	38535582	+	0.000	0.000	Merged-chr15-38535554-39
NR702--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR1017--MA0002.2.RUNX1	chr10	40479355	40479365	+	0.000	0.000	Merged-chr10-40479489-48
NR9465--MA0684.1.RUNX3	chr7	80828607	80828616	+	0.000	0.000	Merged-chr7-80828687-47
NR1126--MA0002.2.RUNX1	chr10	68673689	68673699	+	0.000	0.000	Merged-chr10-68673774-53
NR10701--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR10225--MA0511.2.RUNX2	chr8	115568647	115568655	-	0.000	0.000	Merged-chr8-115568627-19
NR1073--MA0002.2.RUNX1	chr10	60162574	60162584	+	0.000	0.000	Merged-chr10-60162645-38
NR10867--MA0002.2.RUNX1	chr9	105689681	105689691	+	0.000	0.000	Merged-chr9-105689631-24
NR2531--MA0002.2.RUNX1	chr12	102067865	102067875	-	0.000	0.000	Merged-chr12-102067904-11
NR6980--MA0002.2.RUNX1	chr3	130894420	130894430	-	0.000	0.000	Merged-chr3-130894407-22
NR11067--MA0684.1.RUNX3	chrX	42337012	42337021	-	0.000	0.000	Merged-chrX-42336875-23
NR5967--MA0684.1.RUNX3	chr2	65871109	65871118	-	0.000	0.000	Merged-chr2-65871141-19
NR780--MA0684.1.RUNX3	chr1	180546333	180546342	-	0.000	0.000	Merged-chr1-180546359-32
NR6231--MA0002.2.RUNX1	chr2	128544656	128544666	-	0.000	0.000	Merged-chr2-128544786-45
NR10117--MA0684.1.RUNX3	chr8	91395943	91395952	+	0.000	0.000	Merged-chr8-91395862-46
NR3648--MA0002.2.RUNX1	chr14	75444779	75444789	+	0.000	0.000	Merged-chr14-75444835-23
NR10845--MA0684.1.RUNX3	chr9	101249835	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR1064--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR5545--MA0684.1.RUNX3	chr19	32138397	32138406	+	0.000	0.000	Merged-chr19-32138517-38
NR5397--MA0002.2.RUNX1	chr18	83465305	83465315	+	0.000	0.000	Merged-chr18-83465273-18
NR3478--MA0002.2.RUNX1	chr14	53806399	53806409	-	0.000	0.000	Merged-chr14-53806193-41
NR10897--MA0511.2.RUNX2	chr9	110907689	110907697	+	0.000	0.000	Merged-chr9-110907689-47
NR10027--MA0684.1.RUNX3	chr8	61561437	61561446	+	0.000	0.000	Merged-chr8-61561458-9
NR10116--MA0002.2.RUNX1	chr8	91395943	91395953	-	0.000	0.000	Merged-chr8-91395862-46
NR6392--MA0684.1.RUNX3	chr2	158323022	158323031	-	0.000	0.000	Merged-chr2-158323146-37
NR6471--MA0511.2.RUNX2	chr2	169089154	169089162	+	0.000	0.000	Merged-chr2-169089199-37
NR2829--MA0511.2.RUNX2	chr13	24866804	24866812	+	0.000	0.000	Merged-chr13-24866887-32
NR4086--MA0002.2.RUNX1	chr15	94231417	94231427	+	0.000	0.000	Merged-chr15-94231457-27
NR151--MA0684.1.RUNX3	chr1	54421901	54421910	+	0.000	0.000	Merged-chr1-54421982-33
NR6268--MA0002.2.RUNX1	chr2	135737685	135737695	+	0.000	0.000	Merged-chr2-135737673-31
NR6700--MA0511.2.RUNX2	chr3	68240113	68240121	+	0.000	0.000	Merged-chr3-68240034-18
NR6873--MA0684.1.RUNX3	chr3	107819324	107819333	-	0.000	0.000	Merged-chr3-107819260-44
NR1911--MA0002.2.RUNX1	chr11	85324191	85324201	+	0.000	0.000	Merged-chr11-85324179-42
NR11080--MA0002.2.RUNX1	chrX	52679311	52679321	-	0.000	0.000	Merged-chrX-52679336-26
NR5189--MA0684.1.RUNX3	chr18	36709048	36709057	-	0.000	0.000	Merged-chr18-36708852-70
NR256--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR5993--MA0002.2.RUNX1	chr2	70425864	70425874	+	0.000	0.000	Merged-chr2-70425902-24
NR6988--MA0002.2.RUNX1	chr3	132791318	132791328	-	0.000	0.000	Merged-chr3-132791387-40
NR2865--MA0684.1.RUNX3	chr13	34914837	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR1929--MA0002.2.RUNX1	chr11	86872721	86872731	+	0.000	0.000	Merged-chr11-86872855-18
NR9956--MA0002.2.RUNX1	chr8	34120821	34120831	+	0.000	0.000	Merged-chr8-34120698-35
NR6230--MA0511.2.RUNX2	chr2	128544656	128544664	+	0.000	0.000	Merged-chr2-128544786-45
NR10821--MA0002.2.RUNX1	chr9	96953704	96953714	+	0.000	0.000	Merged-chr9-96953731-26
NR4245--MA0684.1.RUNX3	chr16	22526577	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR9630--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR8185--MA0002.2.RUNX1	chr5	107449101	107449111	+	0.000	0.000	Merged-chr5-107449243-36
NR6266--MA0002.2.RUNX1	chr2	135737621	135737631	+	0.000	0.000	Merged-chr2-135737673-31
NR9990--MA0684.1.RUNX3	chr8	46420600	46420609	+	0.000	0.000	Merged-chr8-46420639-16
NR3874--MA0684.1.RUNX3	chr15	38535574	38535583	+	0.000	0.000	Merged-chr15-38535554-39
NR3235--MA0002.2.RUNX1	chr13	108527450	108527460	+	0.000	0.000	Merged-chr13-108527257-30
NR883--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR901--MA0684.1.RUNX3	chr10	4632281	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR3832--MA0684.1.RUNX3	chr15	27668287	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR9181--MA0002.2.RUNX1	chr6	146005518	146005528	-	0.000	0.000	Merged-chr6-146005521-31
NR1351--MA0002.2.RUNX1	chr10	111544108	111544118	+	0.000	0.000	Merged-chr10-111544120-26
NR11065--MA0511.2.RUNX2	chrX	42337013	42337021	-	0.000	0.000	Merged-chrX-42336875-23
NR10843--MA0511.2.RUNX2	chr9	101249836	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR1062--MA0511.2.RUNX2	chr10	58480391	58480399	+	0.000	0.000	Merged-chr10-58480234-23
NR453--MA0002.2.RUNX1	chr1	128399307	128399317	-	0.000	0.000	Merged-chr1-128399248-36
NR4085--MA0511.2.RUNX2	chr15	94231419	94231427	-	0.000	0.000	Merged-chr15-94231457-27
NR7429--MA0002.2.RUNX1	chr4	95278164	95278174	-	0.000	0.000	Merged-chr4-95278286-49
NR3179--MA0002.2.RUNX1	chr13	101713878	101713888	+	0.000	0.000	Merged-chr13-101713890-21
