#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR2086--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR5--MA0768.1.LEF1	chr1	13559596	13559610	+	0.000	0.000	Merged-chr1-13559747-54
NR1471--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR230--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR463--MA0768.1.LEF1	chr11	117848737	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR114--MA0768.1.LEF1	chr1	127348984	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR249--MA0768.1.LEF1	chr10	41615634	41615648	+	0.000	0.000	Merged-chr10-41615681-31
NR1047--MA0768.1.LEF1	chr16	58546298	58546312	+	0.000	0.000	Merged-chr16-58546287-56
NR760--MA0768.1.LEF1	chr14	20173902	20173916	+	0.000	0.000	Merged-chr14-20174041-54
NR774--MA0768.1.LEF1	chr14	36316954	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR354--MA0768.1.LEF1	chr10	118419238	118419252	+	0.000	0.000	Merged-chr10-118419236-59
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1385--MA0768.1.LEF1	chr2	13560675	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR1139--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR2037--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR1077--MA0768.1.LEF1	chr16	92743981	92743995	+	0.000	0.000	Merged-chr16-92743989-33
NR736--MA0768.1.LEF1	chr13	117051689	117051703	+	0.000	0.000	Merged-chr13-117051602-40
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR1034--MA0768.1.LEF1	chr16	50070627	50070641	+	0.000	0.000	Merged-chr16-50070751-51
NR2487--MA0768.1.LEF1	chr8	35628451	35628465	-	0.000	0.000	Merged-chr8-35628375-52
NR1989--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR533--MA0768.1.LEF1	chr12	77113669	77113683	-	0.000	0.000	Merged-chr12-77113716-48
NR430--MA0768.1.LEF1	chr11	93995373	93995387	+	0.000	0.000	Merged-chr11-93995310-5
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR337--MA0768.1.LEF1	chr10	109115278	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1238--MA0768.1.LEF1	chr18	56447167	56447181	+	0.000	0.000	Merged-chr18-56447278-50
NR1256--MA0768.1.LEF1	chr18	66453474	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR2458--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2588--MA0768.1.LEF1	chr9	24413807	24413821	+	0.000	0.000	Merged-chr9-24413892-11
NR942--MA0768.1.LEF1	chr15	73182578	73182592	+	0.000	0.000	Merged-chr15-73182706-35
NR2755--MA0768.1.LEF1	chrX	132288201	132288215	+	0.000	0.000	Merged-chrX-132288230-18
NR2107--MA0768.1.LEF1	chr5	124034877	124034891	+	0.000	0.000	Merged-chr5-124034642-47
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
NR184--MA0768.1.LEF1	chr1	180390378	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
