#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR1649--MA0690.1.TBX21	chr6	140314167	140314176	-	0.000	0.000	Merged-chr6-140314075-23
NR1105--MA0690.1.TBX21	chr2	163426683	163426692	-	0.000	0.000	Merged-chr2-163426594-15
NR576--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1195--MA0690.1.TBX21	chr3	104780691	104780700	-	0.000	0.000	Merged-chr3-104780834-109
NR1989--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR271--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR1607--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR826--MA0690.1.TBX21	chr17	84166760	84166769	+	0.000	0.000	Merged-chr17-84166652-22
NR1567--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR1275--MA0690.1.TBX21	chr4	32127001	32127010	+	0.000	0.000	Merged-chr4-32126903-56
NR1267--MA0690.1.TBX21	chr4	8837761	8837770	+	0.000	0.000	Merged-chr4-8837800-54
NR409--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR2053--MA0690.1.TBX21	chrX	163995481	163995490	-	0.000	0.000	Merged-chrX-163995389-32
NR117--MA0690.1.TBX21	chr1	153583251	153583260	+	0.000	0.000	Merged-chr1-153583385-34
NR226--MA0690.1.TBX21	chr10	68199642	68199651	-	0.000	0.000	Merged-chr10-68199721-19
NR282--MA0690.1.TBX21	chr11	17005008	17005017	+	0.000	0.000	Merged-chr11-17005179-7
NR109--MA0690.1.TBX21	chr1	143319642	143319651	-	0.000	0.000	Merged-chr1-143319719-34
NR2011--MA0690.1.TBX21	chr9	117911001	117911010	+	0.000	0.000	Merged-chr9-117910970-21
NR1802--MA0690.1.TBX21	chr7	142399306	142399315	-	0.000	0.000	Merged-chr7-142399305-21
NR2029--MA0690.1.TBX21	chrX	36744826	36744835	-	0.000	0.000	Merged-chrX-36744841-35
NR258--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR115--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR1842--MA0690.1.TBX21	chr8	33663517	33663526	+	0.000	0.000	Merged-chr8-33663493-16
NR107--MA0690.1.TBX21	chr1	138590549	138590558	+	0.000	0.000	Merged-chr1-138590602-27
NR1202--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1956--MA0690.1.TBX21	chr9	69362312	69362321	+	0.000	0.000	Merged-chr9-69362247-25
NR1404--MA0690.1.TBX21	chr5	35176289	35176298	-	0.000	0.000	Merged-chr5-35176446-65
NR2019--MA0690.1.TBX21	chr9	120023319	120023328	-	0.000	0.000	Merged-chr9-120023283-16
NR1622--MA0690.1.TBX21	chr6	119199052	119199061	+	0.000	0.000	Merged-chr6-119199024-52
NR1112--MA0690.1.TBX21	chr2	170307092	170307101	+	0.000	0.000	Merged-chr2-170306902-1
NR1539--MA0690.1.TBX21	chr6	38360233	38360242	-	0.000	0.000	Merged-chr6-38360325-47
NR963--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR820--MA0690.1.TBX21	chr17	71288394	71288403	-	0.000	0.000	Merged-chr17-71288308-17
NR1595--MA0690.1.TBX21	chr6	99435233	99435242	-	0.000	0.000	Merged-chr6-99435291-39
NR1499--MA0690.1.TBX21	chr5	139299471	139299480	+	0.000	0.000	Merged-chr5-139299297-63
NR432--MA0690.1.TBX21	chr13	22609091	22609100	-	0.000	0.000	Merged-chr13-22609236-45
NR1478--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR921--MA0690.1.TBX21	chr19	10816058	10816067	+	0.000	0.000	Merged-chr19-10816124-38
NR302--MA0690.1.TBX21	chr11	53810475	53810484	+	0.000	0.000	Merged-chr11-53810428-22
NR825--MA0690.1.TBX21	chr17	84166624	84166633	+	0.000	0.000	Merged-chr17-84166652-22
NR1566--MA0690.1.TBX21	chr6	72624169	72624178	-	0.000	0.000	Merged-chr6-72624270-20
NR1056--MA0690.1.TBX21	chr2	102849935	102849944	+	0.000	0.000	Merged-chr2-102849968-21
NR1327--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR798--MA0690.1.TBX21	chr17	47123781	47123790	-	0.000	0.000	Merged-chr17-47123695-29
NR384--MA0690.1.TBX21	chr12	79447174	79447183	+	0.000	0.000	Merged-chr12-79447275-32
NR1274--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR1396--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR472--MA0690.1.TBX21	chr13	63189867	63189876	-	0.000	0.000	Merged-chr13-63189715-33
NR1266--MA0690.1.TBX21	chr4	8834811	8834820	-	0.000	0.000	Merged-chr4-8834782-18
NR1789--MA0690.1.TBX21	chr7	136255759	136255768	-	0.000	0.000	Merged-chr7-136255803-24
NR878--MA0690.1.TBX21	chr18	62186502	62186511	-	0.000	0.000	Merged-chr18-62186304-32
NR281--MA0690.1.TBX21	chr11	11522097	11522106	-	0.000	0.000	Merged-chr11-11522120-49
NR313--MA0690.1.TBX21	chr11	72342357	72342366	-	0.000	0.000	Merged-chr11-72342522-29
NR849--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR2023--MA0690.1.TBX21	chr9	123836112	123836121	-	0.000	0.000	Merged-chr9-123836013-41
NR815--MA0690.1.TBX21	chr17	66123690	66123699	+	0.000	0.000	Merged-chr17-66123713-52
NR130--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR536--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR278--MA0690.1.TBX21	chr11	5005454	5005463	+	0.000	0.000	Merged-chr11-5005546-13
NR358--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR629--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1201--MA0690.1.TBX21	chr3	115692527	115692536	-	0.000	0.000	Merged-chr3-115692552-34
NR1453--MA0690.1.TBX21	chr5	105610010	105610019	-	0.000	0.000	Merged-chr5-105609798-27
NR1671--MA0690.1.TBX21	chr7	12891134	12891143	-	0.000	0.000	Merged-chr7-12891207-39
NR1323--MA0690.1.TBX21	chr4	101298631	101298640	-	0.000	0.000	Merged-chr4-101298593-40
NR1432--MA0690.1.TBX21	chr5	77166398	77166407	+	0.000	0.000	Merged-chr5-77166256-29
NR1703--MA0690.1.TBX21	chr7	66228718	66228727	-	0.000	0.000	Merged-chr7-66228697-16
NR1955--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1716--MA0690.1.TBX21	chr7	81179777	81179786	+	0.000	0.000	Merged-chr7-81179607-41
NR2013--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR1283--MA0690.1.TBX21	chr4	40781322	40781331	-	0.000	0.000	Merged-chr4-40781341-5
NR308--MA0690.1.TBX21	chr11	68442509	68442518	+	0.000	0.000	Merged-chr11-68442579-25
NR1403--MA0690.1.TBX21	chr5	33520472	33520481	+	0.000	0.000	Merged-chr5-33520453-4
NR159--MA0690.1.TBX21	chr1	191802782	191802791	-	0.000	0.000	Merged-chr1-191802759-25
NR1472--MA0690.1.TBX21	chr5	118465400	118465409	+	0.000	0.000	Merged-chr5-118465239-56
NR1180--MA0690.1.TBX21	chr3	94375491	94375500	+	0.000	0.000	Merged-chr3-94375656-27
NR1626--MA0690.1.TBX21	chr6	122270272	122270281	-	0.000	0.000	Merged-chr6-122270304-33
NR1509--MA0690.1.TBX21	chr5	144973180	144973189	-	0.000	0.000	Merged-chr5-144972995-15
NR946--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR1382--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR1305--MA0690.1.TBX21	chr4	70304062	70304071	+	0.000	0.000	Merged-chr4-70303963-30
NR1897--MA0690.1.TBX21	chr8	117052689	117052698	-	0.000	0.000	Merged-chr8-117052612-3
NR450--MA0690.1.TBX21	chr13	45443314	45443323	+	0.000	0.000	Merged-chr13-45443236-24
NR1496--MA0690.1.TBX21	chr5	136460026	136460035	+	0.000	0.000	Merged-chr5-136460136-37
NR1082--MA0690.1.TBX21	chr2	129185880	129185889	+	0.000	0.000	Merged-chr2-129186012-43
NR1366--MA0690.1.TBX21	chr4	145264492	145264501	+	0.000	0.000	Merged-chr4-145264291-60
NR1637--MA0690.1.TBX21	chr6	129627631	129627640	+	0.000	0.000	Merged-chr6-129627649-22
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
NR346--MA0690.1.TBX21	chr11	115646672	115646681	-	0.000	0.000	Merged-chr11-115646752-30
NR312--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR29--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR1215--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR848--MA0690.1.TBX21	chr18	14603698	14603707	-	0.000	0.000	Merged-chr18-14603655-48
NR1467--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR923--MA0690.1.TBX21	chr19	12479411	12479420	-	0.000	0.000	Merged-chr19-12479491-16
NR699--MA0690.1.TBX21	chr16	10976341	10976350	-	0.000	0.000	Merged-chr16-10976349-23
NR761--MA0690.1.TBX21	chr16	93787925	93787934	+	0.000	0.000	Merged-chr16-93787829-41
NR413--MA0690.1.TBX21	chr12	112868493	112868502	-	0.000	0.000	Merged-chr12-112868485-40
NR501--MA0690.1.TBX21	chr13	93763091	93763100	-	0.000	0.000	Merged-chr13-93763032-30
NR147--MA0690.1.TBX21	chr1	182383282	182383291	-	0.000	0.000	Merged-chr1-182383219-38
NR1970--MA0690.1.TBX21	chr9	95152018	95152027	-	0.000	0.000	Merged-chr9-95151869-50
NR1159--MA0690.1.TBX21	chr3	59260859	59260868	-	0.000	0.000	Merged-chr3-59260932-51
NR583--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR248--MA0690.1.TBX21	chr10	111571264	111571273	+	0.000	0.000	Merged-chr10-111571158-21
NR628--MA0690.1.TBX21	chr14	121999603	121999612	+	0.000	0.000	Merged-chr14-121999673-38
NR989--MA0690.1.TBX21	chr2	31131251	31131260	-	0.000	0.000	Merged-chr2-31131193-36
NR1975--MA0690.1.TBX21	chr9	96740731	96740740	-	0.000	0.000	Merged-chr9-96740764-95
NR1431--MA0690.1.TBX21	chr5	77091900	77091909	-	0.000	0.000	Merged-chr5-77092081-48
NR1792--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR2012--MA0690.1.TBX21	chr9	117925007	117925016	-	0.000	0.000	Merged-chr9-117925055-43
NR1880--MA0690.1.TBX21	chr8	86838967	86838976	-	0.000	0.000	Merged-chr8-86839061-45
NR307--MA0690.1.TBX21	chr11	67527182	67527191	+	0.000	0.000	Merged-chr11-67526987-43
