#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1348--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR7864--MA0684.1.RUNX3	chr6	17382930	17382939	-	0.000	0.000	Merged-chr6-17382878-11
NR4040--MA0002.2.RUNX1	chr16	90456726	90456736	-	0.000	0.000	Merged-chr16-90456669-52
NR4963--MA0684.1.RUNX3	chr19	21199929	21199938	-	0.000	0.000	Merged-chr19-21199898-12
NR980--MA0511.2.RUNX2	chr10	30537424	30537432	+	0.000	0.000	Merged-chr10-30537547-6
NR1566--MA0002.2.RUNX1	chr11	32138416	32138426	+	0.000	0.000	Merged-chr11-32138495-33
NR10109--MA0002.2.RUNX1	chrX	50930494	50930504	-	0.000	0.000	Merged-chrX-50930584-22
NR3868--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR5449--MA0002.2.RUNX1	chr2	75055026	75055036	+	0.000	0.000	Merged-chr2-75055098-51
NR8760--MA0002.2.RUNX1	chr7	84740070	84740080	+	0.000	0.000	Merged-chr7-84740151-41
NR5657--MA0511.2.RUNX2	chr2	132379841	132379849	+	0.000	0.000	Merged-chr2-132379852-19
NR7843--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR4685--MA0002.2.RUNX1	chr18	56413120	56413130	+	0.000	0.000	Merged-chr18-56413005-50
NR480--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR2961--MA0511.2.RUNX2	chr14	15011570	15011578	-	0.000	0.000	Merged-chr14-15011517-9
NR275--MA0002.2.RUNX1	chr1	80855239	80855249	+	0.000	0.000	Merged-chr1-80855392-26
NR7698--MA0511.2.RUNX2	chr5	124241815	124241823	+	0.000	0.000	Merged-chr5-124241668-15
NR7333--MA0684.1.RUNX3	chr5	36538884	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR3053--MA0511.2.RUNX2	chr14	48246461	48246469	-	0.000	0.000	Merged-chr14-48246381-22
NR340--MA0511.2.RUNX2	chr1	94092014	94092022	-	0.000	0.000	Merged-chr1-94091974-43
NR9388--MA0002.2.RUNX1	chr8	111577953	111577963	+	0.000	0.000	Merged-chr8-111578108-20
NR7442--MA0684.1.RUNX3	chr5	77125217	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR2081--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR1277--MA0511.2.RUNX2	chr10	94334101	94334109	-	0.000	0.000	Merged-chr10-94333972-2
NR1055--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR764--MA0002.2.RUNX1	chr1	183180409	183180419	-	0.000	0.000	Merged-chr1-183180587-56
NR7217--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR4812--MA0684.1.RUNX3	chr18	77121745	77121754	+	0.000	0.000	Merged-chr18-77121790-35
NR254--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR733--MA0511.2.RUNX2	chr1	179493151	179493159	+	0.000	0.000	Merged-chr1-179493163-27
NR6710--MA0684.1.RUNX3	chr4	42945477	42945486	-	0.000	0.000	Merged-chr4-42945382-5
NR3412--MA0511.2.RUNX2	chr15	31649793	31649801	-	0.000	0.000	Merged-chr15-31649789-27
NR3508--MA0684.1.RUNX3	chr15	55327442	55327451	-	0.000	0.000	Merged-chr15-55327422-12
NR8351--MA0002.2.RUNX1	chr6	129312584	129312594	-	0.000	0.000	Merged-chr6-129312714-15
NR7325--MA0684.1.RUNX3	chr5	34822909	34822918	-	0.000	0.000	Merged-chr5-34822830-22
NR7--MA0684.1.RUNX3	chr1	6519342	6519351	+	0.000	0.000	Merged-chr1-6519375-11
NR253--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR1414--MA0684.1.RUNX3	chr10	120895928	120895937	+	0.000	0.000	Merged-chr10-120895921-55
NR49--MA0511.2.RUNX2	chr1	20740683	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR7163--MA0684.1.RUNX3	chr4	148509654	148509663	+	0.000	0.000	Merged-chr4-148509676-49
NR3869--MA0684.1.RUNX3	chr16	43376987	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR9889--MA0684.1.RUNX3	chr9	98616576	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR6955--MA0002.2.RUNX1	chr4	109471172	109471182	-	0.000	0.000	Merged-chr4-109471151-19
NR59--MA0002.2.RUNX1	chr1	23272301	23272311	-	0.000	0.000	Merged-chr1-23272204-17
NR5096--MA0002.2.RUNX1	chr19	56687200	56687210	-	0.000	0.000	Merged-chr19-56687212-16
NR5367--MA0002.2.RUNX1	chr2	59534595	59534605	+	0.000	0.000	Merged-chr2-59534510-22
NR7003--MA0511.2.RUNX2	chr4	123416434	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR3339--MA0002.2.RUNX1	chr14	122908300	122908310	-	0.000	0.000	Merged-chr14-122908322-32
NR1615--MA0511.2.RUNX2	chr11	54153015	54153023	-	0.000	0.000	Merged-chr11-54152969-5
NR9392--MA0511.2.RUNX2	chr8	114264135	114264143	-	0.000	0.000	Merged-chr8-114264109-12
NR8234--MA0002.2.RUNX1	chr6	115560178	115560188	+	0.000	0.000	Merged-chr6-115560075-18
NR7906--MA0511.2.RUNX2	chr6	38581836	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR7159--MA0511.2.RUNX2	chr4	148509654	148509662	+	0.000	0.000	Merged-chr4-148509676-49
NR4874--MA0002.2.RUNX1	chr18	84739719	84739729	+	0.000	0.000	Merged-chr18-84739701-13
NR9739--MA0002.2.RUNX1	chr9	70040165	70040175	+	0.000	0.000	Merged-chr9-70040199-23
NR5366--MA0684.1.RUNX3	chr2	59482995	59483004	-	0.000	0.000	Merged-chr2-59482840-22
NR5174--MA0511.2.RUNX2	chr2	8965051	8965059	-	0.000	0.000	Merged-chr2-8965212-53
NR639--MA0002.2.RUNX1	chr1	164413781	164413791	-	0.000	0.000	Merged-chr1-164413844-41
NR6871--MA0511.2.RUNX2	chr4	97657874	97657882	+	0.000	0.000	Merged-chr4-97657761-27
NR2955--MA0002.2.RUNX1	chr14	12307729	12307739	+	0.000	0.000	Merged-chr14-12307905-40
NR1009--MA0511.2.RUNX2	chr10	39793436	39793444	-	0.000	0.000	Merged-chr10-39793457-38
NR8181--MA0002.2.RUNX1	chr6	100390382	100390392	-	0.000	0.000	Merged-chr6-100390476-26
NR7278--MA0002.2.RUNX1	chr5	22740148	22740158	-	0.000	0.000	Merged-chr5-22740212-9
NR4330--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR4996--MA0002.2.RUNX1	chr19	32496627	32496637	+	0.000	0.000	Merged-chr19-32496642-11
NR8879--MA0002.2.RUNX1	chr7	112918188	112918198	-	0.000	0.000	Merged-chr7-112918016-3
NR320--MA0684.1.RUNX3	chr1	91755271	91755280	-	0.000	0.000	Merged-chr1-91755348-8
NR8736--MA0002.2.RUNX1	chr7	80680394	80680404	+	0.000	0.000	Merged-chr7-80680474-47
NR7439--MA0684.1.RUNX3	chr5	75662586	75662595	-	0.000	0.000	Merged-chr5-75662405-46
NR3980--MA0002.2.RUNX1	chr16	72350540	72350550	-	0.000	0.000	Merged-chr16-72350554-25
NR5838--MA0511.2.RUNX2	chr2	169360519	169360527	+	0.000	0.000	Merged-chr2-169360551-6
NR4962--MA0002.2.RUNX1	chr19	21199928	21199938	+	0.000	0.000	Merged-chr19-21199898-12
NR1607--MA0511.2.RUNX2	chr11	52224161	52224169	+	0.000	0.000	Merged-chr11-52224357-50
NR10065--MA0511.2.RUNX2	chrX	17521350	17521358	+	0.000	0.000	Merged-chrX-17521323-26
NR2729--MA0002.2.RUNX1	chr13	84236725	84236735	+	0.000	0.000	Merged-chr13-84236811-14
NR3026--MA0002.2.RUNX1	chr14	32716930	32716940	-	0.000	0.000	Merged-chr14-32716978-71
NR4600--MA0684.1.RUNX3	chr18	35383457	35383466	+	0.000	0.000	Merged-chr18-35383519-5
NR3377--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR4499--MA0002.2.RUNX1	chr17	88599092	88599102	+	0.000	0.000	Merged-chr17-88599180-35
NR2424--MA0002.2.RUNX1	chr13	6652639	6652649	-	0.000	0.000	Merged-chr13-6652733-20
NR1206--MA0511.2.RUNX2	chr10	84897547	84897555	+	0.000	0.000	Merged-chr10-84897526-62
NR2947--MA0002.2.RUNX1	chr14	7913994	7914004	+	0.000	0.000	Merged-chr14-7914040-29
NR8696--MA0002.2.RUNX1	chr7	71242729	71242739	+	0.000	0.000	Merged-chr7-71242656-21
NR7004--MA0684.1.RUNX3	chr4	123416433	123416442	-	0.000	0.000	Merged-chr4-123416422-1
NR154--MA0511.2.RUNX2	chr1	54279845	54279853	-	0.000	0.000	Merged-chr1-54279813-25
NR2122--MA0511.2.RUNX2	chr12	76853983	76853991	-	0.000	0.000	Merged-chr12-76853895-20
NR312--MA0684.1.RUNX3	chr1	89090406	89090415	+	0.000	0.000	Merged-chr1-89090487-27
NR7365--MA0684.1.RUNX3	chr5	52126037	52126046	-	0.000	0.000	Merged-chr5-52126006-25
NR120--MA0511.2.RUNX2	chr1	43207414	43207422	+	0.000	0.000	Merged-chr1-43207362-30
NR8152--MA0002.2.RUNX1	chr6	97806975	97806985	-	0.000	0.000	Merged-chr6-97807026-80
NR7126--MA0684.1.RUNX3	chr4	145045906	145045915	+	0.000	0.000	Merged-chr4-145045932-55
NR2512--MA0002.2.RUNX1	chr13	30192029	30192039	+	0.000	0.000	Merged-chr13-30192249-19
NR2493--MA0002.2.RUNX1	chr13	24866804	24866814	-	0.000	0.000	Merged-chr13-24866887-32
NR6951--MA0511.2.RUNX2	chr4	109274054	109274062	-	0.000	0.000	Merged-chr4-109273984-17
NR99--MA0002.2.RUNX1	chr1	38597955	38597965	+	0.000	0.000	Merged-chr1-38597807-10
NR8261--MA0002.2.RUNX1	chr6	119509052	119509062	+	0.000	0.000	Merged-chr6-119509030-36
NR10067--MA0002.2.RUNX1	chrX	17521350	17521360	-	0.000	0.000	Merged-chrX-17521323-26
NR2893--MA0684.1.RUNX3	chr13	112133859	112133868	+	0.000	0.000	Merged-chr13-112133906-22
NR4652--MA0511.2.RUNX2	chr18	49721779	49721787	+	0.000	0.000	Merged-chr18-49721855-41
NR2750--MA0684.1.RUNX3	chr13	89889237	89889246	+	0.000	0.000	Merged-chr13-89889254-28
NR7295--MA0511.2.RUNX2	chr5	25092799	25092807	+	0.000	0.000	Merged-chr5-25092896-11
NR543--MA0684.1.RUNX3	chr1	150396149	150396158	+	0.000	0.000	Merged-chr1-150396130-66
NR252--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR98--MA0684.1.RUNX3	chr1	38557783	38557792	+	0.000	0.000	Merged-chr1-38557840-50
NR4423--MA0002.2.RUNX1	chr17	78087125	78087135	-	0.000	0.000	Merged-chr17-78087139-42
NR1397--MA0511.2.RUNX2	chr10	118714234	118714242	+	0.000	0.000	Merged-chr10-118714396-52
NR8511--MA0002.2.RUNX1	chr6	148961433	148961443	+	0.000	0.000	Merged-chr6-148961537-19
NR1870--MA0002.2.RUNX1	chr11	114945334	114945344	-	0.000	0.000	Merged-chr11-114945333-7
NR2110--MA0684.1.RUNX3	chr12	75479887	75479896	-	0.000	0.000	Merged-chr12-75479901-16
NR7079--MA0002.2.RUNX1	chr4	136570152	136570162	+	0.000	0.000	Merged-chr4-136570246-39
NR2964--MA0511.2.RUNX2	chr14	15273276	15273284	-	0.000	0.000	Merged-chr14-15273135-43
NR6768--MA0684.1.RUNX3	chr4	57091492	57091501	+	0.000	0.000	Merged-chr4-57091525-28
NR4797--MA0002.2.RUNX1	chr18	75374180	75374190	+	0.000	0.000	Merged-chr18-75374196-25
NR3672--MA0002.2.RUNX1	chr15	94478962	94478972	-	0.000	0.000	Merged-chr15-94478905-44
NR6172--MA0002.2.RUNX1	chr3	89906197	89906207	-	0.000	0.000	Merged-chr3-89906356-37
NR5368--MA0511.2.RUNX2	chr2	59716628	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR148--MA0002.2.RUNX1	chr1	52650254	52650264	+	0.000	0.000	Merged-chr1-52650227-37
NR5331--MA0002.2.RUNX1	chr2	52885288	52885298	-	0.000	0.000	Merged-chr2-52885299-16
NR366--MA0002.2.RUNX1	chr1	98022055	98022065	-	0.000	0.000	Merged-chr1-98022036-10
NR9247--MA0684.1.RUNX3	chr8	61561437	61561446	+	0.000	0.000	Merged-chr8-61561458-9
NR988--MA0511.2.RUNX2	chr10	37207077	37207085	-	0.000	0.000	Merged-chr10-37207171-14
NR10084--MA0511.2.RUNX2	chrX	37141941	37141949	-	0.000	0.000	Merged-chrX-37141960-22
NR1875--MA0002.2.RUNX1	chr11	115589156	115589166	-	0.000	0.000	Merged-chr11-115589146-15
NR5840--MA0684.1.RUNX3	chr2	169360519	169360528	+	0.000	0.000	Merged-chr2-169360551-6
NR5963--MA0002.2.RUNX1	chr3	21996140	21996150	+	0.000	0.000	Merged-chr3-21996009-51
NR127--MA0002.2.RUNX1	chr1	43768755	43768765	+	0.000	0.000	Merged-chr1-43768657-50
NR4474--MA0511.2.RUNX2	chr17	86038397	86038405	+	0.000	0.000	Merged-chr17-86038391-20
NR2572--MA0684.1.RUNX3	chr13	41774152	41774161	-	0.000	0.000	Merged-chr13-41774048-23
NR1222--MA0002.2.RUNX1	chr10	86794910	86794920	+	0.000	0.000	Merged-chr10-86794881-42
NR4440--MA0511.2.RUNX2	chr17	80579294	80579302	-	0.000	0.000	Merged-chr17-80579337-18
NR6709--MA0511.2.RUNX2	chr4	42945478	42945486	-	0.000	0.000	Merged-chr4-42945382-5
NR8767--MA0684.1.RUNX3	chr7	88459938	88459947	-	0.000	0.000	Merged-chr7-88459917-15
NR2393--MA0511.2.RUNX2	chr12	117586386	117586394	-	0.000	0.000	Merged-chr12-117586270-30
NR4788--MA0684.1.RUNX3	chr18	73648551	73648560	+	0.000	0.000	Merged-chr18-73648637-9
NR6752--MA0511.2.RUNX2	chr4	55343348	55343356	+	0.000	0.000	Merged-chr4-55343422-62
NR7874--MA0002.2.RUNX1	chr6	22330736	22330746	+	0.000	0.000	Merged-chr6-22330722-48
NR4182--MA0511.2.RUNX2	chr17	21463758	21463766	+	0.000	0.000	Merged-chr17-21463736-49
NR2568--MA0511.2.RUNX2	chr13	41615012	41615020	-	0.000	0.000	Merged-chr13-41614922-33
NR5161--MA0002.2.RUNX1	chr2	5061502	5061512	-	0.000	0.000	Merged-chr2-5061621-34
NR9520--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR8617--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR10108--MA0511.2.RUNX2	chrX	50930494	50930502	+	0.000	0.000	Merged-chrX-50930584-22
NR5541--MA0002.2.RUNX1	chr2	103652249	103652259	+	0.000	0.000	Merged-chr2-103652335-51
NR8554--MA0511.2.RUNX2	chr7	24457834	24457842	+	0.000	0.000	Merged-chr7-24457903-49
NR4638--MA0002.2.RUNX1	chr18	39758461	39758471	-	0.000	0.000	Merged-chr18-39758407-11
NR1562--MA0002.2.RUNX1	chr11	31999989	31999999	-	0.000	0.000	Merged-chr11-32000120-91
NR1942--MA0002.2.RUNX1	chr12	8847368	8847378	+	0.000	0.000	Merged-chr12-8847092-48
NR195--MA0684.1.RUNX3	chr1	64136472	64136481	-	0.000	0.000	Merged-chr1-64136457-23
NR4684--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR9642--MA0002.2.RUNX1	chr9	50966404	50966414	+	0.000	0.000	Merged-chr9-50966454-25
NR3860--MA0684.1.RUNX3	chr16	42907566	42907575	-	0.000	0.000	Merged-chr16-42907502-34
NR5934--MA0002.2.RUNX1	chr3	16227501	16227511	+	0.000	0.000	Merged-chr3-16227487-10
NR7595--MA0002.2.RUNX1	chr5	111059192	111059202	-	0.000	0.000	Merged-chr5-111059205-94
NR7200--MA0002.2.RUNX1	chr4	154935888	154935898	-	0.000	0.000	Merged-chr4-154936025-18
NR7866--MA0002.2.RUNX1	chr6	17851277	17851287	+	0.000	0.000	Merged-chr6-17851443-16
NR5920--MA0684.1.RUNX3	chr3	10205275	10205284	-	0.000	0.000	Merged-chr3-10205429-92
NR50--MA0002.2.RUNX1	chr1	20740681	20740691	+	0.000	0.000	Merged-chr1-20740658-39
NR4031--MA0511.2.RUNX2	chr16	89974598	89974606	+	0.000	0.000	Merged-chr16-89974505-28
NR2080--MA0511.2.RUNX2	chr12	69539513	69539521	+	0.000	0.000	Merged-chr12-69539558-45
NR1892--MA0511.2.RUNX2	chr11	118232513	118232521	+	0.000	0.000	Merged-chr11-118232579-51
NR4584--MA0684.1.RUNX3	chr18	32149483	32149492	-	0.000	0.000	Merged-chr18-32149405-13
NR2304--MA0684.1.RUNX3	chr12	107721105	107721114	-	0.000	0.000	Merged-chr12-107721179-46
NR445--MA0684.1.RUNX3	chr1	128399307	128399316	+	0.000	0.000	Merged-chr1-128399248-36
NR1968--MA0002.2.RUNX1	chr12	16901153	16901163	-	0.000	0.000	Merged-chr12-16901091-18
NR4088--MA0002.2.RUNX1	chr16	97111599	97111609	-	0.000	0.000	Merged-chr16-97111615-1
NR5371--MA0002.2.RUNX1	chr2	59716653	59716663	+	0.000	0.000	Merged-chr2-59716624-17
NR1954--MA0684.1.RUNX3	chr12	16165140	16165149	+	0.000	0.000	Merged-chr12-16165159-14
NR157--MA0511.2.RUNX2	chr1	54421901	54421909	+	0.000	0.000	Merged-chr1-54421982-33
NR7431--MA0002.2.RUNX1	chr5	73340417	73340427	+	0.000	0.000	Merged-chr5-73340408-13
NR4676--MA0511.2.RUNX2	chr18	55681639	55681647	+	0.000	0.000	Merged-chr18-55681578-17
NR7910--MA0511.2.RUNX2	chr6	39347440	39347448	+	0.000	0.000	Merged-chr6-39347435-5
NR6514--MA0684.1.RUNX3	chr3	146045006	146045015	-	0.000	0.000	Merged-chr3-146045142-29
NR8254--MA0511.2.RUNX2	chr6	119159740	119159748	+	0.000	0.000	Merged-chr6-119159656-11
NR2535--MA0684.1.RUNX3	chr13	34914837	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR4067--MA0002.2.RUNX1	chr16	94374360	94374370	+	0.000	0.000	Merged-chr16-94374445-4
NR5370--MA0684.1.RUNX3	chr2	59716627	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR4023--MA0511.2.RUNX2	chr16	89817051	89817059	+	0.000	0.000	Merged-chr16-89817047-30
NR8284--MA0684.1.RUNX3	chr6	121230099	121230108	+	0.000	0.000	Merged-chr6-121230042-8
NR8092--MA0511.2.RUNX2	chr6	87725734	87725742	+	0.000	0.000	Merged-chr6-87725596-14
NR5002--MA0002.2.RUNX1	chr19	33429584	33429594	-	0.000	0.000	Merged-chr19-33429713-40
NR2518--MA0511.2.RUNX2	chr13	31179581	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR8459--MA0684.1.RUNX3	chr6	144953072	144953081	+	0.000	0.000	Merged-chr6-144953133-29
NR9693--MA0511.2.RUNX2	chr9	61225167	61225175	+	0.000	0.000	Merged-chr9-61225287-14
NR1423--MA0684.1.RUNX3	chr10	121282664	121282673	-	0.000	0.000	Merged-chr10-121282719-28
NR5905--MA0002.2.RUNX1	chr3	9567028	9567038	-	0.000	0.000	Merged-chr3-9567055-14
NR3792--MA0002.2.RUNX1	chr16	23181794	23181804	+	0.000	0.000	Merged-chr16-23181616-66
NR7823--MA0684.1.RUNX3	chr5	149368334	149368343	-	0.000	0.000	Merged-chr5-149368318-30
NR9355--MA0002.2.RUNX1	chr8	103979264	103979274	+	0.000	0.000	Merged-chr8-103979175-27
NR4032--MA0684.1.RUNX3	chr16	89974598	89974607	+	0.000	0.000	Merged-chr16-89974505-28
NR9878--MA0002.2.RUNX1	chr9	96936025	96936035	+	0.000	0.000	Merged-chr9-96936027-74
NR5918--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR7661--MA0684.1.RUNX3	chr5	118601661	118601670	-	0.000	0.000	Merged-chr5-118601665-20
NR5776--MA0684.1.RUNX3	chr2	158154378	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR3619--MA0002.2.RUNX1	chr15	85347076	85347086	-	0.000	0.000	Merged-chr15-85347177-12
NR7436--MA0002.2.RUNX1	chr5	74471121	74471131	-	0.000	0.000	Merged-chr5-74471085-11
NR5471--MA0684.1.RUNX3	chr2	79276549	79276558	+	0.000	0.000	Merged-chr2-79276460-24
NR8878--MA0511.2.RUNX2	chr7	112918188	112918196	+	0.000	0.000	Merged-chr7-112918016-3
NR3423--MA0002.2.RUNX1	chr15	34933220	34933230	+	0.000	0.000	Merged-chr15-34933190-14
NR4677--MA0684.1.RUNX3	chr18	55681639	55681648	+	0.000	0.000	Merged-chr18-55681578-17
NR1267--MA0002.2.RUNX1	chr10	93868532	93868542	-	0.000	0.000	Merged-chr10-93868549-34
NR3774--MA0511.2.RUNX2	chr16	17695011	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR7862--MA0511.2.RUNX2	chr6	17382931	17382939	-	0.000	0.000	Merged-chr6-17382878-11
NR1001--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR3803--MA0002.2.RUNX1	chr16	24831195	24831205	+	0.000	0.000	Merged-chr16-24831230-9
NR10124--MA0002.2.RUNX1	chrX	52930399	52930409	+	0.000	0.000	Merged-chrX-52930355-32
NR2109--MA0511.2.RUNX2	chr12	75479888	75479896	-	0.000	0.000	Merged-chr12-75479901-16
NR4438--MA0684.1.RUNX3	chr17	79817129	79817138	+	0.000	0.000	Merged-chr17-79817109-13
NR9552--MA0002.2.RUNX1	chr9	20765498	20765508	+	0.000	0.000	Merged-chr9-20765445-35
NR7544--MA0684.1.RUNX3	chr5	105010567	105010576	+	0.000	0.000	Merged-chr5-105010527-49
NR10110--MA0684.1.RUNX3	chrX	50930494	50930503	+	0.000	0.000	Merged-chrX-50930584-22
NR6099--MA0684.1.RUNX3	chr3	79227567	79227576	+	0.000	0.000	Merged-chr3-79227479-60
NR1485--MA0002.2.RUNX1	chr11	4297993	4298003	-	0.000	0.000	Merged-chr11-4298043-4
NR9661--MA0002.2.RUNX1	chr9	53854919	53854929	-	0.000	0.000	Merged-chr9-53854971-17
NR2519--MA0684.1.RUNX3	chr13	31179580	31179589	-	0.000	0.000	Merged-chr13-31179647-13
NR3402--MA0002.2.RUNX1	chr15	28081354	28081364	-	0.000	0.000	Merged-chr15-28081319-36
NR7841--MA0511.2.RUNX2	chr6	5997677	5997685	+	0.000	0.000	Merged-chr6-5997718-16
NR1375--MA0684.1.RUNX3	chr10	118090064	118090073	+	0.000	0.000	Merged-chr10-118090052-13
NR3405--MA0511.2.RUNX2	chr15	31166832	31166840	-	0.000	0.000	Merged-chr15-31166801-87
NR10103--MA0002.2.RUNX1	chrX	50490666	50490676	-	0.000	0.000	Merged-chrX-50490696-9
NR7331--MA0511.2.RUNX2	chr5	36538885	36538893	-	0.000	0.000	Merged-chr5-36538864-43
NR7440--MA0511.2.RUNX2	chr5	77125218	77125226	-	0.000	0.000	Merged-chr5-77125140-56
NR3319--MA0002.2.RUNX1	chr14	121137372	121137382	-	0.000	0.000	Merged-chr14-121137502-35
NR1053--MA0511.2.RUNX2	chr10	58480391	58480399	+	0.000	0.000	Merged-chr10-58480234-23
NR811--MA0002.2.RUNX1	chr1	190896286	190896296	+	0.000	0.000	Merged-chr1-190896359-15
NR9273--MA0002.2.RUNX1	chr8	70174662	70174672	+	0.000	0.000	Merged-chr8-70174484-11
NR9544--MA0002.2.RUNX1	chr9	15531276	15531286	-	0.000	0.000	Merged-chr9-15531370-12
NR10225--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR9401--MA0002.2.RUNX1	chr8	115137019	115137029	+	0.000	0.000	Merged-chr8-115136921-34
