#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR3861--MA0140.2.GATA1::TAL1	chr18	84911834	84911851	+	0.000	0.000	Merged-chr18-84911932-15
NR7255--MA0037.3.GATA3	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR3592--MA0036.3.GATA2	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR6060--MA0482.1.Gata4	chr5	114681319	114681329	-	0.000	0.000	Merged-chr5-114681129-21
NR7760--MA0035.3.Gata1	chr9	95113474	95113484	+	0.000	0.000	Merged-chr9-95113538-34
NR6361--MA0037.3.GATA3	chr6	87041205	87041212	+	0.000	0.000	Merged-chr6-87041204-35
NR2719--MA1104.1.GATA6	chr15	25673747	25673759	-	0.000	0.000	Merged-chr15-25673661-24
NR3300--MA0482.1.Gata4	chr16	94374312	94374322	+	0.000	0.000	Merged-chr16-94374445-4
NR1620--MA0482.1.Gata4	chr12	82187424	82187434	+	0.000	0.000	Merged-chr12-82187311-20
NR4856--MA1104.1.GATA6	chr3	55115679	55115691	-	0.000	0.000	Merged-chr3-55115739-6
NR6741--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR7901--MA0035.3.Gata1	chr9	118512895	118512905	-	0.000	0.000	Merged-chr9-118512920-16
NR1623--MA0035.3.Gata1	chr12	82187423	82187433	+	0.000	0.000	Merged-chr12-82187311-20
NR5819--MA0036.3.GATA2	chr5	32488277	32488287	-	0.000	0.000	Merged-chr5-32488180-22
NR3292--MA0036.3.GATA2	chr16	92995629	92995639	+	0.000	0.000	Merged-chr16-92995449-20
NR3924--MA0482.1.Gata4	chr19	16418579	16418589	+	0.000	0.000	Merged-chr19-16418552-32
NR3704--MA0036.3.GATA2	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR5094--MA0036.3.GATA2	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR5480--MA0140.2.GATA1::TAL1	chr4	86725373	86725390	+	0.000	0.000	Merged-chr4-86725378-12
NR6061--MA1104.1.GATA6	chr5	114681319	114681331	+	0.000	0.000	Merged-chr5-114681129-21
NR5721--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR985--MA0036.3.GATA2	chr10	117377487	117377497	+	0.000	0.000	Merged-chr10-117377577-5
NR7853--MA0035.3.Gata1	chr9	105689627	105689637	+	0.000	0.000	Merged-chr9-105689631-24
NR5825--MA0035.3.Gata1	chr5	32950841	32950851	+	0.000	0.000	Merged-chr5-32950856-18
NR3301--MA1104.1.GATA6	chr16	94374310	94374322	-	0.000	0.000	Merged-chr16-94374445-4
NR1621--MA1104.1.GATA6	chr12	82187422	82187434	-	0.000	0.000	Merged-chr12-82187311-20
NR7462--MA0482.1.Gata4	chr9	5311522	5311532	+	0.000	0.000	Merged-chr9-5311572-34
NR3112--MA0035.3.Gata1	chr16	50555184	50555194	+	0.000	0.000	Merged-chr16-50555141-20
NR5572--MA0766.1.GATA5	chr4	120717460	120717467	+	0.000	0.000	Merged-chr4-120717361-2
NR5909--MA0766.1.GATA5	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR7737--MA0140.2.GATA1::TAL1	chr9	88332668	88332685	-	0.000	0.000	Merged-chr9-88332643-26
NR1245--MA0766.1.GATA5	chr11	70265525	70265532	-	0.000	0.000	Merged-chr11-70265494-15
NR5718--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR4840--MA0766.1.GATA5	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1315--MA0035.3.Gata1	chr11	95379180	95379190	+	0.000	0.000	Merged-chr11-95379150-8
NR4619--MA0482.1.Gata4	chr2	144941394	144941404	-	0.000	0.000	Merged-chr2-144941527-10
NR991--MA0035.3.Gata1	chr10	117377579	117377589	+	0.000	0.000	Merged-chr10-117377577-5
NR3925--MA1104.1.GATA6	chr19	16418577	16418589	-	0.000	0.000	Merged-chr19-16418552-32
NR7624--MA0766.1.GATA5	chr9	57866816	57866823	-	0.000	0.000	Merged-chr9-57866692-28
NR5163--MA0766.1.GATA5	chr3	138008344	138008351	+	0.000	0.000	Merged-chr3-138008366-30
NR82--MA1104.1.GATA6	chr1	54179553	54179565	+	0.000	0.000	Merged-chr1-54179404-9
NR1844--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR3110--MA1104.1.GATA6	chr16	50555183	50555195	-	0.000	0.000	Merged-chr16-50555141-20
NR5220--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR1569--MA0482.1.Gata4	chr12	69446042	69446052	-	0.000	0.000	Merged-chr12-69446107-1
NR5294--MA1104.1.GATA6	chr4	6881074	6881086	+	0.000	0.000	Merged-chr4-6881171-35
NR3696--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2884--MA0036.3.GATA2	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR7759--MA0766.1.GATA5	chr9	95113475	95113482	-	0.000	0.000	Merged-chr9-95113538-34
NR7463--MA1104.1.GATA6	chr9	5311520	5311532	-	0.000	0.000	Merged-chr9-5311572-34
NR199--MA0037.3.GATA3	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR1313--MA1104.1.GATA6	chr11	95379179	95379191	-	0.000	0.000	Merged-chr11-95379150-8
NR5474--MA0482.1.Gata4	chr4	86725372	86725382	+	0.000	0.000	Merged-chr4-86725378-12
NR5719--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR2940--MA0482.1.Gata4	chr16	4762246	4762256	-	0.000	0.000	Merged-chr16-4762365-8
NR2720--MA0036.3.GATA2	chr15	25673748	25673758	+	0.000	0.000	Merged-chr15-25673661-24
NR5777--MA0036.3.GATA2	chr5	20009984	20009994	+	0.000	0.000	Merged-chr5-20010277-12
NR6813--MA0035.3.Gata1	chr7	37490502	37490512	+	0.000	0.000	Merged-chr7-37490614-68
NR1246--MA0035.3.Gata1	chr11	70265524	70265534	+	0.000	0.000	Merged-chr11-70265494-15
NR2943--MA0035.3.Gata1	chr16	4762247	4762257	-	0.000	0.000	Merged-chr16-4762365-8
NR3694--MA1104.1.GATA6	chr18	46013365	46013377	+	0.000	0.000	Merged-chr18-46013388-48
NR3218--MA0036.3.GATA2	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR3608--MA0766.1.GATA5	chr17	87036797	87036804	+	0.000	0.000	Merged-chr17-87036710-20
NR420--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR4820--MA0035.3.Gata1	chr3	28318056	28318066	+	0.000	0.000	Merged-chr3-28318064-9
NR4952--MA0482.1.Gata4	chr3	84570697	84570707	+	0.000	0.000	Merged-chr3-84570776-21
NR3035--MA0036.3.GATA2	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR5475--MA1104.1.GATA6	chr4	86725370	86725382	-	0.000	0.000	Merged-chr4-86725378-12
NR2941--MA1104.1.GATA6	chr16	4762246	4762258	+	0.000	0.000	Merged-chr16-4762365-8
NR3923--MA0037.3.GATA3	chr19	16418579	16418586	-	0.000	0.000	Merged-chr19-16418552-32
NR3157--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR7098--MA0482.1.Gata4	chr7	142967346	142967356	-	0.000	0.000	Merged-chr7-142967366-1
NR5817--MA0482.1.Gata4	chr5	32488276	32488286	-	0.000	0.000	Merged-chr5-32488180-22
NR306--MA0035.3.Gata1	chr1	118403837	118403847	+	0.000	0.000	Merged-chr1-118403887-21
NR1838--MA0482.1.Gata4	chr12	116932355	116932365	+	0.000	0.000	Merged-chr12-116932315-2
NR6068--MA0140.2.GATA1::TAL1	chr5	115532261	115532278	-	0.000	0.000	Merged-chr5-115532166-6
NR837--MA0036.3.GATA2	chr10	75417898	75417908	+	0.000	0.000	Merged-chr10-75417748-37
NR7256--MA1104.1.GATA6	chr8	69168491	69168503	+	0.000	0.000	Merged-chr8-69168549-18
NR2887--MA0035.3.Gata1	chr15	91616649	91616659	-	0.000	0.000	Merged-chr15-91616695-12
NR7461--MA0037.3.GATA3	chr9	5311522	5311529	-	0.000	0.000	Merged-chr9-5311572-34
NR5162--MA0037.3.GATA3	chr3	138008344	138008351	+	0.000	0.000	Merged-chr3-138008366-30
NR421--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR6364--MA0036.3.GATA2	chr6	87041203	87041213	-	0.000	0.000	Merged-chr6-87041204-35
NR5717--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR983--MA0482.1.Gata4	chr10	117377488	117377498	+	0.000	0.000	Merged-chr10-117377577-5
NR264--MA0140.2.GATA1::TAL1	chr1	106204160	106204177	-	0.000	0.000	Merged-chr1-106204081-15
NR4953--MA1104.1.GATA6	chr3	84570695	84570707	-	0.000	0.000	Merged-chr3-84570776-21
NR2975--MA0035.3.Gata1	chr16	10676897	10676907	-	0.000	0.000	Merged-chr16-10676780-15
NR5095--MA0035.3.Gata1	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR2976--MA0140.2.GATA1::TAL1	chr16	10676888	10676905	-	0.000	0.000	Merged-chr16-10676780-15
NR3109--MA0482.1.Gata4	chr16	50555185	50555195	+	0.000	0.000	Merged-chr16-50555141-20
NR4621--MA0035.3.Gata1	chr2	144941395	144941405	-	0.000	0.000	Merged-chr2-144941527-10
NR377--MA0482.1.Gata4	chr1	137075020	137075030	+	0.000	0.000	Merged-chr1-137074990-14
NR3327--MA0482.1.Gata4	chr17	3246827	3246837	-	0.000	0.000	Merged-chr17-3246798-10
NR7099--MA1104.1.GATA6	chr7	142967346	142967358	+	0.000	0.000	Merged-chr7-142967366-1
NR200--MA0482.1.Gata4	chr1	88578421	88578431	-	0.000	0.000	Merged-chr1-88578300-28
NR747--MA0035.3.Gata1	chr10	39764911	39764921	+	0.000	0.000	Merged-chr10-39764888-24
NR5818--MA1104.1.GATA6	chr5	32488276	32488288	+	0.000	0.000	Merged-chr5-32488180-22
NR247--MA0482.1.Gata4	chr1	95375656	95375666	+	0.000	0.000	Merged-chr1-95375799-8
NR890--MA0140.2.GATA1::TAL1	chr10	91177555	91177572	+	0.000	0.000	Merged-chr10-91177490-19
NR5821--MA0035.3.Gata1	chr5	32488277	32488287	-	0.000	0.000	Merged-chr5-32488180-22
NR5720--MA0036.3.GATA2	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR1568--MA0037.3.GATA3	chr12	69446045	69446052	+	0.000	0.000	Merged-chr12-69446107-1
NR988--MA0482.1.Gata4	chr10	117377580	117377590	+	0.000	0.000	Merged-chr10-117377577-5
NR2960--MA0037.3.GATA3	chr16	7767896	7767903	+	0.000	0.000	Merged-chr16-7768064-22
NR2973--MA1104.1.GATA6	chr16	10676896	10676908	+	0.000	0.000	Merged-chr16-10676780-15
NR6489--MA0037.3.GATA3	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR5473--MA0037.3.GATA3	chr4	86725372	86725379	-	0.000	0.000	Merged-chr4-86725378-12
NR1242--MA0037.3.GATA3	chr11	70265525	70265532	-	0.000	0.000	Merged-chr11-70265494-15
NR984--MA1104.1.GATA6	chr10	117377486	117377498	-	0.000	0.000	Merged-chr10-117377577-5
NR1571--MA0036.3.GATA2	chr12	69446043	69446053	-	0.000	0.000	Merged-chr12-69446107-1
NR4857--MA0035.3.Gata1	chr3	55115680	55115690	+	0.000	0.000	Merged-chr3-55115739-6
NR3328--MA1104.1.GATA6	chr17	3246827	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR201--MA1104.1.GATA6	chr1	88578421	88578433	+	0.000	0.000	Merged-chr1-88578300-28
NR248--MA1104.1.GATA6	chr1	95375654	95375666	-	0.000	0.000	Merged-chr1-95375799-8
NR4283--MA0482.1.Gata4	chr2	70425815	70425825	+	0.000	0.000	Merged-chr2-70425902-24
NR989--MA1104.1.GATA6	chr10	117377578	117377590	-	0.000	0.000	Merged-chr10-117377577-5
NR2705--MA1104.1.GATA6	chr15	11489313	11489325	-	0.000	0.000	Merged-chr15-11489207-4
NR6059--MA0037.3.GATA3	chr5	114681322	114681329	+	0.000	0.000	Merged-chr5-114681129-21
NR4951--MA0037.3.GATA3	chr3	84570697	84570704	-	0.000	0.000	Merged-chr3-84570776-21
NR2944--MA0140.2.GATA1::TAL1	chr16	4762238	4762255	-	0.000	0.000	Merged-chr16-4762365-8
NR579--MA0766.1.GATA5	chr1	184016504	184016511	-	0.000	0.000	Merged-chr1-184016575-13
NR4817--MA0482.1.Gata4	chr3	28318057	28318067	+	0.000	0.000	Merged-chr3-28318064-9
NR2496--MA0140.2.GATA1::TAL1	chr14	66805727	66805744	-	0.000	0.000	Merged-chr14-66805736-29
NR2128--MA0035.3.Gata1	chr13	102598332	102598342	+	0.000	0.000	Merged-chr13-102598245-27
NR378--MA0035.3.Gata1	chr1	137075019	137075029	+	0.000	0.000	Merged-chr1-137074990-14
NR5816--MA0037.3.GATA3	chr5	32488279	32488286	+	0.000	0.000	Merged-chr5-32488180-22
NR1840--MA0035.3.Gata1	chr12	116932354	116932364	+	0.000	0.000	Merged-chr12-116932315-2
NR5571--MA0482.1.Gata4	chr4	120717457	120717467	-	0.000	0.000	Merged-chr4-120717361-2
NR6062--MA0036.3.GATA2	chr5	114681320	114681330	-	0.000	0.000	Merged-chr5-114681129-21
NR3607--MA0036.3.GATA2	chr17	87036795	87036805	-	0.000	0.000	Merged-chr17-87036710-20
NR3302--MA0036.3.GATA2	chr16	94374311	94374321	+	0.000	0.000	Merged-chr16-94374445-4
NR1622--MA0036.3.GATA2	chr12	82187423	82187433	+	0.000	0.000	Merged-chr12-82187311-20
NR3293--MA0766.1.GATA5	chr16	92995630	92995637	-	0.000	0.000	Merged-chr16-92995449-20
NR982--MA0037.3.GATA3	chr10	117377488	117377495	-	0.000	0.000	Merged-chr10-117377577-5
NR1322--MA0035.3.Gata1	chr11	96993115	96993125	+	0.000	0.000	Merged-chr11-96993116-10
NR1574--MA0035.3.Gata1	chr12	69853655	69853665	-	0.000	0.000	Merged-chr12-69853558-20
NR3705--MA0766.1.GATA5	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3220--MA0035.3.Gata1	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR4818--MA1104.1.GATA6	chr3	28318055	28318067	-	0.000	0.000	Merged-chr3-28318064-9
NR3926--MA0036.3.GATA2	chr19	16418578	16418588	+	0.000	0.000	Merged-chr19-16418552-32
NR3732--MA0482.1.Gata4	chr18	60502493	60502503	+	0.000	0.000	Merged-chr18-60502470-34
NR3631--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR5824--MA0036.3.GATA2	chr5	32950841	32950851	+	0.000	0.000	Merged-chr5-32950856-18
NR3111--MA0036.3.GATA2	chr16	50555184	50555194	+	0.000	0.000	Merged-chr16-50555141-20
NR3299--MA0037.3.GATA3	chr16	94374312	94374319	-	0.000	0.000	Merged-chr16-94374445-4
NR7464--MA0036.3.GATA2	chr9	5311521	5311531	+	0.000	0.000	Merged-chr9-5311572-34
NR3291--MA0482.1.Gata4	chr16	92995630	92995640	+	0.000	0.000	Merged-chr16-92995449-20
NR2883--MA0036.3.GATA2	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR1314--MA0036.3.GATA2	chr11	95379180	95379190	+	0.000	0.000	Merged-chr11-95379150-8
NR990--MA0036.3.GATA2	chr10	117377579	117377589	+	0.000	0.000	Merged-chr10-117377577-5
NR5635--MA0482.1.Gata4	chr4	144981240	144981250	-	0.000	0.000	Merged-chr4-144981201-46
NR5906--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR7900--MA0482.1.Gata4	chr9	118512894	118512904	-	0.000	0.000	Merged-chr9-118512920-16
NR3733--MA1104.1.GATA6	chr18	60502491	60502503	-	0.000	0.000	Merged-chr18-60502470-34
NR3706--MA0035.3.Gata1	chr18	46448739	46448749	-	0.000	0.000	Merged-chr18-46448750-18
NR4700--MA0140.2.GATA1::TAL1	chr2	163111880	163111897	-	0.000	0.000	Merged-chr2-163112057-15
NR3695--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR987--MA0035.3.Gata1	chr10	117377487	117377497	+	0.000	0.000	Merged-chr10-117377577-5
NR5341--MA0036.3.GATA2	chr4	34429153	34429163	-	0.000	0.000	Merged-chr4-34429163-2
NR7897--MA0035.3.Gata1	chr9	117400612	117400622	-	0.000	0.000	Merged-chr9-117400417-34
NR5723--MA0140.2.GATA1::TAL1	chr4	150517583	150517600	+	0.000	0.000	Merged-chr4-150517532-35
NR918--MA0036.3.GATA2	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR7252--MA0036.3.GATA2	chr8	64935134	64935144	+	0.000	0.000	Merged-chr8-64935114-22
NR932--MA0035.3.Gata1	chr10	100696018	100696028	+	0.000	0.000	Merged-chr10-100696169-14
NR5476--MA0036.3.GATA2	chr4	86725371	86725381	+	0.000	0.000	Merged-chr4-86725378-12
NR5282--MA0482.1.Gata4	chr3	159509172	159509182	+	0.000	0.000	Merged-chr3-159509158-33
NR2942--MA0036.3.GATA2	chr16	4762247	4762257	-	0.000	0.000	Merged-chr16-4762365-8
NR7756--MA0482.1.Gata4	chr9	95113475	95113485	+	0.000	0.000	Merged-chr9-95113538-34
NR5907--MA1104.1.GATA6	chr5	71903682	71903694	-	0.000	0.000	Merged-chr5-71903621-28
NR2472--MA0140.2.GATA1::TAL1	chr14	60541861	60541878	+	0.000	0.000	Merged-chr14-60541882-16
NR5570--MA0037.3.GATA3	chr4	120717460	120717467	+	0.000	0.000	Merged-chr4-120717361-2
NR3219--MA0766.1.GATA5	chr16	66086702	66086709	-	0.000	0.000	Merged-chr16-66086640-17
NR1243--MA1104.1.GATA6	chr11	70265523	70265535	-	0.000	0.000	Merged-chr11-70265494-15
NR1606--MA0482.1.Gata4	chr12	77070146	77070156	+	0.000	0.000	Merged-chr12-77070291-10
NR5285--MA0035.3.Gata1	chr3	159509171	159509181	+	0.000	0.000	Merged-chr3-159509158-33
NR1609--MA0035.3.Gata1	chr12	77070145	77070155	+	0.000	0.000	Merged-chr12-77070291-10
NR7257--MA0036.3.GATA2	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR2886--MA0035.3.Gata1	chr15	91616640	91616650	-	0.000	0.000	Merged-chr15-91616695-12
NR3573--MA0482.1.Gata4	chr17	80419076	80419086	+	0.000	0.000	Merged-chr17-80418993-27
NR3158--MA0766.1.GATA5	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR578--MA0036.3.GATA2	chr1	184016503	184016513	+	0.000	0.000	Merged-chr1-184016575-13
NR3605--MA0482.1.Gata4	chr17	87036794	87036804	-	0.000	0.000	Merged-chr17-87036710-20
NR4954--MA0036.3.GATA2	chr3	84570696	84570706	+	0.000	0.000	Merged-chr3-84570776-21
NR5283--MA1104.1.GATA6	chr3	159509170	159509182	-	0.000	0.000	Merged-chr3-159509158-33
NR344--MA0140.2.GATA1::TAL1	chr1	128771002	128771019	-	0.000	0.000	Merged-chr1-128770934-28
NR7757--MA1104.1.GATA6	chr9	95113473	95113485	-	0.000	0.000	Merged-chr9-95113538-34
NR1607--MA1104.1.GATA6	chr12	77070144	77070156	-	0.000	0.000	Merged-chr12-77070291-10
NR3949--MA0140.2.GATA1::TAL1	chr19	29270292	29270309	-	0.000	0.000	Merged-chr19-29270422-21
NR6365--MA0766.1.GATA5	chr6	87041205	87041212	+	0.000	0.000	Merged-chr6-87041204-35
NR4286--MA0140.2.GATA1::TAL1	chr2	70425816	70425833	+	0.000	0.000	Merged-chr2-70425902-24
NR3329--MA0035.3.Gata1	chr17	3246828	3246838	-	0.000	0.000	Merged-chr17-3246798-10
NR2974--MA0036.3.GATA2	chr16	10676897	10676907	-	0.000	0.000	Merged-chr16-10676780-15
NR3290--MA0037.3.GATA3	chr16	92995630	92995637	-	0.000	0.000	Merged-chr16-92995449-20
NR4620--MA0036.3.GATA2	chr2	144941395	144941405	-	0.000	0.000	Merged-chr2-144941527-10
NR5479--MA0035.3.Gata1	chr4	86725381	86725391	-	0.000	0.000	Merged-chr4-86725378-12
NR3606--MA1104.1.GATA6	chr17	87036794	87036806	+	0.000	0.000	Merged-chr17-87036710-20
NR5905--MA0037.3.GATA3	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR162--MA0035.3.Gata1	chr1	84817775	84817785	-	0.000	0.000	Merged-chr1-84817778-11
NR2977--MA0140.2.GATA1::TAL1	chr16	11526680	11526697	-	0.000	0.000	Merged-chr16-11526520-43
NR3159--MA0035.3.Gata1	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR2076--MA0036.3.GATA2	chr13	90886326	90886336	-	0.000	0.000	Merged-chr13-90886172-1
NR2881--MA0482.1.Gata4	chr15	91616639	91616649	-	0.000	0.000	Merged-chr15-91616695-12
NR202--MA0036.3.GATA2	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR249--MA0036.3.GATA2	chr1	95375655	95375665	+	0.000	0.000	Merged-chr1-95375799-8
NR250--MA0035.3.Gata1	chr1	95375655	95375665	+	0.000	0.000	Merged-chr1-95375799-8
NR6491--MA0036.3.GATA2	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR2722--MA0140.2.GATA1::TAL1	chr15	25673750	25673767	+	0.000	0.000	Merged-chr15-25673661-24
NR1572--MA0766.1.GATA5	chr12	69446045	69446052	+	0.000	0.000	Merged-chr12-69446107-1
NR194--MA1104.1.GATA6	chr1	87132395	87132407	+	0.000	0.000	Merged-chr1-87132380-14
NR6366--MA0035.3.Gata1	chr6	87041203	87041213	-	0.000	0.000	Merged-chr6-87041204-35
