#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR38342--MA1107.1.KLF9	chr2	147832633	147832645	+	0.000	0.000	Merged-chr2-147832545-2
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR65400--MA0741.1.KLF16	chr8	126536325	126536335	+	0.000	0.000	Merged-chr8-126536353-14
NR5412--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR38338--MA1107.1.KLF9	chr2	147832625	147832637	+	0.000	0.000	Merged-chr2-147832545-2
NR26383--MA1107.1.KLF9	chr16	90329845	90329857	+	0.000	0.000	Merged-chr16-90329904-1
NR50960--MA1107.1.KLF9	chr5	113165068	113165080	+	0.000	0.000	Merged-chr5-113165071-16
NR54218--MA0740.1.KLF14	chr6	53709833	53709846	-	0.000	0.000	Merged-chr6-53709881-31
NR64109--MA0741.1.KLF16	chr8	93810305	93810315	+	0.000	0.000	Merged-chr8-93810346-59
NR3332--MA0599.1.KLF5	chr1	167637966	167637975	-	0.000	0.000	Merged-chr1-167638015-1
NR59120--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR60679--MA0599.1.KLF5	chr7	112679261	112679270	+	0.000	0.000	Merged-chr7-112679423-49
NR55883--MA0599.1.KLF5	chr6	120934470	120934479	-	0.000	0.000	Merged-chr6-120934426-25
NR54219--MA0657.1.KLF13	chr6	53709830	53709847	-	0.000	0.000	Merged-chr6-53709881-31
NR45239--MA0493.1.Klf1	chr4	63374452	63374462	-	0.000	0.000	Merged-chr4-63374421-2
NR15501--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR41023--MA0493.1.Klf1	chr3	79451644	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR42906--MA0741.1.KLF16	chr3	132928122	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR41073--MA0599.1.KLF5	chr3	81835918	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR23049--MA0599.1.KLF5	chr15	74538494	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR21372--MA0740.1.KLF14	chr14	103620080	103620093	-	0.000	0.000	Merged-chr14-103620031-34
NR67794--MA0599.1.KLF5	chr9	89909814	89909823	-	0.000	0.000	Merged-chr9-89909785-17
NR64819--MA1107.1.KLF9	chr8	117855303	117855315	-	0.000	0.000	Merged-chr8-117855395-3
NR1869--MA1107.1.KLF9	chr1	119504865	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR4906--MA1107.1.KLF9	chr10	5795637	5795649	+	0.000	0.000	Merged-chr10-5795457-7
NR38331--MA1107.1.KLF9	chr2	147832607	147832619	+	0.000	0.000	Merged-chr2-147832545-2
NR58723--MA1107.1.KLF9	chr7	35729566	35729578	+	0.000	0.000	Merged-chr7-35729754-35
NR19399--MA0741.1.KLF16	chr14	7791692	7791702	+	0.000	0.000	Merged-chr14-7791631-72
NR25372--MA0493.1.Klf1	chr16	32516549	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR1539--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR40254--MA0741.1.KLF16	chr3	27984085	27984095	-	0.000	0.000	Merged-chr3-27984101-47
NR45240--MA1107.1.KLF9	chr4	63374450	63374462	-	0.000	0.000	Merged-chr4-63374421-2
NR23894--MA0740.1.KLF14	chr15	89498795	89498808	+	0.000	0.000	Merged-chr15-89498857-24
NR21375--MA0741.1.KLF16	chr14	103620082	103620092	-	0.000	0.000	Merged-chr14-103620031-34
NR60681--MA0741.1.KLF16	chr7	112679261	112679271	+	0.000	0.000	Merged-chr7-112679423-49
NR26382--MA0493.1.Klf1	chr16	90329845	90329855	+	0.000	0.000	Merged-chr16-90329904-1
NR1861--MA0740.1.KLF14	chr1	119504864	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR47999--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR19067--MA0599.1.KLF5	chr13	113484744	113484753	+	0.000	0.000	Merged-chr13-113484650-2
NR50357--MA0741.1.KLF16	chr5	98167607	98167617	-	0.000	0.000	Merged-chr5-98167553-86
NR393--MA0599.1.KLF5	chr1	37300937	37300946	-	0.000	0.000	Merged-chr1-37301008-22
NR13536--MA0740.1.KLF14	chr12	16999375	16999388	-	0.000	0.000	Merged-chr12-16999389-4
NR19398--MA0493.1.Klf1	chr14	7791559	7791569	+	0.000	0.000	Merged-chr14-7791631-72
NR52592--MA0039.3.KLF4	chr5	140871490	140871500	+	0.000	0.000	Merged-chr5-140871418-38
NR4901--MA0741.1.KLF16	chr10	5795624	5795634	+	0.000	0.000	Merged-chr10-5795457-7
NR60686--MA0741.1.KLF16	chr7	112679302	112679312	+	0.000	0.000	Merged-chr7-112679423-49
NR12458--MA1107.1.KLF9	chr11	109356816	109356828	-	0.000	0.000	Merged-chr11-109356957-22
NR34825--MA0599.1.KLF5	chr2	24776345	24776354	+	0.000	0.000	Merged-chr2-24776490-30
NR15402--MA0599.1.KLF5	chr12	105981714	105981723	-	0.000	0.000	Merged-chr12-105981568-18
NR23048--MA0742.1.Klf12	chr15	74538490	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR50956--MA0742.1.Klf12	chr5	113165068	113165082	+	0.000	0.000	Merged-chr5-113165071-16
NR41024--MA0741.1.KLF16	chr3	79451643	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR33793--MA0740.1.KLF14	chr19	46148526	46148539	-	0.000	0.000	Merged-chr19-46148494-21
NR64113--MA0741.1.KLF16	chr8	93810534	93810544	+	0.000	0.000	Merged-chr8-93810346-59
NR4904--MA1107.1.KLF9	chr10	5795633	5795645	+	0.000	0.000	Merged-chr10-5795457-7
NR59122--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR25370--MA0493.1.Klf1	chr16	32516539	32516549	-	0.000	0.000	Merged-chr16-32516451-30
NR65398--MA0599.1.KLF5	chr8	126536325	126536334	+	0.000	0.000	Merged-chr8-126536353-14
NR15403--MA0741.1.KLF16	chr12	105981750	105981760	-	0.000	0.000	Merged-chr12-105981568-18
NR9038--MA1107.1.KLF9	chr11	4344284	4344296	-	0.000	0.000	Merged-chr11-4344147-20
NR37944--MA0599.1.KLF5	chr2	136713340	136713349	+	0.000	0.000	Merged-chr2-136713421-11
NR1205--MA0039.3.KLF4	chr1	74570563	74570573	+	0.000	0.000	Merged-chr1-74570528-25
NR38343--MA0741.1.KLF16	chr2	147832654	147832664	-	0.000	0.000	Merged-chr2-147832545-2
NR23047--MA0740.1.KLF14	chr15	74538491	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR25156--MA0493.1.Klf1	chr16	21204597	21204607	-	0.000	0.000	Merged-chr16-21204669-33
NR38339--MA1107.1.KLF9	chr2	147832627	147832639	+	0.000	0.000	Merged-chr2-147832545-2
NR21374--MA0493.1.Klf1	chr14	103620083	103620093	-	0.000	0.000	Merged-chr14-103620031-34
NR10329--MA0039.3.KLF4	chr11	66905994	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR15504--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR395--MA0741.1.KLF16	chr1	37300936	37300946	-	0.000	0.000	Merged-chr1-37301008-22
NR68373--MA0599.1.KLF5	chr9	107356294	107356303	+	0.000	0.000	Merged-chr9-107356268-12
NR50955--MA0740.1.KLF14	chr5	113165068	113165081	+	0.000	0.000	Merged-chr5-113165071-16
NR54465--MA0742.1.Klf12	chr6	71322741	71322755	+	0.000	0.000	Merged-chr6-71322825-41
NR60684--MA0599.1.KLF5	chr7	112679302	112679311	+	0.000	0.000	Merged-chr7-112679423-49
NR4198--MA1107.1.KLF9	chr1	185613533	185613545	+	0.000	0.000	Merged-chr1-185613484-1
NR41077--MA0741.1.KLF16	chr3	81835984	81835994	-	0.000	0.000	Merged-chr3-81835793-30
NR50039--MA0039.3.KLF4	chr5	86783217	86783227	+	0.000	0.000	Merged-chr5-86783243-43
NR2694--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR15639--MA0741.1.KLF16	chr12	110381480	110381490	+	0.000	0.000	Merged-chr12-110381552-59
NR31230--MA1107.1.KLF9	chr18	61622348	61622360	+	0.000	0.000	Merged-chr18-61622282-13
NR64108--MA0493.1.Klf1	chr8	93810304	93810314	+	0.000	0.000	Merged-chr8-93810346-59
NR25800--MA0742.1.Klf12	chr16	58465451	58465465	+	0.000	0.000	Merged-chr16-58465503-54
NR15638--MA0599.1.KLF5	chr12	110381480	110381489	+	0.000	0.000	Merged-chr12-110381552-59
NR33792--MA0599.1.KLF5	chr19	46148487	46148496	+	0.000	0.000	Merged-chr19-46148494-21
NR59124--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR1866--MA0493.1.Klf1	chr1	119504867	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR36941--MA0599.1.KLF5	chr2	105398845	105398854	+	0.000	0.000	Merged-chr2-105398879-2
NR1867--MA0741.1.KLF16	chr1	119504866	119504876	-	0.000	0.000	Merged-chr1-119504796-62
NR54464--MA0740.1.KLF14	chr6	71322741	71322754	+	0.000	0.000	Merged-chr6-71322825-41
NR47666--MA0741.1.KLF16	chr4	145342060	145342070	+	0.000	0.000	Merged-chr4-145342099-62
NR2186--MA0493.1.Klf1	chr1	133053259	133053269	+	0.000	0.000	Merged-chr1-133053249-27
NR23051--MA0741.1.KLF16	chr15	74538493	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR4907--MA1107.1.KLF9	chr10	5795639	5795651	+	0.000	0.000	Merged-chr10-5795457-7
NR38332--MA1107.1.KLF9	chr2	147832609	147832621	+	0.000	0.000	Merged-chr2-147832545-2
NR65318--MA0740.1.KLF14	chr8	125558862	125558875	+	0.000	0.000	Merged-chr8-125558804-33
NR4193--MA0742.1.Klf12	chr1	185613533	185613547	+	0.000	0.000	Merged-chr1-185613484-1
NR50038--MA0599.1.KLF5	chr5	86783216	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR21376--MA1107.1.KLF9	chr14	103620081	103620093	-	0.000	0.000	Merged-chr14-103620031-34
NR1283--MA0741.1.KLF16	chr1	78422501	78422511	+	0.000	0.000	Merged-chr1-78422740-38
NR17979--MA1107.1.KLF9	chr13	92722554	92722566	-	0.000	0.000	Merged-chr13-92722597-29
NR4197--MA0741.1.KLF16	chr1	185613534	185613544	+	0.000	0.000	Merged-chr1-185613484-1
NR9037--MA0493.1.Klf1	chr11	4344286	4344296	-	0.000	0.000	Merged-chr11-4344147-20
NR42902--MA0740.1.KLF14	chr3	132928112	132928125	-	0.000	0.000	Merged-chr3-132927951-20
NR15711--MA0599.1.KLF5	chr12	111406901	111406910	+	0.000	0.000	Merged-chr12-111406868-16
NR24078--MA0493.1.Klf1	chr15	94255265	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR33643--MA0741.1.KLF16	chr19	42770732	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR15710--MA0657.1.KLF13	chr12	111406893	111406910	+	0.000	0.000	Merged-chr12-111406868-16
NR15503--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR15341--MA0742.1.Klf12	chr12	105539834	105539848	-	0.000	0.000	Merged-chr12-105539913-8
NR59123--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR41022--MA0599.1.KLF5	chr3	79451644	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR67968--MA0741.1.KLF16	chr9	96545557	96545567	+	0.000	0.000	Merged-chr9-96545653-10
NR15497--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR66750--MA0039.3.KLF4	chr9	62763759	62763769	+	0.000	0.000	Merged-chr9-62763874-18
NR12920--MA0741.1.KLF16	chr11	116869768	116869778	-	0.000	0.000	Merged-chr11-116869693-21
NR19068--MA0493.1.Klf1	chr13	113484743	113484753	+	0.000	0.000	Merged-chr13-113484650-2
NR42905--MA0741.1.KLF16	chr3	132928114	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR57553--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR54466--MA0599.1.KLF5	chr6	71322742	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR23659--MA0741.1.KLF16	chr15	84168813	84168823	-	0.000	0.000	Merged-chr15-84168860-11
NR12701--MA1107.1.KLF9	chr11	114219832	114219844	+	0.000	0.000	Merged-chr11-114219775-1
NR4192--MA0740.1.KLF14	chr1	185613533	185613546	+	0.000	0.000	Merged-chr1-185613484-1
NR59180--MA0742.1.Klf12	chr7	52005846	52005860	+	0.000	0.000	Merged-chr7-52005667-2
NR4006--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR31014--MA1107.1.KLF9	chr18	53904414	53904426	+	0.000	0.000	Merged-chr18-53904421-2
NR1868--MA1107.1.KLF9	chr1	119504859	119504871	-	0.000	0.000	Merged-chr1-119504796-62
NR2188--MA1107.1.KLF9	chr1	133053259	133053271	+	0.000	0.000	Merged-chr1-133053249-27
NR25367--MA0599.1.KLF5	chr16	32516539	32516548	-	0.000	0.000	Merged-chr16-32516451-30
NR15502--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR69806--MA0039.3.KLF4	chrX	56346458	56346468	-	0.000	0.000	Merged-chrX-56346415-28
NR1532--MA0039.3.KLF4	chr1	89070174	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR15340--MA0740.1.KLF14	chr12	105539835	105539848	-	0.000	0.000	Merged-chr12-105539913-8
NR15496--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR23895--MA0599.1.KLF5	chr15	89498796	89498805	+	0.000	0.000	Merged-chr15-89498857-24
NR38335--MA1107.1.KLF9	chr2	147832619	147832631	+	0.000	0.000	Merged-chr2-147832545-2
NR9361--MA0741.1.KLF16	chr11	22936586	22936596	+	0.000	0.000	Merged-chr11-22936648-30
NR40252--MA0599.1.KLF5	chr3	27984086	27984095	-	0.000	0.000	Merged-chr3-27984101-47
NR67793--MA0740.1.KLF14	chr9	89909811	89909824	-	0.000	0.000	Merged-chr9-89909785-17
NR65399--MA0493.1.Klf1	chr8	126536324	126536334	+	0.000	0.000	Merged-chr8-126536353-14
NR46509--MA0493.1.Klf1	chr4	123588844	123588854	+	0.000	0.000	Merged-chr4-123588937-38
NR38327--MA0493.1.Klf1	chr2	147832613	147832623	+	0.000	0.000	Merged-chr2-147832545-2
NR2695--MA1107.1.KLF9	chr1	151236858	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR45236--MA0493.1.Klf1	chr4	63374408	63374418	-	0.000	0.000	Merged-chr4-63374421-2
NR4900--MA0741.1.KLF16	chr10	5795623	5795633	+	0.000	0.000	Merged-chr10-5795457-7
NR42903--MA0599.1.KLF5	chr3	132928115	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR50958--MA0039.3.KLF4	chr5	113165094	113165104	+	0.000	0.000	Merged-chr5-113165071-16
NR396--MA1107.1.KLF9	chr1	37300933	37300945	-	0.000	0.000	Merged-chr1-37301008-22
NR31231--MA1107.1.KLF9	chr18	61622350	61622362	+	0.000	0.000	Merged-chr18-61622282-13
NR26524--MA0741.1.KLF16	chr16	92400130	92400140	-	0.000	0.000	Merged-chr16-92400195-21
NR60685--MA0493.1.Klf1	chr7	112679301	112679311	+	0.000	0.000	Merged-chr7-112679423-49
NR69805--MA0599.1.KLF5	chrX	56346460	56346469	-	0.000	0.000	Merged-chrX-56346415-28
NR1531--MA0599.1.KLF5	chr1	89070178	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR64190--MA0599.1.KLF5	chr8	95154909	95154918	+	0.000	0.000	Merged-chr8-95154872-23
NR48001--MA0599.1.KLF5	chr4	150087365	150087374	-	0.000	0.000	Merged-chr4-150087480-81
NR12699--MA0741.1.KLF16	chr11	114219809	114219819	+	0.000	0.000	Merged-chr11-114219775-1
NR23050--MA0493.1.Klf1	chr15	74538494	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR50959--MA0741.1.KLF16	chr5	113165069	113165079	+	0.000	0.000	Merged-chr5-113165071-16
NR1281--MA0740.1.KLF14	chr1	78422500	78422513	+	0.000	0.000	Merged-chr1-78422740-38
NR67796--MA0599.1.KLF5	chr9	89909839	89909848	-	0.000	0.000	Merged-chr9-89909785-17
NR31013--MA0741.1.KLF16	chr18	53904421	53904431	+	0.000	0.000	Merged-chr18-53904421-2
NR64816--MA0039.3.KLF4	chr8	117855301	117855311	-	0.000	0.000	Merged-chr8-117855395-3
NR22333--MA0599.1.KLF5	chr15	36474811	36474820	+	0.000	0.000	Merged-chr15-36474869-12
NR41075--MA0493.1.Klf1	chr3	81835918	81835928	-	0.000	0.000	Merged-chr3-81835793-30
NR38333--MA1107.1.KLF9	chr2	147832611	147832623	+	0.000	0.000	Merged-chr2-147832545-2
NR25159--MA0741.1.KLF16	chr16	21204697	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR50356--MA0493.1.Klf1	chr5	98167608	98167618	-	0.000	0.000	Merged-chr5-98167553-86
NR38329--MA1107.1.KLF9	chr2	147832603	147832615	+	0.000	0.000	Merged-chr2-147832545-2
NR66720--MA0657.1.KLF13	chr9	61827979	61827996	-	0.000	0.000	Merged-chr9-61827917-16
NR25369--MA0039.3.KLF4	chr16	32516547	32516557	-	0.000	0.000	Merged-chr16-32516451-30
NR64111--MA0599.1.KLF5	chr8	93810529	93810538	+	0.000	0.000	Merged-chr8-93810346-59
NR12235--MA0741.1.KLF16	chr11	104001251	104001261	-	0.000	0.000	Merged-chr11-104001412-21
NR50957--MA0599.1.KLF5	chr5	113165069	113165078	+	0.000	0.000	Merged-chr5-113165071-16
NR15712--MA0599.1.KLF5	chr12	111406906	111406915	+	0.000	0.000	Merged-chr12-111406868-16
NR50128--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR41076--MA0741.1.KLF16	chr3	81835917	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR47665--MA0599.1.KLF5	chr4	145342060	145342069	+	0.000	0.000	Merged-chr4-145342099-62
NR64107--MA0599.1.KLF5	chr8	93810305	93810314	+	0.000	0.000	Merged-chr8-93810346-59
NR54468--MA0741.1.KLF16	chr6	71322742	71322752	+	0.000	0.000	Merged-chr6-71322825-41
NR31785--MA0599.1.KLF5	chr18	75819216	75819225	-	0.000	0.000	Merged-chr18-75819270-8
NR1282--MA0493.1.Klf1	chr1	78422500	78422510	+	0.000	0.000	Merged-chr1-78422740-38
NR15713--MA0741.1.KLF16	chr12	111406895	111406905	+	0.000	0.000	Merged-chr12-111406868-16
NR45238--MA0039.3.KLF4	chr4	63374450	63374460	-	0.000	0.000	Merged-chr4-63374421-2
NR44096--MA0599.1.KLF5	chr4	6941241	6941250	+	0.000	0.000	Merged-chr4-6941109-33
NR60687--MA1107.1.KLF9	chr7	112679301	112679313	+	0.000	0.000	Merged-chr7-112679423-49
NR59118--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR41177--MA0741.1.KLF16	chr3	86915462	86915472	-	0.000	0.000	Merged-chr3-86915418-7
NR50035--MA0740.1.KLF14	chr5	86783215	86783228	+	0.000	0.000	Merged-chr5-86783243-43
NR12698--MA0493.1.Klf1	chr11	114219808	114219818	+	0.000	0.000	Merged-chr11-114219775-1
NR23052--MA1107.1.KLF9	chr15	74538492	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR25799--MA0740.1.KLF14	chr16	58465451	58465464	+	0.000	0.000	Merged-chr16-58465503-54
NR12697--MA0039.3.KLF4	chr11	114219810	114219820	+	0.000	0.000	Merged-chr11-114219775-1
NR60676--MA0742.1.Klf12	chr7	112679260	112679274	+	0.000	0.000	Merged-chr7-112679423-49
NR59119--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR33686--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR60822--MA1107.1.KLF9	chr7	116484540	116484552	-	0.000	0.000	Merged-chr7-116484434-42
NR64192--MA1107.1.KLF9	chr8	95154908	95154920	+	0.000	0.000	Merged-chr8-95154872-23
NR50036--MA0657.1.KLF13	chr5	86783214	86783231	+	0.000	0.000	Merged-chr5-86783243-43
NR22903--MA0742.1.Klf12	chr15	66285835	66285849	-	0.000	0.000	Merged-chr15-66285886-5
NR54467--MA0493.1.Klf1	chr6	71322741	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR25368--MA0599.1.KLF5	chr16	32516544	32516553	-	0.000	0.000	Merged-chr16-32516451-30
NR21371--MA0599.1.KLF5	chr14	103620025	103620034	-	0.000	0.000	Merged-chr14-103620031-34
NR45657--MA0599.1.KLF5	chr4	97657693	97657702	+	0.000	0.000	Merged-chr4-97657761-27
