#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR1774--MA0591.1.Bach1::Mafk	chr10	85050870	85050884	+	0.000	0.000	Merged-chr10-85050856-11
NR478--MA0089.1.MAFG::NFE2L1	chr1	91626322	91626327	+	0.000	0.000	Merged-chr1-91626193-21
NR9445--MA0659.1.MAFG	chr3	126570830	126570850	+	0.000	0.000	Merged-chr3-126570904-20
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR450--MA0089.1.MAFG::NFE2L1	chr1	89092903	89092908	-	0.000	0.000	Merged-chr1-89092949-17
NR1390--MA0591.1.Bach1::Mafk	chr10	21553352	21553366	+	0.000	0.000	Merged-chr10-21553167-27
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR9897--MA0117.2.Mafb	chr4	46560569	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR942--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR13912--MA0659.1.MAFG	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR980--MA0117.2.Mafb	chr1	167296085	167296096	+	0.000	0.000	Merged-chr1-167296095-13
NR4591--MA0117.2.Mafb	chr14	52553468	52553479	+	0.000	0.000	Merged-chr14-52553618-9
NR6943--MA0591.1.Bach1::Mafk	chr18	67301726	67301740	+	0.000	0.000	Merged-chr18-67301646-31
NR1824--MA0089.1.MAFG::NFE2L1	chr10	89487168	89487173	+	0.000	0.000	Merged-chr10-89487316-19
NR10967--MA0496.2.MAFK	chr5	68033469	68033487	+	0.000	0.000	Merged-chr5-68033501-23
NR7604--MA0495.2.MAFF	chr2	32181554	32181574	+	0.000	0.000	Merged-chr2-32181600-13
NR7322--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR3831--MA0495.2.MAFF	chr13	58206782	58206802	+	0.000	0.000	Merged-chr13-58206802-1
NR11195--MA0117.2.Mafb	chr5	106982741	106982752	+	0.000	0.000	Merged-chr5-106982609-23
NR5773--MA0496.2.MAFK	chr16	50737728	50737746	-	0.000	0.000	Merged-chr16-50737708-13
NR3362--MA0501.1.MAF::NFE2	chr12	107011572	107011586	+	0.000	0.000	Merged-chr12-107011663-34
NR13561--MA0089.1.MAFG::NFE2L1	chr8	64935230	64935235	+	0.000	0.000	Merged-chr8-64935114-22
NR6808--MA0089.1.MAFG::NFE2L1	chr18	46013384	46013389	-	0.000	0.000	Merged-chr18-46013388-48
NR9103--MA0089.1.MAFG::NFE2L1	chr3	84395281	84395286	-	0.000	0.000	Merged-chr3-84395228-27
NR1658--MA0117.2.Mafb	chr10	71362053	71362064	+	0.000	0.000	Merged-chr10-71362071-33
NR6673--MA0117.2.Mafb	chr18	12876634	12876645	+	0.000	0.000	Merged-chr18-12876665-8
NR11717--MA0501.1.MAF::NFE2	chr6	52825699	52825713	+	0.000	0.000	Merged-chr6-52825813-18
NR14472--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR8947--MA0117.2.Mafb	chr3	54592452	54592463	+	0.000	0.000	Merged-chr3-54592638-50
NR6013--MA0089.1.MAFG::NFE2L1	chr16	91413521	91413526	+	0.000	0.000	Merged-chr16-91413429-37
NR4445--MA0089.1.MAFG::NFE2L1	chr14	30153151	30153156	+	0.000	0.000	Merged-chr14-30153038-10
NR3301--MA0659.1.MAFG	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR5133--MA0591.1.Bach1::Mafk	chr15	41612395	41612409	+	0.000	0.000	Merged-chr15-41612397-47
NR12082--MA0496.2.MAFK	chr6	108895317	108895335	-	0.000	0.000	Merged-chr6-108895381-27
NR12078--MA0089.1.MAFG::NFE2L1	chr6	108895319	108895324	-	0.000	0.000	Merged-chr6-108895381-27
NR12830--MA0089.1.MAFG::NFE2L1	chr7	75634281	75634286	+	0.000	0.000	Merged-chr7-75634334-7
NR11675--MA0117.2.Mafb	chr6	41527379	41527390	+	0.000	0.000	Merged-chr6-41527380-17
NR3747--MA0495.2.MAFF	chr13	44819586	44819606	-	0.000	0.000	Merged-chr13-44819494-25
NR5689--MA0089.1.MAFG::NFE2L1	chr16	38017281	38017286	-	0.000	0.000	Merged-chr16-38017190-20
NR4745--MA0659.1.MAFG	chr14	73472443	73472463	-	0.000	0.000	Merged-chr14-73472602-8
NR2569--MA0501.1.MAF::NFE2	chr11	80505141	80505155	+	0.000	0.000	Merged-chr11-80505144-23
NR11649--MA0501.1.MAF::NFE2	chr6	33004675	33004689	+	0.000	0.000	Merged-chr6-33004502-19
NR9722--MA0496.2.MAFK	chr3	157884229	157884247	+	0.000	0.000	Merged-chr3-157884103-23
NR590--MA0496.2.MAFK	chr1	106187696	106187714	+	0.000	0.000	Merged-chr1-106187715-26
NR309--MA0501.1.MAF::NFE2	chr1	72449910	72449924	+	0.000	0.000	Merged-chr1-72450027-13
NR11228--MA0117.2.Mafb	chr5	111057263	111057274	+	0.000	0.000	Merged-chr5-111057385-10
NR2568--MA0591.1.Bach1::Mafk	chr11	80505138	80505152	+	0.000	0.000	Merged-chr11-80505144-23
NR5081--MA0089.1.MAFG::NFE2L1	chr15	27826216	27826221	-	0.000	0.000	Merged-chr15-27825914-54
NR14208--MA0501.1.MAF::NFE2	chr9	36802537	36802551	+	0.000	0.000	Merged-chr9-36802612-8
NR11447--MA0089.1.MAFG::NFE2L1	chr5	147049404	147049409	+	0.000	0.000	Merged-chr5-147049236-7
NR6840--MA0659.1.MAFG	chr18	54822970	54822990	+	0.000	0.000	Merged-chr18-54822886-30
NR3304--MA0496.2.MAFK	chr12	102588573	102588591	-	0.000	0.000	Merged-chr12-102588735-27
NR102--MA0089.1.MAFG::NFE2L1	chr1	32104220	32104225	+	0.000	0.000	Merged-chr1-32104339-13
NR11712--MA0659.1.MAFG	chr6	52825668	52825688	+	0.000	0.000	Merged-chr6-52825813-18
NR14872--MA0501.1.MAF::NFE2	chrX	53607945	53607959	+	0.000	0.000	Merged-chrX-53607978-28
NR392--MA0089.1.MAFG::NFE2L1	chr1	82973416	82973421	-	0.000	0.000	Merged-chr1-82973536-4
NR7045--MA0501.1.MAF::NFE2	chr18	79284460	79284474	+	0.000	0.000	Merged-chr18-79284521-10
NR14868--MA0495.2.MAFF	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR7234--MA0496.2.MAFK	chr19	18766586	18766604	+	0.000	0.000	Merged-chr19-18766611-24
NR9036--MA0501.1.MAF::NFE2	chr3	69274873	69274887	-	0.000	0.000	Merged-chr3-69274909-13
NR383--MA0501.1.MAF::NFE2	chr1	82429278	82429292	-	0.000	0.000	Merged-chr1-82429225-23
NR12628--MA0501.1.MAF::NFE2	chr7	27508826	27508840	-	0.000	0.000	Merged-chr7-27508743-1
NR12699--MA0117.2.Mafb	chr7	49392350	49392361	-	0.000	0.000	Merged-chr7-49392450-14
NR11677--MA0501.1.MAF::NFE2	chr6	41527379	41527393	-	0.000	0.000	Merged-chr6-41527380-17
NR5867--MA0117.2.Mafb	chr16	65351348	65351359	+	0.000	0.000	Merged-chr16-65351191-13
NR965--MA0659.1.MAFG	chr1	165075728	165075748	+	0.000	0.000	Merged-chr1-165075837-38
NR12676--MA0089.1.MAFG::NFE2L1	chr7	44485772	44485777	+	0.000	0.000	Merged-chr7-44485840-1
NR1852--MA0591.1.Bach1::Mafk	chr10	93422127	93422141	-	0.000	0.000	Merged-chr10-93422130-9
NR9112--MA0659.1.MAFG	chr3	84732098	84732118	+	0.000	0.000	Merged-chr3-84732134-27
NR14869--MA0591.1.Bach1::Mafk	chrX	53607942	53607956	+	0.000	0.000	Merged-chrX-53607978-28
NR12496--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR13956--MA0591.1.Bach1::Mafk	chr8	117780881	117780895	+	0.000	0.000	Merged-chr8-117780914-2
NR14546--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR5767--MA0495.2.MAFF	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR15078--MA0117.2.Mafb	chrX	159772267	159772278	+	0.000	0.000	Merged-chrX-159772302-20
NR1604--MA0496.2.MAFK	chr10	60162723	60162741	+	0.000	0.000	Merged-chr10-60162645-38
NR3489--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR5635--MA0591.1.Bach1::Mafk	chr16	32972771	32972785	+	0.000	0.000	Merged-chr16-32972762-21
NR535--MA0501.1.MAF::NFE2	chr1	97764136	97764150	-	0.000	0.000	Merged-chr1-97764346-16
NR12079--MA0591.1.Bach1::Mafk	chr6	108895319	108895333	+	0.000	0.000	Merged-chr6-108895381-27
NR2790--MA0591.1.Bach1::Mafk	chr11	115660530	115660544	+	0.000	0.000	Merged-chr11-115660651-9
NR4006--MA0495.2.MAFF	chr13	90101751	90101771	-	0.000	0.000	Merged-chr13-90101603-11
NR11715--MA0496.2.MAFK	chr6	52825669	52825687	+	0.000	0.000	Merged-chr6-52825813-18
NR248--MA0591.1.Bach1::Mafk	chr1	58742700	58742714	+	0.000	0.000	Merged-chr1-58742743-31
NR8795--MA0089.1.MAFG::NFE2L1	chr3	10466041	10466046	+	0.000	0.000	Merged-chr3-10466039-18
NR1412--MA0496.2.MAFK	chr10	25140547	25140565	+	0.000	0.000	Merged-chr10-25140477-16
NR2703--MA0089.1.MAFG::NFE2L1	chr11	103808856	103808861	+	0.000	0.000	Merged-chr11-103808730-15
NR4676--MA0089.1.MAFG::NFE2L1	chr14	66805902	66805907	+	0.000	0.000	Merged-chr14-66805736-29
NR1473--MA0089.1.MAFG::NFE2L1	chr10	39430564	39430569	+	0.000	0.000	Merged-chr10-39430541-24
NR14471--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR12076--MA0495.2.MAFF	chr6	108895316	108895336	-	0.000	0.000	Merged-chr6-108895381-27
NR2254--MA0591.1.Bach1::Mafk	chr11	23570309	23570323	-	0.000	0.000	Merged-chr11-23570355-13
NR2898--MA0591.1.Bach1::Mafk	chr12	21467967	21467981	+	0.000	0.000	Merged-chr12-21468092-6
NR3297--MA0495.2.MAFF	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR13166--MA0495.2.MAFF	chr7	123327112	123327132	-	0.000	0.000	Merged-chr7-123327122-14
NR7979--MA0089.1.MAFG::NFE2L1	chr2	90560139	90560144	+	0.000	0.000	Merged-chr2-90560115-12
NR4446--MA0591.1.Bach1::Mafk	chr14	30273210	30273224	+	0.000	0.000	Merged-chr14-30273182-14
NR308--MA0659.1.MAFG	chr1	72449904	72449924	-	0.000	0.000	Merged-chr1-72450027-13
NR9115--MA0496.2.MAFK	chr3	84732099	84732117	-	0.000	0.000	Merged-chr3-84732134-27
NR15005--MA0089.1.MAFG::NFE2L1	chrX	134566714	134566719	+	0.000	0.000	Merged-chrX-134566845-16
NR9903--MA0496.2.MAFK	chr4	47272967	47272985	+	0.000	0.000	Merged-chr4-47272801-22
NR3812--MA0591.1.Bach1::Mafk	chr13	55255262	55255276	+	0.000	0.000	Merged-chr13-55255412-37
NR9312--MA0501.1.MAF::NFE2	chr3	108781691	108781705	-	0.000	0.000	Merged-chr3-108781707-12
NR5413--MA0089.1.MAFG::NFE2L1	chr15	94235382	94235387	+	0.000	0.000	Merged-chr15-94235397-15
NR8327--MA0089.1.MAFG::NFE2L1	chr2	132691840	132691845	+	0.000	0.000	Merged-chr2-132691913-20
NR8893--MA0089.1.MAFG::NFE2L1	chr3	41031639	41031644	-	0.000	0.000	Merged-chr3-41031560-12
NR2801--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR13717--MA0495.2.MAFF	chr8	83131932	83131952	-	0.000	0.000	Merged-chr8-83131891-13
NR10458--MA0117.2.Mafb	chr4	141952347	141952358	-	0.000	0.000	Merged-chr4-141952458-47
NR14668--MA0089.1.MAFG::NFE2L1	chr9	112174593	112174598	+	0.000	0.000	Merged-chr9-112174843-101
NR14813--MA0117.2.Mafb	chrX	9243706	9243717	+	0.000	0.000	Merged-chrX-9243541-17
NR13220--MA0089.1.MAFG::NFE2L1	chr7	129764607	129764612	-	0.000	0.000	Merged-chr7-129764736-16
NR1581--MA0591.1.Bach1::Mafk	chr10	58480253	58480267	-	0.000	0.000	Merged-chr10-58480234-23
NR2540--MA0501.1.MAF::NFE2	chr11	75541179	75541193	-	0.000	0.000	Merged-chr11-75541431-19
NR3210--MA0659.1.MAFG	chr12	91604327	91604347	+	0.000	0.000	Merged-chr12-91604478-1
NR8527--MA0089.1.MAFG::NFE2L1	chr2	156970708	156970713	+	0.000	0.000	Merged-chr2-156970494-23
NR2646--MA0496.2.MAFK	chr11	96435095	96435113	-	0.000	0.000	Merged-chr11-96435210-8
NR2625--MA0089.1.MAFG::NFE2L1	chr11	90586654	90586659	-	0.000	0.000	Merged-chr11-90586478-10
NR11087--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR11463--MA0089.1.MAFG::NFE2L1	chr5	149160677	149160682	-	0.000	0.000	Merged-chr5-149160687-30
NR103--MA0591.1.Bach1::Mafk	chr1	32104206	32104220	+	0.000	0.000	Merged-chr1-32104339-13
NR8614--MA0089.1.MAFG::NFE2L1	chr2	167936102	167936107	+	0.000	0.000	Merged-chr2-167936072-3
NR356--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR5511--MA0089.1.MAFG::NFE2L1	chr16	11646904	11646909	-	0.000	0.000	Merged-chr16-11646915-14
NR14194--MA0495.2.MAFF	chr9	34996151	34996171	-	0.000	0.000	Merged-chr9-34996088-18
NR9556--MA0089.1.MAFG::NFE2L1	chr3	138992831	138992836	-	0.000	0.000	Merged-chr3-138992913-17
NR358--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR3528--MA0117.2.Mafb	chr13	3782690	3782701	-	0.000	0.000	Merged-chr13-3782702-4
NR14196--MA0659.1.MAFG	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR5900--MA0089.1.MAFG::NFE2L1	chr16	75823556	75823561	-	0.000	0.000	Merged-chr16-75823473-28
NR7480--MA0117.2.Mafb	chr2	9997638	9997649	+	0.000	0.000	Merged-chr2-9997770-18
NR1971--MA0089.1.MAFG::NFE2L1	chr10	111924221	111924226	+	0.000	0.000	Merged-chr10-111924366-28
NR1579--MA0496.2.MAFK	chr10	58383471	58383489	-	0.000	0.000	Merged-chr10-58383440-43
NR14762--MA0501.1.MAF::NFE2	chr9	119271676	119271690	+	0.000	0.000	Merged-chr9-119271668-22
NR3340--MA0117.2.Mafb	chr12	105069094	105069105	+	0.000	0.000	Merged-chr12-105069151-33
NR1409--MA0591.1.Bach1::Mafk	chr10	25140549	25140563	-	0.000	0.000	Merged-chr10-25140477-16
NR584--MA0496.2.MAFK	chr1	106187587	106187605	+	0.000	0.000	Merged-chr1-106187715-26
NR2255--MA0659.1.MAFG	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR1602--MA0495.2.MAFF	chr10	60162722	60162742	-	0.000	0.000	Merged-chr10-60162645-38
NR11722--MA0501.1.MAF::NFE2	chr6	53455711	53455725	+	0.000	0.000	Merged-chr6-53455637-20
NR10296--MA0495.2.MAFF	chr4	118078607	118078627	+	0.000	0.000	Merged-chr4-118078644-25
NR1493--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR9508--MA0117.2.Mafb	chr3	133760372	133760383	+	0.000	0.000	Merged-chr3-133760332-18
NR4990--MA0591.1.Bach1::Mafk	chr14	121710264	121710278	+	0.000	0.000	Merged-chr14-121710333-21
NR7516--MA0501.1.MAF::NFE2	chr2	14712053	14712067	+	0.000	0.000	Merged-chr2-14711970-14
NR7257--MA0591.1.Bach1::Mafk	chr19	21810324	21810338	+	0.000	0.000	Merged-chr19-21810338-13
NR9896--MA0495.2.MAFF	chr4	46560560	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR3213--MA0496.2.MAFK	chr12	91604328	91604346	-	0.000	0.000	Merged-chr12-91604478-1
NR3187--MA0089.1.MAFG::NFE2L1	chr12	86592686	86592691	+	0.000	0.000	Merged-chr12-86592700-17
NR14877--MA0089.1.MAFG::NFE2L1	chrX	57200528	57200533	+	0.000	0.000	Merged-chrX-57200663-17
NR5924--MA0089.1.MAFG::NFE2L1	chr16	76499912	76499917	+	0.000	0.000	Merged-chr16-76499941-29
NR1396--MA0496.2.MAFK	chr10	21659610	21659628	+	0.000	0.000	Merged-chr10-21659696-16
NR13079--MA0501.1.MAF::NFE2	chr7	113241947	113241961	-	0.000	0.000	Merged-chr7-113241990-10
NR1640--MA0117.2.Mafb	chr10	67512433	67512444	+	0.000	0.000	Merged-chr10-67512381-13
NR8058--MA0089.1.MAFG::NFE2L1	chr2	103668157	103668162	-	0.000	0.000	Merged-chr2-103668249-32
NR9446--MA0659.1.MAFG	chr3	126570830	126570850	-	0.000	0.000	Merged-chr3-126570904-20
NR833--MA0089.1.MAFG::NFE2L1	chr1	151698037	151698042	+	0.000	0.000	Merged-chr1-151698105-31
NR408--MA0591.1.Bach1::Mafk	chr1	84881699	84881713	+	0.000	0.000	Merged-chr1-84881698-12
NR3834--MA0501.1.MAF::NFE2	chr13	58206782	58206796	-	0.000	0.000	Merged-chr13-58206802-1
NR11709--MA0495.2.MAFF	chr6	52825668	52825688	+	0.000	0.000	Merged-chr6-52825813-18
NR410--MA0501.1.MAF::NFE2	chr1	84881745	84881759	-	0.000	0.000	Merged-chr1-84881698-12
NR2624--MA0501.1.MAF::NFE2	chr11	90586478	90586492	-	0.000	0.000	Merged-chr11-90586478-10
NR1429--MA0501.1.MAF::NFE2	chr10	26564622	26564636	+	0.000	0.000	Merged-chr10-26564649-11
NR10554--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR2258--MA0496.2.MAFK	chr11	23570307	23570325	+	0.000	0.000	Merged-chr11-23570355-13
NR11004--MA0089.1.MAFG::NFE2L1	chr5	86673053	86673058	+	0.000	0.000	Merged-chr5-86673072-6
NR10968--MA0496.2.MAFK	chr5	68033469	68033487	-	0.000	0.000	Merged-chr5-68033501-23
NR7605--MA0495.2.MAFF	chr2	32181554	32181574	-	0.000	0.000	Merged-chr2-32181600-13
NR7301--MA0089.1.MAFG::NFE2L1	chr19	32496638	32496643	+	0.000	0.000	Merged-chr19-32496642-11
NR13931--MA0089.1.MAFG::NFE2L1	chr8	115531562	115531567	-	0.000	0.000	Merged-chr8-115531430-21
NR9274--MA0089.1.MAFG::NFE2L1	chr3	103907901	103907906	+	0.000	0.000	Merged-chr3-103907790-52
NR13907--MA0495.2.MAFF	chr8	111624157	111624177	+	0.000	0.000	Merged-chr8-111624206-14
NR9109--MA0495.2.MAFF	chr3	84732098	84732118	-	0.000	0.000	Merged-chr3-84732134-27
NR4736--MA0591.1.Bach1::Mafk	chr14	73253976	73253990	+	0.000	0.000	Merged-chr14-73253840-37
NR13668--MA0089.1.MAFG::NFE2L1	chr8	77436394	77436399	+	0.000	0.000	Merged-chr8-77436264-47
NR10841--MA0089.1.MAFG::NFE2L1	chr5	45676811	45676816	-	0.000	0.000	Merged-chr5-45676772-9
NR407--MA0495.2.MAFF	chr1	84881696	84881716	-	0.000	0.000	Merged-chr1-84881698-12
NR14609--MA0089.1.MAFG::NFE2L1	chr9	103595398	103595403	-	0.000	0.000	Merged-chr9-103595480-3
NR4930--MA0591.1.Bach1::Mafk	chr14	115015514	115015528	+	0.000	0.000	Merged-chr14-115015527-11
NR1775--MA0501.1.MAF::NFE2	chr10	85050873	85050887	+	0.000	0.000	Merged-chr10-85050856-11
NR8430--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR13909--MA0117.2.Mafb	chr8	111624157	111624168	+	0.000	0.000	Merged-chr8-111624206-14
NR8948--MA0591.1.Bach1::Mafk	chr3	54592455	54592469	-	0.000	0.000	Merged-chr3-54592638-50
NR12958--MA0117.2.Mafb	chr7	98995279	98995290	+	0.000	0.000	Merged-chr7-98995432-21
NR14822--MA0591.1.Bach1::Mafk	chrX	11691272	11691286	-	0.000	0.000	Merged-chrX-11691222-6
NR1825--MA0501.1.MAF::NFE2	chr10	89487169	89487183	+	0.000	0.000	Merged-chr10-89487316-19
NR14697--MA0089.1.MAFG::NFE2L1	chr9	115134830	115134835	+	0.000	0.000	Merged-chr9-115134877-14
NR6841--MA0501.1.MAF::NFE2	chr18	54822970	54822984	-	0.000	0.000	Merged-chr18-54822886-30
NR1462--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR14473--MA0496.2.MAFK	chr9	83564271	83564289	-	0.000	0.000	Merged-chr9-83564254-44
NR9035--MA0117.2.Mafb	chr3	69274873	69274884	+	0.000	0.000	Merged-chr3-69274909-13
NR7664--MA0495.2.MAFF	chr2	44953119	44953139	+	0.000	0.000	Merged-chr2-44953031-31
NR9467--MA0501.1.MAF::NFE2	chr3	129602462	129602476	-	0.000	0.000	Merged-chr3-129602465-51
NR5245--MA0591.1.Bach1::Mafk	chr15	62726726	62726740	-	0.000	0.000	Merged-chr15-62726785-12
NR4009--MA0496.2.MAFK	chr13	90101752	90101770	+	0.000	0.000	Merged-chr13-90101603-11
NR8863--MA0117.2.Mafb	chr3	31109332	31109343	+	0.000	0.000	Merged-chr3-31109260-17
NR5279--MA0089.1.MAFG::NFE2L1	chr15	72742468	72742473	+	0.000	0.000	Merged-chr15-72742645-6
NR2897--MA0117.2.Mafb	chr12	21467973	21467984	-	0.000	0.000	Merged-chr12-21468092-6
NR233--MA0495.2.MAFF	chr1	55630405	55630425	+	0.000	0.000	Merged-chr1-55630357-14
NR12359--MA0089.1.MAFG::NFE2L1	chr6	134217897	134217902	-	0.000	0.000	Merged-chr6-134217908-11
NR5025--MA0117.2.Mafb	chr15	5580415	5580426	+	0.000	0.000	Merged-chr15-5580453-13
