#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR14291--MA0740.1.KLF14	chr12	101718561	101718574	+	0.000	0.000	Merged-chr12-101718493-65
NR14719--MA0039.3.KLF4	chr12	109445245	109445255	+	0.000	0.000	Merged-chr12-109445419-17
NR56510--MA1107.1.KLF9	chr7	98797413	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR44609--MA0657.1.KLF13	chr4	140750570	140750587	+	0.000	0.000	Merged-chr4-140750542-28
NR6800--MA0741.1.KLF16	chr10	94087500	94087510	+	0.000	0.000	Merged-chr10-94087553-20
NR28478--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR66069--MA0740.1.KLF14	chrX	57185035	57185048	+	0.000	0.000	Merged-chrX-57185087-24
NR14527--MA1107.1.KLF9	chr12	106016399	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR1854--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR43202--MA0741.1.KLF16	chr4	117835297	117835307	+	0.000	0.000	Merged-chr4-117835233-2
NR28174--MA0741.1.KLF16	chr17	74864999	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR32515--MA0039.3.KLF4	chr2	4454952	4454962	-	0.000	0.000	Merged-chr2-4454837-7
NR41954--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR1421--MA0599.1.KLF5	chr1	91831310	91831319	+	0.000	0.000	Merged-chr1-91831329-12
NR18685--MA1107.1.KLF9	chr14	31398271	31398283	-	0.000	0.000	Merged-chr14-31398460-1
NR7386--MA1107.1.KLF9	chr10	116664588	116664600	-	0.000	0.000	Merged-chr10-116664420-26
NR36463--MA1107.1.KLF9	chr2	157119297	157119309	-	0.000	0.000	Merged-chr2-157119108-55
NR41264--MA0493.1.Klf1	chr3	154683893	154683903	-	0.000	0.000	Merged-chr3-154683777-15
NR24106--MA0493.1.Klf1	chr16	24834894	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR61657--MA0742.1.Klf12	chr8	128420724	128420738	+	0.000	0.000	Merged-chr8-128420826-46
NR24052--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR50903--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR39285--MA1107.1.KLF9	chr3	100582913	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR32543--MA0493.1.Klf1	chr2	5003272	5003282	+	0.000	0.000	Merged-chr2-5003396-19
NR53836--MA0741.1.KLF16	chr6	145002400	145002410	-	0.000	0.000	Merged-chr6-145002461-23
NR66528--MA0493.1.Klf1	chrX	113298149	113298159	-	0.000	0.000	Merged-chrX-113298172-75
NR60695--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR63190--MA0039.3.KLF4	chr9	65003983	65003993	+	0.000	0.000	Merged-chr9-65004115-12
NR27628--MA0657.1.KLF13	chr17	56425175	56425192	-	0.000	0.000	Merged-chr17-56425045-2
NR33879--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR46023--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR4476--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR10781--MA1107.1.KLF9	chr11	90257463	90257475	+	0.000	0.000	Merged-chr11-90257307-51
NR33883--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR52105--MA0741.1.KLF16	chr6	99801018	99801028	+	0.000	0.000	Merged-chr6-99800956-8
NR53917--MA1107.1.KLF9	chr6	146081156	146081168	-	0.000	0.000	Merged-chr6-146081045-99
NR53255--MA0493.1.Klf1	chr6	135168259	135168269	+	0.000	0.000	Merged-chr6-135168143-37
NR60812--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR61472--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR24903--MA0493.1.Klf1	chr16	78295030	78295040	-	0.000	0.000	Merged-chr16-78294970-14
NR16014--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR50446--MA1107.1.KLF9	chr6	6217148	6217160	+	0.000	0.000	Merged-chr6-6217012-81
NR59910--MA1107.1.KLF9	chr8	77268570	77268582	+	0.000	0.000	Merged-chr8-77268341-22
NR22037--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR63188--MA0742.1.Klf12	chr9	65003981	65003995	+	0.000	0.000	Merged-chr9-65004115-12
NR14443--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR56306--MA0599.1.KLF5	chr7	89404325	89404334	+	0.000	0.000	Merged-chr7-89404144-109
NR36459--MA1107.1.KLF9	chr2	157119289	157119301	-	0.000	0.000	Merged-chr2-157119108-55
NR12035--MA0493.1.Klf1	chr11	114068450	114068460	+	0.000	0.000	Merged-chr11-114068502-5
NR32490--MA0599.1.KLF5	chr2	3118332	3118341	-	0.000	0.000	Merged-chr2-3118423-48
NR19879--MA0493.1.Klf1	chr14	84443464	84443474	-	0.000	0.000	Merged-chr14-84443299-57
NR39957--MA1107.1.KLF9	chr3	121495132	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR20737--MA0741.1.KLF16	chr15	8616193	8616203	+	0.000	0.000	Merged-chr15-8616259-27
NR35630--MA0599.1.KLF5	chr2	132180759	132180768	-	0.000	0.000	Merged-chr2-132180846-32
NR7611--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR12039--MA1107.1.KLF9	chr11	114068450	114068462	+	0.000	0.000	Merged-chr11-114068502-5
NR5418--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR50904--MA0599.1.KLF5	chr6	47621484	47621493	+	0.000	0.000	Merged-chr6-47621326-39
NR36687--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR8598--MA0493.1.Klf1	chr11	11519455	11519465	+	0.000	0.000	Merged-chr11-11519616-36
NR29825--MA0599.1.KLF5	chr18	62922253	62922262	+	0.000	0.000	Merged-chr18-62922354-54
NR65278--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR7610--MA0039.3.KLF4	chr10	118766023	118766033	-	0.000	0.000	Merged-chr10-118766153-45
NR5417--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR64300--MA0599.1.KLF5	chr9	102852592	102852601	-	0.000	0.000	Merged-chr9-102852625-20
NR22364--MA0741.1.KLF16	chr15	84663195	84663205	+	0.000	0.000	Merged-chr15-84663201-26
NR12277--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR39514--MA1107.1.KLF9	chr3	104796607	104796619	+	0.000	0.000	Merged-chr3-104796663-34
NR59906--MA1107.1.KLF9	chr8	77268562	77268574	+	0.000	0.000	Merged-chr8-77268341-22
NR37404--MA0740.1.KLF14	chr2	173449001	173449014	+	0.000	0.000	Merged-chr2-173448878-59
NR10231--MA1107.1.KLF9	chr11	76573047	76573059	+	0.000	0.000	Merged-chr11-76573046-33
NR50133--MA1107.1.KLF9	chr5	148266885	148266897	-	0.000	0.000	Merged-chr5-148266957-7
NR17816--MA0493.1.Klf1	chr13	110394993	110395003	+	0.000	0.000	Merged-chr13-110394904-109
NR58974--MA0599.1.KLF5	chr8	34651918	34651927	-	0.000	0.000	Merged-chr8-34651925-47
NR42287--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR15592--MA0599.1.KLF5	chr13	24468070	24468079	-	0.000	0.000	Merged-chr13-24467982-34
NR66358--MA1107.1.KLF9	chrX	99135988	99136000	+	0.000	0.000	Merged-chrX-99136067-62
NR20870--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13165--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR2203--MA0599.1.KLF5	chr1	136255439	136255448	-	0.000	0.000	Merged-chr1-136255292-47
NR66341--MA0740.1.KLF14	chrX	99042495	99042508	+	0.000	0.000	Merged-chrX-99042663-22
NR13841--MA1107.1.KLF9	chr12	82166462	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR6799--MA0741.1.KLF16	chr10	94087495	94087505	+	0.000	0.000	Merged-chr10-94087553-20
NR59089--MA0742.1.Klf12	chr8	40963168	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR52206--MA0741.1.KLF16	chr6	106981294	106981304	-	0.000	0.000	Merged-chr6-106981432-3
NR40877--MA0039.3.KLF4	chr3	146063219	146063229	-	0.000	0.000	Merged-chr3-146063322-20
NR51952--MA0741.1.KLF16	chr6	91156752	91156762	-	0.000	0.000	Merged-chr6-91156791-33
NR5364--MA1107.1.KLF9	chr10	60225620	60225632	+	0.000	0.000	Merged-chr10-60225461-7
NR14274--MA0599.1.KLF5	chr12	100994931	100994940	-	0.000	0.000	Merged-chr12-100994584-90
NR17936--MA0039.3.KLF4	chr13	112809921	112809931	+	0.000	0.000	Merged-chr13-112809842-36
NR31731--MA1107.1.KLF9	chr19	40821548	40821560	+	0.000	0.000	Merged-chr19-40821418-1
NR15590--MA0741.1.KLF16	chr13	24467828	24467838	+	0.000	0.000	Merged-chr13-24467982-34
NR15591--MA1107.1.KLF9	chr13	24467827	24467839	+	0.000	0.000	Merged-chr13-24467982-34
NR54190--MA0742.1.Klf12	chr7	4964459	4964473	+	0.000	0.000	Merged-chr7-4964465-28
NR7485--MA0742.1.Klf12	chr10	117651083	117651097	-	0.000	0.000	Merged-chr10-117651194-26
NR20053--MA0742.1.Klf12	chr14	101504726	101504740	+	0.000	0.000	Merged-chr14-101504867-40
NR13801--MA0740.1.KLF14	chr12	80885787	80885800	-	0.000	0.000	Merged-chr12-80885869-36
NR31242--MA0742.1.Klf12	chr19	16998095	16998109	-	0.000	0.000	Merged-chr19-16998164-33
NR55944--MA0741.1.KLF16	chr7	68205950	68205960	-	0.000	0.000	Merged-chr7-68206033-25
NR53819--MA0039.3.KLF4	chr6	144890402	144890412	+	0.000	0.000	Merged-chr6-144890317-11
NR7442--MA0599.1.KLF5	chr10	117118630	117118639	-	0.000	0.000	Merged-chr10-117118585-40
NR50129--MA1107.1.KLF9	chr5	148266877	148266889	-	0.000	0.000	Merged-chr5-148266957-7
NR62426--MA0741.1.KLF16	chr9	42423876	42423886	+	0.000	0.000	Merged-chr9-42423784-11
NR40243--MA0599.1.KLF5	chr3	129879505	129879514	-	0.000	0.000	Merged-chr3-129879420-1
NR52677--MA0599.1.KLF5	chr6	121110180	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR66055--MA0599.1.KLF5	chrX	56374554	56374563	-	0.000	0.000	Merged-chrX-56374648-33
NR11988--MA0039.3.KLF4	chr11	113174317	113174327	-	0.000	0.000	Merged-chr11-113174221-33
NR64358--MA0741.1.KLF16	chr9	104002483	104002493	+	0.000	0.000	Merged-chr9-104002686-98
NR28015--MA0741.1.KLF16	chr17	71118812	71118822	-	0.000	0.000	Merged-chr17-71118704-30
NR49922--MA0599.1.KLF5	chr5	144358186	144358195	-	0.000	0.000	Merged-chr5-144358177-56
NR47523--MA0599.1.KLF5	chr5	103579887	103579896	-	0.000	0.000	Merged-chr5-103579979-7
NR10133--MA1107.1.KLF9	chr11	75154326	75154338	+	0.000	0.000	Merged-chr11-75154404-32
NR29731--MA0493.1.Klf1	chr18	60632874	60632884	-	0.000	0.000	Merged-chr18-60633052-25
NR51346--MA0741.1.KLF16	chr6	61271206	61271216	+	0.000	0.000	Merged-chr6-61271177-5
NR22356--MA0741.1.KLF16	chr15	84663161	84663171	-	0.000	0.000	Merged-chr15-84663201-26
NR21804--MA1107.1.KLF9	chr15	77071701	77071713	-	0.000	0.000	Merged-chr15-77071598-27
NR54069--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR1689--MA0740.1.KLF14	chr1	119504864	119504877	-	0.000	0.000	Merged-chr1-119504796-62
NR55190--MA0599.1.KLF5	chr7	34630507	34630516	-	0.000	0.000	Merged-chr7-34630517-24
NR6217--MA1107.1.KLF9	chr10	80662318	80662330	+	0.000	0.000	Merged-chr10-80662335-4
NR212--MA0493.1.Klf1	chr1	23383258	23383268	+	0.000	0.000	Merged-chr1-23383198-84
NR37405--MA0657.1.KLF13	chr2	173449000	173449017	+	0.000	0.000	Merged-chr2-173448878-59
NR14045--MA1107.1.KLF9	chr12	91643036	91643048	+	0.000	0.000	Merged-chr12-91642897-8
NR59360--MA0741.1.KLF16	chr8	57743796	57743806	+	0.000	0.000	Merged-chr8-57743874-24
NR56486--MA0599.1.KLF5	chr7	97788435	97788444	+	0.000	0.000	Merged-chr7-97788658-80
NR19518--MA0741.1.KLF16	chr14	68078501	68078511	+	0.000	0.000	Merged-chr14-68078565-20
NR63596--MA0599.1.KLF5	chr9	77939192	77939201	+	0.000	0.000	Merged-chr9-77938986-43
NR38693--MA0039.3.KLF4	chr3	84809205	84809215	+	0.000	0.000	Merged-chr3-84809112-18
NR3759--MA0599.1.KLF5	chr1	182100596	182100605	+	0.000	0.000	Merged-chr1-182100503-13
NR27631--MA0741.1.KLF16	chr17	56425180	56425190	-	0.000	0.000	Merged-chr17-56425045-2
NR29968--MA1107.1.KLF9	chr18	67255881	67255893	-	0.000	0.000	Merged-chr18-67255745-40
NR4174--MA0741.1.KLF16	chr1	191097790	191097800	+	0.000	0.000	Merged-chr1-191097986-4
NR14299--MA0741.1.KLF16	chr12	101718574	101718584	+	0.000	0.000	Merged-chr12-101718493-65
NR61831--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR30277--MA0741.1.KLF16	chr18	75322573	75322583	-	0.000	0.000	Merged-chr18-75322404-42
NR39989--MA0039.3.KLF4	chr3	122202472	122202482	+	0.000	0.000	Merged-chr3-122202498-54
NR54185--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR8895--MA0599.1.KLF5	chr11	30986477	30986486	+	0.000	0.000	Merged-chr11-30986417-66
NR47234--MA0741.1.KLF16	chr5	92967507	92967517	+	0.000	0.000	Merged-chr5-92967427-8
NR16573--MA0742.1.Klf12	chr13	64432380	64432394	+	0.000	0.000	Merged-chr13-64432516-70
NR32187--MA0599.1.KLF5	chr19	55401900	55401909	-	0.000	0.000	Merged-chr19-55401887-30
NR287--MA0741.1.KLF16	chr1	34831628	34831638	-	0.000	0.000	Merged-chr1-34831505-37
NR64868--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR14718--MA0599.1.KLF5	chr12	109445244	109445253	+	0.000	0.000	Merged-chr12-109445419-17
NR19736--MA0741.1.KLF16	chr14	75820047	75820057	-	0.000	0.000	Merged-chr14-75819905-19
NR12030--MA0740.1.KLF14	chr11	114068450	114068463	+	0.000	0.000	Merged-chr11-114068502-5
NR18530--MA1107.1.KLF9	chr14	25481160	25481172	-	0.000	0.000	Merged-chr14-25481230-34
NR22596--MA0742.1.Klf12	chr15	91573240	91573254	-	0.000	0.000	Merged-chr15-91573061-60
NR1815--MA0741.1.KLF16	chr1	127322325	127322335	-	0.000	0.000	Merged-chr1-127322582-29
NR57074--MA0741.1.KLF16	chr7	115217061	115217071	-	0.000	0.000	Merged-chr7-115217038-43
NR42189--MA0039.3.KLF4	chr4	47251263	47251273	+	0.000	0.000	Merged-chr4-47251279-48
NR58778--MA0599.1.KLF5	chr8	22544874	22544883	-	0.000	0.000	Merged-chr8-22544867-25
NR32931--MA0742.1.Klf12	chr2	25395858	25395872	-	0.000	0.000	Merged-chr2-25395887-13
NR1041--MA1107.1.KLF9	chr1	74854897	74854909	-	0.000	0.000	Merged-chr1-74854969-34
NR15808--MA0599.1.KLF5	chr13	35129645	35129654	-	0.000	0.000	Merged-chr13-35129636-40
NR54188--MA0740.1.KLF14	chr7	4964459	4964472	+	0.000	0.000	Merged-chr7-4964465-28
NR32285--MA0493.1.Klf1	chr19	56858595	56858605	-	0.000	0.000	Merged-chr19-56858435-39
NR22366--MA1107.1.KLF9	chr15	84663176	84663188	-	0.000	0.000	Merged-chr15-84663201-26
NR13672--MA0742.1.Klf12	chr12	75818293	75818307	-	0.000	0.000	Merged-chr12-75818494-81
NR4176--MA0039.3.KLF4	chr1	191152613	191152623	-	0.000	0.000	Merged-chr1-191152485-1
NR2901--MA1107.1.KLF9	chr1	162476923	162476935	+	0.000	0.000	Merged-chr1-162477062-12
NR32717--MA0741.1.KLF16	chr2	17855801	17855811	-	0.000	0.000	Merged-chr2-17855738-13
NR53842--MA0741.1.KLF16	chr6	145002406	145002416	-	0.000	0.000	Merged-chr6-145002461-23
NR49931--MA0493.1.Klf1	chr5	144358278	144358288	-	0.000	0.000	Merged-chr5-144358177-56
NR37962--MA1107.1.KLF9	chr3	28402421	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR60321--MA1107.1.KLF9	chr8	93810271	93810283	-	0.000	0.000	Merged-chr8-93810346-59
NR44856--MA0741.1.KLF16	chr4	145353998	145354008	+	0.000	0.000	Merged-chr4-145353914-49
NR60756--MA0493.1.Klf1	chr8	113669808	113669818	-	0.000	0.000	Merged-chr8-113669969-10
NR58880--MA0741.1.KLF16	chr8	27201025	27201035	+	0.000	0.000	Merged-chr8-27201067-26
NR17817--MA0741.1.KLF16	chr13	110394994	110395004	+	0.000	0.000	Merged-chr13-110394904-109
NR14642--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR157--MA0741.1.KLF16	chr1	20740725	20740735	-	0.000	0.000	Merged-chr1-20740658-39
NR44826--MA1107.1.KLF9	chr4	144906817	144906829	-	0.000	0.000	Merged-chr4-144906777-28
NR44694--MA0741.1.KLF16	chr4	141296034	141296044	+	0.000	0.000	Merged-chr4-141296105-4
NR21223--MA0741.1.KLF16	chr15	51730329	51730339	-	0.000	0.000	Merged-chr15-51730224-2
NR60000--MA0599.1.KLF5	chr8	81881728	81881737	+	0.000	0.000	Merged-chr8-81881786-34
NR49930--MA0039.3.KLF4	chr5	144358276	144358286	-	0.000	0.000	Merged-chr5-144358177-56
NR4997--MA0599.1.KLF5	chr10	40713392	40713401	+	0.000	0.000	Merged-chr10-40713251-44
NR44831--MA0493.1.Klf1	chr4	144996133	144996143	-	0.000	0.000	Merged-chr4-144996009-47
NR25040--MA0741.1.KLF16	chr16	89849250	89849260	-	0.000	0.000	Merged-chr16-89849155-62
NR43345--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR39108--MA1107.1.KLF9	chr3	96040727	96040739	+	0.000	0.000	Merged-chr3-96040740-50
NR40126--MA0039.3.KLF4	chr3	126660888	126660898	+	0.000	0.000	Merged-chr3-126660767-126
NR24104--MA0599.1.KLF5	chr16	24834895	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR45175--MA0742.1.Klf12	chr4	150518992	150519006	+	0.000	0.000	Merged-chr4-150519164-27
NR48827--MA0039.3.KLF4	chr5	129192021	129192031	+	0.000	0.000	Merged-chr5-129191899-21
NR10871--MA0741.1.KLF16	chr11	94210225	94210235	+	0.000	0.000	Merged-chr11-94210319-4
NR22730--MA0599.1.KLF5	chr15	94404234	94404243	+	0.000	0.000	Merged-chr15-94404282-43
NR50295--MA0039.3.KLF4	chr5	149647680	149647690	+	0.000	0.000	Merged-chr5-149647772-15
NR55644--MA0741.1.KLF16	chr7	49494957	49494967	+	0.000	0.000	Merged-chr7-49494921-17
NR14159--MA0657.1.KLF13	chr12	98572410	98572427	+	0.000	0.000	Merged-chr12-98572483-18
NR66357--MA0741.1.KLF16	chrX	99135989	99135999	+	0.000	0.000	Merged-chrX-99136067-62
NR14297--MA0493.1.Klf1	chr12	101718561	101718571	+	0.000	0.000	Merged-chr12-101718493-65
NR33804--MA0039.3.KLF4	chr2	53067448	53067458	-	0.000	0.000	Merged-chr2-53067376-9
NR5715--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR64272--MA0742.1.Klf12	chr9	101251889	101251903	+	0.000	0.000	Merged-chr9-101251656-72
NR11273--MA1107.1.KLF9	chr11	99132667	99132679	-	0.000	0.000	Merged-chr11-99132520-18
NR47369--MA0741.1.KLF16	chr5	99728258	99728268	+	0.000	0.000	Merged-chr5-99728250-10
NR14650--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR61662--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR64033--MA0599.1.KLF5	chr9	92274696	92274705	-	0.000	0.000	Merged-chr9-92274591-56
NR54629--MA0493.1.Klf1	chr7	19819226	19819236	-	0.000	0.000	Merged-chr7-19819165-4
