#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed MACS2_DKO_Tfh_peaks.Gata3.sig.bed MACS2_DKO_Th1_peaks.Gata3.sig.bed MACS2_Naive_peaks.Gata3.sig.bed MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed MACS2_WT_Tfh_peaks.Gata3.sig.bed MACS2_WT_Th1_peaks.Gata3.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Gata3.sig.bed	MACS2_DKO_Tfh_peaks.Gata3.sig.bed	MACS2_DKO_Th1_peaks.Gata3.sig.bed	MACS2_Naive_peaks.Gata3.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed	MACS2_WT_Tfh_peaks.Gata3.sig.bed	MACS2_WT_Th1_peaks.Gata3.sig.bed
Merged-chr2-9848545-1	chr2	9848470	9848620	+	0.000000	MACS2_DKO_Th1_peaks.Gata3.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106253				
Merged-chr2-9895416-1	chr2	9895341	9895491	+	0.000000	MACS2_DKO_Th1_peaks.Gata3.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106264				
Merged-chr2-9878582-3	chr2	9878472	9878725	+	0.000000	MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	3			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106258		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178178b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131033
Merged-chr2-9879548-3	chr2	9879466	9879636	+	0.000000	MACS2_DKO_Th1_peaks.Gata3.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Gata3.sig.bed|MACS2_WT_Th1_peaks.Gata3.sig.bed	3			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_106259		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_178179		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_131034
Merged-chr2-9876875-3	chr2	9876800	9876950	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	3				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185991a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185991c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185991b			
Merged-chr2-9860365-1	chr2	9860290	9860440	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185986			
Merged-chr2-9882061-1	chr2	9881986	9882136	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185993			
Merged-chr2-9889884-1	chr2	9889809	9889959	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185996			
Merged-chr2-9893590-1	chr2	9893515	9893665	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185997			
Merged-chr2-9896624-1	chr2	9896549	9896699	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185998			
Merged-chr2-9897394-1	chr2	9897319	9897469	+	0.000000	MACS2_Naive_peaks.Gata3.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_185999			
