#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed MACS2_DKO_Tfh_peaks.Icos.sig.bed MACS2_DKO_Th1_peaks.Icos.sig.bed MACS2_Naive_peaks.Icos.sig.bed MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed MACS2_WT_Tfh_peaks.Icos.sig.bed MACS2_WT_Th1_peaks.Icos.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed	MACS2_DKO_Tfh_peaks.Icos.sig.bed	MACS2_DKO_Th1_peaks.Icos.sig.bed	MACS2_Naive_peaks.Icos.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	MACS2_WT_Tfh_peaks.Icos.sig.bed	MACS2_WT_Th1_peaks.Icos.sig.bed
Merged-chr1-60920614-9	chr1	60920509	60920740	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3903	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2831	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2124	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7965	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5660	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4258a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4258b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2983a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2983b
Merged-chr1-60974186-12	chr1	60974027	60974379	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3913	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2837	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2130a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2130b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7968a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7968b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5665c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4263	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2992a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2992b
Merged-chr1-60977888-7	chr1	60977754	60978001	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3914	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2838	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2131	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7969	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5667	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4264	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2994
Merged-chr1-61046275-12	chr1	61046157	61046394	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	12	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3929	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2857a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2857b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2152a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2152b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7974a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7974b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5684	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4283a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4283b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3011b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3011a
Merged-chr1-61084885-8	chr1	61084761	61085000	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3932	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2861a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2861b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2156	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7977	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5688	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4287	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3014
Merged-chr1-60916600-9	chr1	60916466	60916792	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	9	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3902	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2830	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2123a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2123b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7964a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7964b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5659	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4257	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2982
Merged-chr1-60853725-13	chr1	60853485	60853970	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	13	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3888a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3888b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2819	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2112a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2112b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7955	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5648a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5648b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5648c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4244	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2970b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2970a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2970c
Merged-chr1-61016907-8	chr1	61016669	61017128	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3922	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2849	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2143	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7973	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5676	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4274	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3001a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3001b
Merged-chr1-60941253-8	chr1	60941113	60941458	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3908	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2835	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2129	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7966a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7966b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5664	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4261	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2987
Merged-chr1-60990387-10	chr1	60990237	60990610	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3918a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3918b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2842	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2136	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7971	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5670	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4268a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4268b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2997a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2997b
Merged-chr1-60973113-1	chr1	60973038	60973188	+	0.000000	MACS2_WT_Th1_peaks.Icos.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2991
Merged-chr1-61002052-1	chr1	61001977	61002127	+	0.000000	MACS2_WT_Th1_peaks.Icos.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2999
Merged-chr1-61029760-2	chr1	61029685	61029835	+	0.000000	MACS2_WT_Tfh_peaks.Icos.sig.bed	2						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4278a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4278b	
Merged-chr1-60971134-1	chr1	60971059	60971209	+	0.000000	MACS2_WT_Tfh_peaks.Icos.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4262	
Merged-chr1-61000152-1	chr1	61000077	61000227	+	0.000000	MACS2_WT_Tfh_peaks.Icos.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4271	
Merged-chr1-60863552-1	chr1	60863477	60863627	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5650		
Merged-chr1-60976037-1	chr1	60975962	60976112	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5666		
Merged-chr1-61000698-1	chr1	61000623	61000773	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5673		
Merged-chr1-61022691-2	chr1	61022571	61022812	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5677	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4275	
Merged-chr1-61003668-9	chr1	61003504	61003791	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	9					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5675a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5675b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273e	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3000a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3000b
