#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed MACS2_DKO_Tfh_peaks.Il21.sig.bed MACS2_DKO_Th1_peaks.Il21.sig.bed MACS2_Naive_peaks.Il21.sig.bed MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed MACS2_WT_Tfh_peaks.Il21.sig.bed MACS2_WT_Th1_peaks.Il21.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed	MACS2_DKO_Tfh_peaks.Il21.sig.bed	MACS2_DKO_Th1_peaks.Il21.sig.bed	MACS2_Naive_peaks.Il21.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	MACS2_WT_Tfh_peaks.Il21.sig.bed	MACS2_WT_Th1_peaks.Il21.sig.bed
Merged-chr3-37271390-7	chr3	37271242	37271555	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184552	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153208	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127387	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223279	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212514	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160510	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156619
Merged-chr3-37281069-8	chr3	37280818	37281271	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184555	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153212	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127391	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223283	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212519	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160512a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160512b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156621
Merged-chr3-37291259-1	chr3	37291184	37291334	+	0.000000	MACS2_WT_Th1_peaks.Il21.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156625
Merged-chr3-37229081-3	chr3	37229006	37229156	+	0.000000	MACS2_WT_Th1_peaks.Il21.sig.bed	3							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156611a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156611b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156611c
Merged-chr3-37209694-1	chr3	37209619	37209769	+	0.000000	MACS2_WT_Tfh_peaks.Il21.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160499	
Merged-chr3-37244011-2	chr3	37243932	37244090	+	0.000000	MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	2						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160506	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156614
Merged-chr3-37292181-4	chr3	37292106	37292256	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	4					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212524a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212524b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212524c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212524d		
Merged-chr3-37244182-1	chr3	37244107	37244257	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212510		
Merged-chr3-37208656-2	chr3	37208540	37208772	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212504	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160498	
Merged-chr3-37228369-2	chr3	37228250	37228489	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212506	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160502	
Merged-chr3-37273442-4	chr3	37273295	37273573	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153210	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127389	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223281			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156620
Merged-chr3-37204916-13	chr3	37204805	37205049	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	13		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153198a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153198b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153198c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127377a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127377b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223277c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223277a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223277b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160497a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160497b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156609a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156609b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156609c
Merged-chr3-37272622-5	chr3	37272406	37272841	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153209	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127388	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223280	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212515	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160511a	
Merged-chr3-37280548-3	chr3	37280451	37280635	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184554	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153211	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127390				
Merged-chr3-37263378-5	chr3	37263243	37263548	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184549a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184549b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153206	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127384				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156617
Merged-chr3-37199081-4	chr3	37198941	37199222	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184540	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153197	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127376				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156608
Merged-chr3-37257945-10	chr3	37257804	37258095	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184547a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184547b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153204b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153204a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127382		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212511	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160507a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160507b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156615a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156615b
Merged-chr3-37231356-6	chr3	37231183	37231505	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184545	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153202	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127380		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212508	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160504	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156612
Merged-chr3-37232848-7	chr3	37232760	37232955	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184546	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153203	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127381		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212509	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160505b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160505a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156613
Merged-chr3-37259752-6	chr3	37259622	37259895	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184548	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153205	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127383		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212512	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160508	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156616
Merged-chr3-37268589-7	chr3	37268380	37268742	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Il21.sig.bed|MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_184551	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153207	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127385		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_212513	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160509a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160509b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156618
Merged-chr3-37180146-3	chr3	37179991	37180282	+	0.000000	MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_Naive_peaks.Il21.sig.bed|MACS2_WT_Th1_peaks.Il21.sig.bed	3			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127374	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_223274			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_156606
Merged-chr3-37176623-2	chr3	37176538	37176709	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153195	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127373				
Merged-chr3-37229275-5	chr3	37229180	37229356	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153200	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127379a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127379b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127379c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127379d				
Merged-chr3-37291697-6	chr3	37291567	37291828	+	0.000000	MACS2_DKO_Tfh_peaks.Il21.sig.bed|MACS2_DKO_Th1_peaks.Il21.sig.bed|MACS2_WT_Tfh_peaks.Il21.sig.bed	6		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153218a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_153218b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127393a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_127393b			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160515a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_160515b	
