#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed MACS2_DKO_Tfh_peaks.Cd200.sig.bed MACS2_DKO_Th1_peaks.Cd200.sig.bed MACS2_Naive_peaks.Cd200.sig.bed MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed MACS2_WT_Tfh_peaks.Cd200.sig.bed MACS2_WT_Th1_peaks.Cd200.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed	MACS2_DKO_Tfh_peaks.Cd200.sig.bed	MACS2_DKO_Th1_peaks.Cd200.sig.bed	MACS2_Naive_peaks.Cd200.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	MACS2_WT_Tfh_peaks.Cd200.sig.bed	MACS2_WT_Th1_peaks.Cd200.sig.bed
Merged-chr16-45236897-1	chr16	45236822	45236972	+	0.000000	MACS2_WT_Tfh_peaks.Cd200.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104463	
Merged-chr16-45328544-1	chr16	45328469	45328619	+	0.000000	MACS2_WT_Tfh_peaks.Cd200.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104468	
Merged-chr16-45332606-2	chr16	45332525	45332688	+	0.000000	MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	2						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104469	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99450
Merged-chr16-45283272-1	chr16	45283197	45283347	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136680		
Merged-chr16-45333940-1	chr16	45333865	45334015	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136685		
Merged-chr16-45345094-1	chr16	45345019	45345169	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136686		
Merged-chr16-45233605-5	chr16	45233360	45233851	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	5	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118537		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81370	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144387	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136674		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99444
Merged-chr16-45408802-6	chr16	45408667	45408948	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118550		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81381a	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144401	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136692	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104478	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99458
Merged-chr16-45413673-5	chr16	45413542	45413825	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97447	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81382	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144402	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136693	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104479	
Merged-chr16-45346916-9	chr16	45346764	45347175	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed	9		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97443	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81376	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144394	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136687a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136687b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136687c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104472a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104472b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104472c	
Merged-chr16-45227371-7	chr16	45227128	45227526	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118536	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97432a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97432b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81369a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81369b				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99443a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99443b
Merged-chr16-45437523-2	chr16	45437378	45437669	+	0.000000	MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed	2			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81384	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144403			
Merged-chr16-45223951-23	chr16	45223758	45224106	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	23	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118535a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118535b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118535c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118535d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118535e		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81368a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81368b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81368c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81368d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81368e		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136672a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136672b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136672c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136672d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104460a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104460b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104460c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104460d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99442b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99442a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99442c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99442d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99442e
Merged-chr16-45310589-3	chr16	45310503	45310680	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97438	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81375b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136682		
Merged-chr16-45286512-4	chr16	45286368	45286652	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_DKO_Th1_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed	4		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97437	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81373		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136681	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104467	
Merged-chr16-45306672-1	chr16	45306597	45306747	+	0.000000	MACS2_DKO_Th1_peaks.Cd200.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_81374				
Merged-chr16-45565914-2	chr16	45565771	45566057	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118553			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144408			
Merged-chr16-45224252-7	chr16	45224135	45224384	+	0.000000	MACS2_DKO_Tfh_peaks.Cd200.sig.bed|MACS2_Naive_peaks.Cd200.sig.bed	7		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97431a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97431b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97431c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_97431d		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144386b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144386c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144386a			
Merged-chr16-45334490-1	chr16	45334415	45334565	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144393			
Merged-chr16-45349836-1	chr16	45349761	45349911	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144395			
Merged-chr16-45382297-1	chr16	45382222	45382372	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144398			
Merged-chr16-45383844-1	chr16	45383769	45383919	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144399			
Merged-chr16-45451129-1	chr16	45451054	45451204	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144404			
Merged-chr16-45464602-1	chr16	45464527	45464677	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144405			
Merged-chr16-45570871-1	chr16	45570796	45570946	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144409			
Merged-chr16-45234639-5	chr16	45234533	45234738	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed	5				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144388a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144388c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144388b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136675	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104462	
Merged-chr16-45361434-5	chr16	45361275	45361537	+	0.000000	MACS2_Naive_peaks.Cd200.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cd200.sig.bed|MACS2_WT_Tfh_peaks.Cd200.sig.bed	5				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144397a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_144397b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136689a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_136689b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_104473	
Merged-chr16-45257413-1	chr16	45257338	45257488	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118539b						
Merged-chr16-45259822-2	chr16	45259722	45259923	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118540						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99447
Merged-chr16-45407811-2	chr16	45407706	45407917	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cd200.sig.bed|MACS2_WT_Th1_peaks.Cd200.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_118549						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_99457
