#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed MACS2_DKO_Th1_peaks.Cxcr5.sig.bed MACS2_Naive_peaks.Cxcr5.sig.bed MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed MACS2_WT_Tfh_peaks.Cxcr5.sig.bed MACS2_WT_Th1_peaks.Cxcr5.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed	MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed	MACS2_DKO_Th1_peaks.Cxcr5.sig.bed	MACS2_Naive_peaks.Cxcr5.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	MACS2_WT_Th1_peaks.Cxcr5.sig.bed
Merged-chr9-44533297-7	chr9	44533183	44533463	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304943	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255805	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209701	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366097	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357540	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272650	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257410
Merged-chr9-44548975-7	chr9	44548843	44549098	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304945	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255807	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209703	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366099	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357544	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272652	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257412
Merged-chr9-44579585-7	chr9	44579461	44579732	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304948	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255812	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209708	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366102	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357549	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272658	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257416
Merged-chr9-44498379-15	chr9	44498199	44498538	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	15	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304937a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304937b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255798a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255798b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209694a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209694b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366091a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366091b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357532a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357532b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272642a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272642b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257403a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257403b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257403c
Merged-chr9-44510424-16	chr9	44510056	44510679	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	16	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304939	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255800a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255800b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255800c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255800d	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209696a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209696b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366093a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366093b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357535a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357535b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357535c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272646a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272646b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272646c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257406
Merged-chr9-44562981-14	chr9	44562659	44563272	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Naive_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	14	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304946	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255809a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255809b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209705a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209705b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209705c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366100a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366100b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357546a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357546b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272655a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272655b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272655c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257413
Merged-chr9-44483759-2	chr9	44483684	44483834	+	0.000000	MACS2_WT_Th1_peaks.Cxcr5.sig.bed	2							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257401a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257401b
Merged-chr9-44478372-2	chr9	44478297	44478447	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	2						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272638a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272638b	
Merged-chr9-44555771-1	chr9	44555696	44555846	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272654	
Merged-chr9-44599081-1	chr9	44599006	44599156	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272661	
Merged-chr9-44602923-1	chr9	44602848	44602998	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272662	
Merged-chr9-44603566-1	chr9	44603491	44603641	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272663	
Merged-chr9-44582056-2	chr9	44581981	44582131	+	0.000000	MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	2						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272659a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272659b	
Merged-chr9-44528411-1	chr9	44528336	44528486	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357539		
Merged-chr9-44555378-3	chr9	44555303	44555453	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed	3					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357545a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357545b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357545c		
Merged-chr9-44603283-11	chr9	44603189	44603384	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	11	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304951b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255816a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255816b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255816c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209711a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209711b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209711c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357553a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357553b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357553c		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257419
Merged-chr9-44478146-6	chr9	44477978	44478270	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304932	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255793	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209689a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209689b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357527		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257398
Merged-chr9-44605167-17	chr9	44604954	44605298	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	17	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304952b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304952c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255817a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255817b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255817c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209712a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209712b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209712c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209712d		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357554a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357554b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357554c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272664a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272664b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272664c	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257420a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257420b
Merged-chr9-44482966-7	chr9	44482760	44483211	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304934	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255795	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209691		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357530	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272640a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272640b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257400
Merged-chr9-44483995-2	chr9	44483847	44484144	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed	2	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304935b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209692				
Merged-chr9-44555181-3	chr9	44555070	44555278	+	0.000000	MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed	3		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255808	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209704			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272653	
Merged-chr9-44537991-6	chr9	44537847	44538102	+	0.000000	MACS2_DKO_Tfh_peaks.Cxcr5.sig.bed|MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	6		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_255806	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209702		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357541	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272651	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257411b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257411a
Merged-chr9-44565574-4	chr9	44565443	44565695	+	0.000000	MACS2_DKO_Th1_peaks.Cxcr5.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Tfh_peaks.Cxcr5.sig.bed|MACS2_WT_Th1_peaks.Cxcr5.sig.bed	4			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_209706		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_357547	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_272656	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_257414
Merged-chr9-44604443-6	chr9	44604368	44604518	+	0.000000	MACS2_Naive_peaks.Cxcr5.sig.bed	6				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105e,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366105f			
Merged-chr9-44483287-2	chr9	44483212	44483362	+	0.000000	MACS2_Naive_peaks.Cxcr5.sig.bed	2				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366088a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366088b			
Merged-chr9-44495960-1	chr9	44495885	44496035	+	0.000000	MACS2_Naive_peaks.Cxcr5.sig.bed	1				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_366090			
Merged-chr9-44538200-1	chr9	44538125	44538275	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Cxcr5.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_304944						
