#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR59--MA0731.1.BCL6B	chr1	127733005	127733021	-	0.000	0.000	Merged-chr1-127732945-24
NR3--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1326--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR667--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR685--MA0463.1.Bcl6	chr15	61455052	61455065	-	0.000	0.000	Merged-chr15-61455154-11
NR117--MA0463.1.Bcl6	chr1	173339678	173339691	+	0.000	0.000	Merged-chr1-173339682-29
NR1036--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR807--MA0463.1.Bcl6	chr17	8234813	8234826	-	0.000	0.000	Merged-chr17-8234688-5
NR1753--MA0463.1.Bcl6	chr7	99003329	99003342	+	0.000	0.000	Merged-chr7-99003498-20
NR374--MA0731.1.BCL6B	chr11	116669950	116669966	-	0.000	0.000	Merged-chr11-116669972-23
NR1525--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR875--MA0463.1.Bcl6	chr17	90100539	90100552	+	0.000	0.000	Merged-chr17-90100479-11
NR1841--MA0731.1.BCL6B	chr8	69149405	69149421	+	0.000	0.000	Merged-chr8-69149326-14
NR549--MA0463.1.Bcl6	chr13	95390450	95390463	-	0.000	0.000	Merged-chr13-95390499-34
NR196--MA0731.1.BCL6B	chr10	60225597	60225613	-	0.000	0.000	Merged-chr10-60225461-7
NR89--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR1486--MA0463.1.Bcl6	chr5	92964846	92964859	-	0.000	0.000	Merged-chr5-92964665-18
NR697--MA0463.1.Bcl6	chr15	67460444	67460457	-	0.000	0.000	Merged-chr15-67460467-5
NR469--MA0463.1.Bcl6	chr12	118101517	118101530	+	0.000	0.000	Merged-chr12-118101555-6
NR1630--MA0463.1.Bcl6	chr6	108251687	108251700	+	0.000	0.000	Merged-chr6-108251708-11
NR618--MA0463.1.Bcl6	chr14	60666499	60666512	+	0.000	0.000	Merged-chr14-60666479-30
NR1797--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR480--MA0463.1.Bcl6	chr13	5286525	5286538	+	0.000	0.000	Merged-chr13-5286449-11
NR95--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR61--MA0731.1.BCL6B	chr1	128549279	128549295	+	0.000	0.000	Merged-chr1-128549084-80
NR1395--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR1037--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR248--MA0463.1.Bcl6	chr10	117105312	117105325	-	0.000	0.000	Merged-chr10-117105378-15
NR803--MA0731.1.BCL6B	chr17	5748100	5748116	+	0.000	0.000	Merged-chr17-5748141-46
NR893--MA0731.1.BCL6B	chr18	37720375	37720391	+	0.000	0.000	Merged-chr18-37720485-15
NR1305--MA0731.1.BCL6B	chr3	152430961	152430977	+	0.000	0.000	Merged-chr3-152430886-16
NR298--MA0463.1.Bcl6	chr11	54161004	54161017	-	0.000	0.000	Merged-chr11-54161145-7
NR808--MA0731.1.BCL6B	chr17	8251848	8251864	-	0.000	0.000	Merged-chr17-8251885-20
NR994--MA0731.1.BCL6B	chr19	61110280	61110296	+	0.000	0.000	Merged-chr19-61110222-22
NR513--MA0463.1.Bcl6	chr13	44249169	44249182	+	0.000	0.000	Merged-chr13-44249362-23
NR580--MA0731.1.BCL6B	chr13	117241310	117241326	+	0.000	0.000	Merged-chr13-117241409-28
NR1265--MA0731.1.BCL6B	chr3	123173829	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR1788--MA0731.1.BCL6B	chr7	123327150	123327166	+	0.000	0.000	Merged-chr7-123327122-14
NR768--MA0731.1.BCL6B	chr16	50298933	50298949	+	0.000	0.000	Merged-chr16-50299012-15
NR205--MA0463.1.Bcl6	chr10	77939770	77939783	-	0.000	0.000	Merged-chr10-77939812-4
NR2030--MA0731.1.BCL6B	chrX	166805777	166805793	+	0.000	0.000	Merged-chrX-166805944-25
NR317--MA0463.1.Bcl6	chr11	78973355	78973368	+	0.000	0.000	Merged-chr11-78973372-27
NR335--MA0463.1.Bcl6	chr11	98487928	98487941	-	0.000	0.000	Merged-chr11-98487809-30
NR869--MA0731.1.BCL6B	chr17	86206508	86206524	-	0.000	0.000	Merged-chr17-86206449-38
NR219--MA0463.1.Bcl6	chr10	93567066	93567079	-	0.000	0.000	Merged-chr10-93567136-2
NR125--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR163--MA0731.1.BCL6B	chr1	194626193	194626209	+	0.000	0.000	Merged-chr1-194626204-2
NR1062--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR909--MA0463.1.Bcl6	chr18	65481390	65481403	-	0.000	0.000	Merged-chr18-65481395-37
NR1980--MA0463.1.Bcl6	chr9	115631660	115631673	-	0.000	0.000	Merged-chr9-115631619-2
NR928--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR514--MA0731.1.BCL6B	chr13	45651940	45651956	+	0.000	0.000	Merged-chr13-45651981-2
NR623--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR897--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR217--MA0463.1.Bcl6	chr10	91028170	91028183	+	0.000	0.000	Merged-chr10-91028217-15
NR1261--MA0463.1.Bcl6	chr3	121154456	121154469	+	0.000	0.000	Merged-chr3-121154322-4
NR336--MA0731.1.BCL6B	chr11	98487928	98487944	+	0.000	0.000	Merged-chr11-98487809-30
NR1391--MA0463.1.Bcl6	chr4	123940161	123940174	-	0.000	0.000	Merged-chr4-123940139-27
NR244--MA0463.1.Bcl6	chr10	115184857	115184870	+	0.000	0.000	Merged-chr10-115184922-20
NR920--MA0463.1.Bcl6	chr18	75247001	75247014	-	0.000	0.000	Merged-chr18-75247078-14
NR1821--MA0463.1.Bcl6	chr8	13964966	13964979	+	0.000	0.000	Merged-chr8-13964796-20
NR1792--MA0731.1.BCL6B	chr7	127922978	127922994	-	0.000	0.000	Merged-chr7-127922827-35
NR1301--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR836--MA0463.1.Bcl6	chr17	44436767	44436780	+	0.000	0.000	Merged-chr17-44436820-2
NR1737--MA0463.1.Bcl6	chr7	84143310	84143323	+	0.000	0.000	Merged-chr7-84143230-35
NR1240--MA0731.1.BCL6B	chr3	101731254	101731270	-	0.000	0.000	Merged-chr3-101731258-4
NR299--MA0463.1.Bcl6	chr11	62187405	62187418	+	0.000	0.000	Merged-chr11-62187254-10
NR890--MA0463.1.Bcl6	chr18	36726052	36726065	+	0.000	0.000	Merged-chr18-36726027-47
NR90--MA0463.1.Bcl6	chr1	159390151	159390164	-	0.000	0.000	Merged-chr1-159390218-34
NR1083--MA0731.1.BCL6B	chr2	112676831	112676847	+	0.000	0.000	Merged-chr2-112676754-32
NR1625--MA0731.1.BCL6B	chr6	99239545	99239561	-	0.000	0.000	Merged-chr6-99239588-1
NR701--MA0731.1.BCL6B	chr15	73629443	73629459	+	0.000	0.000	Merged-chr15-73629517-1
NR1909--MA0731.1.BCL6B	chr9	33030733	33030749	-	0.000	0.000	Merged-chr9-33030819-6
NR1822--MA0731.1.BCL6B	chr8	13986372	13986388	-	0.000	0.000	Merged-chr8-13986527-3
NR1346--MA0731.1.BCL6B	chr4	63849278	63849294	-	0.000	0.000	Merged-chr4-63849353-15
NR1216--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR1944--MA0731.1.BCL6B	chr9	75546996	75547012	-	0.000	0.000	Merged-chr9-75547182-41
NR162--MA0463.1.Bcl6	chr1	194626193	194626206	-	0.000	0.000	Merged-chr1-194626204-2
NR274--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR1827--MA0731.1.BCL6B	chr8	46543352	46543368	+	0.000	0.000	Merged-chr8-46543326-23
NR470--MA0731.1.BCL6B	chr12	118101514	118101530	-	0.000	0.000	Merged-chr12-118101555-6
NR1038--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR1664--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR1324--MA0463.1.Bcl6	chr4	35130578	35130591	+	0.000	0.000	Merged-chr4-35130648-17
NR307--MA0463.1.Bcl6	chr11	70473508	70473521	+	0.000	0.000	Merged-chr11-70473545-6
NR786--MA0463.1.Bcl6	chr16	84469148	84469161	-	0.000	0.000	Merged-chr16-84469144-1
NR1487--MA0731.1.BCL6B	chr5	92964846	92964862	+	0.000	0.000	Merged-chr5-92964665-18
NR1262--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR97--MA0731.1.BCL6B	chr1	164562790	164562806	+	0.000	0.000	Merged-chr1-164562687-1
NR1276--MA0463.1.Bcl6	chr3	131347974	131347987	+	0.000	0.000	Merged-chr3-131347955-2
NR4--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR250--MA0731.1.BCL6B	chr10	117665899	117665915	+	0.000	0.000	Merged-chr10-117665862-11
NR1729--MA0731.1.BCL6B	chr7	74357249	74357265	-	0.000	0.000	Merged-chr7-74357288-11
NR935--MA0463.1.Bcl6	chr18	83445454	83445467	-	0.000	0.000	Merged-chr18-83445634-2
NR1066--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
NR1948--MA0463.1.Bcl6	chr9	81864078	81864091	+	0.000	0.000	Merged-chr9-81863870-55
NR1890--MA0463.1.Bcl6	chr8	126824746	126824759	-	0.000	0.000	Merged-chr8-126824669-18
NR723--MA0731.1.BCL6B	chr15	93405614	93405630	+	0.000	0.000	Merged-chr15-93405700-9
NR91--MA0463.1.Bcl6	chr1	159938581	159938594	+	0.000	0.000	Merged-chr1-159938641-24
NR453--MA0463.1.Bcl6	chr12	111377097	111377110	-	0.000	0.000	Merged-chr12-111377192-1
NR1007--MA0731.1.BCL6B	chr2	29666834	29666850	+	0.000	0.000	Merged-chr2-29666836-9
NR1354--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR677--MA0463.1.Bcl6	chr15	53414979	53414992	-	0.000	0.000	Merged-chr15-53415050-1
NR2001--MA0463.1.Bcl6	chrX	12041641	12041654	-	0.000	0.000	Merged-chrX-12041677-9
NR391--MA0463.1.Bcl6	chr12	35799388	35799401	-	0.000	0.000	Merged-chr12-35799508-49
NR620--MA0463.1.Bcl6	chr14	62928209	62928222	-	0.000	0.000	Merged-chr14-62928345-50
NR2029--MA0463.1.Bcl6	chrX	159189449	159189462	+	0.000	0.000	Merged-chrX-159189448-11
NR719--MA0463.1.Bcl6	chr15	91664497	91664510	+	0.000	0.000	Merged-chr15-91664603-13
NR1903--MA0731.1.BCL6B	chr9	13509739	13509755	-	0.000	0.000	Merged-chr9-13509807-24
NR245--MA0731.1.BCL6B	chr10	115184854	115184870	-	0.000	0.000	Merged-chr10-115184922-20
NR1768--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1592--MA0731.1.BCL6B	chr6	51330267	51330283	-	0.000	0.000	Merged-chr6-51330461-17
NR80--MA0463.1.Bcl6	chr1	153091931	153091944	+	0.000	0.000	Merged-chr1-153092020-1
NR232--MA0463.1.Bcl6	chr10	105322145	105322158	-	0.000	0.000	Merged-chr10-105322037-2
NR474--MA0463.1.Bcl6	chr12	118748823	118748836	+	0.000	0.000	Merged-chr12-118748944-2
NR1702--MA0463.1.Bcl6	chr7	30198779	30198792	+	0.000	0.000	Merged-chr7-30198838-17
NR1738--MA0731.1.BCL6B	chr7	84143307	84143323	-	0.000	0.000	Merged-chr7-84143230-35
