#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR3600--MA1421.1.TCF7L1	chr3	135622086	135622097	-	0.000	0.000	Merged-chr3-135622151-7
NR3937--MA0523.1.TCF7L2	chr4	138962900	138962913	+	0.000	0.000	Merged-chr4-138963010-20
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR2234--MA0769.1.Tcf7	chr16	51676213	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR5484--MA1421.1.TCF7L1	chr9	83653199	83653210	-	0.000	0.000	Merged-chr9-83653017-27
NR5300--MA1421.1.TCF7L1	chr8	128247500	128247511	+	0.000	0.000	Merged-chr8-128247386-1
NR3364--MA0523.1.TCF7L2	chr3	37738623	37738636	+	0.000	0.000	Merged-chr3-37738517-40
NR1039--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR824--MA0523.1.TCF7L2	chr11	20064186	20064199	+	0.000	0.000	Merged-chr11-20064139-6
NR5223--MA0769.1.Tcf7	chr8	107575001	107575012	+	0.000	0.000	Merged-chr8-107575004-5
NR45--MA1421.1.TCF7L1	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR2319--MA1421.1.TCF7L1	chr16	93977777	93977788	+	0.000	0.000	Merged-chr16-93977807-10
NR2439--MA1421.1.TCF7L1	chr17	35068703	35068714	-	0.000	0.000	Merged-chr17-35068738-10
NR3205--MA0523.1.TCF7L2	chr2	144646515	144646528	+	0.000	0.000	Merged-chr2-144646502-21
NR2232--MA1421.1.TCF7L1	chr16	51676213	51676224	-	0.000	0.000	Merged-chr16-51676199-15
NR5637--MA0769.1.Tcf7	chr9	118890390	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR2847--MA0769.1.Tcf7	chr19	53010621	53010632	+	0.000	0.000	Merged-chr19-53010844-15
NR4307--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR5152--MA1421.1.TCF7L1	chr8	65889560	65889571	-	0.000	0.000	Merged-chr8-65889473-2
NR47--MA0769.1.Tcf7	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR5562--MA0523.1.TCF7L2	chr9	96754565	96754578	+	0.000	0.000	Merged-chr9-96754558-43
NR5190--MA1421.1.TCF7L1	chr8	85450501	85450512	-	0.000	0.000	Merged-chr8-85450579-4
NR1336--MA0523.1.TCF7L2	chr12	106777762	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR3891--MA0523.1.TCF7L2	chr4	124766966	124766979	+	0.000	0.000	Merged-chr4-124766881-14
NR2440--MA0769.1.Tcf7	chr17	35068703	35068714	-	0.000	0.000	Merged-chr17-35068738-10
NR3056--MA1421.1.TCF7L1	chr2	86906535	86906546	+	0.000	0.000	Merged-chr2-86906628-3
NR1337--MA0769.1.Tcf7	chr12	106777764	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR3621--MA0523.1.TCF7L2	chr3	138868466	138868479	-	0.000	0.000	Merged-chr3-138868592-15
NR5191--MA0769.1.Tcf7	chr8	85450501	85450512	-	0.000	0.000	Merged-chr8-85450579-4
NR495--MA0769.1.Tcf7	chr10	18007528	18007539	+	0.000	0.000	Merged-chr10-18007476-16
NR4692--MA1421.1.TCF7L1	chr6	145139908	145139919	-	0.000	0.000	Merged-chr6-145139958-22
NR4406--MA0769.1.Tcf7	chr6	48508282	48508293	-	0.000	0.000	Merged-chr6-48508295-16
NR3106--MA0769.1.Tcf7	chr2	108441079	108441090	+	0.000	0.000	Merged-chr2-108441195-1
NR5471--MA0523.1.TCF7L2	chr9	79947482	79947495	-	0.000	0.000	Merged-chr9-79947658-22
NR4769--MA0769.1.Tcf7	chr7	30440004	30440015	-	0.000	0.000	Merged-chr7-30439933-8
NR3485--MA1421.1.TCF7L1	chr3	101610819	101610830	-	0.000	0.000	Merged-chr3-101610932-6
NR2846--MA1421.1.TCF7L1	chr19	53010621	53010632	+	0.000	0.000	Merged-chr19-53010844-15
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR4447--MA0769.1.Tcf7	chr6	65937486	65937497	+	0.000	0.000	Merged-chr6-65937524-1
NR2833--MA1421.1.TCF7L1	chr19	42179274	42179285	-	0.000	0.000	Merged-chr19-42179187-7
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR5126--MA1421.1.TCF7L1	chr8	46420849	46420860	+	0.000	0.000	Merged-chr8-46420639-16
NR3604--MA0769.1.Tcf7	chr3	136043797	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR3827--MA0523.1.TCF7L2	chr4	98282620	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR318--MA0769.1.Tcf7	chr1	156462916	156462927	-	0.000	0.000	Merged-chr1-156462820-12
NR3739--MA0769.1.Tcf7	chr4	21604450	21604461	-	0.000	0.000	Merged-chr4-21604388-2
NR4856--MA0769.1.Tcf7	chr7	83087930	83087941	+	0.000	0.000	Merged-chr7-83087945-1
NR3538--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR3206--MA1421.1.TCF7L1	chr2	144646559	144646570	+	0.000	0.000	Merged-chr2-144646502-21
NR2256--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR1535--MA1421.1.TCF7L1	chr13	76304152	76304163	-	0.000	0.000	Merged-chr13-76304055-1
NR731--MA0769.1.Tcf7	chr10	111622635	111622646	+	0.000	0.000	Merged-chr10-111622563-9
NR49--MA0523.1.TCF7L2	chr1	52456945	52456958	-	0.000	0.000	Merged-chr1-52456813-18
NR3--MA0523.1.TCF7L2	chr1	7096289	7096302	+	0.000	0.000	Merged-chr1-7096130-35
NR4404--MA1421.1.TCF7L1	chr6	48508282	48508293	-	0.000	0.000	Merged-chr6-48508295-16
NR2253--MA0523.1.TCF7L2	chr16	58553481	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR3936--MA1421.1.TCF7L1	chr4	138962900	138962911	+	0.000	0.000	Merged-chr4-138963010-20
NR1347--MA0523.1.TCF7L2	chr12	108811305	108811318	+	0.000	0.000	Merged-chr12-108811310-19
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
