#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR5535--MA1421.1.TCF7L1	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR678--MA0769.1.Tcf7	chr10	96115332	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR2480--MA1421.1.TCF7L1	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR1054--MA1421.1.TCF7L1	chr11	109765143	109765154	+	0.000	0.000	Merged-chr11-109765179-3
NR5635--MA0523.1.TCF7L2	chr9	118863690	118863703	-	0.000	0.000	Merged-chr9-118863800-9
NR1543--MA0769.1.Tcf7	chr13	81684300	81684311	+	0.000	0.000	Merged-chr13-81684447-5
NR2604--MA1421.1.TCF7L1	chr18	36512431	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR141--MA0523.1.TCF7L2	chr1	88644680	88644693	-	0.000	0.000	Merged-chr1-88644619-31
NR1075--MA0523.1.TCF7L2	chr11	111065058	111065071	+	0.000	0.000	Merged-chr11-111065000-37
NR1542--MA1421.1.TCF7L1	chr13	81684300	81684311	+	0.000	0.000	Merged-chr13-81684447-5
NR4133--MA0523.1.TCF7L2	chr5	86816950	86816963	+	0.000	0.000	Merged-chr5-86816982-25
NR5536--MA0769.1.Tcf7	chr9	90199249	90199260	+	0.000	0.000	Merged-chr9-90199244-4
NR2496--MA0523.1.TCF7L2	chr17	63414342	63414355	+	0.000	0.000	Merged-chr17-63414241-20
NR534--MA1421.1.TCF7L1	chr10	39240216	39240227	+	0.000	0.000	Merged-chr10-39240051-25
NR2323--MA1421.1.TCF7L1	chr16	94647975	94647986	-	0.000	0.000	Merged-chr16-94648012-22
NR677--MA0523.1.TCF7L2	chr10	96115330	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1164--MA0523.1.TCF7L2	chr12	35999207	35999220	+	0.000	0.000	Merged-chr12-35999221-22
NR1076--MA0769.1.Tcf7	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR4539--MA1421.1.TCF7L1	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR4065--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR1261--MA0769.1.Tcf7	chr12	85818540	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR2481--MA0769.1.Tcf7	chr17	57167169	57167180	+	0.000	0.000	Merged-chr17-57167239-24
NR4424--MA0769.1.Tcf7	chr6	50427723	50427734	+	0.000	0.000	Merged-chr6-50427690-6
NR610--MA1421.1.TCF7L1	chr10	76541625	76541636	-	0.000	0.000	Merged-chr10-76541498-12
NR4134--MA0769.1.Tcf7	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR4269--MA0769.1.Tcf7	chr5	124022502	124022513	-	0.000	0.000	Merged-chr5-124022476-27
NR5736--MA1421.1.TCF7L1	chrX	137015417	137015428	-	0.000	0.000	Merged-chrX-137015463-27
NR4423--MA0523.1.TCF7L2	chr6	50427723	50427736	+	0.000	0.000	Merged-chr6-50427690-6
NR2606--MA0769.1.Tcf7	chr18	36512431	36512442	-	0.000	0.000	Merged-chr18-36512403-20
NR4356--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR1074--MA1421.1.TCF7L1	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR2514--MA1421.1.TCF7L1	chr17	72967504	72967515	+	0.000	0.000	Merged-chr17-72967626-25
