#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR809--MA0768.1.LEF1	chr16	24527150	24527164	+	0.000	0.000	Merged-chr16-24527284-22
NR827--MA0768.1.LEF1	chr16	44320369	44320383	+	0.000	0.000	Merged-chr16-44320422-17
NR733--MA0768.1.LEF1	chr15	38326500	38326514	-	0.000	0.000	Merged-chr15-38326552-13
NR1670--MA0768.1.LEF1	chr6	37860573	37860587	-	0.000	0.000	Merged-chr6-37860526-13
NR523--MA0768.1.LEF1	chr13	30754212	30754226	+	0.000	0.000	Merged-chr13-30754228-8
NR765--MA0768.1.LEF1	chr15	73182578	73182592	+	0.000	0.000	Merged-chr15-73182706-35
NR1460--MA0768.1.LEF1	chr4	86719136	86719150	-	0.000	0.000	Merged-chr4-86719231-11
NR1666--MA0768.1.LEF1	chr6	30347684	30347698	+	0.000	0.000	Merged-chr6-30347587-11
NR998--MA0768.1.LEF1	chr18	73765127	73765141	-	0.000	0.000	Merged-chr18-73765273-28
NR210--MA0768.1.LEF1	chr10	30570577	30570591	+	0.000	0.000	Merged-chr10-30570499-22
NR1586--MA0768.1.LEF1	chr5	77166255	77166269	+	0.000	0.000	Merged-chr5-77166256-29
NR591--MA0768.1.LEF1	chr13	108303402	108303416	-	0.000	0.000	Merged-chr13-108303499-73
NR1152--MA0768.1.LEF1	chr2	92256304	92256318	+	0.000	0.000	Merged-chr2-92256272-20
NR475--MA0768.1.LEF1	chr12	106777761	106777775	-	0.000	0.000	Merged-chr12-106777834-6
NR229--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR247--MA0768.1.LEF1	chr10	78115086	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR1708--MA0768.1.LEF1	chr6	90391830	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR740--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1655--MA0768.1.LEF1	chr5	150828287	150828301	-	0.000	0.000	Merged-chr5-150828148-2
NR1776--MA0768.1.LEF1	chr6	145268530	145268544	+	0.000	0.000	Merged-chr6-145268512-5
NR1691--MA0768.1.LEF1	chr6	66242638	66242652	+	0.000	0.000	Merged-chr6-66242720-1
NR1011--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR357--MA0768.1.LEF1	chr11	76184635	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR1173--MA0768.1.LEF1	chr2	117089661	117089675	+	0.000	0.000	Merged-chr2-117089625-28
NR814--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1939--MA0768.1.LEF1	chr8	36019681	36019695	+	0.000	0.000	Merged-chr8-36019786-19
NR1505--MA0768.1.LEF1	chr4	135153156	135153170	+	0.000	0.000	Merged-chr4-135153100-1
NR2165--MA0768.1.LEF1	chrX	153896103	153896117	-	0.000	0.000	Merged-chrX-153896067-8
NR1635--MA0768.1.LEF1	chr5	125271938	125271952	+	0.000	0.000	Merged-chr5-125271799-10
NR864--MA0768.1.LEF1	chr16	93977941	93977955	-	0.000	0.000	Merged-chr16-93977807-10
NR748--MA0768.1.LEF1	chr15	60136824	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR64--MA0768.1.LEF1	chr1	87378152	87378166	-	0.000	0.000	Merged-chr1-87378193-21
NR560--MA0768.1.LEF1	chr13	73491211	73491225	-	0.000	0.000	Merged-chr13-73491277-13
NR1470--MA0768.1.LEF1	chr4	89393652	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR1130--MA0768.1.LEF1	chr2	66148944	66148958	+	0.000	0.000	Merged-chr2-66149107-69
NR1229--MA0768.1.LEF1	chr2	164017233	164017247	-	0.000	0.000	Merged-chr2-164017275-1
NR1802--MA0768.1.LEF1	chr7	25232937	25232951	-	0.000	0.000	Merged-chr7-25233025-1
NR364--MA0768.1.LEF1	chr11	84252630	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1377--MA0768.1.LEF1	chr3	142436922	142436936	+	0.000	0.000	Merged-chr3-142437047-18
NR2140--MA0768.1.LEF1	chrX	57185001	57185015	+	0.000	0.000	Merged-chrX-57185087-24
NR1704--MA0768.1.LEF1	chr6	86754831	86754845	+	0.000	0.000	Merged-chr6-86754818-10
NR2118--MA0768.1.LEF1	chr9	120961770	120961784	-	0.000	0.000	Merged-chr9-120961674-26
NR808--MA0768.1.LEF1	chr16	24524953	24524967	-	0.000	0.000	Merged-chr16-24524965-5
NR705--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR938--MA0768.1.LEF1	chr17	83832192	83832206	-	0.000	0.000	Merged-chr17-83832348-24
NR625--MA0768.1.LEF1	chr14	26919468	26919482	-	0.000	0.000	Merged-chr14-26919575-5
NR1679--MA0768.1.LEF1	chr6	54926015	54926029	+	0.000	0.000	Merged-chr6-54926058-40
NR1106--MA0768.1.LEF1	chr2	37565775	37565789	-	0.000	0.000	Merged-chr2-37565860-32
NR1124--MA0768.1.LEF1	chr2	59513724	59513738	+	0.000	0.000	Merged-chr2-59513816-12
NR1469--MA0768.1.LEF1	chr4	89359667	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR909--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR2018--MA0768.1.LEF1	chr9	20901791	20901805	+	0.000	0.000	Merged-chr9-20901772-20
NR833--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR2036--MA0768.1.LEF1	chr9	50733068	50733082	-	0.000	0.000	Merged-chr9-50733086-8
NR963--MA0768.1.LEF1	chr18	37814048	37814062	-	0.000	0.000	Merged-chr18-37813954-31
NR1099--MA0768.1.LEF1	chr2	30112723	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR525--MA0768.1.LEF1	chr13	33071989	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR422--MA0768.1.LEF1	chr12	35755314	35755328	+	0.000	0.000	Merged-chr12-35755374-29
NR749--MA0768.1.LEF1	chr15	61408765	61408779	+	0.000	0.000	Merged-chr15-61408601-39
NR1556--MA0768.1.LEF1	chr5	32089574	32089588	+	0.000	0.000	Merged-chr5-32089637-4
NR65--MA0768.1.LEF1	chr1	87378186	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR1668--MA0768.1.LEF1	chr6	35462667	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR673--MA0768.1.LEF1	chr14	74915911	74915925	+	0.000	0.000	Merged-chr14-74915986-3
NR1207--MA0768.1.LEF1	chr2	147738036	147738050	-	0.000	0.000	Merged-chr2-147737931-1
NR687--MA0768.1.LEF1	chr14	101892406	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR329--MA0768.1.LEF1	chr11	46054549	46054563	-	0.000	0.000	Merged-chr11-46054514-2
NR97--MA0768.1.LEF1	chr1	127652946	127652960	+	0.000	0.000	Merged-chr1-127652975-7
NR347--MA0768.1.LEF1	chr11	63352146	63352160	+	0.000	0.000	Merged-chr11-63352234-10
NR1396--MA0768.1.LEF1	chr3	149443142	149443156	-	0.000	0.000	Merged-chr3-149443176-11
NR822--MA0768.1.LEF1	chr16	38756077	38756091	+	0.000	0.000	Merged-chr16-38756031-13
NR1047--MA0768.1.LEF1	chr19	44454938	44454952	+	0.000	0.000	Merged-chr19-44454908-10
NR267--MA0768.1.LEF1	chr10	96115329	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR1741--MA0768.1.LEF1	chr6	120181443	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR1871--MA0768.1.LEF1	chr7	109225740	109225754	+	0.000	0.000	Merged-chr7-109225670-1
NR724--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR1509--MA0768.1.LEF1	chr4	139367503	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR36--MA0768.1.LEF1	chr1	61424368	61424382	-	0.000	0.000	Merged-chr1-61424221-7
NR644--MA0768.1.LEF1	chr14	54578411	54578425	+	0.000	0.000	Merged-chr14-54578277-39
NR1317--MA0768.1.LEF1	chr3	106967022	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR206--MA0768.1.LEF1	chr10	22163948	22163962	+	0.000	0.000	Merged-chr10-22163837-17
NR1483--MA0768.1.LEF1	chr4	103113538	103113552	+	0.000	0.000	Merged-chr4-103113589-3
NR238--MA0768.1.LEF1	chr10	75294287	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR1600--MA0768.1.LEF1	chr5	97075786	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR1712--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1193--MA0768.1.LEF1	chr2	136965559	136965573	-	0.000	0.000	Merged-chr2-136965495-19
NR928--MA0768.1.LEF1	chr17	69422857	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR1614--MA0768.1.LEF1	chr5	108349978	108349992	-	0.000	0.000	Merged-chr5-108349848-29
NR1977--MA0768.1.LEF1	chr8	111812443	111812457	+	0.000	0.000	Merged-chr8-111812311-3
NR1749--MA0768.1.LEF1	chr6	126995694	126995708	-	0.000	0.000	Merged-chr6-126995755-15
NR1570--MA0768.1.LEF1	chr5	52245285	52245299	-	0.000	0.000	Merged-chr5-52245311-7
NR1897--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR1114--MA0768.1.LEF1	chr2	48379935	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR1132--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR1016--MA0768.1.LEF1	chr18	84419246	84419260	+	0.000	0.000	Merged-chr18-84419143-8
NR1392--MA0768.1.LEF1	chr3	148419654	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR1070--MA0768.1.LEF1	chr2	5003238	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1948--MA0768.1.LEF1	chr8	57387856	57387870	+	0.000	0.000	Merged-chr8-57387843-7
NR2062--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR1644--MA0768.1.LEF1	chr5	137870834	137870848	+	0.000	0.000	Merged-chr5-137870793-17
NR1662--MA0768.1.LEF1	chr6	8712281	8712295	+	0.000	0.000	Merged-chr6-8712206-28
NR1774--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR2076--MA0768.1.LEF1	chr9	86358168	86358182	+	0.000	0.000	Merged-chr9-86358018-16
NR1318--MA0768.1.LEF1	chr3	107185708	107185722	+	0.000	0.000	Merged-chr3-107185785-15
NR453--MA0768.1.LEF1	chr12	82326573	82326587	-	0.000	0.000	Merged-chr12-82326673-11
NR350--MA0768.1.LEF1	chr11	68465258	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR1108--MA0768.1.LEF1	chr2	44159717	44159731	+	0.000	0.000	Merged-chr2-44159655-18
NR1484--MA0768.1.LEF1	chr4	103174430	103174444	-	0.000	0.000	Merged-chr4-103174438-7
NR485--MA0768.1.LEF1	chr12	110939499	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR127--MA0768.1.LEF1	chr1	156676432	156676446	+	0.000	0.000	Merged-chr1-156676429-4
NR1807--MA0768.1.LEF1	chr7	31086476	31086490	+	0.000	0.000	Merged-chr7-31086534-15
NR1973--MA0768.1.LEF1	chr8	104785794	104785808	+	0.000	0.000	Merged-chr8-104785669-6
NR1848--MA0768.1.LEF1	chr7	90004036	90004050	+	0.000	0.000	Merged-chr7-90004026-23
NR844--MA0768.1.LEF1	chr16	76323633	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR2047--MA0768.1.LEF1	chr9	69068575	69068589	+	0.000	0.000	Merged-chr9-69068633-33
NR965--MA0768.1.LEF1	chr18	39049205	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR652--MA0768.1.LEF1	chr14	62627559	62627573	+	0.000	0.000	Merged-chr14-62627525-13
NR787--MA0768.1.LEF1	chr15	98623469	98623483	+	0.000	0.000	Merged-chr15-98623504-45
NR1805--MA0768.1.LEF1	chr7	29900783	29900797	+	0.000	0.000	Merged-chr7-29900753-5
NR2040--MA0768.1.LEF1	chr9	56273653	56273667	+	0.000	0.000	Merged-chr9-56273762-19
NR703--MA0768.1.LEF1	chr14	121830282	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR1085--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
