#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR1420--MA0768.1.LEF1	chr7	83852807	83852821	+	0.000	0.000	Merged-chr7-83852721-40
NR1532--MA0768.1.LEF1	chr8	115136848	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR426--MA0768.1.LEF1	chr13	30777866	30777880	-	0.000	0.000	Merged-chr13-30777847-15
NR1327--MA0768.1.LEF1	chr6	101359848	101359862	-	0.000	0.000	Merged-chr6-101359900-41
NR538--MA0768.1.LEF1	chr14	79236620	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR592--MA0768.1.LEF1	chr15	66998422	66998436	+	0.000	0.000	Merged-chr15-66998486-48
NR1493--MA0768.1.LEF1	chr8	33548680	33548694	+	0.000	0.000	Merged-chr8-33548647-24
NR494--MA0768.1.LEF1	chr13	113071294	113071308	+	0.000	0.000	Merged-chr13-113071273-26
NR1055--MA0768.1.LEF1	chr3	138334341	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR1082--MA0768.1.LEF1	chr4	7455298	7455312	+	0.000	0.000	Merged-chr4-7455242-36
NR186--MA0768.1.LEF1	chr10	88725571	88725585	-	0.000	0.000	Merged-chr10-88725453-13
NR746--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR415--MA0768.1.LEF1	chr13	8458069	8458083	+	0.000	0.000	Merged-chr13-8458004-23
NR1316--MA0768.1.LEF1	chr6	90391830	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR1580--MA0768.1.LEF1	chr9	52259750	52259764	+	0.000	0.000	Merged-chr9-52259787-26
NR1334--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR111--MA0768.1.LEF1	chr1	165986103	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR317--MA0768.1.LEF1	chr11	121777141	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR1254--MA0768.1.LEF1	chr5	124907038	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR1008--MA0768.1.LEF1	chr3	101056903	101056917	-	0.000	0.000	Merged-chr3-101056914-14
NR586--MA0768.1.LEF1	chr15	59805124	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR1272--MA0768.1.LEF1	chr6	17851329	17851343	+	0.000	0.000	Merged-chr6-17851443-16
NR1044--MA0768.1.LEF1	chr3	133626741	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR273--MA0768.1.LEF1	chr11	76184635	76184649	-	0.000	0.000	Merged-chr11-76184587-9
NR1389--MA0768.1.LEF1	chr7	16001894	16001908	+	0.000	0.000	Merged-chr7-16001989-41
NR1286--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR10--MA0768.1.LEF1	chr1	39895711	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR278--MA0768.1.LEF1	chr11	83118300	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR1556--MA0768.1.LEF1	chr9	7501333	7501347	+	0.000	0.000	Merged-chr9-7501482-49
NR100--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR1113--MA0768.1.LEF1	chr4	89169075	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR897--MA0768.1.LEF1	chr2	102250766	102250780	+	0.000	0.000	Merged-chr2-102250925-1
NR1592--MA0768.1.LEF1	chr9	69068575	69068589	+	0.000	0.000	Merged-chr9-69068633-33
NR1458--MA0768.1.LEF1	chr7	117404664	117404678	+	0.000	0.000	Merged-chr7-117404576-18
NR1243--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR669--MA0768.1.LEF1	chr16	90277000	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR79--MA0768.1.LEF1	chr1	138952397	138952411	+	0.000	0.000	Merged-chr1-138952405-35
NR1266--MA0768.1.LEF1	chr5	150860013	150860027	-	0.000	0.000	Merged-chr5-150859850-43
NR280--MA0768.1.LEF1	chr11	84252630	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1607--MA0768.1.LEF1	chr9	85011576	85011590	+	0.000	0.000	Merged-chr9-85011578-31
NR1312--MA0768.1.LEF1	chr6	84617253	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR644--MA0768.1.LEF1	chr16	45261674	45261688	+	0.000	0.000	Merged-chr16-45261551-46
NR989--MA0768.1.LEF1	chr3	83997231	83997245	+	0.000	0.000	Merged-chr3-83997240-19
NR774--MA0768.1.LEF1	chr18	69548095	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR680--MA0768.1.LEF1	chr16	97402538	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR322--MA0768.1.LEF1	chr12	17726666	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR1581--MA0768.1.LEF1	chr9	52259957	52259971	+	0.000	0.000	Merged-chr9-52259787-26
NR1577--MA0768.1.LEF1	chr9	42159039	42159053	+	0.000	0.000	Merged-chr9-42158908-46
NR1009--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR1273--MA0768.1.LEF1	chr6	24515041	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR811--MA0768.1.LEF1	chr19	33429545	33429559	+	0.000	0.000	Merged-chr19-33429713-40
NR1502--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR928--MA0768.1.LEF1	chr2	135891372	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR1059--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR964--MA0768.1.LEF1	chr3	10151765	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR194--MA0768.1.LEF1	chr10	96115329	96115343	-	0.000	0.000	Merged-chr10-96115346-13
NR615--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1534--MA0768.1.LEF1	chr8	115771146	115771160	+	0.000	0.000	Merged-chr8-115771261-45
NR535--MA0768.1.LEF1	chr14	70962240	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR307--MA0768.1.LEF1	chr11	111065058	111065072	+	0.000	0.000	Merged-chr11-111065000-37
NR1208--MA0768.1.LEF1	chr5	63767926	63767940	+	0.000	0.000	Merged-chr5-63767981-25
NR786--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR1472--MA0768.1.LEF1	chr7	132415456	132415470	-	0.000	0.000	Merged-chr7-132415500-16
NR1459--MA0768.1.LEF1	chr7	118479250	118479264	-	0.000	0.000	Merged-chr7-118479395-18
NR1244--MA0768.1.LEF1	chr5	105198257	105198271	+	0.000	0.000	Merged-chr5-105198197-37
NR1374--MA0768.1.LEF1	chr6	144333302	144333316	+	0.000	0.000	Merged-chr6-144333219-22
NR98--MA0768.1.LEF1	chr1	156574334	156574348	-	0.000	0.000	Merged-chr1-156574252-14
NR496--MA0768.1.LEF1	chr13	114076178	114076192	-	0.000	0.000	Merged-chr13-114076115-29
NR711--MA0768.1.LEF1	chr17	50025404	50025418	+	0.000	0.000	Merged-chr17-50025514-42
NR1294--MA0768.1.LEF1	chr6	50009499	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR165--MA0768.1.LEF1	chr10	59392194	59392208	-	0.000	0.000	Merged-chr10-59392092-23
NR286--MA0768.1.LEF1	chr11	97096391	97096405	-	0.000	0.000	Merged-chr11-97096321-4
NR1644--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR761--MA0768.1.LEF1	chr18	60375873	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR1662--MA0768.1.LEF1	chrX	52930407	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR1434--MA0768.1.LEF1	chr7	97067536	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR645--MA0768.1.LEF1	chr16	45261682	45261696	+	0.000	0.000	Merged-chr16-45261551-46
NR73--MA0768.1.LEF1	chr1	133012465	133012479	+	0.000	0.000	Merged-chr1-133012523-20
NR220--MA0768.1.LEF1	chr10	121497999	121498013	+	0.000	0.000	Merged-chr10-121498117-10
NR1336--MA0768.1.LEF1	chr6	115762217	115762231	-	0.000	0.000	Merged-chr6-115762298-33
NR332--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1578--MA0768.1.LEF1	chr9	46015104	46015118	-	0.000	0.000	Merged-chr9-46015200-37
NR1005--MA0768.1.LEF1	chr3	100475183	100475197	+	0.000	0.000	Merged-chr3-100475201-27
NR225--MA0768.1.LEF1	chr10	128940661	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR1596--MA0768.1.LEF1	chr9	72660362	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR261--MA0768.1.LEF1	chr11	64021026	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR373--MA0768.1.LEF1	chr12	99084372	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR270--MA0768.1.LEF1	chr11	74100877	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR1601--MA0768.1.LEF1	chr9	80318137	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1194--MA0768.1.LEF1	chr5	31831722	31831736	+	0.000	0.000	Merged-chr5-31831785-25
NR1503--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR1651--MA0768.1.LEF1	chr9	122399007	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR17--MA0768.1.LEF1	chr1	63002089	63002103	-	0.000	0.000	Merged-chr1-63002017-23
NR1405--MA0768.1.LEF1	chr7	58798502	58798516	+	0.000	0.000	Merged-chr7-58798464-29
NR1320--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR536--MA0768.1.LEF1	chr14	70962267	70962281	+	0.000	0.000	Merged-chr14-70962142-29
NR1343--MA0768.1.LEF1	chr6	120206759	120206773	+	0.000	0.000	Merged-chr6-120206801-39
NR67--MA0768.1.LEF1	chr1	127796566	127796580	-	0.000	0.000	Merged-chr1-127796546-56
NR675--MA0768.1.LEF1	chr16	94185592	94185606	+	0.000	0.000	Merged-chr16-94185634-42
NR1209--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR1129--MA0768.1.LEF1	chr4	109251803	109251817	+	0.000	0.000	Merged-chr4-109251883-18
NR1295--MA0768.1.LEF1	chr6	50009506	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR287--MA0768.1.LEF1	chr11	98497486	98497500	+	0.000	0.000	Merged-chr11-98497586-22
NR860--MA0768.1.LEF1	chr2	46302919	46302933	-	0.000	0.000	Merged-chr2-46302794-23
NR990--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR838--MA0768.1.LEF1	chr2	8965234	8965248	+	0.000	0.000	Merged-chr2-8965212-53
