#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR379--MA0768.1.LEF1	chr12	106046375	106046389	-	0.000	0.000	Merged-chr12-106046288-9
NR1312--MA0768.1.LEF1	chr6	84617253	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR1205--MA0768.1.LEF1	chr5	58084163	58084177	-	0.000	0.000	Merged-chr5-58084122-29
NR416--MA0768.1.LEF1	chr13	8542840	8542854	-	0.000	0.000	Merged-chr13-8542849-17
NR680--MA0768.1.LEF1	chr16	97402538	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR797--MA0768.1.LEF1	chr19	9044555	9044569	-	0.000	0.000	Merged-chr19-9044473-28
NR336--MA0768.1.LEF1	chr12	55366685	55366699	-	0.000	0.000	Merged-chr12-55366796-37
NR372--MA0768.1.LEF1	chr12	98252495	98252509	+	0.000	0.000	Merged-chr12-98252552-7
NR484--MA0768.1.LEF1	chr13	108763548	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR941--MA0768.1.LEF1	chr2	147876585	147876599	+	0.000	0.000	Merged-chr2-147876682-1
NR601--MA0768.1.LEF1	chr15	82188126	82188140	-	0.000	0.000	Merged-chr15-82188110-14
NR1502--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR288--MA0768.1.LEF1	chr11	98596069	98596083	+	0.000	0.000	Merged-chr11-98595982-19
NR964--MA0768.1.LEF1	chr3	10151765	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR615--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR231--MA0768.1.LEF1	chr11	11498083	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1244--MA0768.1.LEF1	chr5	105198257	105198271	+	0.000	0.000	Merged-chr5-105198197-37
NR1052--MA0768.1.LEF1	chr3	136043794	136043808	-	0.000	0.000	Merged-chr3-136043895-1
NR631--MA0768.1.LEF1	chr16	22632515	22632529	-	0.000	0.000	Merged-chr16-22632558-6
NR1644--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR896--MA0768.1.LEF1	chr2	101616180	101616194	+	0.000	0.000	Merged-chr2-101616143-32
NR1233--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR270--MA0768.1.LEF1	chr11	74100877	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR1503--MA0768.1.LEF1	chr8	56443929	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR979--MA0768.1.LEF1	chr3	58517225	58517239	+	0.000	0.000	Merged-chr3-58517381-43
NR769--MA0768.1.LEF1	chr18	66528875	66528889	+	0.000	0.000	Merged-chr18-66528856-1
NR675--MA0768.1.LEF1	chr16	94185592	94185606	+	0.000	0.000	Merged-chr16-94185634-42
NR1209--MA0768.1.LEF1	chr5	64662514	64662528	-	0.000	0.000	Merged-chr5-64662440-49
NR1398--MA0768.1.LEF1	chr7	35140123	35140137	+	0.000	0.000	Merged-chr7-35140267-30
NR918--MA0768.1.LEF1	chr2	127590992	127591006	+	0.000	0.000	Merged-chr2-127590846-21
NR990--MA0768.1.LEF1	chr3	84595447	84595461	-	0.000	0.000	Merged-chr3-84595329-34
