#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR45758--MA0741.1.KLF16	chr4	101235173	101235183	+	0.000	0.000	Merged-chr4-101235092-24
NR45772--MA0493.1.Klf1	chr4	101235224	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR45776--MA1107.1.KLF9	chr4	101235218	101235230	+	0.000	0.000	Merged-chr4-101235092-24
NR22222--MA1107.1.KLF9	chr15	34046429	34046441	+	0.000	0.000	Merged-chr15-34046584-10
NR11470--MA0599.1.KLF5	chr11	90687698	90687707	-	0.000	0.000	Merged-chr11-90687520-18
NR47080--MA0741.1.KLF16	chr4	134547500	134547510	-	0.000	0.000	Merged-chr4-134547498-8
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR51032--MA0599.1.KLF5	chr5	113994145	113994154	+	0.000	0.000	Merged-chr5-113994160-2
NR31047--MA0493.1.Klf1	chr18	55161686	55161696	-	0.000	0.000	Merged-chr18-55161771-19
NR22218--MA1107.1.KLF9	chr15	34046421	34046433	+	0.000	0.000	Merged-chr15-34046584-10
NR96--MA1107.1.KLF9	chr1	13599498	13599510	-	0.000	0.000	Merged-chr1-13599624-3
NR18512--MA1107.1.KLF9	chr13	102284446	102284458	+	0.000	0.000	Merged-chr13-102284441-1
NR34094--MA0741.1.KLF16	chr19	56703306	56703316	+	0.000	0.000	Merged-chr19-56703417-11
NR23438--MA1107.1.KLF9	chr15	80255958	80255970	-	0.000	0.000	Merged-chr15-80256078-1
NR2951--MA0740.1.KLF14	chr1	157039109	157039122	-	0.000	0.000	Merged-chr1-157039058-34
NR36524--MA0493.1.Klf1	chr2	84784850	84784860	-	0.000	0.000	Merged-chr2-84784837-8
NR11234--MA0741.1.KLF16	chr11	86088699	86088709	-	0.000	0.000	Merged-chr11-86088575-8
NR36522--MA0742.1.Klf12	chr2	84784846	84784860	-	0.000	0.000	Merged-chr2-84784837-8
NR53337--MA1107.1.KLF9	chr5	151704138	151704150	+	0.000	0.000	Merged-chr5-151704265-4
NR1396--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR1767--MA0741.1.KLF16	chr1	106714613	106714623	-	0.000	0.000	Merged-chr1-106714804-1
NR66567--MA0599.1.KLF5	chr9	57346115	57346124	-	0.000	0.000	Merged-chr9-57346292-13
NR45966--MA1107.1.KLF9	chr4	107357876	107357888	+	0.000	0.000	Merged-chr4-107358068-17
NR35484--MA0493.1.Klf1	chr2	35690018	35690028	+	0.000	0.000	Merged-chr2-35690128-14
NR70630--MA1107.1.KLF9	chrX	169973435	169973447	+	0.000	0.000	Merged-chrX-169973362-71
NR55782--MA0493.1.Klf1	chr6	119451004	119451014	+	0.000	0.000	Merged-chr6-119451010-23
NR28915--MA0039.3.KLF4	chr17	56023589	56023599	-	0.000	0.000	Merged-chr17-56023630-14
NR66571--MA0493.1.Klf1	chr9	57346465	57346475	-	0.000	0.000	Merged-chr9-57346292-13
NR24578--MA0039.3.KLF4	chr15	102165698	102165708	-	0.000	0.000	Merged-chr15-102165758-28
NR45761--MA0493.1.Klf1	chr4	101235194	101235204	+	0.000	0.000	Merged-chr4-101235092-24
NR1768--MA1107.1.KLF9	chr1	106714612	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR22211--MA1107.1.KLF9	chr15	34046407	34046419	+	0.000	0.000	Merged-chr15-34046584-10
NR55344--MA0493.1.Klf1	chr6	108512319	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR65686--MA0741.1.KLF16	chr9	21167777	21167787	+	0.000	0.000	Merged-chr9-21167831-1
NR45757--MA0493.1.Klf1	chr4	101235172	101235182	+	0.000	0.000	Merged-chr4-101235092-24
NR5483--MA1107.1.KLF9	chr10	39240240	39240252	+	0.000	0.000	Merged-chr10-39240051-25
NR22225--MA1107.1.KLF9	chr15	34046435	34046447	+	0.000	0.000	Merged-chr15-34046584-10
NR53425--MA0599.1.KLF5	chr6	8632594	8632603	+	0.000	0.000	Merged-chr6-8632721-45
NR42207--MA0741.1.KLF16	chr3	109456513	109456523	-	0.000	0.000	Merged-chr3-109456576-4
NR19769--MA0742.1.Klf12	chr14	32388447	32388461	-	0.000	0.000	Merged-chr14-32388438-6
NR3998--MA1107.1.KLF9	chr1	182537330	182537342	+	0.000	0.000	Merged-chr1-182537225-11
NR22155--MA0599.1.KLF5	chr15	27785466	27785475	+	0.000	0.000	Merged-chr15-27785429-33
NR23437--MA0741.1.KLF16	chr15	80255959	80255969	-	0.000	0.000	Merged-chr15-80256078-1
NR7010--MA1107.1.KLF9	chr10	81659618	81659630	-	0.000	0.000	Merged-chr10-81659727-10
NR53876--MA0039.3.KLF4	chr6	39372751	39372761	+	0.000	0.000	Merged-chr6-39372871-18
NR36526--MA1107.1.KLF9	chr2	84784848	84784860	-	0.000	0.000	Merged-chr2-84784837-8
NR28914--MA0599.1.KLF5	chr17	56023591	56023600	-	0.000	0.000	Merged-chr17-56023630-14
NR11174--MA0599.1.KLF5	chr11	83224938	83224947	+	0.000	0.000	Merged-chr11-83225087-2
NR45762--MA0741.1.KLF16	chr4	101235195	101235205	+	0.000	0.000	Merged-chr4-101235092-24
NR29775--MA0493.1.Klf1	chr17	83634501	83634511	+	0.000	0.000	Merged-chr17-83634380-4
NR18230--MA0599.1.KLF5	chr13	98684443	98684452	+	0.000	0.000	Merged-chr13-98684546-11
NR27451--MA0741.1.KLF16	chr17	24084757	24084767	+	0.000	0.000	Merged-chr17-24084802-20
NR55784--MA1107.1.KLF9	chr6	119451004	119451016	+	0.000	0.000	Merged-chr6-119451010-23
NR29776--MA0741.1.KLF16	chr17	83634502	83634512	+	0.000	0.000	Merged-chr17-83634380-4
NR41161--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR65684--MA0741.1.KLF16	chr9	21167775	21167785	+	0.000	0.000	Merged-chr9-21167831-1
NR19768--MA0740.1.KLF14	chr14	32388448	32388461	-	0.000	0.000	Merged-chr14-32388438-6
NR2753--MA1107.1.KLF9	chr1	153288197	153288209	+	0.000	0.000	Merged-chr1-153288080-22
NR45759--MA1107.1.KLF9	chr4	101235172	101235184	+	0.000	0.000	Merged-chr4-101235092-24
NR45777--MA1107.1.KLF9	chr4	101235224	101235236	+	0.000	0.000	Merged-chr4-101235092-24
NR69064--MA0039.3.KLF4	chr9	118863768	118863778	-	0.000	0.000	Merged-chr9-118863800-9
NR66287--MA0742.1.Klf12	chr9	45847205	45847219	+	0.000	0.000	Merged-chr9-45847286-6
NR22214--MA1107.1.KLF9	chr15	34046413	34046425	+	0.000	0.000	Merged-chr15-34046584-10
NR42205--MA0741.1.KLF16	chr3	109456510	109456520	-	0.000	0.000	Merged-chr3-109456576-4
NR6371--MA0599.1.KLF5	chr10	75643004	75643013	+	0.000	0.000	Merged-chr10-75643156-15
NR51033--MA0599.1.KLF5	chr5	113994150	113994159	+	0.000	0.000	Merged-chr5-113994160-2
NR10801--MA1107.1.KLF9	chr11	76184658	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR29771--MA0740.1.KLF14	chr17	83634501	83634514	+	0.000	0.000	Merged-chr17-83634380-4
NR22219--MA1107.1.KLF9	chr15	34046423	34046435	+	0.000	0.000	Merged-chr15-34046584-10
NR97--MA1107.1.KLF9	chr1	13599500	13599512	-	0.000	0.000	Merged-chr1-13599624-3
NR18513--MA1107.1.KLF9	chr13	102284448	102284460	+	0.000	0.000	Merged-chr13-102284441-1
NR50991--MA0599.1.KLF5	chr5	113873221	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR3997--MA0493.1.Klf1	chr1	182537330	182537340	+	0.000	0.000	Merged-chr1-182537225-11
NR41160--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR48506--MA1107.1.KLF9	chr5	3928926	3928938	-	0.000	0.000	Merged-chr5-3928837-1
NR45773--MA0741.1.KLF16	chr4	101235219	101235229	+	0.000	0.000	Merged-chr4-101235092-24
NR19770--MA0599.1.KLF5	chr14	32388451	32388460	-	0.000	0.000	Merged-chr14-32388438-6
NR29777--MA1107.1.KLF9	chr17	83634501	83634513	+	0.000	0.000	Merged-chr17-83634380-4
NR33865--MA0599.1.KLF5	chr19	47755818	47755827	+	0.000	0.000	Merged-chr19-47755810-9
NR32230--MA0741.1.KLF16	chr18	84073648	84073658	-	0.000	0.000	Merged-chr18-84073759-5
NR44837--MA0742.1.Klf12	chr4	46565804	46565818	+	0.000	0.000	Merged-chr4-46565631-17
NR69063--MA0599.1.KLF5	chr9	118863770	118863779	-	0.000	0.000	Merged-chr9-118863800-9
NR45967--MA1107.1.KLF9	chr4	107357987	107357999	+	0.000	0.000	Merged-chr4-107358068-17
NR70631--MA1107.1.KLF9	chrX	169973437	169973449	+	0.000	0.000	Merged-chrX-169973362-71
NR66371--MA0599.1.KLF5	chr9	50470495	50470504	+	0.000	0.000	Merged-chr9-50470528-16
NR31044--MA0742.1.Klf12	chr18	55161682	55161696	-	0.000	0.000	Merged-chr18-55161771-19
NR66572--MA0493.1.Klf1	chr9	57346483	57346493	-	0.000	0.000	Merged-chr9-57346292-13
NR66568--MA0493.1.Klf1	chr9	57346115	57346125	-	0.000	0.000	Merged-chr9-57346292-13
NR45766--MA1107.1.KLF9	chr4	101235198	101235210	+	0.000	0.000	Merged-chr4-101235092-24
NR45770--MA0039.3.KLF4	chr4	101235226	101235236	+	0.000	0.000	Merged-chr4-101235092-24
NR22212--MA1107.1.KLF9	chr15	34046409	34046421	+	0.000	0.000	Merged-chr15-34046584-10
NR36432--MA0741.1.KLF16	chr2	78988456	78988466	+	0.000	0.000	Merged-chr2-78988349-6
NR28913--MA0742.1.Klf12	chr17	56023587	56023601	-	0.000	0.000	Merged-chr17-56023630-14
NR37427--MA0741.1.KLF16	chr2	121414492	121414502	+	0.000	0.000	Merged-chr2-121414603-1
NR32229--MA0039.3.KLF4	chr18	84073647	84073657	-	0.000	0.000	Merged-chr18-84073759-5
NR22226--MA1107.1.KLF9	chr15	34046437	34046449	+	0.000	0.000	Merged-chr15-34046584-10
NR10800--MA0493.1.Klf1	chr11	76184660	76184670	-	0.000	0.000	Merged-chr11-76184587-9
NR18520--MA1107.1.KLF9	chr13	102284462	102284474	+	0.000	0.000	Merged-chr13-102284441-1
NR29076--MA0039.3.KLF4	chr17	57335020	57335030	-	0.000	0.000	Merged-chr17-57334984-16
NR18516--MA1107.1.KLF9	chr13	102284454	102284466	+	0.000	0.000	Merged-chr13-102284441-1
NR36525--MA0741.1.KLF16	chr2	84784869	84784879	-	0.000	0.000	Merged-chr2-84784837-8
NR820--MA0039.3.KLF4	chr1	58774019	58774029	+	0.000	0.000	Merged-chr1-58774084-24
NR19772--MA1107.1.KLF9	chr14	32388449	32388461	-	0.000	0.000	Merged-chr14-32388438-6
NR37426--MA0599.1.KLF5	chr2	121414492	121414501	+	0.000	0.000	Merged-chr2-121414603-1
NR58920--MA1107.1.KLF9	chr7	45025108	45025120	+	0.000	0.000	Merged-chr7-45025072-11
NR32899--MA0599.1.KLF5	chr19	10305046	10305055	-	0.000	0.000	Merged-chr19-10304967-15
NR406--MA0599.1.KLF5	chr1	37469424	37469433	-	0.000	0.000	Merged-chr1-37469260-14
NR11469--MA0741.1.KLF16	chr11	90687383	90687393	-	0.000	0.000	Merged-chr11-90687520-18
NR727--MA0039.3.KLF4	chr1	54601414	54601424	-	0.000	0.000	Merged-chr1-54601410-5
NR65685--MA0741.1.KLF16	chr9	21167776	21167786	+	0.000	0.000	Merged-chr9-21167831-1
NR31049--MA0599.1.KLF5	chr18	55161851	55161860	-	0.000	0.000	Merged-chr18-55161771-19
NR50993--MA0741.1.KLF16	chr5	113873220	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR13071--MA0742.1.Klf12	chr11	118266830	118266844	+	0.000	0.000	Merged-chr11-118266893-1
NR36431--MA0742.1.Klf12	chr2	78988455	78988469	+	0.000	0.000	Merged-chr2-78988349-6
NR22215--MA1107.1.KLF9	chr15	34046415	34046427	+	0.000	0.000	Merged-chr15-34046584-10
NR55780--MA0742.1.Klf12	chr6	119451004	119451018	+	0.000	0.000	Merged-chr6-119451010-23
NR30792--MA0599.1.KLF5	chr18	39145633	39145642	-	0.000	0.000	Merged-chr18-39145494-15
NR51034--MA0599.1.KLF5	chr5	113994155	113994164	+	0.000	0.000	Merged-chr5-113994160-2
NR16567--MA1107.1.KLF9	chr13	32971965	32971977	+	0.000	0.000	Merged-chr13-32971962-1
NR29774--MA0599.1.KLF5	chr17	83634502	83634511	+	0.000	0.000	Merged-chr17-83634380-4
NR59371--MA0742.1.Klf12	chr7	66304158	66304172	-	0.000	0.000	Merged-chr7-66304210-5
NR18514--MA1107.1.KLF9	chr13	102284450	102284462	+	0.000	0.000	Merged-chr13-102284441-1
NR7006--MA0599.1.KLF5	chr10	81659620	81659629	-	0.000	0.000	Merged-chr10-81659727-10
NR54794--MA0741.1.KLF16	chr6	86806577	86806587	+	0.000	0.000	Merged-chr6-86806631-9
NR65689--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR55779--MA0657.1.KLF13	chr6	119451003	119451020	+	0.000	0.000	Merged-chr6-119451010-23
NR19771--MA0493.1.Klf1	chr14	32388451	32388461	-	0.000	0.000	Merged-chr14-32388438-6
NR42210--MA0657.1.KLF13	chr3	109456620	109456637	-	0.000	0.000	Merged-chr3-109456576-4
NR17698--MA0039.3.KLF4	chr13	81705649	81705659	-	0.000	0.000	Merged-chr13-81705633-6
NR45968--MA1107.1.KLF9	chr4	107358012	107358024	+	0.000	0.000	Merged-chr4-107358068-17
NR66372--MA0599.1.KLF5	chr9	50470500	50470509	+	0.000	0.000	Merged-chr9-50470528-16
NR65683--MA0741.1.KLF16	chr9	21167774	21167784	+	0.000	0.000	Merged-chr9-21167831-1
NR59370--MA0740.1.KLF14	chr7	66304159	66304172	-	0.000	0.000	Merged-chr7-66304210-5
NR13517--MA0657.1.KLF13	chr12	15536023	15536040	-	0.000	0.000	Merged-chr12-15536023-13
NR60724--MA0599.1.KLF5	chr7	113572968	113572977	-	0.000	0.000	Merged-chr7-113573033-33
NR44132--MA0599.1.KLF5	chr4	8913759	8913768	-	0.000	0.000	Merged-chr4-8913815-2
NR92--MA0599.1.KLF5	chr1	13599502	13599511	-	0.000	0.000	Merged-chr1-13599624-3
NR95--MA0741.1.KLF16	chr1	13599501	13599511	-	0.000	0.000	Merged-chr1-13599624-3
NR45767--MA1107.1.KLF9	chr4	101235202	101235214	+	0.000	0.000	Merged-chr4-101235092-24
NR22213--MA1107.1.KLF9	chr15	34046411	34046423	+	0.000	0.000	Merged-chr15-34046584-10
NR61155--MA1107.1.KLF9	chr7	125583559	125583571	-	0.000	0.000	Merged-chr7-125583623-4
NR35513--MA1107.1.KLF9	chr2	38472631	38472643	+	0.000	0.000	Merged-chr2-38472573-96
NR27452--MA1107.1.KLF9	chr17	24084754	24084766	+	0.000	0.000	Merged-chr17-24084802-20
NR54452--MA0741.1.KLF16	chr6	70831524	70831534	+	0.000	0.000	Merged-chr6-70831450-1
NR65688--MA0741.1.KLF16	chr9	21167780	21167790	+	0.000	0.000	Merged-chr9-21167831-1
NR31046--MA0039.3.KLF4	chr18	55161684	55161694	-	0.000	0.000	Merged-chr18-55161771-19
NR29077--MA1107.1.KLF9	chr17	57335020	57335032	-	0.000	0.000	Merged-chr17-57334984-16
NR18521--MA1107.1.KLF9	chr13	102284488	102284500	+	0.000	0.000	Merged-chr13-102284441-1
NR21388--MA1107.1.KLF9	chr14	103720524	103720536	-	0.000	0.000	Merged-chr14-103720334-1
NR16566--MA0493.1.Klf1	chr13	32971965	32971975	+	0.000	0.000	Merged-chr13-32971962-1
NR42209--MA0741.1.KLF16	chr3	109456515	109456525	-	0.000	0.000	Merged-chr3-109456576-4
NR16565--MA0039.3.KLF4	chr13	32971967	32971977	+	0.000	0.000	Merged-chr13-32971962-1
NR18517--MA1107.1.KLF9	chr13	102284456	102284468	+	0.000	0.000	Merged-chr13-102284441-1
NR36523--MA0039.3.KLF4	chr2	84784868	84784878	-	0.000	0.000	Merged-chr2-84784837-8
NR2952--MA0599.1.KLF5	chr1	157039112	157039121	-	0.000	0.000	Merged-chr1-157039058-34
NR45764--MA0741.1.KLF16	chr4	101235203	101235213	+	0.000	0.000	Merged-chr4-101235092-24
NR27531--MA0599.1.KLF5	chr17	25015824	25015833	-	0.000	0.000	Merged-chr17-25015631-3
NR32900--MA0599.1.KLF5	chr19	10305051	10305060	-	0.000	0.000	Merged-chr19-10304967-15
NR28916--MA0493.1.Klf1	chr17	56023591	56023601	-	0.000	0.000	Merged-chr17-56023630-14
NR35483--MA0039.3.KLF4	chr2	35690020	35690030	+	0.000	0.000	Merged-chr2-35690128-14
NR60816--MA0599.1.KLF5	chr7	116309670	116309679	-	0.000	0.000	Merged-chr7-116309698-6
NR24284--MA0599.1.KLF5	chr15	98907857	98907866	+	0.000	0.000	Merged-chr15-98907951-8
NR407--MA0599.1.KLF5	chr1	37469429	37469438	-	0.000	0.000	Merged-chr1-37469260-14
NR42204--MA0740.1.KLF14	chr3	109456513	109456526	-	0.000	0.000	Merged-chr3-109456576-4
NR31045--MA0599.1.KLF5	chr18	55161686	55161695	-	0.000	0.000	Merged-chr18-55161771-19
NR35039--MA0741.1.KLF16	chr2	28466358	28466368	-	0.000	0.000	Merged-chr2-28466275-30
NR45765--MA1107.1.KLF9	chr4	101235194	101235206	+	0.000	0.000	Merged-chr4-101235092-24
NR45760--MA0039.3.KLF4	chr4	101235196	101235206	+	0.000	0.000	Merged-chr4-101235092-24
NR13070--MA0599.1.KLF5	chr11	118266689	118266698	+	0.000	0.000	Merged-chr11-118266893-1
NR22220--MA1107.1.KLF9	chr15	34046425	34046437	+	0.000	0.000	Merged-chr15-34046584-10
NR55343--MA0039.3.KLF4	chr6	108512317	108512327	-	0.000	0.000	Merged-chr6-108512233-21
NR45756--MA0039.3.KLF4	chr4	101235174	101235184	+	0.000	0.000	Merged-chr4-101235092-24
NR33252--MA0599.1.KLF5	chr19	29347353	29347362	+	0.000	0.000	Merged-chr19-29347328-12
NR54711--MA0657.1.KLF13	chr6	85131908	85131925	+	0.000	0.000	Merged-chr6-85131905-22
NR52581--MA0599.1.KLF5	chr5	140659780	140659789	-	0.000	0.000	Merged-chr5-140659760-18
NR7005--MA0742.1.Klf12	chr10	81659616	81659630	-	0.000	0.000	Merged-chr10-81659727-10
NR16564--MA0599.1.KLF5	chr13	32971966	32971975	+	0.000	0.000	Merged-chr13-32971962-1
NR53877--MA0599.1.KLF5	chr6	39372820	39372829	+	0.000	0.000	Merged-chr6-39372871-18
NR44134--MA1107.1.KLF9	chr4	8913755	8913767	-	0.000	0.000	Merged-chr4-8913815-2
NR22216--MA1107.1.KLF9	chr15	34046417	34046429	+	0.000	0.000	Merged-chr15-34046584-10
NR17085--MA0493.1.Klf1	chr13	54174945	54174955	+	0.000	0.000	Merged-chr13-54174867-6
NR18510--MA1107.1.KLF9	chr13	102284434	102284446	+	0.000	0.000	Merged-chr13-102284441-1
NR45556--MA0493.1.Klf1	chr4	89393467	89393477	-	0.000	0.000	Merged-chr4-89393499-15
NR11235--MA1107.1.KLF9	chr11	86088698	86088710	-	0.000	0.000	Merged-chr11-86088575-8
NR18515--MA1107.1.KLF9	chr13	102284452	102284464	+	0.000	0.000	Merged-chr13-102284441-1
NR5184--MA1107.1.KLF9	chr10	19333703	19333715	+	0.000	0.000	Merged-chr10-19333654-15
NR16563--MA0742.1.Klf12	chr13	32971965	32971979	+	0.000	0.000	Merged-chr13-32971962-1
NR18524--MA1107.1.KLF9	chr13	102284494	102284506	+	0.000	0.000	Merged-chr13-102284441-1
NR51035--MA0493.1.Klf1	chr5	113994149	113994159	+	0.000	0.000	Merged-chr5-113994160-2
NR45775--MA0741.1.KLF16	chr4	101235227	101235237	+	0.000	0.000	Merged-chr4-101235092-24
NR9651--MA0039.3.KLF4	chr11	48926915	48926925	+	0.000	0.000	Merged-chr11-48927051-20
NR7007--MA0493.1.Klf1	chr10	81659620	81659630	-	0.000	0.000	Merged-chr10-81659727-10
NR7004--MA0740.1.KLF14	chr10	81659617	81659630	-	0.000	0.000	Merged-chr10-81659727-10
NR45737--MA0599.1.KLF5	chr4	101062311	101062320	-	0.000	0.000	Merged-chr4-101062472-1
NR41162--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR55342--MA0599.1.KLF5	chr6	108512319	108512328	-	0.000	0.000	Merged-chr6-108512233-21
NR41166--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR28948--MA0741.1.KLF16	chr17	56357746	56357756	+	0.000	0.000	Merged-chr17-56357646-33
NR62326--MA0741.1.KLF16	chr8	10439044	10439054	-	0.000	0.000	Merged-chr8-10438986-14
NR13027--MA1107.1.KLF9	chr11	117912793	117912805	+	0.000	0.000	Merged-chr11-117912912-16
NR50992--MA0741.1.KLF16	chr5	113873212	113873222	-	0.000	0.000	Merged-chr5-113873174-24
NR34093--MA0493.1.Klf1	chr19	56703305	56703315	+	0.000	0.000	Merged-chr19-56703417-11
NR70629--MA1107.1.KLF9	chrX	169973433	169973445	+	0.000	0.000	Merged-chrX-169973362-71
NR69065--MA0493.1.Klf1	chr9	118863770	118863780	-	0.000	0.000	Merged-chr9-118863800-9
NR409--MA1107.1.KLF9	chr1	37471650	37471662	+	0.000	0.000	Merged-chr1-37471561-5
NR22223--MA1107.1.KLF9	chr15	34046431	34046443	+	0.000	0.000	Merged-chr15-34046584-10
NR27453--MA1107.1.KLF9	chr17	24084756	24084768	+	0.000	0.000	Merged-chr17-24084802-20
NR55783--MA0741.1.KLF16	chr6	119451005	119451015	+	0.000	0.000	Merged-chr6-119451010-23
NR93--MA0493.1.Klf1	chr1	13599502	13599512	-	0.000	0.000	Merged-chr1-13599624-3
NR3727--MA0039.3.KLF4	chr1	177382971	177382981	+	0.000	0.000	Merged-chr1-177382915-26
NR32750--MA0740.1.KLF14	chr19	6869691	6869704	-	0.000	0.000	Merged-chr19-6869528-29
NR18522--MA1107.1.KLF9	chr13	102284490	102284502	+	0.000	0.000	Merged-chr13-102284441-1
NR39789--MA1107.1.KLF9	chr2	178494016	178494028	-	0.000	0.000	Merged-chr2-178494218-2
NR3996--MA0039.3.KLF4	chr1	182537332	182537342	+	0.000	0.000	Merged-chr1-182537225-11
NR41548--MA0039.3.KLF4	chr3	95681581	95681591	-	0.000	0.000	Merged-chr3-95681559-19
NR27449--MA0039.3.KLF4	chr17	24084758	24084768	+	0.000	0.000	Merged-chr17-24084802-20
NR18518--MA1107.1.KLF9	chr13	102284458	102284470	+	0.000	0.000	Merged-chr13-102284441-1
NR29772--MA0657.1.KLF13	chr17	83634500	83634517	+	0.000	0.000	Merged-chr17-83634380-4
NR11190--MA0599.1.KLF5	chr11	83558867	83558876	-	0.000	0.000	Merged-chr11-83558912-8
NR59528--MA0741.1.KLF16	chr7	75397646	75397656	+	0.000	0.000	Merged-chr7-75397713-20
NR7009--MA1107.1.KLF9	chr10	81659612	81659624	-	0.000	0.000	Merged-chr10-81659727-10
NR41164--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR10839--MA0493.1.Klf1	chr11	77000907	77000917	-	0.000	0.000	Merged-chr11-77000839-6
NR62325--MA0599.1.KLF5	chr8	10439045	10439054	-	0.000	0.000	Merged-chr8-10438986-14
NR3491--MA0741.1.KLF16	chr1	172357747	172357757	+	0.000	0.000	Merged-chr1-172357746-23
NR36430--MA0657.1.KLF13	chr2	78988454	78988471	+	0.000	0.000	Merged-chr2-78988349-6
NR70627--MA1107.1.KLF9	chrX	169973429	169973441	+	0.000	0.000	Merged-chrX-169973362-71
NR34095--MA1107.1.KLF9	chr19	56703305	56703317	+	0.000	0.000	Merged-chr19-56703417-11
NR94--MA0741.1.KLF16	chr1	13599499	13599509	-	0.000	0.000	Merged-chr1-13599624-3
NR45771--MA0493.1.Klf1	chr4	101235218	101235228	+	0.000	0.000	Merged-chr4-101235092-24
NR69067--MA1107.1.KLF9	chr9	118863768	118863780	-	0.000	0.000	Merged-chr9-118863800-9
NR31050--MA0493.1.Klf1	chr18	55161851	55161861	-	0.000	0.000	Merged-chr18-55161771-19
NR58918--MA0039.3.KLF4	chr7	45025110	45025120	+	0.000	0.000	Merged-chr7-45025072-11
NR22221--MA1107.1.KLF9	chr15	34046427	34046439	+	0.000	0.000	Merged-chr15-34046584-10
NR66569--MA0742.1.Klf12	chr9	57346479	57346493	-	0.000	0.000	Merged-chr9-57346292-13
