#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR10917--MA0089.1.MAFG::NFE2L1	chr7	30353511	30353516	+	0.000	0.000	Merged-chr7-30353555-8
NR7685--MA0495.2.MAFF	chr3	59062426	59062446	+	0.000	0.000	Merged-chr3-59062358-13
NR2263--MA0495.2.MAFF	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR10235--MA0089.1.MAFG::NFE2L1	chr6	86594870	86594875	-	0.000	0.000	Merged-chr6-86595040-14
NR2511--MA0089.1.MAFG::NFE2L1	chr11	116618357	116618362	+	0.000	0.000	Merged-chr11-116618312-2
NR11966--MA0089.1.MAFG::NFE2L1	chr8	111998831	111998836	-	0.000	0.000	Merged-chr8-111998914-9
NR1421--MA0591.1.Bach1::Mafk	chr10	75294168	75294182	+	0.000	0.000	Merged-chr10-75294298-11
NR8877--MA0501.1.MAF::NFE2	chr4	133688448	133688462	-	0.000	0.000	Merged-chr4-133688584-12
NR674--MA0117.2.Mafb	chr1	157039063	157039074	+	0.000	0.000	Merged-chr1-157039058-34
NR7600--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR9783--MA0591.1.Bach1::Mafk	chr5	137870853	137870867	+	0.000	0.000	Merged-chr5-137870793-17
NR7599--MA0501.1.MAF::NFE2	chr3	18623973	18623987	+	0.000	0.000	Merged-chr3-18624063-31
NR7597--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	+	0.000	0.000	Merged-chr3-18624063-31
NR2270--MA0496.2.MAFK	chr11	87074102	87074120	-	0.000	0.000	Merged-chr11-87073947-35
NR8666--MA0089.1.MAFG::NFE2L1	chr4	101234853	101234858	-	0.000	0.000	Merged-chr4-101235092-24
NR6282--MA0501.1.MAF::NFE2	chr19	40618010	40618024	-	0.000	0.000	Merged-chr19-40618053-6
NR11606--MA0591.1.Bach1::Mafk	chr8	10438984	10438998	+	0.000	0.000	Merged-chr8-10438986-14
NR7646--MA0089.1.MAFG::NFE2L1	chr3	35763896	35763901	-	0.000	0.000	Merged-chr3-35763987-7
NR2266--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	-	0.000	0.000	Merged-chr11-87073947-35
NR6280--MA0659.1.MAFG	chr19	40618010	40618030	+	0.000	0.000	Merged-chr19-40618053-6
NR7686--MA0495.2.MAFF	chr3	59062426	59062446	-	0.000	0.000	Merged-chr3-59062358-13
NR11045--MA0089.1.MAFG::NFE2L1	chr7	67407103	67407108	-	0.000	0.000	Merged-chr7-67407196-3
NR4308--MA0591.1.Bach1::Mafk	chr14	121313385	121313399	-	0.000	0.000	Merged-chr14-121313397-5
NR2264--MA0495.2.MAFF	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR6283--MA0496.2.MAFK	chr19	40618011	40618029	+	0.000	0.000	Merged-chr19-40618053-6
NR4376--MA0089.1.MAFG::NFE2L1	chr15	10583678	10583683	+	0.000	0.000	Merged-chr15-10583571-15
NR8884--MA0089.1.MAFG::NFE2L1	chr4	134547510	134547515	+	0.000	0.000	Merged-chr4-134547498-8
NR135--MA0089.1.MAFG::NFE2L1	chr1	54601409	54601414	+	0.000	0.000	Merged-chr1-54601410-5
NR2187--MA0501.1.MAF::NFE2	chr11	76770747	76770761	+	0.000	0.000	Merged-chr11-76770779-7
NR11967--MA0089.1.MAFG::NFE2L1	chr8	111998985	111998990	-	0.000	0.000	Merged-chr8-111998914-9
NR5379--MA0501.1.MAF::NFE2	chr17	26610555	26610569	+	0.000	0.000	Merged-chr17-26610479-9
NR1156--MA0117.2.Mafb	chr10	8114751	8114762	+	0.000	0.000	Merged-chr10-8114818-9
NR8878--MA0591.1.Bach1::Mafk	chr4	133804502	133804516	+	0.000	0.000	Merged-chr4-133804584-15
NR4417--MA0089.1.MAFG::NFE2L1	chr15	34046485	34046490	-	0.000	0.000	Merged-chr15-34046584-10
NR5776--MA0591.1.Bach1::Mafk	chr18	24054011	24054025	-	0.000	0.000	Merged-chr18-24054062-25
NR131--MA0591.1.Bach1::Mafk	chr1	52753955	52753969	-	0.000	0.000	Merged-chr1-52754097-20
NR9945--MA0591.1.Bach1::Mafk	chr6	10690804	10690818	-	0.000	0.000	Merged-chr6-10690708-20
NR5230--MA0117.2.Mafb	chr16	94648037	94648048	-	0.000	0.000	Merged-chr16-94648012-22
NR10074--MA0089.1.MAFG::NFE2L1	chr6	50427838	50427843	-	0.000	0.000	Merged-chr6-50427690-6
NR360--MA0117.2.Mafb	chr1	95605630	95605641	+	0.000	0.000	Merged-chr1-95605725-17
NR1347--MA0089.1.MAFG::NFE2L1	chr10	59636946	59636951	-	0.000	0.000	Merged-chr10-59636988-40
NR6281--MA0659.1.MAFG	chr19	40618010	40618030	-	0.000	0.000	Merged-chr19-40618053-6
NR5612--MA0117.2.Mafb	chr17	83483964	83483975	-	0.000	0.000	Merged-chr17-83484048-22
NR2267--MA0659.1.MAFG	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR1157--MA0496.2.MAFK	chr10	8114752	8114770	-	0.000	0.000	Merged-chr10-8114818-9
NR3426--MA0089.1.MAFG::NFE2L1	chr13	53010959	53010964	-	0.000	0.000	Merged-chr13-53010811-5
NR3022--MA0089.1.MAFG::NFE2L1	chr12	110706907	110706912	-	0.000	0.000	Merged-chr12-110706932-16
NR3026--MA0117.2.Mafb	chr12	111872271	111872282	+	0.000	0.000	Merged-chr12-111872189-9
NR7598--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	-	0.000	0.000	Merged-chr3-18624063-31
NR1363--MA0089.1.MAFG::NFE2L1	chr10	62186845	62186850	-	0.000	0.000	Merged-chr10-62187045-24
NR4311--MA0501.1.MAF::NFE2	chr14	121313552	121313566	-	0.000	0.000	Merged-chr14-121313397-5
NR6725--MA0089.1.MAFG::NFE2L1	chr2	53102208	53102213	-	0.000	0.000	Merged-chr2-53102302-39
NR6279--MA0591.1.Bach1::Mafk	chr19	40618013	40618027	-	0.000	0.000	Merged-chr19-40618053-6
NR11053--MA0089.1.MAFG::NFE2L1	chr7	72111021	72111026	+	0.000	0.000	Merged-chr7-72110898-16
NR6278--MA0495.2.MAFF	chr19	40618010	40618030	+	0.000	0.000	Merged-chr19-40618053-6
NR4309--MA0089.1.MAFG::NFE2L1	chr14	121313562	121313567	-	0.000	0.000	Merged-chr14-121313397-5
NR2188--MA0496.2.MAFK	chr11	76770742	76770760	+	0.000	0.000	Merged-chr11-76770779-7
NR4580--MA0089.1.MAFG::NFE2L1	chr15	66779052	66779057	-	0.000	0.000	Merged-chr15-66778898-35
