#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR553--MA0690.1.TBX21	chr13	52910434	52910443	+	0.000	0.000	Merged-chr13-52910365-17
NR199--MA0690.1.TBX21	chr10	19566028	19566037	-	0.000	0.000	Merged-chr10-19566068-15
NR327--MA0690.1.TBX21	chr11	32562199	32562208	+	0.000	0.000	Merged-chr11-32562092-2
NR1661--MA0690.1.TBX21	chr6	8427608	8427617	+	0.000	0.000	Merged-chr6-8427752-11
NR274--MA0690.1.TBX21	chr10	96115362	96115371	-	0.000	0.000	Merged-chr10-96115346-13
NR383--MA0690.1.TBX21	chr11	95000797	95000806	-	0.000	0.000	Merged-chr11-95001009-42
NR287--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR428--MA0690.1.TBX21	chr12	4065757	4065766	-	0.000	0.000	Merged-chr12-4065716-30
NR1762--MA0690.1.TBX21	chr6	129406197	129406206	-	0.000	0.000	Merged-chr6-129406250-15
NR123--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR2138--MA0690.1.TBX21	chrX	100476554	100476563	+	0.000	0.000	Merged-chrX-100476611-55
NR1741--MA0690.1.TBX21	chr6	114679326	114679335	+	0.000	0.000	Merged-chr6-114679499-19
NR659--MA0690.1.TBX21	chr14	54183295	54183304	+	0.000	0.000	Merged-chr14-54183191-18
NR1916--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR2085--MA0690.1.TBX21	chr9	99560742	99560751	-	0.000	0.000	Merged-chr9-99560579-23
NR768--MA0690.1.TBX21	chr15	76795485	76795494	-	0.000	0.000	Merged-chr15-76795426-7
NR1483--MA0690.1.TBX21	chr4	133906959	133906968	-	0.000	0.000	Merged-chr4-133907199-7
NR1340--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR638--MA0690.1.TBX21	chr14	25161887	25161896	-	0.000	0.000	Merged-chr14-25161984-35
NR1210--MA0690.1.TBX21	chr2	144483013	144483022	-	0.000	0.000	Merged-chr2-144483002-9
NR359--MA0690.1.TBX21	chr11	72175885	72175894	+	0.000	0.000	Merged-chr11-72176027-2
NR1202--MA0690.1.TBX21	chr2	128156861	128156870	-	0.000	0.000	Merged-chr2-128156895-3
NR1040--MA0690.1.TBX21	chr19	25079085	25079094	+	0.000	0.000	Merged-chr19-25079034-2
NR1834--MA0690.1.TBX21	chr7	81929171	81929180	+	0.000	0.000	Merged-chr7-81929164-20
NR1738--MA0690.1.TBX21	chr6	108780325	108780334	+	0.000	0.000	Merged-chr6-108780216-16
NR891--MA0690.1.TBX21	chr17	29606608	29606617	+	0.000	0.000	Merged-chr17-29606605-11
NR2048--MA0690.1.TBX21	chr9	69065838	69065847	-	0.000	0.000	Merged-chr9-69066025-13
NR2014--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR1760--MA0690.1.TBX21	chr6	128474307	128474316	+	0.000	0.000	Merged-chr6-128474299-11
NR1284--MA0690.1.TBX21	chr3	52706822	52706831	+	0.000	0.000	Merged-chr3-52706815-7
NR1141--MA0690.1.TBX21	chr2	69917455	69917464	+	0.000	0.000	Merged-chr2-69917342-25
NR902--MA0690.1.TBX21	chr17	35392590	35392599	-	0.000	0.000	Merged-chr17-35392677-25
NR610--MA0690.1.TBX21	chr13	107534126	107534135	-	0.000	0.000	Merged-chr13-107534013-23
NR1547--MA0690.1.TBX21	chr5	64477759	64477768	-	0.000	0.000	Merged-chr5-64477846-11
NR1404--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR2096--MA0690.1.TBX21	chr9	106771539	106771548	-	0.000	0.000	Merged-chr9-106771707-15
NR1513--MA0690.1.TBX21	chr4	153722026	153722035	-	0.000	0.000	Merged-chr4-153722130-1
NR1093--MA0690.1.TBX21	chr2	27730172	27730181	+	0.000	0.000	Merged-chr2-27730230-3
NR1635--MA0690.1.TBX21	chr5	141242427	141242436	-	0.000	0.000	Merged-chr5-141242605-1
NR1887--MA0690.1.TBX21	chr7	125050484	125050493	-	0.000	0.000	Merged-chr7-125050410-1
NR1016--MA0690.1.TBX21	chr18	89233891	89233900	-	0.000	0.000	Merged-chr18-89233824-45
NR14--MA0690.1.TBX21	chr1	37478579	37478588	+	0.000	0.000	Merged-chr1-37478552-128
NR1486--MA0690.1.TBX21	chr4	135290429	135290438	-	0.000	0.000	Merged-chr4-135290466-2
NR1452--MA0690.1.TBX21	chr4	102518197	102518206	-	0.000	0.000	Merged-chr4-102518116-29
NR942--MA0690.1.TBX21	chr17	83822102	83822111	-	0.000	0.000	Merged-chr17-83822053-5
NR684--MA0690.1.TBX21	chr14	78749304	78749313	+	0.000	0.000	Merged-chr14-78749515-13
NR955--MA0690.1.TBX21	chr18	24056740	24056749	+	0.000	0.000	Merged-chr18-24056645-8
NR1098--MA0690.1.TBX21	chr2	32166597	32166606	+	0.000	0.000	Merged-chr2-32166737-9
NR1160--MA0690.1.TBX21	chr2	84958027	84958036	-	0.000	0.000	Merged-chr2-84957968-5
NR716--MA0690.1.TBX21	chr15	12439467	12439476	+	0.000	0.000	Merged-chr15-12439548-12
NR1606--MA0690.1.TBX21	chr5	115313773	115313782	+	0.000	0.000	Merged-chr5-115313738-19
NR1173--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1715--MA0690.1.TBX21	chr6	72660174	72660183	+	0.000	0.000	Merged-chr6-72660096-30
NR140--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR1077--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR1457--MA0690.1.TBX21	chr4	107010405	107010414	-	0.000	0.000	Merged-chr4-107010336-9
NR804--MA0690.1.TBX21	chr16	8472120	8472129	-	0.000	0.000	Merged-chr16-8472129-3
NR1199--MA0690.1.TBX21	chr2	127304842	127304851	-	0.000	0.000	Merged-chr2-127304764-20
NR41--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR1056--MA0690.1.TBX21	chr19	53035493	53035502	+	0.000	0.000	Merged-chr19-53035588-13
NR88--MA0690.1.TBX21	chr1	143628973	143628982	+	0.000	0.000	Merged-chr1-143628948-7
NR1959--MA0690.1.TBX21	chr8	71286280	71286289	+	0.000	0.000	Merged-chr8-71286337-41
NR384--MA0690.1.TBX21	chr11	96560362	96560371	+	0.000	0.000	Merged-chr11-96560451-14
NR1274--MA0690.1.TBX21	chr3	28244397	28244406	-	0.000	0.000	Merged-chr3-28244555-21
NR493--MA0690.1.TBX21	chr12	111599145	111599154	+	0.000	0.000	Merged-chr12-111599080-10
NR1449--MA0690.1.TBX21	chr4	101192564	101192573	-	0.000	0.000	Merged-chr4-101192584-17
NR621--MA0690.1.TBX21	chr13	112211243	112211252	-	0.000	0.000	Merged-chr13-112211274-7
NR1035--MA0690.1.TBX21	chr19	12805931	12805940	-	0.000	0.000	Merged-chr19-12806193-62
NR1415--MA0690.1.TBX21	chr4	43172637	43172646	+	0.000	0.000	Merged-chr4-43172681-14
NR33--MA0690.1.TBX21	chr1	60875405	60875414	+	0.000	0.000	Merged-chr1-60875356-55
NR905--MA0690.1.TBX21	chr17	44557301	44557310	+	0.000	0.000	Merged-chr17-44557338-45
NR220--MA0690.1.TBX21	chr10	39815304	39815313	+	0.000	0.000	Merged-chr10-39815281-4
NR1014--MA0690.1.TBX21	chr18	89126543	89126552	+	0.000	0.000	Merged-chr18-89126622-17
NR756--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR342--MA0690.1.TBX21	chr11	54240273	54240282	+	0.000	0.000	Merged-chr11-54240142-13
NR59--MA0690.1.TBX21	chr1	97646913	97646922	-	0.000	0.000	Merged-chr1-97647073-3
NR451--MA0690.1.TBX21	chr12	35154403	35154412	+	0.000	0.000	Merged-chr12-35154438-11
NR1136--MA0690.1.TBX21	chr2	66149192	66149201	+	0.000	0.000	Merged-chr2-66149107-69
NR560--MA0690.1.TBX21	chr13	55694542	55694551	-	0.000	0.000	Merged-chr13-55694339-18
NR1245--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR987--MA0690.1.TBX21	chr18	74789819	74789828	+	0.000	0.000	Merged-chr18-74789604-25
NR844--MA0690.1.TBX21	chr16	58709216	58709225	+	0.000	0.000	Merged-chr16-58709115-34
NR477--MA0690.1.TBX21	chr12	85632521	85632530	+	0.000	0.000	Merged-chr12-85632486-20
NR334--MA0690.1.TBX21	chr11	51638314	51638323	+	0.000	0.000	Merged-chr11-51638186-26
NR1019--MA0690.1.TBX21	chr19	3731320	3731329	-	0.000	0.000	Merged-chr19-3731314-18
NR443--MA0690.1.TBX21	chr12	21476759	21476768	+	0.000	0.000	Merged-chr12-21476619-15
NR300--MA0690.1.TBX21	chr10	122726169	122726178	+	0.000	0.000	Merged-chr10-122726100-19
NR390--MA0690.1.TBX21	chr11	99125275	99125284	+	0.000	0.000	Merged-chr11-99125281-21
NR1075--MA0690.1.TBX21	chr2	4872916	4872925	+	0.000	0.000	Merged-chr2-4872960-25
NR313--MA0690.1.TBX21	chr11	5296735	5296744	+	0.000	0.000	Merged-chr11-5296760-21
NR422--MA0690.1.TBX21	chr11	116398136	116398145	-	0.000	0.000	Merged-chr11-116398180-34
NR1107--MA0690.1.TBX21	chr2	36220130	36220139	+	0.000	0.000	Merged-chr2-36220233-13
NR1088--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR1197--MA0690.1.TBX21	chr2	125867180	125867189	+	0.000	0.000	Merged-chr2-125867121-3
NR706--MA0690.1.TBX21	chr14	122391206	122391215	-	0.000	0.000	Merged-chr14-122391204-14
NR86--MA0690.1.TBX21	chr1	143466066	143466075	+	0.000	0.000	Merged-chr1-143466091-51
NR273--MA0690.1.TBX21	chr10	95910695	95910704	+	0.000	0.000	Merged-chr10-95910701-11
NR99--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR286--MA0690.1.TBX21	chr10	117095489	117095498	-	0.000	0.000	Merged-chr10-117095336-21
NR209--MA0690.1.TBX21	chr10	26228344	26228353	+	0.000	0.000	Merged-chr10-26228346-20
NR2092--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR2015--MA0690.1.TBX21	chr9	14185968	14185977	+	0.000	0.000	Merged-chr9-14185865-8
NR427--MA0690.1.TBX21	chr11	121039438	121039447	-	0.000	0.000	Merged-chr11-121039238-62
NR231--MA0690.1.TBX21	chr10	45027275	45027284	+	0.000	0.000	Merged-chr10-45027140-22
NR278--MA0690.1.TBX21	chr10	98848455	98848464	-	0.000	0.000	Merged-chr10-98848437-17
NR406--MA0690.1.TBX21	chr11	107394122	107394131	-	0.000	0.000	Merged-chr11-107394036-56
NR1740--MA0690.1.TBX21	chr6	114679268	114679277	+	0.000	0.000	Merged-chr6-114679499-19
NR1992--MA0690.1.TBX21	chr8	116645515	116645524	+	0.000	0.000	Merged-chr8-116645599-31
NR353--MA0690.1.TBX21	chr11	68502720	68502729	+	0.000	0.000	Merged-chr11-68502596-20
NR419--MA0690.1.TBX21	chr11	114571305	114571314	-	0.000	0.000	Merged-chr11-114571439-19
NR1610--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR2116--MA0690.1.TBX21	chr9	119101184	119101193	-	0.000	0.000	Merged-chr9-119101086-22
NR223--MA0690.1.TBX21	chr10	41687584	41687593	+	0.000	0.000	Merged-chr10-41687676-7
NR1583--MA0690.1.TBX21	chr5	97001772	97001781	+	0.000	0.000	Merged-chr5-97001719-9
NR629--MA0690.1.TBX21	chr13	115042888	115042897	-	0.000	0.000	Merged-chr13-115042812-10
NR1310--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR228--MA0690.1.TBX21	chr10	44368894	44368903	-	0.000	0.000	Merged-chr10-44368737-26
NR2068--MA0690.1.TBX21	chr9	85106487	85106496	+	0.000	0.000	Merged-chr9-85106465-10
NR337--MA0690.1.TBX21	chr11	52109669	52109678	+	0.000	0.000	Merged-chr11-52109659-16
NR1955--MA0690.1.TBX21	chr8	69119013	69119022	+	0.000	0.000	Merged-chr8-69119052-16
NR568--MA0690.1.TBX21	chr13	67378345	67378354	+	0.000	0.000	Merged-chr13-67378314-6
NR1411--MA0690.1.TBX21	chr4	33273583	33273592	+	0.000	0.000	Merged-chr4-33273596-7
NR1392--MA0690.1.TBX21	chr3	157803467	157803476	-	0.000	0.000	Merged-chr3-157803404-34
NR1990--MA0690.1.TBX21	chr8	115222257	115222266	+	0.000	0.000	Merged-chr8-115222208-2
NR1708--MA0690.1.TBX21	chr6	61270486	61270495	-	0.000	0.000	Merged-chr6-61270558-8
NR970--MA0690.1.TBX21	chr18	54839459	54839468	-	0.000	0.000	Merged-chr18-54839471-21
NR2095--MA0690.1.TBX21	chr9	106430930	106430939	-	0.000	0.000	Merged-chr9-106430870-17
NR1493--MA0690.1.TBX21	chr4	145230810	145230819	+	0.000	0.000	Merged-chr4-145230747-2
NR1764--MA0690.1.TBX21	chr6	130311915	130311924	+	0.000	0.000	Merged-chr6-130312055-26
NR1668--MA0690.1.TBX21	chr6	34497661	34497670	+	0.000	0.000	Merged-chr6-34497714-15
NR1092--MA0690.1.TBX21	chr2	26313059	26313068	+	0.000	0.000	Merged-chr2-26313010-11
NR1886--MA0690.1.TBX21	chr7	123397692	123397701	-	0.000	0.000	Merged-chr7-123397563-15
NR710--MA0690.1.TBX21	chr15	5762407	5762416	+	0.000	0.000	Merged-chr15-5762586-40
NR1852--MA0690.1.TBX21	chr7	97625734	97625743	-	0.000	0.000	Merged-chr7-97625910-13
NR1504--MA0690.1.TBX21	chr4	149871741	149871750	+	0.000	0.000	Merged-chr4-149871771-25
NR1485--MA0690.1.TBX21	chr4	134059954	134059963	+	0.000	0.000	Merged-chr4-134060052-8
NR1756--MA0690.1.TBX21	chr6	127303008	127303017	-	0.000	0.000	Merged-chr6-127302896-25
NR1626--MA0690.1.TBX21	chr5	134295767	134295776	-	0.000	0.000	Merged-chr5-134295794-17
NR1735--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR702--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR954--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR1844--MA0690.1.TBX21	chr7	92087899	92087908	-	0.000	0.000	Merged-chr7-92087702-17
NR1552--MA0690.1.TBX21	chr5	65934052	65934061	+	0.000	0.000	Merged-chr5-65933959-11
NR1204--MA0690.1.TBX21	chr2	132449072	132449081	-	0.000	0.000	Merged-chr2-132449088-2
NR1456--MA0690.1.TBX21	chr4	107010360	107010369	+	0.000	0.000	Merged-chr4-107010336-9
NR1979--MA0690.1.TBX21	chr8	104785784	104785793	+	0.000	0.000	Merged-chr8-104785669-6
NR1674--MA0690.1.TBX21	chr6	38669823	38669832	-	0.000	0.000	Merged-chr6-38669877-14
NR1260--MA0690.1.TBX21	chr2	178479257	178479266	+	0.000	0.000	Merged-chr2-178479240-1
NR87--MA0690.1.TBX21	chr1	143505196	143505205	-	0.000	0.000	Merged-chr1-143505261-1
NR925--MA0690.1.TBX21	chr17	65818002	65818011	-	0.000	0.000	Merged-chr17-65817855-23
NR1273--MA0690.1.TBX21	chr3	27322845	27322854	-	0.000	0.000	Merged-chr3-27322840-36
NR240--MA0690.1.TBX21	chr10	68147140	68147149	+	0.000	0.000	Merged-chr10-68147068-31
NR511--MA0690.1.TBX21	chr13	13559143	13559152	-	0.000	0.000	Merged-chr13-13559096-31
NR763--MA0690.1.TBX21	chr15	73545774	73545783	+	0.000	0.000	Merged-chr15-73545757-11
NR1828--MA0690.1.TBX21	chr7	73576508	73576517	-	0.000	0.000	Merged-chr7-73576506-24
NR776--MA0690.1.TBX21	chr15	79199893	79199902	-	0.000	0.000	Merged-chr15-79199937-2
NR32--MA0690.1.TBX21	chr1	60771894	60771903	-	0.000	0.000	Merged-chr1-60772057-13
NR1318--MA0690.1.TBX21	chr3	106967069	106967078	-	0.000	0.000	Merged-chr3-106967057-110
NR484--MA0690.1.TBX21	chr12	94083567	94083576	+	0.000	0.000	Merged-chr12-94083592-14
NR341--MA0690.1.TBX21	chr11	53839792	53839801	-	0.000	0.000	Merged-chr11-53839665-72
NR1026--MA0690.1.TBX21	chr19	8926826	8926835	+	0.000	0.000	Merged-chr19-8926872-10
NR1549--MA0690.1.TBX21	chr5	65737461	65737470	+	0.000	0.000	Merged-chr5-65737481-18
NR450--MA0690.1.TBX21	chr12	35123699	35123708	+	0.000	0.000	Merged-chr12-35123715-16
NR1658--MA0690.1.TBX21	chr6	3541167	3541176	+	0.000	0.000	Merged-chr6-3541149-9
NR830--MA0690.1.TBX21	chr16	49768771	49768780	+	0.000	0.000	Merged-chr16-49768771-12
NR625--MA0690.1.TBX21	chr13	112474466	112474475	+	0.000	0.000	Merged-chr13-112474497-27
NR211--MA0690.1.TBX21	chr10	28677793	28677802	+	0.000	0.000	Merged-chr10-28677765-32
NR1767--MA0690.1.TBX21	chr6	131276846	131276855	+	0.000	0.000	Merged-chr6-131276753-31
NR192--MA0690.1.TBX21	chr10	17566340	17566349	-	0.000	0.000	Merged-chr10-17566277-15
NR1148--MA0690.1.TBX21	chr2	75832953	75832962	+	0.000	0.000	Merged-chr2-75833051-1
NR1005--MA0690.1.TBX21	chr18	81422592	81422601	-	0.000	0.000	Merged-chr18-81422604-12
