#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR10306--MA0002.2.RUNX1	chr8	68212389	68212399	-	0.000	0.000	Merged-chr8-68212337-24
NR9357--MA0511.2.RUNX2	chr6	144910471	144910479	-	0.000	0.000	Merged-chr6-144910390-40
NR7011--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR9340--MA0684.1.RUNX3	chr6	142950588	142950597	-	0.000	0.000	Merged-chr6-142950474-44
NR10829--MA0002.2.RUNX1	chr9	56135736	56135746	-	0.000	0.000	Merged-chr9-56135710-8
NR210--MA0511.2.RUNX2	chr1	61402510	61402518	+	0.000	0.000	Merged-chr1-61402618-25
NR7578--MA0002.2.RUNX1	chr4	63018393	63018403	+	0.000	0.000	Merged-chr4-63018226-1,Merged-chr4-63018456-1
NR2907--MA0002.2.RUNX1	chr13	30682001	30682011	+	0.000	0.000	Merged-chr13-30682181-38
NR10687--MA0684.1.RUNX3	chr9	14172082	14172091	+	0.000	0.000	Merged-chr9-14171965-37
NR8656--MA0002.2.RUNX1	chr5	144294997	144295007	-	0.000	0.000	Merged-chr5-144295152-24
NR10938--MA0002.2.RUNX1	chr9	70080176	70080186	+	0.000	0.000	Merged-chr9-70080238-33
NR5136--MA0002.2.RUNX1	chr17	79817129	79817139	-	0.000	0.000	Merged-chr17-79817109-13
NR10796--MA0684.1.RUNX3	chr9	48562592	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR11129--MA0511.2.RUNX2	chr9	101249836	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR10253--MA0002.2.RUNX1	chr8	40963101	40963111	+	0.000	0.000	Merged-chr8-40963134-88
NR2997--MA0002.2.RUNX1	chr13	52083823	52083833	+	0.000	0.000	Merged-chr13-52083938-53
NR5807--MA0684.1.RUNX3	chr19	40300140	40300149	+	0.000	0.000	Merged-chr19-40300210-18
NR8642--MA0684.1.RUNX3	chr5	143077514	143077523	+	0.000	0.000	Merged-chr5-143077525-16
NR7895--MA0511.2.RUNX2	chr4	139242141	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR9227--MA0511.2.RUNX2	chr6	128771053	128771061	-	0.000	0.000	Merged-chr6-128771124-9
NR7177--MA0002.2.RUNX1	chr3	133079931	133079941	-	0.000	0.000	Merged-chr3-133079778-18
NR10907--MA0511.2.RUNX2	chr9	67813735	67813743	+	0.000	0.000	Merged-chr9-67813867-45
NR5149--MA0002.2.RUNX1	chr17	80772668	80772678	+	0.000	0.000	Merged-chr17-80772766-52
NR6780--MA0002.2.RUNX1	chr3	21996140	21996150	+	0.000	0.000	Merged-chr3-21996009-51
NR5105--MA0511.2.RUNX2	chr17	73810291	73810299	-	0.000	0.000	Merged-chr17-73810198-2
NR6846--MA0002.2.RUNX1	chr3	55419613	55419623	+	0.000	0.000	Merged-chr3-55419547-37
NR6975--MA0684.1.RUNX3	chr3	97055097	97055106	-	0.000	0.000	Merged-chr3-97055000-19
NR10123--MA0002.2.RUNX1	chr8	3205371	3205381	+	0.000	0.000	Merged-chr8-3205181-19
NR5357--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR10252--MA0684.1.RUNX3	chr8	40584804	40584813	+	0.000	0.000	Merged-chr8-40584789-43
NR8364--MA0002.2.RUNX1	chr5	103917326	103917336	-	0.000	0.000	Merged-chr5-103917325-19
NR10318--MA0684.1.RUNX3	chr8	70174663	70174672	-	0.000	0.000	Merged-chr8-70174484-11
NR10375--MA0002.2.RUNX1	chr8	82383382	82383392	-	0.000	0.000	Merged-chr8-82383447-3
NR6684--MA0002.2.RUNX1	chr2	174069772	174069782	+	0.000	0.000	Merged-chr2-174069813-20
NR10997--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR5466--MA0511.2.RUNX2	chr18	69209062	69209070	-	0.000	0.000	Merged-chr18-69209051-20
NR4804--MA0684.1.RUNX3	chr17	12513683	12513692	-	0.000	0.000	Merged-chr17-12513699-7
NR6607--MA0002.2.RUNX1	chr2	164356396	164356406	-	0.000	0.000	Merged-chr2-164356374-20
NR5052--MA0511.2.RUNX2	chr17	57131990	57131998	+	0.000	0.000	Merged-chr17-57131873-41
NR9184--MA0002.2.RUNX1	chr6	122837931	122837941	-	0.000	0.000	Merged-chr6-122837963-9
NR1536--MA0684.1.RUNX3	chr10	128991150	128991159	-	0.000	0.000	Merged-chr10-128991197-23
NR1960--MA0002.2.RUNX1	chr11	90488369	90488379	+	0.000	0.000	Merged-chr11-90488376-19
NR4351--MA0002.2.RUNX1	chr16	24527375	24527385	-	0.000	0.000	Merged-chr16-24527284-22
NR7679--MA0002.2.RUNX1	chr4	101349790	101349800	-	0.000	0.000	Merged-chr4-101349658-19
NR212--MA0002.2.RUNX1	chr1	61402510	61402520	-	0.000	0.000	Merged-chr1-61402618-25
NR292--MA0511.2.RUNX2	chr1	80418896	80418904	-	0.000	0.000	Merged-chr1-80418874-24
NR10374--MA0684.1.RUNX3	chr8	81572864	81572873	+	0.000	0.000	Merged-chr8-81572647-16
NR38--MA0002.2.RUNX1	chr1	20825285	20825295	-	0.000	0.000	Merged-chr1-20825313-33
NR5445--MA0511.2.RUNX2	chr18	66407905	66407913	+	0.000	0.000	Merged-chr18-66407896-2
NR4093--MA0002.2.RUNX1	chr15	84178915	84178925	-	0.000	0.000	Merged-chr15-84178956-9
NR2832--MA0684.1.RUNX3	chr13	13729841	13729850	-	0.000	0.000	Merged-chr13-13729900-19
NR9533--MA0511.2.RUNX2	chr7	39650867	39650875	+	0.000	0.000	Merged-chr7-39650740-5
NR10258--MA0002.2.RUNX1	chr8	41334317	41334327	+	0.000	0.000	Merged-chr8-41334366-24
NR6567--MA0002.2.RUNX1	chr2	157117136	157117146	+	0.000	0.000	Merged-chr2-157117239-5
NR10929--MA0684.1.RUNX3	chr9	69642879	69642888	+	0.000	0.000	Merged-chr9-69642979-4
NR4350--MA0684.1.RUNX3	chr16	24468007	24468016	-	0.000	0.000	Merged-chr16-24467843-15
NR1118--MA0511.2.RUNX2	chr10	59392124	59392132	+	0.000	0.000	Merged-chr10-59392092-23
NR8561--MA0002.2.RUNX1	chr5	134282794	134282804	+	0.000	0.000	Merged-chr5-134282688-60
NR10989--MA0511.2.RUNX2	chr9	79756092	79756100	+	0.000	0.000	Merged-chr9-79756214-5
NR7787--MA0684.1.RUNX3	chr4	122829547	122829556	+	0.000	0.000	Merged-chr4-122829434-12
NR2302--MA0002.2.RUNX1	chr12	24565554	24565564	-	0.000	0.000	Merged-chr12-24565518-17
NR8613--MA0684.1.RUNX3	chr5	139368218	139368227	+	0.000	0.000	Merged-chr5-139368071-16
NR8670--MA0002.2.RUNX1	chr5	147366586	147366596	-	0.000	0.000	Merged-chr5-147366476-45
NR4982--MA0684.1.RUNX3	chr17	45703419	45703428	+	0.000	0.000	Merged-chr17-45703436-19
NR37--MA0684.1.RUNX3	chr1	20740682	20740691	-	0.000	0.000	Merged-chr1-20740658-39
NR572--MA0684.1.RUNX3	chr1	151894203	151894212	+	0.000	0.000	Merged-chr1-151894159-30
NR8051--MA0002.2.RUNX1	chr5	8374630	8374640	+	0.000	0.000	Merged-chr5-8374526-17
NR1257--MA0684.1.RUNX3	chr10	83590840	83590849	-	0.000	0.000	Merged-chr10-83590901-21
NR4691--MA0002.2.RUNX1	chr16	92995402	92995412	+	0.000	0.000	Merged-chr16-92995449-20
NR4962--MA0002.2.RUNX1	chr17	43645417	43645427	-	0.000	0.000	Merged-chr17-43645396-23
NR5424--MA0511.2.RUNX2	chr18	65481405	65481413	-	0.000	0.000	Merged-chr18-65481395-37
NR4886--MA0684.1.RUNX3	chr17	27323199	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR1095--MA0684.1.RUNX3	chr10	44786536	44786545	-	0.000	0.000	Merged-chr10-44786456-11
NR599--MA0002.2.RUNX1	chr1	156107631	156107641	+	0.000	0.000	Merged-chr1-156107572-8
NR6751--MA0002.2.RUNX1	chr3	9968790	9968800	+	0.000	0.000	Merged-chr3-9968684-31
NR4595--MA0002.2.RUNX1	chr16	84620107	84620117	-	0.000	0.000	Merged-chr16-84619977-8
NR4200--MA0002.2.RUNX1	chr15	100301529	100301539	+	0.000	0.000	Merged-chr15-100301694-19
NR6403--MA0002.2.RUNX1	chr2	128087932	128087942	+	0.000	0.000	Merged-chr2-128088091-23
NR9608--MA0684.1.RUNX3	chr7	58392982	58392991	-	0.000	0.000	Merged-chr7-58392737-68
NR3850--MA0002.2.RUNX1	chr15	33083258	33083268	+	0.000	0.000	Merged-chr15-33083437-82
NR6241--MA0002.2.RUNX1	chr2	84582457	84582467	+	0.000	0.000	Merged-chr2-84582461-28
NR4290--MA0002.2.RUNX1	chr16	14355058	14355068	-	0.000	0.000	Merged-chr16-14355199-2
NR3486--MA0511.2.RUNX2	chr14	60072651	60072659	+	0.000	0.000	Merged-chr14-60072713-24
NR11301--MA0684.1.RUNX3	chr9	120116423	120116432	+	0.000	0.000	Merged-chr9-120116499-4
NR10998--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR6416--MA0002.2.RUNX1	chr2	128544656	128544666	-	0.000	0.000	Merged-chr2-128544786-45
NR2662--MA0684.1.RUNX3	chr12	110332811	110332820	+	0.000	0.000	Merged-chr12-110332893-21
NR7256--MA0684.1.RUNX3	chr3	142892308	142892317	+	0.000	0.000	Merged-chr3-142892335-19
NR677--MA0511.2.RUNX2	chr1	165985849	165985857	+	0.000	0.000	Merged-chr1-165985990-54
NR7379--MA0002.2.RUNX1	chr4	3953442	3953452	+	0.000	0.000	Merged-chr4-3953338-2
NR2166--MA0002.2.RUNX1	chr11	113536904	113536914	+	0.000	0.000	Merged-chr11-113536889-33
NR10759--MA0684.1.RUNX3	chr9	42022493	42022502	+	0.000	0.000	Merged-chr9-42022537-24
NR6210--MA0511.2.RUNX2	chr2	76567405	76567413	+	0.000	0.000	Merged-chr2-76567320-34
NR2023--MA0002.2.RUNX1	chr11	101199655	101199665	-	0.000	0.000	Merged-chr11-101199720-6
NR2689--MA0002.2.RUNX1	chr12	112720127	112720137	+	0.000	0.000	Merged-chr12-112720162-15
NR11437--MA0002.2.RUNX1	chrX	93617323	93617333	-	0.000	0.000	Merged-chrX-93617420-5
NR8810--MA0684.1.RUNX3	chr6	38581835	38581844	-	0.000	0.000	Merged-chr6-38581914-20
NR9168--MA0002.2.RUNX1	chr6	120957517	120957527	+	0.000	0.000	Merged-chr6-120957473-22
NR643--MA0511.2.RUNX2	chr1	163374770	163374778	-	0.000	0.000	Merged-chr1-163374764-34
NR89--MA0511.2.RUNX2	chr1	39205208	39205216	-	0.000	0.000	Merged-chr1-39205202-13
NR5145--MA0511.2.RUNX2	chr17	80762566	80762574	-	0.000	0.000	Merged-chr17-80762560-27
NR3194--MA0511.2.RUNX2	chr13	98924159	98924167	+	0.000	0.000	Merged-chr13-98924179-4
NR1944--MA0002.2.RUNX1	chr11	87679057	87679067	+	0.000	0.000	Merged-chr11-87679109-12
NR2803--MA0684.1.RUNX3	chr13	5757410	5757419	+	0.000	0.000	Merged-chr13-5757363-53
NR2764--MA0002.2.RUNX1	chr12	117348669	117348679	-	0.000	0.000	Merged-chr12-117348724-32
NR2101--MA0511.2.RUNX2	chr11	107668373	107668381	-	0.000	0.000	Merged-chr11-107668374-46
NR4077--MA0002.2.RUNX1	chr15	80611652	80611662	+	0.000	0.000	Merged-chr15-80611666-31
NR8641--MA0002.2.RUNX1	chr5	143077514	143077524	-	0.000	0.000	Merged-chr5-143077525-16
NR10132--MA0511.2.RUNX2	chr8	8695504	8695512	-	0.000	0.000	Merged-chr8-8695569-9
NR5459--MA0684.1.RUNX3	chr18	68227789	68227798	-	0.000	0.000	Merged-chr18-68227583-82
NR11002--MA0002.2.RUNX1	chr9	80820301	80820311	-	0.000	0.000	Merged-chr9-80820177-30
NR8770--MA0684.1.RUNX3	chr6	24894869	24894878	+	0.000	0.000	Merged-chr6-24894743-37
NR2525--MA0002.2.RUNX1	chr12	89479238	89479248	+	0.000	0.000	Merged-chr12-89479308-33
NR11131--MA0684.1.RUNX3	chr9	101249835	101249844	-	0.000	0.000	Merged-chr9-101249791-43
NR622--MA0511.2.RUNX2	chr1	160268535	160268543	+	0.000	0.000	Merged-chr1-160268500-8
NR5045--MA0684.1.RUNX3	chr17	56443647	56443656	+	0.000	0.000	Merged-chr17-56443573-18
NR6594--MA0002.2.RUNX1	chr2	161533637	161533647	+	0.000	0.000	Merged-chr2-161533638-1
NR5568--MA0684.1.RUNX3	chr18	84302688	84302697	+	0.000	0.000	Merged-chr18-84302803-33
NR10307--MA0511.2.RUNX2	chr8	68218507	68218515	-	0.000	0.000	Merged-chr8-68218689-19
NR447--MA0684.1.RUNX3	chr1	127732967	127732976	-	0.000	0.000	Merged-chr1-127732945-24
NR11191--MA0511.2.RUNX2	chr9	113924517	113924525	+	0.000	0.000	Merged-chr9-113924509-5
NR8802--MA0684.1.RUNX3	chr6	34364971	34364980	+	0.000	0.000	Merged-chr6-34364838-25
NR1761--MA0002.2.RUNX1	chr11	58290456	58290466	+	0.000	0.000	Merged-chr11-58290425-28
NR6769--MA0002.2.RUNX1	chr3	21884637	21884647	-	0.000	0.000	Merged-chr3-21884458-21
NR4152--MA0002.2.RUNX1	chr15	95838563	95838573	+	0.000	0.000	Merged-chr15-95838556-4
NR11015--MA0002.2.RUNX1	chr9	84031079	84031089	-	0.000	0.000	Merged-chr9-84030961-27
NR8511--MA0002.2.RUNX1	chr5	121796150	121796160	+	0.000	0.000	Merged-chr5-121796162-9
NR9017--MA0002.2.RUNX1	chr6	87437077	87437087	-	0.000	0.000	Merged-chr6-87436992-13
NR4946--MA0002.2.RUNX1	chr17	35295972	35295982	+	0.000	0.000	Merged-chr17-35295854-5
NR6755--MA0684.1.RUNX3	chr3	10151850	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR3821--MA0002.2.RUNX1	chr15	12924016	12924026	+	0.000	0.000	Merged-chr15-12923985-15
NR6007--MA0002.2.RUNX1	chr2	21223168	21223178	+	0.000	0.000	Merged-chr2-21222970-39
NR11124--MA0002.2.RUNX1	chr9	99240847	99240857	-	0.000	0.000	Merged-chr9-99240754-7
NR8415--MA0002.2.RUNX1	chr5	110390480	110390490	-	0.000	0.000	Merged-chr5-110390618-8
NR4185--MA0684.1.RUNX3	chr15	99065733	99065742	-	0.000	0.000	Merged-chr15-99065640-20
NR6259--MA0002.2.RUNX1	chr2	90625190	90625200	+	0.000	0.000	Merged-chr2-90625139-7
NR8100--MA0511.2.RUNX2	chr5	22740148	22740156	+	0.000	0.000	Merged-chr5-22740212-9
NR4579--MA0002.2.RUNX1	chr16	77038208	77038218	+	0.000	0.000	Merged-chr16-77038211-5
NR8938--MA0002.2.RUNX1	chr6	67184969	67184979	-	0.000	0.000	Merged-chr6-67184785-39
NR6987--MA0002.2.RUNX1	chr3	100816885	100816895	+	0.000	0.000	Merged-chr3-100816909-1
NR11504--MA0002.2.RUNX1	chrX	160496720	160496730	-	0.000	0.000	Merged-chrX-160496581-5
NR774--MA0684.1.RUNX3	chr1	180398588	180398597	-	0.000	0.000	Merged-chr1-180398476-24
NR6973--MA0684.1.RUNX3	chr3	96936673	96936682	-	0.000	0.000	Merged-chr3-96936595-28
NR8732--MA0511.2.RUNX2	chr6	5997677	5997685	+	0.000	0.000	Merged-chr6-5997718-16
NR5007--MA0511.2.RUNX2	chr17	48419794	48419802	-	0.000	0.000	Merged-chr17-48419677-1
NR3820--MA0684.1.RUNX3	chr15	12606557	12606566	+	0.000	0.000	Merged-chr15-12606518-21
NR10376--MA0511.2.RUNX2	chr8	82383462	82383470	+	0.000	0.000	Merged-chr8-82383447-3
NR4405--MA0511.2.RUNX2	chr16	35741829	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR8266--MA0002.2.RUNX1	chr5	77096146	77096156	+	0.000	0.000	Merged-chr5-77096159-4
NR9692--MA0002.2.RUNX1	chr7	78693141	78693151	-	0.000	0.000	Merged-chr7-78693122-18
NR4306--MA0002.2.RUNX1	chr16	17695009	17695019	+	0.000	0.000	Merged-chr16-17695007-34
NR8871--MA0684.1.RUNX3	chr6	50009528	50009537	-	0.000	0.000	Merged-chr6-50009459-48
NR168--MA0684.1.RUNX3	chr1	54421901	54421910	+	0.000	0.000	Merged-chr1-54421982-33
NR4766--MA0511.2.RUNX2	chr17	6154602	6154610	-	0.000	0.000	Merged-chr17-6154576-19
NR6347--MA0002.2.RUNX1	chr2	117399617	117399627	-	0.000	0.000	Merged-chr2-117399695-40
NR4623--MA0511.2.RUNX2	chr16	89817051	89817059	+	0.000	0.000	Merged-chr16-89817047-30
NR7901--MA0002.2.RUNX1	chr4	140867636	140867646	-	0.000	0.000	Merged-chr4-140867435-11
NR8679--MA0684.1.RUNX3	chr5	148267027	148267036	-	0.000	0.000	Merged-chr5-148266957-7
NR928--MA0684.1.RUNX3	chr10	9856012	9856021	+	0.000	0.000	Merged-chr10-9856019-18
NR114--MA0002.2.RUNX1	chr1	40585667	40585677	+	0.000	0.000	Merged-chr1-40585603-1
NR4461--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR6313--MA0002.2.RUNX1	chr2	107006053	107006063	+	0.000	0.000	Merged-chr2-107005967-12
NR1100--MA0002.2.RUNX1	chr10	53461315	53461325	-	0.000	0.000	Merged-chr10-53461441-37
NR766--MA0684.1.RUNX3	chr1	179493151	179493160	+	0.000	0.000	Merged-chr1-179493163-27
NR8354--MA0002.2.RUNX1	chr5	102960141	102960151	-	0.000	0.000	Merged-chr5-102960204-17
NR8483--MA0684.1.RUNX3	chr5	115693470	115693479	+	0.000	0.000	Merged-chr5-115693567-32
NR4252--MA0684.1.RUNX3	chr16	10806273	10806282	-	0.000	0.000	Merged-chr16-10806280-14
NR335--MA0511.2.RUNX2	chr1	87637247	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR11172--MA0002.2.RUNX1	chr9	110594066	110594076	+	0.000	0.000	Merged-chr9-110594121-11
NR4602--MA0511.2.RUNX2	chr16	84995833	84995841	+	0.000	0.000	Merged-chr16-84995665-26
NR5201--MA0002.2.RUNX1	chr17	86872889	86872899	+	0.000	0.000	Merged-chr17-86872864-48
NR6849--MA0002.2.RUNX1	chr3	58581721	58581731	+	0.000	0.000	Merged-chr3-58581767-20
NR4898--MA0002.2.RUNX1	chr17	29155805	29155815	+	0.000	0.000	Merged-chr17-29155963-15
