#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR468--MA0508.2.PRDM1	chr12	71979071	71979080	+	0.000	0.000	Merged-chr12-71979054-1
NR1868--MA0508.2.PRDM1	chr7	48795341	48795350	+	0.000	0.000	Merged-chr7-48795353-37
NR1834--MA0508.2.PRDM1	chr6	147672795	147672804	+	0.000	0.000	Merged-chr6-147672675-1
NR1781--MA0508.2.PRDM1	chr6	129049201	129049210	+	0.000	0.000	Merged-chr6-129049251-27
NR189--MA0508.2.PRDM1	chr1	193146655	193146664	-	0.000	0.000	Merged-chr1-193146532-29
NR1446--MA0508.2.PRDM1	chr4	48012445	48012454	+	0.000	0.000	Merged-chr4-48012358-52
NR1393--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR902--MA0508.2.PRDM1	chr17	5747919	5747928	+	0.000	0.000	Merged-chr17-5748141-46
NR1839--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR1154--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR1011--MA0508.2.PRDM1	chr18	60375874	60375883	+	0.000	0.000	Merged-chr18-60375896-42
NR1709--MA0508.2.PRDM1	chr6	61263634	61263643	+	0.000	0.000	Merged-chr6-61263601-18
NR862--MA0508.2.PRDM1	chr16	44735854	44735863	-	0.000	0.000	Merged-chr16-44735956-40
NR1385--MA0508.2.PRDM1	chr3	136905485	136905494	-	0.000	0.000	Merged-chr3-136905694-23
NR1080--MA0508.2.PRDM1	chr19	30924247	30924256	-	0.000	0.000	Merged-chr19-30924347-34
NR984--MA0508.2.PRDM1	chr18	12305534	12305543	-	0.000	0.000	Merged-chr18-12305591-61
NR1003--MA0508.2.PRDM1	chr18	41979577	41979586	-	0.000	0.000	Merged-chr18-41979653-39
NR841--MA0508.2.PRDM1	chr16	24527382	24527391	+	0.000	0.000	Merged-chr16-24527284-22
NR1016--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR692--MA0508.2.PRDM1	chr14	36932209	36932218	+	0.000	0.000	Merged-chr14-36932132-23
NR1614--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR1723--MA0508.2.PRDM1	chr6	82775583	82775592	+	0.000	0.000	Merged-chr6-82775550-35
NR70--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR1356--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR1465--MA0508.2.PRDM1	chr4	63853965	63853974	+	0.000	0.000	Merged-chr4-63853989-30
NR432--MA0508.2.PRDM1	chr11	113009617	113009626	+	0.000	0.000	Merged-chr11-113009621-13
NR1988--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR83--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR955--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR793--MA0508.2.PRDM1	chr15	73629824	73629833	-	0.000	0.000	Merged-chr15-73629813-13
NR1858--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR19--MA0508.2.PRDM1	chr1	40847760	40847769	+	0.000	0.000	Merged-chr1-40847809-27
NR1239--MA0508.2.PRDM1	chr2	146606417	146606426	+	0.000	0.000	Merged-chr2-146606447-27
NR411--MA0508.2.PRDM1	chr11	99117046	99117055	-	0.000	0.000	Merged-chr11-99116882-2
NR1186--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR1295--MA0508.2.PRDM1	chr3	35721792	35721801	+	0.000	0.000	Merged-chr3-35722000-30
NR1566--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR894--MA0508.2.PRDM1	chr16	93839202	93839211	+	0.000	0.000	Merged-chr16-93839317-9
NR1579--MA0508.2.PRDM1	chr5	62610141	62610150	+	0.000	0.000	Merged-chr5-62610074-16
NR751--MA0508.2.PRDM1	chr14	118658125	118658134	-	0.000	0.000	Merged-chr14-118658326-68
NR1069--MA0508.2.PRDM1	chr19	16956031	16956040	+	0.000	0.000	Merged-chr19-16955982-11
NR350--MA0508.2.PRDM1	chr11	26586812	26586821	+	0.000	0.000	Merged-chr11-26586855-34
NR1287--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR730--MA0508.2.PRDM1	chr14	75527432	75527441	-	0.000	0.000	Merged-chr14-75527299-19
NR1144--MA0508.2.PRDM1	chr2	29666852	29666861	+	0.000	0.000	Merged-chr2-29666836-9
NR1789--MA0508.2.PRDM1	chr6	134282187	134282196	-	0.000	0.000	Merged-chr6-134282243-30
NR756--MA0508.2.PRDM1	chr15	6129909	6129918	+	0.000	0.000	Merged-chr15-6129923-16
NR974--MA0508.2.PRDM1	chr17	88379600	88379609	+	0.000	0.000	Merged-chr17-88379493-23
NR769--MA0508.2.PRDM1	chr15	35650285	35650294	+	0.000	0.000	Merged-chr15-35650166-9
NR1388--MA0508.2.PRDM1	chr3	138424329	138424338	-	0.000	0.000	Merged-chr3-138424188-63
NR212--MA0508.2.PRDM1	chr10	21354033	21354042	+	0.000	0.000	Merged-chr10-21353968-32
NR2052--MA0508.2.PRDM1	chr9	5705802	5705811	+	0.000	0.000	Merged-chr9-5705685-2
NR464--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR987--MA0508.2.PRDM1	chr18	13787153	13787162	+	0.000	0.000	Merged-chr18-13787099-71
NR844--MA0508.2.PRDM1	chr16	25250333	25250342	+	0.000	0.000	Merged-chr16-25250353-21
NR1258--MA0508.2.PRDM1	chr2	158116294	158116303	-	0.000	0.000	Merged-chr2-158116356-6
NR1367--MA0508.2.PRDM1	chr3	121495151	121495160	-	0.000	0.000	Merged-chr3-121495033-1
NR586--MA0508.2.PRDM1	chr13	51391728	51391737	-	0.000	0.000	Merged-chr13-51391583-19
NR714--MA0508.2.PRDM1	chr14	64368439	64368448	-	0.000	0.000	Merged-chr14-64368474-8
NR300--MA0508.2.PRDM1	chr10	111369261	111369270	-	0.000	0.000	Merged-chr10-111369263-16
NR2010--MA0508.2.PRDM1	chr8	86686689	86686698	-	0.000	0.000	Merged-chr8-86686852-24
NR578--MA0508.2.PRDM1	chr13	36369657	36369666	+	0.000	0.000	Merged-chr13-36369600-5
NR2132--MA0508.2.PRDM1	chr9	96652902	96652911	+	0.000	0.000	Merged-chr9-96652845-6
NR557--MA0508.2.PRDM1	chr13	16642439	16642448	+	0.000	0.000	Merged-chr13-16642164-24
NR937--MA0508.2.PRDM1	chr17	42887628	42887637	-	0.000	0.000	Merged-chr17-42887503-23
NR6--MA0508.2.PRDM1	chr1	20259210	20259219	-	0.000	0.000	Merged-chr1-20259129-7
NR2092--MA0508.2.PRDM1	chr9	61187255	61187264	+	0.000	0.000	Merged-chr9-61187199-16
NR427--MA0508.2.PRDM1	chr11	109166626	109166635	-	0.000	0.000	Merged-chr11-109166641-10
NR122--MA0508.2.PRDM1	chr1	162094529	162094538	-	0.000	0.000	Merged-chr1-162094499-16
NR897--MA0508.2.PRDM1	chr16	94414378	94414387	+	0.000	0.000	Merged-chr16-94414336-19
NR353--MA0508.2.PRDM1	chr11	32271459	32271468	-	0.000	0.000	Merged-chr11-32271419-2
NR1862--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR475--MA0508.2.PRDM1	chr12	79581852	79581861	+	0.000	0.000	Merged-chr12-79581763-13
NR998--MA0508.2.PRDM1	chr18	38584875	38584884	+	0.000	0.000	Merged-chr18-38584729-14
NR1461--MA0508.2.PRDM1	chr4	59933292	59933301	-	0.000	0.000	Merged-chr4-59933078-31
NR2076--MA0508.2.PRDM1	chr9	42022501	42022510	+	0.000	0.000	Merged-chr9-42022537-24
NR345--MA0508.2.PRDM1	chr11	22824111	22824120	+	0.000	0.000	Merged-chr11-22824173-55
NR1602--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR119--MA0508.2.PRDM1	chr1	161671161	161671170	-	0.000	0.000	Merged-chr1-161671075-50
NR2164--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR228--MA0508.2.PRDM1	chr10	43783360	43783369	-	0.000	0.000	Merged-chr10-43783399-14
NR1671--MA0508.2.PRDM1	chr5	149203209	149203218	-	0.000	0.000	Merged-chr5-149203183-18
NR1780--MA0508.2.PRDM1	chr6	128771217	128771226	-	0.000	0.000	Merged-chr6-128771124-9
NR1703--MA0508.2.PRDM1	chr6	54224565	54224574	-	0.000	0.000	Merged-chr6-54224603-8
NR207--MA0508.2.PRDM1	chr10	19406223	19406232	+	0.000	0.000	Merged-chr10-19406285-14
NR1812--MA0508.2.PRDM1	chr6	142950600	142950609	-	0.000	0.000	Merged-chr6-142950474-44
NR459--MA0508.2.PRDM1	chr12	52830983	52830992	-	0.000	0.000	Merged-chr12-52830906-26
NR1424--MA0508.2.PRDM1	chr4	6970510	6970519	-	0.000	0.000	Merged-chr4-6970666-38
NR2148--MA0508.2.PRDM1	chr9	114948421	114948430	-	0.000	0.000	Merged-chr9-114948583-24
NR146--MA0508.2.PRDM1	chr1	176996870	176996879	+	0.000	0.000	Merged-chr1-176997002-19
NR1860--MA0508.2.PRDM1	chr7	39650923	39650932	+	0.000	0.000	Merged-chr7-39650740-5
NR1350--MA0508.2.PRDM1	chr3	105133336	105133345	+	0.000	0.000	Merged-chr3-105133189-20
NR1982--MA0508.2.PRDM1	chr8	31187350	31187359	-	0.000	0.000	Merged-chr8-31187403-16
NR1600--MA0508.2.PRDM1	chr5	91278632	91278641	-	0.000	0.000	Merged-chr5-91278708-28
NR1690--MA0508.2.PRDM1	chr6	31495965	31495974	-	0.000	0.000	Merged-chr6-31495906-2
NR1180--MA0508.2.PRDM1	chr2	79698303	79698312	+	0.000	0.000	Merged-chr2-79698404-21
NR1722--MA0508.2.PRDM1	chr6	82402619	82402628	+	0.000	0.000	Merged-chr6-82402722-33
NR1246--MA0508.2.PRDM1	chr2	150578693	150578702	+	0.000	0.000	Merged-chr2-150578789-44
NR941--MA0508.2.PRDM1	chr17	45703412	45703421	+	0.000	0.000	Merged-chr17-45703436-19
NR1560--MA0508.2.PRDM1	chr5	21370728	21370737	+	0.000	0.000	Merged-chr5-21370599-51
NR792--MA0508.2.PRDM1	chr15	72859553	72859562	+	0.000	0.000	Merged-chr15-72859470-25
NR1823--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2058--MA0508.2.PRDM1	chr9	14995770	14995779	-	0.000	0.000	Merged-chr9-14995745-32
NR1836--MA0508.2.PRDM1	chr6	148436576	148436585	-	0.000	0.000	Merged-chr6-148436541-68
NR1945--MA0508.2.PRDM1	chr7	125511482	125511491	-	0.000	0.000	Merged-chr7-125511628-40
NR1260--MA0508.2.PRDM1	chr2	158160064	158160073	+	0.000	0.000	Merged-chr2-158160127-37
NR87--MA0508.2.PRDM1	chr1	136898369	136898378	-	0.000	0.000	Merged-chr1-136898317-25
NR53--MA0508.2.PRDM1	chr1	87406295	87406304	-	0.000	0.000	Merged-chr1-87406303-16
NR1796--MA0508.2.PRDM1	chr6	136683929	136683938	+	0.000	0.000	Merged-chr6-136683885-26
NR66--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR1286--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR1828--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1414--MA0508.2.PRDM1	chr3	153260755	153260764	+	0.000	0.000	Merged-chr3-153260790-34
NR1299--MA0508.2.PRDM1	chr3	37272776	37272785	+	0.000	0.000	Merged-chr3-37272616-19
NR1156--MA0508.2.PRDM1	chr2	51148577	51148586	+	0.000	0.000	Merged-chr2-51148397-1
NR1788--MA0508.2.PRDM1	chr6	134276996	134277005	-	0.000	0.000	Merged-chr6-134277112-6
NR1387--MA0508.2.PRDM1	chr3	137879433	137879442	+	0.000	0.000	Merged-chr3-137879521-3
NR1148--MA0508.2.PRDM1	chr2	32773058	32773067	+	0.000	0.000	Merged-chr2-32772920-32
NR1257--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR700--MA0508.2.PRDM1	chr14	51386101	51386110	+	0.000	0.000	Merged-chr14-51385941-36
NR1366--MA0508.2.PRDM1	chr3	121201280	121201289	-	0.000	0.000	Merged-chr3-121201249-12
NR1223--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR93--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR551--MA0508.2.PRDM1	chr13	9430075	9430084	+	0.000	0.000	Merged-chr13-9430179-63
NR869--MA0508.2.PRDM1	chr16	52038468	52038477	-	0.000	0.000	Merged-chr16-52038491-49
NR2152--MA0508.2.PRDM1	chr9	116091608	116091617	+	0.000	0.000	Merged-chr9-116091467-52
NR29--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR577--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR686--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR957--MA0508.2.PRDM1	chr17	70729085	70729094	+	0.000	0.000	Merged-chr17-70729015-28
NR543--MA0508.2.PRDM1	chr13	3360931	3360940	+	0.000	0.000	Merged-chr13-3361067-38
NR814--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR795--MA0508.2.PRDM1	chr15	74667720	74667729	+	0.000	0.000	Merged-chr15-74667710-27
NR652--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR447--MA0508.2.PRDM1	chr12	17507439	17507448	-	0.000	0.000	Merged-chr12-17507357-35
NR761--MA0508.2.PRDM1	chr15	25227789	25227798	-	0.000	0.000	Merged-chr15-25227857-36
NR1175--MA0508.2.PRDM1	chr2	75148070	75148079	-	0.000	0.000	Merged-chr2-75148078-33
NR2091--MA0508.2.PRDM1	chr9	61187148	61187157	-	0.000	0.000	Merged-chr9-61187199-16
NR569--MA0508.2.PRDM1	chr13	29756250	29756259	-	0.000	0.000	Merged-chr13-29756237-14
NR155--MA0508.2.PRDM1	chr1	181157230	181157239	+	0.000	0.000	Merged-chr1-181157308-13
NR1297--MA0508.2.PRDM1	chr3	37183385	37183394	+	0.000	0.000	Merged-chr3-37183520-10
NR896--MA0508.2.PRDM1	chr16	94414372	94414381	+	0.000	0.000	Merged-chr16-94414336-19
NR548--MA0508.2.PRDM1	chr13	4110816	4110825	-	0.000	0.000	Merged-chr13-4110676-26
NR591--MA0508.2.PRDM1	chr13	55199709	55199718	-	0.000	0.000	Merged-chr13-55199787-10
NR386--MA0508.2.PRDM1	chr11	77372330	77372339	+	0.000	0.000	Merged-chr11-77372347-7
NR147--MA0508.2.PRDM1	chr1	177338777	177338786	+	0.000	0.000	Merged-chr1-177338915-41
NR1289--MA0508.2.PRDM1	chr3	21939946	21939955	+	0.000	0.000	Merged-chr3-21939939-4
NR1861--MA0508.2.PRDM1	chr7	42980381	42980390	-	0.000	0.000	Merged-chr7-42980472-32
NR113--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR779--MA0508.2.PRDM1	chr15	50751408	50751417	-	0.000	0.000	Merged-chr15-50751217-20
NR636--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR2062--MA0508.2.PRDM1	chr9	25430014	25430023	-	0.000	0.000	Merged-chr9-25429934-32
NR474--MA0508.2.PRDM1	chr12	78356551	78356560	+	0.000	0.000	Merged-chr12-78356695-8
NR583--MA0508.2.PRDM1	chr13	43436074	43436083	+	0.000	0.000	Merged-chr13-43436258-16
NR378--MA0508.2.PRDM1	chr11	71230842	71230851	-	0.000	0.000	Merged-chr11-71230864-28
NR615--MA0508.2.PRDM1	chr13	91033695	91033704	+	0.000	0.000	Merged-chr13-91033672-15
NR201--MA0508.2.PRDM1	chr10	12851013	12851022	+	0.000	0.000	Merged-chr10-12851139-23
NR867--MA0508.2.PRDM1	chr16	50298942	50298951	+	0.000	0.000	Merged-chr16-50299012-15
NR1710--MA0508.2.PRDM1	chr6	61271291	61271300	+	0.000	0.000	Merged-chr6-61271177-5
NR1691--MA0508.2.PRDM1	chr6	33051826	33051835	-	0.000	0.000	Merged-chr6-33051908-11
NR227--MA0508.2.PRDM1	chr10	43532672	43532681	+	0.000	0.000	Merged-chr10-43532719-12
NR1941--MA0508.2.PRDM1	chr7	122256892	122256901	+	0.000	0.000	Merged-chr7-122257038-26
NR588--MA0508.2.PRDM1	chr13	52071168	52071177	-	0.000	0.000	Merged-chr13-52071199-1
NR349--MA0508.2.PRDM1	chr11	26586728	26586737	+	0.000	0.000	Merged-chr11-26586855-34
NR2046--MA0508.2.PRDM1	chr8	128484961	128484970	-	0.000	0.000	Merged-chr8-128484849-18
NR1920--MA0508.2.PRDM1	chr7	104400874	104400883	-	0.000	0.000	Merged-chr7-104400949-29
NR2059--MA0508.2.PRDM1	chr9	15060194	15060203	-	0.000	0.000	Merged-chr9-15060271-40
NR1662--MA0508.2.PRDM1	chr5	140799013	140799022	+	0.000	0.000	Merged-chr5-140799017-20
NR1946--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR145--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR416--MA0508.2.PRDM1	chr11	100921394	100921403	+	0.000	0.000	Merged-chr11-100921492-18
NR1750--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR1925--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR1511--MA0508.2.PRDM1	chr4	136031644	136031653	+	0.000	0.000	Merged-chr4-136031447-41
NR2017--MA0508.2.PRDM1	chr8	94443451	94443460	+	0.000	0.000	Merged-chr8-94443334-5
NR1851--MA0508.2.PRDM1	chr7	28423100	28423109	-	0.000	0.000	Merged-chr7-28423189-12
NR2214--MA0508.2.PRDM1	chrX	167319178	167319187	-	0.000	0.000	Merged-chrX-167319032-24
NR2118--MA0508.2.PRDM1	chr9	80819276	80819285	-	0.000	0.000	Merged-chr9-80819214-23
NR1593--MA0508.2.PRDM1	chr5	74261248	74261257	+	0.000	0.000	Merged-chr5-74261391-1
NR940--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR1830--MA0508.2.PRDM1	chr6	146391307	146391316	+	0.000	0.000	Merged-chr6-146391315-9
NR1211--MA0508.2.PRDM1	chr2	117358210	117358219	+	0.000	0.000	Merged-chr2-117358189-8
NR129--MA0508.2.PRDM1	chr1	165322578	165322587	+	0.000	0.000	Merged-chr1-165322509-22
NR1320--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR1909--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR2078--MA0508.2.PRDM1	chr9	44954678	44954687	-	0.000	0.000	Merged-chr9-44954642-27
NR810--MA0508.2.PRDM1	chr15	91651690	91651699	-	0.000	0.000	Merged-chr15-91651721-23
NR2206--MA0508.2.PRDM1	chrX	159447268	159447277	+	0.000	0.000	Merged-chrX-159447377-17
NR1790--MA0508.2.PRDM1	chr6	134343097	134343106	+	0.000	0.000	Merged-chr6-134343073-39
NR1856--MA0508.2.PRDM1	chr7	35742521	35742530	+	0.000	0.000	Merged-chr7-35742502-39
NR60--MA0508.2.PRDM1	chr1	93401870	93401879	+	0.000	0.000	Merged-chr1-93401739-47
NR1822--MA0508.2.PRDM1	chr6	145284572	145284581	-	0.000	0.000	Merged-chr6-145284477-26
NR2057--MA0508.2.PRDM1	chr9	14248385	14248394	+	0.000	0.000	Merged-chr9-14248366-20
NR1325--MA0508.2.PRDM1	chr3	86206658	86206667	-	0.000	0.000	Merged-chr3-86206725-10
NR1020--MA0508.2.PRDM1	chr18	65481389	65481398	+	0.000	0.000	Merged-chr18-65481395-37
NR1176--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR65--MA0508.2.PRDM1	chr1	98589784	98589793	-	0.000	0.000	Merged-chr1-98589738-39
NR1142--MA0508.2.PRDM1	chr2	24776356	24776365	+	0.000	0.000	Merged-chr2-24776490-30
NR1317--MA0508.2.PRDM1	chr3	69193173	69193182	-	0.000	0.000	Merged-chr3-69193201-1
NR1439--MA0508.2.PRDM1	chr4	32101244	32101253	-	0.000	0.000	Merged-chr4-32101059-1
NR10--MA0508.2.PRDM1	chr1	21781109	21781118	+	0.000	0.000	Merged-chr1-21781098-42
NR1386--MA0508.2.PRDM1	chr3	137194066	137194075	+	0.000	0.000	Merged-chr3-137194185-7
