#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR1331--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR1602--MA0508.2.PRDM1	chr5	32768127	32768136	+	0.000	0.000	Merged-chr5-32768073-31
NR183--MA0508.2.PRDM1	chr1	193146655	193146664	-	0.000	0.000	Merged-chr1-193146532-29
NR738--MA0508.2.PRDM1	chr14	87348985	87348994	-	0.000	0.000	Merged-chr14-87349015-16
NR2244--MA0508.2.PRDM1	chrX	42366006	42366015	+	0.000	0.000	Merged-chrX-42366064-18
NR1990--MA0508.2.PRDM1	chr7	122256892	122256901	+	0.000	0.000	Merged-chr7-122257038-26
NR1945--MA0508.2.PRDM1	chr7	90039713	90039722	+	0.000	0.000	Merged-chr7-90039651-42
NR66--MA0508.2.PRDM1	chr1	106866849	106866858	-	0.000	0.000	Merged-chr1-106866899-32
NR1557--MA0508.2.PRDM1	chr4	137898897	137898906	+	0.000	0.000	Merged-chr4-137899052-12
NR1090--MA0508.2.PRDM1	chr19	34570182	34570191	+	0.000	0.000	Merged-chr19-34570289-10
NR102--MA0508.2.PRDM1	chr1	149127574	149127583	+	0.000	0.000	Merged-chr1-149127777-1
NR734--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR713--MA0508.2.PRDM1	chr14	63906718	63906727	+	0.000	0.000	Merged-chr14-63906854-7
NR2001--MA0508.2.PRDM1	chr7	130727039	130727048	-	0.000	0.000	Merged-chr7-130727119-52
NR277--MA0508.2.PRDM1	chr10	95842894	95842903	-	0.000	0.000	Merged-chr10-95843057-27
NR2245--MA0508.2.PRDM1	chrX	42365997	42366006	-	0.000	0.000	Merged-chrX-42366064-18
NR2020--MA0508.2.PRDM1	chr8	8441763	8441772	-	0.000	0.000	Merged-chr8-8441880-9
NR2264--MA0508.2.PRDM1	chrX	104587413	104587422	+	0.000	0.000	Merged-chrX-104587558-7
NR1391--MA0508.2.PRDM1	chr3	127868655	127868664	+	0.000	0.000	Merged-chr3-127868548-8
NR2038--MA0508.2.PRDM1	chr8	46196986	46196995	+	0.000	0.000	Merged-chr8-46197044-15
NR1516--MA0508.2.PRDM1	chr4	95096791	95096800	-	0.000	0.000	Merged-chr4-95096971-16
NR1747--MA0508.2.PRDM1	chr6	65765177	65765186	-	0.000	0.000	Merged-chr6-65765316-29
NR1694--MA0508.2.PRDM1	chr5	136550650	136550659	+	0.000	0.000	Merged-chr5-136550897-14
NR1869--MA0508.2.PRDM1	chr6	145193580	145193589	+	0.000	0.000	Merged-chr6-145193570-49
NR1564--MA0508.2.PRDM1	chr4	143190833	143190842	+	0.000	0.000	Merged-chr4-143190909-19
NR1739--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR1848--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1338--MA0508.2.PRDM1	chr3	89727159	89727168	+	0.000	0.000	Merged-chr3-89727230-25
NR733--MA0508.2.PRDM1	chr14	77580889	77580898	+	0.000	0.000	Merged-chr14-77580770-64
