#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR6007--MA0523.1.TCF7L2	chr3	154694111	154694124	+	0.000	0.000	Merged-chr3-154694103-10
NR3725--MA1421.1.TCF7L1	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR4774--MA0523.1.TCF7L2	chr2	59527631	59527644	-	0.000	0.000	Merged-chr2-59527807-15
NR7321--MA0523.1.TCF7L2	chr6	89288315	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR4966--MA1421.1.TCF7L1	chr2	104633377	104633388	-	0.000	0.000	Merged-chr2-104633408-9
NR7020--MA0523.1.TCF7L2	chr5	149459345	149459358	+	0.000	0.000	Merged-chr5-149459249-24
NR3456--MA0769.1.Tcf7	chr16	32972828	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR4555--MA0523.1.TCF7L2	chr2	6716855	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR2805--MA0769.1.Tcf7	chr14	61012532	61012543	+	0.000	0.000	Merged-chr14-61012611-17
NR1452--MA1421.1.TCF7L1	chr11	68204521	68204532	-	0.000	0.000	Merged-chr11-68204624-12
NR5421--MA0769.1.Tcf7	chr3	21809910	21809921	+	0.000	0.000	Merged-chr3-21809864-17
NR5240--MA1421.1.TCF7L1	chr2	153003057	153003068	+	0.000	0.000	Merged-chr2-153002914-29
NR4601--MA1421.1.TCF7L1	chr2	19316122	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR6502--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR2935--MA0769.1.Tcf7	chr14	103363339	103363350	-	0.000	0.000	Merged-chr14-103363341-36
NR6056--MA1421.1.TCF7L1	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR8148--MA1421.1.TCF7L1	chr8	18768219	18768230	-	0.000	0.000	Merged-chr8-18768213-14
NR5249--MA1421.1.TCF7L1	chr2	154797094	154797105	+	0.000	0.000	Merged-chr2-154797130-17
NR5766--MA0769.1.Tcf7	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR5358--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR7037--MA0769.1.Tcf7	chr5	151417186	151417197	+	0.000	0.000	Merged-chr5-151417137-15
NR3363--MA1421.1.TCF7L1	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR1380--MA0523.1.TCF7L2	chr11	44495322	44495335	+	0.000	0.000	Merged-chr11-44495108-26
NR8111--MA0523.1.TCF7L2	chr7	143052807	143052820	+	0.000	0.000	Merged-chr7-143053012-41
NR1123--MA0523.1.TCF7L2	chr10	98976102	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR825--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR2364--MA0523.1.TCF7L2	chr13	73772886	73772899	+	0.000	0.000	Merged-chr13-73772920-55
NR5770--MA0523.1.TCF7L2	chr3	116386819	116386832	+	0.000	0.000	Merged-chr3-116386953-10
NR1756--MA0769.1.Tcf7	chr12	34143172	34143183	+	0.000	0.000	Merged-chr12-34143068-3
NR2293--MA1421.1.TCF7L1	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR4060--MA0523.1.TCF7L2	chr18	24237172	24237185	+	0.000	0.000	Merged-chr18-24237197-17
NR4104--MA0523.1.TCF7L2	chr18	38701109	38701122	+	0.000	0.000	Merged-chr18-38700911-27
NR2871--MA0523.1.TCF7L2	chr14	74977104	74977117	+	0.000	0.000	Merged-chr14-74977138-7
NR3394--MA0769.1.Tcf7	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR2631--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR1001--MA1421.1.TCF7L1	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR394--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR812--MA0523.1.TCF7L2	chr10	25331981	25331994	-	0.000	0.000	Merged-chr10-25331822-16
NR3636--MA0523.1.TCF7L2	chr16	84995568	84995581	+	0.000	0.000	Merged-chr16-84995665-26
NR5825--MA1421.1.TCF7L1	chr3	127868602	127868613	+	0.000	0.000	Merged-chr3-127868548-8
NR5471--MA0769.1.Tcf7	chr3	51495753	51495764	+	0.000	0.000	Merged-chr3-51495816-13
NR2023--MA1421.1.TCF7L1	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR3072--MA0523.1.TCF7L2	chr15	27796771	27796784	+	0.000	0.000	Merged-chr15-27796764-17
NR8387--MA0769.1.Tcf7	chr8	104416244	104416255	+	0.000	0.000	Merged-chr8-104416222-18
NR2829--MA0523.1.TCF7L2	chr14	66805895	66805908	-	0.000	0.000	Merged-chr14-66805736-29
NR5319--MA0769.1.Tcf7	chr2	169423642	169423653	-	0.000	0.000	Merged-chr2-169423761-9
NR5261--MA1421.1.TCF7L1	chr2	158673169	158673180	-	0.000	0.000	Merged-chr2-158673458-23
NR6440--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR6617--MA0523.1.TCF7L2	chr5	38632722	38632735	-	0.000	0.000	Merged-chr5-38632599-22
NR2300--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR522--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR2994--MA0769.1.Tcf7	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR7294--MA0523.1.TCF7L2	chr6	83809513	83809526	-	0.000	0.000	Merged-chr6-83809654-9
NR2627--MA0769.1.Tcf7	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR4138--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR3455--MA0523.1.TCF7L2	chr16	32972826	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR2238--MA1421.1.TCF7L1	chr13	41447156	41447167	-	0.000	0.000	Merged-chr13-41447189-7
NR8484--MA0523.1.TCF7L2	chr8	126536287	126536300	+	0.000	0.000	Merged-chr8-126536353-14
NR1000--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR2551--MA0769.1.Tcf7	chr13	114086612	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR4807--MA0769.1.Tcf7	chr2	65422035	65422046	+	0.000	0.000	Merged-chr2-65422005-11
NR268--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR4125--MA0523.1.TCF7L2	chr18	46381240	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR7555--MA1421.1.TCF7L1	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR4780--MA1421.1.TCF7L1	chr2	59998025	59998036	+	0.000	0.000	Merged-chr2-59997998-11
NR1022--MA1421.1.TCF7L1	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR8410--MA0769.1.Tcf7	chr8	110846145	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR7761--MA1421.1.TCF7L1	chr7	64750320	64750331	-	0.000	0.000	Merged-chr7-64750339-1
NR7688--MA1421.1.TCF7L1	chr7	24468103	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR8949--MA0523.1.TCF7L2	chr9	114592575	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR3055--MA0523.1.TCF7L2	chr15	18951826	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR8522--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR5147--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR8252--MA0523.1.TCF7L2	chr8	60954792	60954805	+	0.000	0.000	Merged-chr8-60954738-34
NR216--MA0769.1.Tcf7	chr1	85335848	85335859	-	0.000	0.000	Merged-chr1-85335844-5
NR1117--MA0769.1.Tcf7	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR3637--MA0769.1.Tcf7	chr16	84995568	84995579	+	0.000	0.000	Merged-chr16-84995665-26
NR1023--MA0769.1.Tcf7	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR2646--MA1421.1.TCF7L1	chr14	21078625	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR8033--MA0523.1.TCF7L2	chr7	128669092	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR7222--MA0769.1.Tcf7	chr6	65569962	65569973	+	0.000	0.000	Merged-chr6-65569933-17
NR4944--MA1421.1.TCF7L1	chr2	102040250	102040261	-	0.000	0.000	Merged-chr2-102040255-6
NR3440--MA0769.1.Tcf7	chr16	30655882	30655893	-	0.000	0.000	Merged-chr16-30655956-7
NR7549--MA0769.1.Tcf7	chr6	135433970	135433981	+	0.000	0.000	Merged-chr6-135433920-18
NR6047--MA1421.1.TCF7L1	chr4	7961628	7961639	-	0.000	0.000	Merged-chr4-7961828-25
NR3219--MA0523.1.TCF7L2	chr15	75634462	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR5196--MA1421.1.TCF7L1	chr2	146888003	146888014	-	0.000	0.000	Merged-chr2-146888107-12
NR6598--MA0769.1.Tcf7	chr5	36140702	36140713	-	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR3673--MA0769.1.Tcf7	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR5774--MA0523.1.TCF7L2	chr3	117044608	117044621	+	0.000	0.000	Merged-chr3-117044595-20
NR2140--MA0523.1.TCF7L2	chr13	3479821	3479834	-	0.000	0.000	Merged-chr13-3479941-4
NR7470--MA0523.1.TCF7L2	chr6	118621838	118621851	-	0.000	0.000	Merged-chr6-118621968-6
NR270--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR5349--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR3631--MA0523.1.TCF7L2	chr16	84982744	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6710--MA0769.1.Tcf7	chr5	74105560	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR7647--MA0523.1.TCF7L2	chr6	148934689	148934702	+	0.000	0.000	Merged-chr6-148934708-2
NR772--MA0523.1.TCF7L2	chr10	17296483	17296496	-	0.000	0.000	Merged-chr10-17296409-9
NR8985--MA1421.1.TCF7L1	chr9	118512768	118512779	-	0.000	0.000	Merged-chr9-118512920-16
NR3557--MA0769.1.Tcf7	chr16	52362378	52362389	+	0.000	0.000	Merged-chr16-52362398-3
NR7877--MA1421.1.TCF7L1	chr7	99448819	99448830	+	0.000	0.000	Merged-chr7-99448704-1
NR6379--MA0769.1.Tcf7	chr4	120044777	120044788	-	0.000	0.000	Merged-chr4-120044912-16
NR3436--MA1421.1.TCF7L1	chr16	28517966	28517977	-	0.000	0.000	Merged-chr16-28518091-55
NR9124--MA0523.1.TCF7L2	chrX	104485819	104485832	-	0.000	0.000	Merged-chrX-104485808-11
NR5566--MA1421.1.TCF7L1	chr3	79129256	79129267	-	0.000	0.000	Merged-chr3-79129160-12
NR8590--MA0769.1.Tcf7	chr9	35007272	35007283	+	0.000	0.000	Merged-chr9-35007274-11
NR3687--MA0769.1.Tcf7	chr16	94374317	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR2198--MA1421.1.TCF7L1	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR4683--MA0769.1.Tcf7	chr2	43992734	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR4708--MA1421.1.TCF7L1	chr2	45946382	45946393	+	0.000	0.000	Merged-chr2-45946471-14
NR8304--MA0523.1.TCF7L2	chr8	78738740	78738753	-	0.000	0.000	Merged-chr8-78738869-6
NR8791--MA1421.1.TCF7L1	chr9	82967413	82967424	+	0.000	0.000	Merged-chr9-82967336-26
NR2654--MA1421.1.TCF7L1	chr14	22270838	22270849	-	0.000	0.000	Merged-chr14-22271018-1
NR3365--MA0769.1.Tcf7	chr16	7419924	7419935	-	0.000	0.000	Merged-chr16-7419949-42
NR7044--MA0769.1.Tcf7	chr6	5147853	5147864	+	0.000	0.000	Merged-chr6-5147663-1
NR2860--MA1421.1.TCF7L1	chr14	73334090	73334101	+	0.000	0.000	Merged-chr14-73334058-7
NR1745--MA0769.1.Tcf7	chr12	31621765	31621776	+	0.000	0.000	Merged-chr12-31621788-10
NR6093--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR8315--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR4636--MA0523.1.TCF7L2	chr2	31042978	31042991	-	0.000	0.000	Merged-chr2-31043017-22
NR1905--MA0523.1.TCF7L2	chr12	77070155	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR8917--MA1421.1.TCF7L1	chr9	108617523	108617534	+	0.000	0.000	Merged-chr9-108617434-16
NR536--MA0523.1.TCF7L2	chr1	161378552	161378565	+	0.000	0.000	Merged-chr1-161378762-23
NR401--MA0769.1.Tcf7	chr1	136609083	136609094	-	0.000	0.000	Merged-chr1-136609076-3
NR2177--MA0769.1.Tcf7	chr13	13582035	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR880--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR7221--MA0523.1.TCF7L2	chr6	65569962	65569975	+	0.000	0.000	Merged-chr6-65569933-17
NR728--MA0769.1.Tcf7	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR574--MA0523.1.TCF7L2	chr1	167296110	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR8462--MA0523.1.TCF7L2	chr8	123404746	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR2298--MA0769.1.Tcf7	chr13	52628151	52628162	+	0.000	0.000	Merged-chr13-52628204-1
NR5959--MA0523.1.TCF7L2	chr3	146564287	146564300	-	0.000	0.000	Merged-chr3-146564462-25
NR2157--MA0523.1.TCF7L2	chr13	9107246	9107259	+	0.000	0.000	Merged-chr13-9107382-45
NR1518--MA0523.1.TCF7L2	chr11	88493961	88493974	+	0.000	0.000	Merged-chr11-88493877-11
NR6550--MA0769.1.Tcf7	chr5	17390081	17390092	+	0.000	0.000	Merged-chr5-17390186-4
NR3612--MA1421.1.TCF7L1	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR5590--MA0769.1.Tcf7	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR2737--MA0769.1.Tcf7	chr14	47664710	47664721	+	0.000	0.000	Merged-chr14-47664615-11
NR6425--MA1421.1.TCF7L1	chr4	135911656	135911667	+	0.000	0.000	Merged-chr4-135911703-15
NR6791--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR2350--MA0523.1.TCF7L2	chr13	70600460	70600473	-	0.000	0.000	Merged-chr13-70600282-8
NR5250--MA0769.1.Tcf7	chr2	154797094	154797105	+	0.000	0.000	Merged-chr2-154797130-17
NR1711--MA0523.1.TCF7L2	chr12	21172236	21172249	+	0.000	0.000	Merged-chr12-21172304-14
NR3591--MA0523.1.TCF7L2	chr16	70007129	70007142	+	0.000	0.000	Merged-chr16-70007136-17
NR342--MA0523.1.TCF7L2	chr1	119469561	119469574	-	0.000	0.000	Merged-chr1-119469584-5
NR7013--MA1421.1.TCF7L1	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR1903--MA1421.1.TCF7L1	chr12	77070144	77070155	-	0.000	0.000	Merged-chr12-77070291-10
NR6162--MA1421.1.TCF7L1	chr4	55755860	55755871	-	0.000	0.000	Merged-chr4-55755950-2
NR198--MA1421.1.TCF7L1	chr1	82974104	82974115	-	0.000	0.000	Merged-chr1-82974163-36
NR5483--MA0769.1.Tcf7	chr3	54400017	54400028	-	0.000	0.000	Merged-chr3-54399982-24
NR7739--MA0769.1.Tcf7	chr7	58691973	58691984	+	0.000	0.000	Merged-chr7-58692005-1
NR6596--MA1421.1.TCF7L1	chr5	36140702	36140713	-	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR3608--MA1421.1.TCF7L1	chr16	76575446	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR3044--MA1421.1.TCF7L1	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR5898--MA0523.1.TCF7L2	chr3	138746758	138746771	-	0.000	0.000	Merged-chr3-138746730-15
NR2997--MA0769.1.Tcf7	chr14	121354191	121354202	+	0.000	0.000	Merged-chr14-121354142-24
NR931--MA0523.1.TCF7L2	chr10	60000163	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR2795--MA1421.1.TCF7L1	chr14	59202012	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR4887--MA1421.1.TCF7L1	chr2	84016489	84016500	-	0.000	0.000	Merged-chr2-84016424-23
NR1679--MA0769.1.Tcf7	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR7099--MA0769.1.Tcf7	chr6	30677300	30677311	+	0.000	0.000	Merged-chr6-30677356-3
NR2442--MA0769.1.Tcf7	chr13	93175668	93175679	+	0.000	0.000	Merged-chr13-93175751-12
NR3852--MA1421.1.TCF7L1	chr17	45342331	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR110--MA0523.1.TCF7L2	chr1	54179463	54179476	+	0.000	0.000	Merged-chr1-54179404-9
NR111--MA0769.1.Tcf7	chr1	54179463	54179474	+	0.000	0.000	Merged-chr1-54179404-9
NR1227--MA0769.1.Tcf7	chr10	117377578	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR1012--MA0769.1.Tcf7	chr10	77677796	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR7472--MA1421.1.TCF7L1	chr6	120006467	120006478	+	0.000	0.000	Merged-chr6-120006378-7
NR869--MA1421.1.TCF7L1	chr10	43745949	43745960	-	0.000	0.000	Merged-chr10-43745944-8
NR1124--MA0769.1.Tcf7	chr10	98976104	98976115	-	0.000	0.000	Merged-chr10-98976063-31
NR4682--MA0523.1.TCF7L2	chr2	43992732	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR5725--MA1421.1.TCF7L1	chr3	108124345	108124356	+	0.000	0.000	Merged-chr3-108124378-33
NR3140--MA0523.1.TCF7L2	chr15	51842468	51842481	+	0.000	0.000	Merged-chr15-51842617-12
NR8301--MA0769.1.Tcf7	chr8	77435082	77435093	+	0.000	0.000	Merged-chr8-77435130-10
NR3671--MA1421.1.TCF7L1	chr16	92307632	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR6980--MA0523.1.TCF7L2	chr5	142891542	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR5498--MA0523.1.TCF7L2	chr3	58658549	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR927--MA0523.1.TCF7L2	chr10	60000108	60000121	+	0.000	0.000	Merged-chr10-60000232-10
NR7556--MA0769.1.Tcf7	chr6	138269150	138269161	-	0.000	0.000	Merged-chr6-138269074-1
NR2232--MA0769.1.Tcf7	chr13	38938673	38938684	+	0.000	0.000	Merged-chr13-38938571-13
NR9126--MA1421.1.TCF7L1	chrX	106608147	106608158	+	0.000	0.000	Merged-chrX-106608183-10
NR7612--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR2138--MA1421.1.TCF7L1	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR4197--MA0769.1.Tcf7	chr18	65016107	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR9067--MA0523.1.TCF7L2	chrX	50836443	50836456	+	0.000	0.000	Merged-chrX-50836312-60
NR3393--MA0523.1.TCF7L2	chr16	15910370	15910383	+	0.000	0.000	Merged-chr16-15910429-9
NR1537--MA1421.1.TCF7L1	chr11	96058765	96058776	+	0.000	0.000	Merged-chr11-96058605-21
NR3811--MA0523.1.TCF7L2	chr17	31693694	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR2116--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR6719--MA0523.1.TCF7L2	chr5	75661050	75661063	-	0.000	0.000	Merged-chr5-75660966-11
NR8247--MA0523.1.TCF7L2	chr8	56398906	56398919	+	0.000	0.000	Merged-chr8-56398896-15
NR5059--MA0769.1.Tcf7	chr2	121570240	121570251	+	0.000	0.000	Merged-chr2-121570231-16
NR8436--MA0769.1.Tcf7	chr8	115237246	115237257	+	0.000	0.000	Merged-chr8-115237313-17
NR8221--MA0769.1.Tcf7	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR4665--MA0523.1.TCF7L2	chr2	38068469	38068482	+	0.000	0.000	Merged-chr2-38068550-14
NR1890--MA0523.1.TCF7L2	chr12	76853351	76853364	-	0.000	0.000	Merged-chr12-76853290-4
NR901--MA0523.1.TCF7L2	chr10	54255357	54255370	+	0.000	0.000	Merged-chr10-54255218-57
NR7006--MA0769.1.Tcf7	chr5	148373460	148373471	+	0.000	0.000	Merged-chr5-148373511-17
NR7192--MA1421.1.TCF7L1	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR4196--MA0523.1.TCF7L2	chr18	65016105	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR6601--MA0769.1.Tcf7	chr5	36140747	36140758	+	0.000	0.000	Merged-chr5-36140594-4,Merged-chr5-36140888-1
NR4012--MA0523.1.TCF7L2	chr18	5816632	5816645	+	0.000	0.000	Merged-chr18-5816511-9
NR999--MA0523.1.TCF7L2	chr10	75417807	75417820	+	0.000	0.000	Merged-chr10-75417748-37
NR7838--MA1421.1.TCF7L1	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR8887--MA0523.1.TCF7L2	chr9	102546096	102546109	-	0.000	0.000	Merged-chr9-102546012-3
NR918--MA0769.1.Tcf7	chr10	59435691	59435702	-	0.000	0.000	Merged-chr10-59435699-1
NR3931--MA0523.1.TCF7L2	chr17	74354547	74354560	-	0.000	0.000	Merged-chr17-74354475-5
NR89--MA0523.1.TCF7L2	chr1	43389274	43389287	-	0.000	0.000	Merged-chr1-43389283-10
NR815--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6158--MA0769.1.Tcf7	chr4	54855960	54855971	+	0.000	0.000	Merged-chr4-54855897-1
NR4999--MA0769.1.Tcf7	chr2	112656428	112656439	+	0.000	0.000	Merged-chr2-112656502-8
NR4820--MA0523.1.TCF7L2	chr2	68932316	68932329	-	0.000	0.000	Merged-chr2-68932401-28
NR3110--MA0523.1.TCF7L2	chr15	38634664	38634677	+	0.000	0.000	Merged-chr15-38634612-4
NR1980--MA0769.1.Tcf7	chr12	92625191	92625202	+	0.000	0.000	Merged-chr12-92625384-3
NR8696--MA0769.1.Tcf7	chr9	61745157	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR3587--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR1886--MA0523.1.TCF7L2	chr12	76385174	76385187	-	0.000	0.000	Merged-chr12-76385327-16
NR2929--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR4556--MA0769.1.Tcf7	chr2	6716857	6716868	-	0.000	0.000	Merged-chr2-6716828-13
NR972--MA0769.1.Tcf7	chr10	68795228	68795239	+	0.000	0.000	Merged-chr10-68795469-52
NR3254--MA1421.1.TCF7L1	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR8356--MA0769.1.Tcf7	chr8	88604154	88604165	-	0.000	0.000	Merged-chr8-88604204-17
NR1506--MA0769.1.Tcf7	chr11	84529299	84529310	-	0.000	0.000	Merged-chr11-84529361-2
