#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR1165--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR10579--MA0002.2.RUNX1	chr9	62080713	62080723	-	0.000	0.000	Merged-chr9-62080517-9
NR502--MA0511.2.RUNX2	chr1	135268272	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR4813--MA0002.2.RUNX1	chr17	35392595	35392605	+	0.000	0.000	Merged-chr17-35392677-25
NR1787--MA0511.2.RUNX2	chr11	63352127	63352135	+	0.000	0.000	Merged-chr11-63352234-10
NR10436--MA0002.2.RUNX1	chr9	35194222	35194232	-	0.000	0.000	Merged-chr9-35194224-11
NR7185--MA0002.2.RUNX1	chr3	157938775	157938785	-	0.000	0.000	Merged-chr3-157938783-43
NR3497--MA0684.1.RUNX3	chr14	55882489	55882498	-	0.000	0.000	Merged-chr14-55882429-48
NR4922--MA0002.2.RUNX1	chr17	63949288	63949298	+	0.000	0.000	Merged-chr17-63949103-2
NR3847--MA0511.2.RUNX2	chr15	34473009	34473017	-	0.000	0.000	Merged-chr15-34473002-9
NR2971--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR1896--MA0511.2.RUNX2	chr11	82203896	82203904	+	0.000	0.000	Merged-chr11-82203990-35
NR784--MA0684.1.RUNX3	chr1	180884782	180884791	+	0.000	0.000	Merged-chr1-180884632-22
NR4780--MA0684.1.RUNX3	chr17	31220223	31220232	-	0.000	0.000	Merged-chr17-31220235-19
NR3433--MA0511.2.RUNX2	chr14	36932188	36932196	+	0.000	0.000	Merged-chr14-36932132-23
NR5491--MA0684.1.RUNX3	chr19	20931536	20931545	+	0.000	0.000	Merged-chr19-20931393-10
NR7508--MA0684.1.RUNX3	chr4	107006388	107006397	-	0.000	0.000	Merged-chr4-107006366-21
NR3228--MA0511.2.RUNX2	chr13	108009907	108009915	-	0.000	0.000	Merged-chr13-108009959-10
NR4969--MA0002.2.RUNX1	chr17	73810289	73810299	+	0.000	0.000	Merged-chr17-73810198-2
NR912--MA0684.1.RUNX3	chr10	8197818	8197827	-	0.000	0.000	Merged-chr10-8197795-23
NR5143--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR3258--MA0684.1.RUNX3	chr13	111269819	111269828	+	0.000	0.000	Merged-chr13-111269948-21
NR3066--MA0511.2.RUNX2	chr13	90981482	90981490	-	0.000	0.000	Merged-chr13-90981461-11
NR7198--MA0002.2.RUNX1	chr4	8712386	8712396	+	0.000	0.000	Merged-chr4-8712432-5
NR397--MA0002.2.RUNX1	chr1	108041086	108041096	-	0.000	0.000	Merged-chr1-108041291-27
NR668--MA0002.2.RUNX1	chr1	165722680	165722690	-	0.000	0.000	Merged-chr1-165722797-48
NR4393--MA0002.2.RUNX1	chr16	50298928	50298938	+	0.000	0.000	Merged-chr16-50299012-15
NR7203--MA0684.1.RUNX3	chr4	8872269	8872278	-	0.000	0.000	Merged-chr4-8872202-20
NR3589--MA0511.2.RUNX2	chr14	67887047	67887055	+	0.000	0.000	Merged-chr14-67887091-21
NR6201--MA0002.2.RUNX1	chr2	126252466	126252476	-	0.000	0.000	Merged-chr2-126252361-10
NR9258--MA0002.2.RUNX1	chr7	16827511	16827521	+	0.000	0.000	Merged-chr7-16827547-27
NR7263--MA0511.2.RUNX2	chr4	41307579	41307587	-	0.000	0.000	Merged-chr4-41307588-21
NR4773--MA0002.2.RUNX1	chr17	29693746	29693756	-	0.000	0.000	Merged-chr17-29693798-13
NR1081--MA0511.2.RUNX2	chr10	60346224	60346232	+	0.000	0.000	Merged-chr10-60346273-6
NR1177--MA0684.1.RUNX3	chr10	80371479	80371488	-	0.000	0.000	Merged-chr10-80371641-4
NR886--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR6833--MA0002.2.RUNX1	chr3	101236383	101236393	+	0.000	0.000	Merged-chr3-101236423-33
NR2331--MA0002.2.RUNX1	chr12	69530053	69530063	-	0.000	0.000	Merged-chr12-69529974-44
NR7068--MA0002.2.RUNX1	chr3	142281331	142281341	-	0.000	0.000	Merged-chr3-142281213-32
NR10653--MA0684.1.RUNX3	chr9	71848613	71848622	-	0.000	0.000	Merged-chr9-71848464-7
NR7895--MA0511.2.RUNX2	chr5	28043137	28043145	+	0.000	0.000	Merged-chr5-28043033-10
NR5122--MA0684.1.RUNX3	chr18	14985707	14985716	-	0.000	0.000	Merged-chr18-14985821-9
NR4805--MA0002.2.RUNX1	chr17	35115619	35115629	-	0.000	0.000	Merged-chr17-35115733-16
NR995--MA0002.2.RUNX1	chr10	34118005	34118015	+	0.000	0.000	Merged-chr10-34117997-36
NR8622--MA0002.2.RUNX1	chr6	54116500	54116510	-	0.000	0.000	Merged-chr6-54116572-22
NR9005--MA0684.1.RUNX3	chr6	127617437	127617446	+	0.000	0.000	Merged-chr6-127617353-34
NR7054--MA0684.1.RUNX3	chr3	141690927	141690936	+	0.000	0.000	Merged-chr3-141690828-16
NR7325--MA0684.1.RUNX3	chr4	58050834	58050843	-	0.000	0.000	Merged-chr4-58050773-31
NR647--MA0002.2.RUNX1	chr1	164079558	164079568	+	0.000	0.000	Merged-chr1-164079439-12
NR3346--MA0684.1.RUNX3	chr14	14088430	14088439	+	0.000	0.000	Merged-chr14-14088309-59
NR1666--MA0684.1.RUNX3	chr11	43705357	43705366	+	0.000	0.000	Merged-chr11-43705351-17
NR8526--MA0002.2.RUNX1	chr6	31072270	31072280	-	0.000	0.000	Merged-chr6-31072342-44
NR6575--MA0002.2.RUNX1	chr3	19240232	19240242	-	0.000	0.000	Merged-chr3-19240113-21
NR2820--MA0002.2.RUNX1	chr13	21884704	21884714	-	0.000	0.000	Merged-chr13-21884696-3
NR2344--MA0002.2.RUNX1	chr12	70219231	70219241	-	0.000	0.000	Merged-chr12-70219283-39
NR362--MA0684.1.RUNX3	chr1	95674258	95674267	-	0.000	0.000	Merged-chr1-95674241-20
NR2615--MA0002.2.RUNX1	chr12	110939607	110939617	+	0.000	0.000	Merged-chr12-110939619-21
NR904--MA0684.1.RUNX3	chr10	4977486	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR7513--MA0511.2.RUNX2	chr4	107210270	107210278	-	0.000	0.000	Merged-chr4-107210545-62
NR1318--MA0684.1.RUNX3	chr10	98776540	98776549	+	0.000	0.000	Merged-chr10-98776574-38
NR9095--MA0684.1.RUNX3	chr6	137316448	137316457	-	0.000	0.000	Merged-chr6-137316445-24
NR7686--MA0684.1.RUNX3	chr4	139367696	139367705	-	0.000	0.000	Merged-chr4-139367606-11
NR4752--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR2201--MA0002.2.RUNX1	chr12	13518254	13518264	+	0.000	0.000	Merged-chr12-13518316-35
NR5529--MA0002.2.RUNX1	chr19	29347394	29347404	+	0.000	0.000	Merged-chr19-29347328-12
NR3578--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR8364--MA0002.2.RUNX1	chr5	139320772	139320782	+	0.000	0.000	Merged-chr5-139320705-5
NR9031--MA0511.2.RUNX2	chr6	130237896	130237904	+	0.000	0.000	Merged-chr6-130237898-58
NR4590--MA0002.2.RUNX1	chr16	94068074	94068084	-	0.000	0.000	Merged-chr16-94067922-8
NR5096--MA0002.2.RUNX1	chr18	4971034	4971044	+	0.000	0.000	Merged-chr18-4971127-12
NR9184--MA0002.2.RUNX1	chr6	146107633	146107643	+	0.000	0.000	Merged-chr6-146107626-18
NR1758--MA0511.2.RUNX2	chr11	58829921	58829929	+	0.000	0.000	Merged-chr11-58829916-12
NR4864--MA0511.2.RUNX2	chr17	50310589	50310597	+	0.000	0.000	Merged-chr17-50310494-22
NR4765--MA0002.2.RUNX1	chr17	29003948	29003958	-	0.000	0.000	Merged-chr17-29004081-17
NR1788--MA0684.1.RUNX3	chr11	63352127	63352136	+	0.000	0.000	Merged-chr11-63352234-10
NR10596--MA0511.2.RUNX2	chr9	65491674	65491682	+	0.000	0.000	Merged-chr9-65491594-16
NR10519--MA0511.2.RUNX2	chr9	55285420	55285428	-	0.000	0.000	Merged-chr9-55285466-14
NR3434--MA0684.1.RUNX3	chr14	36932188	36932197	+	0.000	0.000	Merged-chr14-36932132-23
NR4860--MA0684.1.RUNX3	chr17	50148363	50148372	-	0.000	0.000	Merged-chr17-50148334-29
NR116--MA0002.2.RUNX1	chr1	43888668	43888678	+	0.000	0.000	Merged-chr1-43888618-32
NR844--MA0002.2.RUNX1	chr1	189085364	189085374	-	0.000	0.000	Merged-chr1-189085418-26
NR5716--MA0511.2.RUNX2	chr19	60681736	60681744	+	0.000	0.000	Merged-chr19-60681647-27
NR800--MA0511.2.RUNX2	chr1	182543463	182543471	+	0.000	0.000	Merged-chr1-182543382-10
NR10406--MA0684.1.RUNX3	chr9	15526089	15526098	+	0.000	0.000	Merged-chr9-15526156-7
NR9040--MA0684.1.RUNX3	chr6	130342279	130342288	+	0.000	0.000	Merged-chr6-130342331-49
NR6838--MA0002.2.RUNX1	chr3	101588933	101588943	-	0.000	0.000	Merged-chr3-101588946-10
NR8852--MA0684.1.RUNX3	chr6	108630933	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR1096--MA0002.2.RUNX1	chr10	66953971	66953981	+	0.000	0.000	Merged-chr10-66953660-61
NR4601--MA0002.2.RUNX1	chr16	94660419	94660429	+	0.000	0.000	Merged-chr16-94660460-20
NR3285--MA0684.1.RUNX3	chr13	113227209	113227218	-	0.000	0.000	Merged-chr13-113227278-10
NR443--MA0002.2.RUNX1	chr1	127619488	127619498	+	0.000	0.000	Merged-chr1-127619429-18
NR10419--MA0684.1.RUNX3	chr9	22641248	22641257	-	0.000	0.000	Merged-chr9-22641148-30
NR10432--MA0511.2.RUNX2	chr9	32394805	32394813	-	0.000	0.000	Merged-chr9-32394945-22
NR5759--MA0684.1.RUNX3	chr2	11040240	11040249	+	0.000	0.000	Merged-chr2-11040200-20
NR7181--MA0511.2.RUNX2	chr3	157803538	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR6437--MA0002.2.RUNX1	chr2	165033436	165033446	+	0.000	0.000	Merged-chr2-165033457-6
NR6708--MA0002.2.RUNX1	chr3	68789751	68789761	-	0.000	0.000	Merged-chr3-68789660-34
NR2954--MA0684.1.RUNX3	chr13	55641101	55641110	+	0.000	0.000	Merged-chr13-55640933-22
NR7419--MA0002.2.RUNX1	chr4	89006906	89006916	+	0.000	0.000	Merged-chr4-89006979-10
NR17--MA0002.2.RUNX1	chr1	13559517	13559527	-	0.000	0.000	Merged-chr1-13559747-54
NR700--MA0684.1.RUNX3	chr1	171939569	171939578	+	0.000	0.000	Merged-chr1-171939454-57
NR8845--MA0002.2.RUNX1	chr6	108310098	108310108	-	0.000	0.000	Merged-chr6-108310107-36
NR6850--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR6275--MA0002.2.RUNX1	chr2	136987995	136988005	+	0.000	0.000	Merged-chr2-136988057-20
NR10588--MA0511.2.RUNX2	chr9	64564426	64564434	+	0.000	0.000	Merged-chr9-64564548-10
NR456--MA0002.2.RUNX1	chr1	128570220	128570230	-	0.000	0.000	Merged-chr1-128570257-50
NR4181--MA0002.2.RUNX1	chr16	4584024	4584034	-	0.000	0.000	Merged-chr16-4584045-35
NR7386--MA0684.1.RUNX3	chr4	83234308	83234317	+	0.000	0.000	Merged-chr4-83234214-31
NR2715--MA0684.1.RUNX3	chr12	118439165	118439174	+	0.000	0.000	Merged-chr12-118439012-3
NR6803--MA0684.1.RUNX3	chr3	94916042	94916051	+	0.000	0.000	Merged-chr3-94916123-28
NR1078--MA0511.2.RUNX2	chr10	60290310	60290318	-	0.000	0.000	Merged-chr10-60290356-31
NR171--MA0684.1.RUNX3	chr1	59180217	59180226	+	0.000	0.000	Merged-chr1-59180254-19
NR3850--MA0002.2.RUNX1	chr15	36243908	36243918	-	0.000	0.000	Merged-chr15-36243882-12
NR6241--MA0002.2.RUNX1	chr2	130555012	130555022	+	0.000	0.000	Merged-chr2-130555023-33
NR4356--MA0002.2.RUNX1	chr16	44811726	44811736	-	0.000	0.000	Merged-chr16-44811713-22
NR11153--MA0002.2.RUNX1	chrX	102037244	102037254	+	0.000	0.000	Merged-chrX-102037181-28
NR8050--MA0684.1.RUNX3	chr5	75791956	75791965	+	0.000	0.000	Merged-chr5-75792010-32
NR6416--MA0002.2.RUNX1	chr2	164017213	164017223	+	0.000	0.000	Merged-chr2-164017275-1
NR5891--MA0002.2.RUNX1	chr2	48249784	48249794	-	0.000	0.000	Merged-chr2-48249744-17
NR10088--MA0002.2.RUNX1	chr8	83086764	83086774	+	0.000	0.000	Merged-chr8-83086902-25
NR2642--MA0002.2.RUNX1	chr12	114108980	114108990	+	0.000	0.000	Merged-chr12-114109126-31
NR9015--MA0511.2.RUNX2	chr6	129598094	129598102	+	0.000	0.000	Merged-chr6-129598126-11
NR7064--MA0511.2.RUNX2	chr3	142207653	142207661	-	0.000	0.000	Merged-chr3-142207646-13
NR3148--MA0002.2.RUNX1	chr13	98692165	98692175	-	0.000	0.000	Merged-chr13-98692096-35
NR5179--MA0511.2.RUNX2	chr18	34827831	34827839	-	0.000	0.000	Merged-chr18-34827772-23
NR10197--MA0002.2.RUNX1	chr8	111998969	111998979	-	0.000	0.000	Merged-chr8-111998914-9
NR10219--MA0511.2.RUNX2	chr8	115450956	115450964	-	0.000	0.000	Merged-chr8-115450993-14
NR5288--MA0511.2.RUNX2	chr18	65691625	65691633	+	0.000	0.000	Merged-chr18-65691617-34
NR9839--MA0684.1.RUNX3	chr7	140981913	140981922	+	0.000	0.000	Merged-chr7-140982058-21
NR4954--MA0002.2.RUNX1	chr17	71288303	71288313	+	0.000	0.000	Merged-chr17-71288308-17
NR4910--MA0511.2.RUNX2	chr17	57183081	57183089	-	0.000	0.000	Merged-chr17-57183114-28
NR8771--MA0002.2.RUNX1	chr6	90583352	90583362	+	0.000	0.000	Merged-chr6-90583387-2
NR6015--MA0002.2.RUNX1	chr2	72535996	72536006	+	0.000	0.000	Merged-chr2-72536133-16
NR4020--MA0511.2.RUNX2	chr15	80319603	80319611	-	0.000	0.000	Merged-chr15-80319451-11
NR6809--MA0002.2.RUNX1	chr3	95697805	95697815	-	0.000	0.000	Merged-chr3-95697809-14
NR4858--MA0002.2.RUNX1	chr17	50148362	50148372	+	0.000	0.000	Merged-chr17-50148334-29
NR2512--MA0002.2.RUNX1	chr12	99633809	99633819	+	0.000	0.000	Merged-chr12-99633921-16
NR7821--MA0002.2.RUNX1	chr5	10254861	10254871	+	0.000	0.000	Merged-chr5-10254903-14
NR9408--MA0511.2.RUNX2	chr7	72114849	72114857	+	0.000	0.000	Merged-chr7-72114875-2
NR8532--MA0002.2.RUNX1	chr6	32779623	32779633	+	0.000	0.000	Merged-chr6-32779774-10
NR6918--MA0002.2.RUNX1	chr3	117728497	117728507	-	0.000	0.000	Merged-chr3-117728445-14
NR9309--MA0002.2.RUNX1	chr7	30086435	30086445	-	0.000	0.000	Merged-chr7-30086479-1
NR9438--MA0684.1.RUNX3	chr7	75891661	75891670	-	0.000	0.000	Merged-chr7-75891656-12
NR2002--MA0002.2.RUNX1	chr11	98948109	98948119	-	0.000	0.000	Merged-chr11-98948156-24
NR8165--MA0002.2.RUNX1	chr5	105313659	105313669	-	0.000	0.000	Merged-chr5-105313637-29
NR4953--MA0684.1.RUNX3	chr17	71216502	71216511	-	0.000	0.000	Merged-chr17-71216494-9
NR9103--MA0511.2.RUNX2	chr6	137795425	137795433	+	0.000	0.000	Merged-chr6-137795480-24
NR10576--MA0684.1.RUNX3	chr9	62020497	62020506	+	0.000	0.000	Merged-chr9-62020503-14
NR4810--MA0684.1.RUNX3	chr17	35246463	35246472	-	0.000	0.000	Merged-chr17-35246340-22
NR2383--MA0684.1.RUNX3	chr12	78356654	78356663	+	0.000	0.000	Merged-chr12-78356695-8
NR6408--MA0002.2.RUNX1	chr2	163084463	163084473	+	0.000	0.000	Merged-chr2-163084384-15
NR2191--MA0511.2.RUNX2	chr12	11300798	11300806	-	0.000	0.000	Merged-chr12-11300955-23
NR1652--MA0002.2.RUNX1	chr11	36001052	36001062	-	0.000	0.000	Merged-chr11-36000971-2
NR4172--MA0684.1.RUNX3	chr16	3982463	3982472	+	0.000	0.000	Merged-chr16-3982293-15
NR2015--MA0002.2.RUNX1	chr11	100291458	100291468	-	0.000	0.000	Merged-chr11-100291434-14
NR2366--MA0511.2.RUNX2	chr12	73702205	73702213	+	0.000	0.000	Merged-chr12-73702200-1
NR2889--MA0511.2.RUNX2	chr13	41302822	41302830	+	0.000	0.000	Merged-chr13-41302926-20
NR4675--MA0002.2.RUNX1	chr17	12163000	12163010	+	0.000	0.000	Merged-chr17-12163028-32
NR7009--MA0684.1.RUNX3	chr3	135662285	135662294	-	0.000	0.000	Merged-chr3-135662466-47
NR2124--MA0002.2.RUNX1	chr11	115366303	115366313	-	0.000	0.000	Merged-chr11-115366369-13
NR3550--MA0002.2.RUNX1	chr14	63377573	63377583	-	0.000	0.000	Merged-chr14-63377518-21
NR10298--MA0002.2.RUNX1	chr8	123341811	123341821	+	0.000	0.000	Merged-chr8-123341706-13
NR473--MA0511.2.RUNX2	chr1	131993387	131993395	+	0.000	0.000	Merged-chr1-131993308-10
NR5--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR2091--MA0684.1.RUNX3	chr11	109694174	109694183	-	0.000	0.000	Merged-chr11-109694201-12
NR10059--MA0002.2.RUNX1	chr8	77269032	77269042	-	0.000	0.000	Merged-chr8-77268946-1
NR1902--MA0002.2.RUNX1	chr11	83649493	83649503	-	0.000	0.000	Merged-chr11-83649434-27
NR1760--MA0684.1.RUNX3	chr11	58829921	58829930	+	0.000	0.000	Merged-chr11-58829916-12
NR2759--MA0511.2.RUNX2	chr13	9360279	9360287	-	0.000	0.000	Merged-chr13-9360244-14
NR10538--MA0511.2.RUNX2	chr9	57300341	57300349	-	0.000	0.000	Merged-chr9-57300223-10
NR2389--MA0002.2.RUNX1	chr12	79456256	79456266	+	0.000	0.000	Merged-chr12-79456305-9
NR6847--MA0511.2.RUNX2	chr3	102748759	102748767	-	0.000	0.000	Merged-chr3-102748787-20
NR406--MA0002.2.RUNX1	chr1	118511502	118511512	+	0.000	0.000	Merged-chr1-118511443-9
NR10168--MA0002.2.RUNX1	chr8	106643193	106643203	+	0.000	0.000	Merged-chr8-106643215-49
NR4802--MA0684.1.RUNX3	chr17	34630398	34630407	-	0.000	0.000	Merged-chr17-34630470-19
