#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR1918--MA0690.1.TBX21	chr8	127786411	127786420	-	0.000	0.000	Merged-chr8-127786382-2
NR1722--MA0690.1.TBX21	chr7	84192460	84192469	-	0.000	0.000	Merged-chr7-84192440-15
NR1878--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR1639--MA0690.1.TBX21	chr6	134174875	134174884	+	0.000	0.000	Merged-chr6-134175051-22
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR933--MA0690.1.TBX21	chr19	24175380	24175389	-	0.000	0.000	Merged-chr19-24175252-8
NR946--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR1151--MA0690.1.TBX21	chr3	51495667	51495676	-	0.000	0.000	Merged-chr3-51495816-13
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR362--MA0690.1.TBX21	chr12	21468115	21468124	+	0.000	0.000	Merged-chr12-21468092-6
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR713--MA0690.1.TBX21	chr16	32229249	32229258	+	0.000	0.000	Merged-chr16-32229198-4
NR1597--MA0690.1.TBX21	chr6	99631733	99631742	-	0.000	0.000	Merged-chr6-99631666-11
NR216--MA0690.1.TBX21	chr10	60189916	60189925	-	0.000	0.000	Merged-chr10-60189958-4
NR1228--MA0690.1.TBX21	chr3	141758577	141758586	-	0.000	0.000	Merged-chr3-141758420-5
NR1175--MA0690.1.TBX21	chr3	86693972	86693981	+	0.000	0.000	Merged-chr3-86693783-4
NR373--MA0690.1.TBX21	chr12	41340482	41340491	+	0.000	0.000	Merged-chr12-41340383-18
NR548--MA0690.1.TBX21	chr14	7864737	7864746	+	0.000	0.000	Merged-chr14-7864865-9
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR649--MA0690.1.TBX21	chr15	37436180	37436189	+	0.000	0.000	Merged-chr15-37436235-28
NR105--MA0690.1.TBX21	chr1	137799073	137799082	-	0.000	0.000	Merged-chr1-137799060-11
NR1962--MA0690.1.TBX21	chr9	78845376	78845385	-	0.000	0.000	Merged-chr9-78845462-22
NR1723--MA0690.1.TBX21	chr7	84596947	84596956	+	0.000	0.000	Merged-chr7-84596846-5
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR174--MA0690.1.TBX21	chr10	13475354	13475363	-	0.000	0.000	Merged-chr10-13475400-5
NR445--MA0690.1.TBX21	chr13	37007561	37007570	+	0.000	0.000	Merged-chr13-37007584-10
NR187--MA0690.1.TBX21	chr10	26630361	26630370	-	0.000	0.000	Merged-chr10-26630459-16
NR1662--MA0690.1.TBX21	chr6	146538318	146538327	-	0.000	0.000	Merged-chr6-146538267-8
NR1532--MA0690.1.TBX21	chr6	30162226	30162235	+	0.000	0.000	Merged-chr6-30162256-14
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
NR1816--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR397--MA0690.1.TBX21	chr12	91328801	91328810	-	0.000	0.000	Merged-chr12-91328902-3
