#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1863--MA0766.1.GATA5	chr13	44089108	44089115	-	0.000	0.000	Merged-chr13-44088979-30
NR5499--MA0140.2.GATA1::TAL1	chr6	49973808	49973825	-	0.000	0.000	Merged-chr6-49973713-27
NR1486--MA0036.3.GATA2	chr12	32183054	32183064	+	0.000	0.000	Merged-chr12-32183013-17
NR1619--MA0035.3.Gata1	chr12	97269745	97269755	+	0.000	0.000	Merged-chr12-97269671-1
NR1462--MA0766.1.GATA5	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR6046--MA0036.3.GATA2	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR1721--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR38--MA0037.3.GATA3	chr1	39954905	39954912	+	0.000	0.000	Merged-chr1-39954782-26
NR4331--MA0140.2.GATA1::TAL1	chr3	51701204	51701221	+	0.000	0.000	Merged-chr3-51701450-64
NR6715--MA0140.2.GATA1::TAL1	chr9	44565610	44565627	+	0.000	0.000	Merged-chr9-44565580-5
NR5091--MA0035.3.Gata1	chr5	20792370	20792380	-	0.000	0.000	Merged-chr5-20792282-29
NR6329--MA0140.2.GATA1::TAL1	chr7	143052807	143052824	-	0.000	0.000	Merged-chr7-143053012-41
NR5404--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR1301--MA0036.3.GATA2	chr11	98487788	98487798	-	0.000	0.000	Merged-chr11-98487809-30
NR1952--MA1104.1.GATA6	chr13	81690699	81690711	+	0.000	0.000	Merged-chr13-81690701-7
NR5511--MA0036.3.GATA2	chr6	59315104	59315114	-	0.000	0.000	Merged-chr6-59315196-15
NR4089--MA0766.1.GATA5	chr2	138245854	138245861	+	0.000	0.000	Merged-chr2-138245729-1
NR3139--MA0766.1.GATA5	chr17	73096655	73096662	+	0.000	0.000	Merged-chr17-73096591-8
NR6450--MA0766.1.GATA5	chr8	84813348	84813355	+	0.000	0.000	Merged-chr8-84813219-19
NR1463--MA0035.3.Gata1	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR5405--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR5301--MA0482.1.Gata4	chr5	120631365	120631375	+	0.000	0.000	Merged-chr5-120631355-14
NR7132--MA0766.1.GATA5	chrX	107421595	107421602	+	0.000	0.000	Merged-chrX-107421546-18
NR1173--MA0140.2.GATA1::TAL1	chr11	66906100	66906117	-	0.000	0.000	Merged-chr11-66906049-23
NR3103--MA0482.1.Gata4	chr17	64285007	64285017	+	0.000	0.000	Merged-chr17-64284858-2
NR5144--MA0482.1.Gata4	chr5	37147598	37147608	+	0.000	0.000	Merged-chr5-37147664-17
NR6451--MA0035.3.Gata1	chr8	84813346	84813356	-	0.000	0.000	Merged-chr8-84813219-19
NR3106--MA0035.3.Gata1	chr17	64285006	64285016	+	0.000	0.000	Merged-chr17-64284858-2
NR5917--MA0482.1.Gata4	chr7	19086248	19086258	-	0.000	0.000	Merged-chr7-19086207-16
NR852--MA0482.1.Gata4	chr10	84790490	84790500	-	0.000	0.000	Merged-chr10-84790504-13
NR5519--MA0035.3.Gata1	chr6	61263455	61263465	-	0.000	0.000	Merged-chr6-61263601-18
NR3104--MA1104.1.GATA6	chr17	64285005	64285017	-	0.000	0.000	Merged-chr17-64284858-2
NR5403--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR3448--MA0482.1.Gata4	chr18	80041857	80041867	-	0.000	0.000	Merged-chr18-80041946-55
NR5145--MA1104.1.GATA6	chr5	37147596	37147608	-	0.000	0.000	Merged-chr5-37147664-17
NR1862--MA0036.3.GATA2	chr13	44089107	44089117	+	0.000	0.000	Merged-chr13-44088979-30
NR1860--MA0037.3.GATA3	chr13	44089108	44089115	-	0.000	0.000	Merged-chr13-44088979-30
NR5918--MA1104.1.GATA6	chr7	19086248	19086260	+	0.000	0.000	Merged-chr7-19086207-16
NR5921--MA0035.3.Gata1	chr7	19086249	19086259	-	0.000	0.000	Merged-chr7-19086207-16
NR7131--MA1104.1.GATA6	chrX	107421592	107421604	+	0.000	0.000	Merged-chrX-107421546-18
NR1711--MA0036.3.GATA2	chr12	115605183	115605193	+	0.000	0.000	Merged-chr12-115605160-24
NR6589--MA0037.3.GATA3	chr8	122923734	122923741	+	0.000	0.000	Merged-chr8-122923631-1
NR4792--MA0482.1.Gata4	chr4	40183012	40183022	+	0.000	0.000	Merged-chr4-40183077-21
NR5300--MA0037.3.GATA3	chr5	120631365	120631372	-	0.000	0.000	Merged-chr5-120631355-14
NR4795--MA0035.3.Gata1	chr4	40183011	40183021	+	0.000	0.000	Merged-chr4-40183077-21
NR1990--MA0035.3.Gata1	chr13	89965600	89965610	+	0.000	0.000	Merged-chr13-89965778-3
NR4088--MA0036.3.GATA2	chr2	138245852	138245862	-	0.000	0.000	Merged-chr2-138245729-1
NR1857--MA0037.3.GATA3	chr13	43191941	43191948	-	0.000	0.000	Merged-chr13-43191968-21
NR3792--MA0035.3.Gata1	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR5143--MA0037.3.GATA3	chr5	37147598	37147605	-	0.000	0.000	Merged-chr5-37147664-17
NR4793--MA1104.1.GATA6	chr4	40183010	40183022	-	0.000	0.000	Merged-chr4-40183077-21
NR5916--MA0037.3.GATA3	chr7	19086251	19086258	+	0.000	0.000	Merged-chr7-19086207-16
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR3996--MA0482.1.Gata4	chr2	106985121	106985131	+	0.000	0.000	Merged-chr2-106985167-21
NR1953--MA0036.3.GATA2	chr13	81690700	81690710	-	0.000	0.000	Merged-chr13-81690701-7
NR1487--MA0766.1.GATA5	chr12	32183055	32183062	-	0.000	0.000	Merged-chr12-32183013-17
NR6047--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR5302--MA0766.1.GATA5	chr5	120631365	120631372	-	0.000	0.000	Merged-chr5-120631355-14
NR1804--MA0482.1.Gata4	chr13	24655004	24655014	-	0.000	0.000	Merged-chr13-24655048-11
NR1302--MA0766.1.GATA5	chr11	98487790	98487797	+	0.000	0.000	Merged-chr11-98487809-30
NR3997--MA1104.1.GATA6	chr2	106985119	106985131	-	0.000	0.000	Merged-chr2-106985167-21
NR5406--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR1806--MA0140.2.GATA1::TAL1	chr13	24654996	24655013	-	0.000	0.000	Merged-chr13-24655048-11
NR1488--MA0035.3.Gata1	chr12	32183054	32183064	+	0.000	0.000	Merged-chr12-32183013-17
NR1987--MA0482.1.Gata4	chr13	89965601	89965611	+	0.000	0.000	Merged-chr13-89965778-3
NR6048--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR1861--MA1104.1.GATA6	chr13	44089106	44089118	-	0.000	0.000	Merged-chr13-44088979-30
NR4086--MA0482.1.Gata4	chr2	138245851	138245861	-	0.000	0.000	Merged-chr2-138245729-1
NR1460--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR4059--MA0140.2.GATA1::TAL1	chr2	124634793	124634810	-	0.000	0.000	Merged-chr2-124634585-20
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR1618--MA0766.1.GATA5	chr12	97269746	97269753	-	0.000	0.000	Merged-chr12-97269671-1
NR1988--MA1104.1.GATA6	chr13	89965599	89965611	-	0.000	0.000	Merged-chr13-89965778-3
NR6590--MA0766.1.GATA5	chr8	122923734	122923741	+	0.000	0.000	Merged-chr8-122923631-1
NR1299--MA0482.1.Gata4	chr11	98487787	98487797	-	0.000	0.000	Merged-chr11-98487809-30
NR4087--MA1104.1.GATA6	chr2	138245851	138245863	+	0.000	0.000	Merged-chr2-138245729-1
NR3995--MA0037.3.GATA3	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4090--MA0035.3.Gata1	chr2	138245852	138245862	-	0.000	0.000	Merged-chr2-138245729-1
NR3105--MA0036.3.GATA2	chr17	64285006	64285016	+	0.000	0.000	Merged-chr17-64284858-2
NR5146--MA0036.3.GATA2	chr5	37147597	37147607	+	0.000	0.000	Merged-chr5-37147664-17
NR4937--MA0036.3.GATA2	chr4	127055720	127055730	-	0.000	0.000	Merged-chr4-127055699-1
NR7015--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
