#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR157--MA0768.1.LEF1	chr1	160054590	160054604	+	0.000	0.000	Merged-chr1-160054348-51
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR1001--MA0768.1.LEF1	chr16	29978013	29978027	+	0.000	0.000	Merged-chr16-29977874-22
NR1471--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR230--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR477--MA0768.1.LEF1	chr12	21472605	21472619	-	0.000	0.000	Merged-chr12-21472738-21
NR249--MA0768.1.LEF1	chr10	41615634	41615648	+	0.000	0.000	Merged-chr10-41615681-31
NR22--MA0768.1.LEF1	chr1	37300856	37300870	-	0.000	0.000	Merged-chr1-37301008-22
NR774--MA0768.1.LEF1	chr14	36316954	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR242--MA0768.1.LEF1	chr10	30656437	30656451	-	0.000	0.000	Merged-chr10-30656526-1
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2242--MA0768.1.LEF1	chr6	100841657	100841671	-	0.000	0.000	Merged-chr6-100841733-15
NR1385--MA0768.1.LEF1	chr2	13560675	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR1139--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR2037--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR1077--MA0768.1.LEF1	chr16	92743981	92743995	+	0.000	0.000	Merged-chr16-92743989-33
NR1516--MA0768.1.LEF1	chr2	107005953	107005967	+	0.000	0.000	Merged-chr2-107005967-12
NR736--MA0768.1.LEF1	chr13	117051689	117051703	+	0.000	0.000	Merged-chr13-117051602-40
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR2656--MA0768.1.LEF1	chr9	80082423	80082437	+	0.000	0.000	Merged-chr9-80082362-35
NR2254--MA0768.1.LEF1	chr6	108512289	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR286--MA0768.1.LEF1	chr10	70181036	70181050	-	0.000	0.000	Merged-chr10-70181073-91
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR798--MA0768.1.LEF1	chr14	54578411	54578425	+	0.000	0.000	Merged-chr14-54578277-39
NR337--MA0768.1.LEF1	chr10	109115278	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1256--MA0768.1.LEF1	chr18	66453474	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR485--MA0768.1.LEF1	chr12	32099792	32099806	+	0.000	0.000	Merged-chr12-32099741-8
NR2588--MA0768.1.LEF1	chr9	24413807	24413821	+	0.000	0.000	Merged-chr9-24413892-11
NR1073--MA0768.1.LEF1	chr16	90277000	90277014	-	0.000	0.000	Merged-chr16-90277146-33
NR406--MA0768.1.LEF1	chr11	64021026	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR2755--MA0768.1.LEF1	chrX	132288201	132288215	+	0.000	0.000	Merged-chrX-132288230-18
NR2143--MA0768.1.LEF1	chr6	5147853	5147867	+	0.000	0.000	Merged-chr6-5148035-17
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
