#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_up.bed
NR21399--MA0039.3.KLF4	chr15	36364943	36364953	+	0.000	0.000	Merged-chr15-36365016-4
NR12457--MA0741.1.KLF16	chr11	113802542	113802552	-	0.000	0.000	Merged-chr11-113802652-27
NR57014--MA0493.1.Klf1	chr7	67444546	67444556	-	0.000	0.000	Merged-chr7-67444614-20
NR15277--MA0493.1.Klf1	chr12	112699400	112699410	+	0.000	0.000	Merged-chr12-112699364-12
NR64482--MA0493.1.Klf1	chr9	62412491	62412501	+	0.000	0.000	Merged-chr9-62412387-14
NR64114--MA0039.3.KLF4	chr9	50325539	50325549	-	0.000	0.000	Merged-chr9-50325609-2
NR26752--MA0741.1.KLF16	chr17	29345513	29345523	+	0.000	0.000	Merged-chr17-29345464-1
NR18789--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR31896--MA0493.1.Klf1	chr19	33164692	33164702	-	0.000	0.000	Merged-chr19-33164881-15
NR26818--MA0741.1.KLF16	chr17	31077831	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR37194--MA0741.1.KLF16	chr2	157071724	157071734	-	0.000	0.000	Merged-chr2-157071692-20
NR19380--MA0741.1.KLF16	chr14	54146703	54146713	+	0.000	0.000	Merged-chr14-54146707-32
NR45274--MA0493.1.Klf1	chr4	134059064	134059074	+	0.000	0.000	Merged-chr4-134059039-2
NR32645--MA1107.1.KLF9	chr19	56703367	56703379	+	0.000	0.000	Merged-chr19-56703417-11
NR64035--MA0599.1.KLF5	chr9	45329725	45329734	-	0.000	0.000	Merged-chr9-45329808-12
NR14881--MA0493.1.Klf1	chr12	104999354	104999364	+	0.000	0.000	Merged-chr12-104999417-2
NR2913--MA0493.1.Klf1	chr1	156464661	156464671	-	0.000	0.000	Merged-chr1-156464548-8
NR21404--MA1107.1.KLF9	chr15	36446309	36446321	+	0.000	0.000	Merged-chr15-36446402-2
NR54210--MA0493.1.Klf1	chr6	131276846	131276856	-	0.000	0.000	Merged-chr6-131276753-31
NR31788--MA1107.1.KLF9	chr19	29194022	29194034	+	0.000	0.000	Merged-chr19-29193940-1
NR52442--MA0740.1.KLF14	chr6	61270465	61270478	+	0.000	0.000	Merged-chr6-61270558-8
NR47784--MA0039.3.KLF4	chr5	64864834	64864844	+	0.000	0.000	Merged-chr5-64864889-25
NR51401--MA1107.1.KLF9	chr6	5295226	5295238	+	0.000	0.000	Merged-chr6-5295174-26
NR22284--MA0493.1.Klf1	chr15	78926264	78926274	+	0.000	0.000	Merged-chr15-78926202-1
NR48762--MA0039.3.KLF4	chr5	100572395	100572405	-	0.000	0.000	Merged-chr5-100572278-24
NR24226--MA1107.1.KLF9	chr16	32434126	32434138	+	0.000	0.000	Merged-chr16-32434269-25
NR14769--MA0741.1.KLF16	chr12	103103784	103103794	-	0.000	0.000	Merged-chr12-103103779-12
NR53455--MA0039.3.KLF4	chr6	108630899	108630909	+	0.000	0.000	Merged-chr6-108631007-44
NR51653--MA0599.1.KLF5	chr6	28410194	28410203	-	0.000	0.000	Merged-chr6-28410269-14
NR12491--MA0493.1.Klf1	chr11	114361137	114361147	+	0.000	0.000	Merged-chr11-114361301-1
NR63942--MA0039.3.KLF4	chr9	44037382	44037392	-	0.000	0.000	Merged-chr9-44037294-17
NR51992--MA1107.1.KLF9	chr6	47532777	47532789	+	0.000	0.000	Merged-chr6-47532703-8
NR18000--MA1107.1.KLF9	chr13	108170114	108170126	+	0.000	0.000	Merged-chr13-108170237-20
NR10124--MA0741.1.KLF16	chr11	60937982	60937992	-	0.000	0.000	Merged-chr11-60937827-26
NR40075--MA1107.1.KLF9	chr3	100812087	100812099	+	0.000	0.000	Merged-chr3-100812047-20
NR26751--MA0493.1.Klf1	chr17	29345512	29345522	+	0.000	0.000	Merged-chr17-29345464-1
NR35235--MA0493.1.Klf1	chr2	92243970	92243980	-	0.000	0.000	Merged-chr2-92243919-9
NR65218--MA1107.1.KLF9	chr9	85470414	85470426	-	0.000	0.000	Merged-chr9-85470523-14
NR9455--MA0599.1.KLF5	chr11	43362634	43362643	+	0.000	0.000	Merged-chr11-43362621-15
NR28026--MA1107.1.KLF9	chr17	64740321	64740333	-	0.000	0.000	Merged-chr17-64740384-4
NR707--MA1107.1.KLF9	chr1	53852272	53852284	-	0.000	0.000	Merged-chr1-53852404-19
NR33987--MA0599.1.KLF5	chr2	35729772	35729781	+	0.000	0.000	Merged-chr2-35729635-16
NR61230--MA1107.1.KLF9	chr8	72162998	72163010	+	0.000	0.000	Merged-chr8-72162977-17
NR33629--MA0599.1.KLF5	chr2	29820464	29820473	+	0.000	0.000	Merged-chr2-29820454-25
NR25321--MA0493.1.Klf1	chr16	91588189	91588199	+	0.000	0.000	Merged-chr16-91588038-25
NR18327--MA1107.1.KLF9	chr13	114444902	114444914	+	0.000	0.000	Merged-chr13-114444756-1
NR54709--MA0741.1.KLF16	chr6	142835010	142835020	+	0.000	0.000	Merged-chr6-142835169-31
NR45633--MA0599.1.KLF5	chr4	138033652	138033661	-	0.000	0.000	Merged-chr4-138033707-13
NR52147--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR39501--MA0599.1.KLF5	chr3	87960828	87960837	+	0.000	0.000	Merged-chr3-87960988-36
NR45386--MA0741.1.KLF16	chr4	135068052	135068062	-	0.000	0.000	Merged-chr4-135068016-12
NR30013--MA0039.3.KLF4	chr18	62089808	62089818	-	0.000	0.000	Merged-chr18-62089904-13
NR3133--MA0740.1.KLF14	chr1	161791976	161791989	-	0.000	0.000	Merged-chr1-161792020-2
NR10503--MA0039.3.KLF4	chr11	70473450	70473460	-	0.000	0.000	Merged-chr11-70473545-6
NR33499--MA0741.1.KLF16	chr2	27487420	27487430	-	0.000	0.000	Merged-chr2-27487515-13
NR51075--MA0493.1.Klf1	chr5	146260300	146260310	-	0.000	0.000	Merged-chr5-146260309-1
NR54863--MA0740.1.KLF14	chr6	144664961	144664974	+	0.000	0.000	Merged-chr6-144664964-20
NR54285--MA0742.1.Klf12	chr6	134014643	134014657	-	0.000	0.000	Merged-chr6-134014705-25
NR66163--MA0741.1.KLF16	chr9	110896831	110896841	-	0.000	0.000	Merged-chr9-110896831-29
NR34862--MA0599.1.KLF5	chr2	75119361	75119370	-	0.000	0.000	Merged-chr2-75119235-19
NR66434--MA0741.1.KLF16	chr9	116241446	116241456	+	0.000	0.000	Merged-chr9-116241562-13
NR64483--MA0741.1.KLF16	chr9	62412492	62412502	+	0.000	0.000	Merged-chr9-62412387-14
NR30560--MA0742.1.Klf12	chr18	75456872	75456886	+	0.000	0.000	Merged-chr18-75456941-6
NR42801--MA1107.1.KLF9	chr4	42866024	42866036	+	0.000	0.000	Merged-chr4-42865977-16
NR10615--MA0039.3.KLF4	chr11	73132362	73132372	+	0.000	0.000	Merged-chr11-73132319-6
NR11951--MA0039.3.KLF4	chr11	102074301	102074311	+	0.000	0.000	Merged-chr11-102074455-23
NR25554--MA0493.1.Klf1	chr16	96458171	96458181	-	0.000	0.000	Merged-chr16-96458026-3
NR30722--MA0599.1.KLF5	chr18	80600738	80600747	-	0.000	0.000	Merged-chr18-80600681-25
NR47579--MA1107.1.KLF9	chr5	45535750	45535762	+	0.000	0.000	Merged-chr5-45535745-1
NR45632--MA0742.1.Klf12	chr4	138033648	138033662	-	0.000	0.000	Merged-chr4-138033707-13
NR19342--MA0599.1.KLF5	chr14	53362256	53362265	-	0.000	0.000	Merged-chr14-53362328-16
NR28458--MA0741.1.KLF16	chr17	80441970	80441980	-	0.000	0.000	Merged-chr17-80441791-30
NR44874--MA0493.1.Klf1	chr4	129060106	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR18988--MA0742.1.Klf12	chr14	33099380	33099394	+	0.000	0.000	Merged-chr14-33099452-34
NR40514--MA1107.1.KLF9	chr3	115706552	115706564	+	0.000	0.000	Merged-chr3-115706402-1
NR62572--MA0599.1.KLF5	chr8	117548551	117548560	-	0.000	0.000	Merged-chr8-117548585-70
NR56520--MA0493.1.Klf1	chr7	45120443	45120453	-	0.000	0.000	Merged-chr7-45120364-12
NR42108--MA0493.1.Klf1	chr3	154628486	154628496	+	0.000	0.000	Merged-chr3-154628476-23
NR33331--MA0742.1.Klf12	chr2	25148073	25148087	+	0.000	0.000	Merged-chr2-25148103-14
NR36930--MA0599.1.KLF5	chr2	151581107	151581116	-	0.000	0.000	Merged-chr2-151581099-26
NR37670--MA0493.1.Klf1	chr2	166754508	166754518	+	0.000	0.000	Merged-chr2-166754668-37
NR39867--MA0740.1.KLF14	chr3	95995717	95995730	+	0.000	0.000	Merged-chr3-95995619-1
NR37077--MA0741.1.KLF16	chr2	154615972	154615982	+	0.000	0.000	Merged-chr2-154615883-15
NR2716--MA1107.1.KLF9	chr1	151613463	151613475	+	0.000	0.000	Merged-chr1-151613371-29
NR3080--MA0740.1.KLF14	chr1	160307373	160307386	+	0.000	0.000	Merged-chr1-160307254-61
NR57704--MA0493.1.Klf1	chr7	97625722	97625732	-	0.000	0.000	Merged-chr7-97625910-13
NR46821--MA0493.1.Klf1	chr5	19923945	19923955	-	0.000	0.000	Merged-chr5-19924023-2
NR26221--MA0741.1.KLF16	chr17	19435235	19435245	+	0.000	0.000	Merged-chr17-19435269-18
NR65394--MA0599.1.KLF5	chr9	94453391	94453400	+	0.000	0.000	Merged-chr9-94453263-19
NR28704--MA0742.1.Klf12	chr17	85908829	85908843	+	0.000	0.000	Merged-chr17-85908968-35
NR65116--MA0493.1.Klf1	chr9	79947684	79947694	-	0.000	0.000	Merged-chr9-79947658-22
NR39417--MA0742.1.Klf12	chr3	84630933	84630947	-	0.000	0.000	Merged-chr3-84630888-13
NR47906--MA1107.1.KLF9	chr5	67155754	67155766	+	0.000	0.000	Merged-chr5-67155759-12
NR54144--MA0599.1.KLF5	chr6	128634537	128634546	+	0.000	0.000	Merged-chr6-128634643-10
NR26676--MA0599.1.KLF5	chr17	28488304	28488313	+	0.000	0.000	Merged-chr17-28488439-21
NR54289--MA0741.1.KLF16	chr6	134014646	134014656	-	0.000	0.000	Merged-chr6-134014705-25
NR59449--MA1107.1.KLF9	chr7	139075220	139075232	-	0.000	0.000	Merged-chr7-139075138-3
NR59822--MA0741.1.KLF16	chr7	145141144	145141154	+	0.000	0.000	Merged-chr7-145141078-1
NR16537--MA0741.1.KLF16	chr13	54073629	54073639	+	0.000	0.000	Merged-chr13-54073650-18
NR29850--MA0741.1.KLF16	chr18	56871834	56871844	-	0.000	0.000	Merged-chr18-56871976-16
NR42116--MA0039.3.KLF4	chr3	154628508	154628518	+	0.000	0.000	Merged-chr3-154628476-23
NR33419--MA0599.1.KLF5	chr2	26170176	26170185	+	0.000	0.000	Merged-chr2-26170198-3
NR21759--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR14693--MA1107.1.KLF9	chr12	102351065	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR47782--MA0742.1.Klf12	chr5	64864832	64864846	+	0.000	0.000	Merged-chr5-64864889-25
NR25697--MA1107.1.KLF9	chr17	5310415	5310427	-	0.000	0.000	Merged-chr17-5310352-3
NR26774--MA0493.1.Klf1	chr17	29638104	29638114	+	0.000	0.000	Merged-chr17-29638161-9
NR54162--MA0599.1.KLF5	chr6	128826858	128826867	-	0.000	0.000	Merged-chr6-128826735-1
NR8724--MA0741.1.KLF16	chr10	128750443	128750453	-	0.000	0.000	Merged-chr10-128750381-16
NR6773--MA0741.1.KLF16	chr10	81401813	81401823	-	0.000	0.000	Merged-chr10-81401925-26
NR54143--MA1107.1.KLF9	chr6	128634504	128634516	+	0.000	0.000	Merged-chr6-128634643-10
NR17157--MA1107.1.KLF9	chr13	81402027	81402039	+	0.000	0.000	Merged-chr13-81401902-10
NR62848--MA0741.1.KLF16	chr8	122678196	122678206	+	0.000	0.000	Merged-chr8-122678075-1
NR20006--MA1107.1.KLF9	chr14	73596754	73596766	+	0.000	0.000	Merged-chr14-73596722-14
NR49223--MA0599.1.KLF5	chr5	112301910	112301919	+	0.000	0.000	Merged-chr5-112301937-36
NR37786--MA0740.1.KLF14	chr2	167975657	167975670	+	0.000	0.000	Merged-chr2-167975780-28
NR37218--MA0741.1.KLF16	chr2	157424108	157424118	-	0.000	0.000	Merged-chr2-157424284-16
NR51779--MA0599.1.KLF5	chr6	33052044	33052053	+	0.000	0.000	Merged-chr6-33051908-11
NR48231--MA0493.1.Klf1	chr5	77167274	77167284	-	0.000	0.000	Merged-chr5-77167373-14
NR48499--MA0740.1.KLF14	chr5	92967505	92967518	+	0.000	0.000	Merged-chr5-92967427-8
NR7718--MA1107.1.KLF9	chr10	111031830	111031842	+	0.000	0.000	Merged-chr10-111031729-43
NR21758--MA0039.3.KLF4	chr15	60120106	60120116	-	0.000	0.000	Merged-chr15-60120172-38
NR46705--MA0493.1.Klf1	chr5	5573937	5573947	-	0.000	0.000	Merged-chr5-5574084-22
NR6431--MA1107.1.KLF9	chr10	79692122	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR38997--MA1107.1.KLF9	chr3	52850414	52850426	+	0.000	0.000	Merged-chr3-52850315-12
NR37665--MA0039.3.KLF4	chr2	166753903	166753913	+	0.000	0.000	Merged-chr2-166753857-1
NR55900--MA1107.1.KLF9	chr7	27260021	27260033	-	0.000	0.000	Merged-chr7-27259929-6
NR2717--MA0741.1.KLF16	chr1	151644342	151644352	-	0.000	0.000	Merged-chr1-151644358-13
NR20382--MA1107.1.KLF9	chr14	99266182	99266194	-	0.000	0.000	Merged-chr14-99266048-28
NR31808--MA0599.1.KLF5	chr19	29347353	29347362	+	0.000	0.000	Merged-chr19-29347328-12
NR8214--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR5369--MA0742.1.Klf12	chr10	40400500	40400514	+	0.000	0.000	Merged-chr10-40400528-9
NR18241--MA0740.1.KLF14	chr13	112551820	112551833	+	0.000	0.000	Merged-chr13-112551755-26
NR37209--MA1107.1.KLF9	chr2	157147998	157148010	-	0.000	0.000	Merged-chr2-157147783-53
NR7755--MA0599.1.KLF5	chr10	111635684	111635693	-	0.000	0.000	Merged-chr10-111635766-22
NR47172--MA1107.1.KLF9	chr5	28242653	28242665	-	0.000	0.000	Merged-chr5-28242683-9
NR3161--MA0039.3.KLF4	chr1	162586469	162586479	+	0.000	0.000	Merged-chr1-162586427-19
NR11607--MA0039.3.KLF4	chr11	97133424	97133434	-	0.000	0.000	Merged-chr11-97133494-13
NR14327--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR9678--MA0039.3.KLF4	chr11	51638312	51638322	-	0.000	0.000	Merged-chr11-51638186-26
NR19356--MA0599.1.KLF5	chr14	53553951	53553960	-	0.000	0.000	Merged-chr14-53553995-16
NR3134--MA0657.1.KLF13	chr1	161791973	161791990	-	0.000	0.000	Merged-chr1-161792020-2
NR44911--MA0599.1.KLF5	chr4	129556553	129556562	+	0.000	0.000	Merged-chr4-129556698-9
NR26223--MA1107.1.KLF9	chr17	19435234	19435246	+	0.000	0.000	Merged-chr17-19435269-18
NR36043--MA1107.1.KLF9	chr2	124698658	124698670	-	0.000	0.000	Merged-chr2-124698684-1
NR9575--MA0039.3.KLF4	chr11	48926915	48926925	+	0.000	0.000	Merged-chr11-48927051-20
NR17610--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR64748--MA0599.1.KLF5	chr9	69458367	69458376	+	0.000	0.000	Merged-chr9-69458326-40
NR25396--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR49231--MA1107.1.KLF9	chr5	112311048	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR36174--MA0599.1.KLF5	chr2	128318409	128318418	+	0.000	0.000	Merged-chr2-128318457-15
NR19454--MA0493.1.Klf1	chr14	55025537	55025547	-	0.000	0.000	Merged-chr14-55025661-27
NR27886--MA1107.1.KLF9	chr17	56905167	56905179	+	0.000	0.000	Merged-chr17-56905051-10
NR6781--MA0493.1.Klf1	chr10	81401934	81401944	-	0.000	0.000	Merged-chr10-81401925-26
NR14130--MA0493.1.Klf1	chr12	80069220	80069230	+	0.000	0.000	Merged-chr12-80069261-23
NR51796--MA1107.1.KLF9	chr6	34497750	34497762	-	0.000	0.000	Merged-chr6-34497714-15
NR62801--MA0599.1.KLF5	chr8	122315250	122315259	+	0.000	0.000	Merged-chr8-122315135-21
NR53837--MA1107.1.KLF9	chr6	120264383	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR14064--MA0742.1.Klf12	chr12	77077945	77077959	+	0.000	0.000	Merged-chr12-77077923-9
NR25319--MA0742.1.Klf12	chr16	91588189	91588203	+	0.000	0.000	Merged-chr16-91588038-25
NR23368--MA0742.1.Klf12	chr15	102110641	102110655	-	0.000	0.000	Merged-chr15-102110732-12
NR1564--MA1107.1.KLF9	chr1	91507356	91507368	+	0.000	0.000	Merged-chr1-91507469-20
NR55475--MA1107.1.KLF9	chr7	16760502	16760514	+	0.000	0.000	Merged-chr7-16760447-23
NR47404--MA0741.1.KLF16	chr5	35176571	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19983--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR37765--MA0740.1.KLF14	chr2	167831832	167831845	-	0.000	0.000	Merged-chr2-167831852-3
NR56032--MA0742.1.Klf12	chr7	28803042	28803056	+	0.000	0.000	Merged-chr7-28802927-28
NR17754--MA0599.1.KLF5	chr13	101782749	101782758	-	0.000	0.000	Merged-chr13-101782630-7
NR6665--MA0742.1.Klf12	chr10	80807296	80807310	-	0.000	0.000	Merged-chr10-80807386-23
NR16258--MA0741.1.KLF16	chr13	45651913	45651923	+	0.000	0.000	Merged-chr13-45651981-2
NR42708--MA1107.1.KLF9	chr4	41658634	41658646	-	0.000	0.000	Merged-chr4-41658604-11
NR32170--MA0741.1.KLF16	chr19	43509686	43509696	+	0.000	0.000	Merged-chr19-43509487-13
NR11639--MA1107.1.KLF9	chr11	97404224	97404236	-	0.000	0.000	Merged-chr11-97404114-1
NR62796--MA0493.1.Klf1	chr8	121995346	121995356	-	0.000	0.000	Merged-chr8-121995236-25
NR2910--MA0742.1.Klf12	chr1	156464657	156464671	-	0.000	0.000	Merged-chr1-156464548-8
NR1337--MA0599.1.KLF5	chr1	85680402	85680411	+	0.000	0.000	Merged-chr1-85680352-18
NR3511--MA1107.1.KLF9	chr1	170471951	170471963	+	0.000	0.000	Merged-chr1-170472023-1
NR52426--MA0740.1.KLF14	chr6	59265331	59265344	-	0.000	0.000	Merged-chr6-59265419-13
NR39426--MA0599.1.KLF5	chr3	84630976	84630985	-	0.000	0.000	Merged-chr3-84630888-13
NR20392--MA0493.1.Klf1	chr14	100235722	100235732	+	0.000	0.000	Merged-chr14-100235821-25
NR29851--MA1107.1.KLF9	chr18	56871833	56871845	-	0.000	0.000	Merged-chr18-56871976-16
NR42552--MA0741.1.KLF16	chr4	33147016	33147026	+	0.000	0.000	Merged-chr4-33147019-23
NR37558--MA0741.1.KLF16	chr2	164943139	164943149	-	0.000	0.000	Merged-chr2-164943047-31
NR53265--MA0741.1.KLF16	chr6	99429074	99429084	+	0.000	0.000	Merged-chr6-99429138-37
NR5476--MA1107.1.KLF9	chr10	43004694	43004706	+	0.000	0.000	Merged-chr10-43004823-13
NR36162--MA0741.1.KLF16	chr2	128111917	128111927	+	0.000	0.000	Merged-chr2-128111932-19
NR35089--MA0599.1.KLF5	chr2	85060752	85060761	-	0.000	0.000	Merged-chr2-85060915-54
NR9930--MA0493.1.Klf1	chr11	57958376	57958386	-	0.000	0.000	Merged-chr11-57958407-27
NR57353--MA0741.1.KLF16	chr7	81075554	81075564	-	0.000	0.000	Merged-chr7-81075371-56
NR3082--MA0493.1.Klf1	chr1	160307373	160307383	+	0.000	0.000	Merged-chr1-160307254-61
NR15006--MA0599.1.KLF5	chr12	107144554	107144563	-	0.000	0.000	Merged-chr12-107144688-5
NR53749--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR47074--MA1107.1.KLF9	chr5	24517981	24517993	+	0.000	0.000	Merged-chr5-24518156-18
