#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR1318--MA0463.1.Bcl6	chr3	109747809	109747822	+	0.000	0.000	Merged-chr3-109747952-27
NR471--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR449--MA0463.1.Bcl6	chr12	80887378	80887391	-	0.000	0.000	Merged-chr12-80887298-29
NR1923--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR1055--MA0463.1.Bcl6	chr2	11429807	11429820	-	0.000	0.000	Merged-chr2-11429787-25
NR306--MA0731.1.BCL6B	chr11	16838859	16838875	+	0.000	0.000	Merged-chr11-16838980-8
NR253--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR965--MA0463.1.Bcl6	chr18	40308077	40308090	+	0.000	0.000	Merged-chr18-40308184-41
NR1405--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR1227--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR590--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1035--MA0463.1.Bcl6	chr19	44078437	44078450	+	0.000	0.000	Merged-chr19-44078434-18
NR910--MA0731.1.BCL6B	chr17	51912478	51912494	+	0.000	0.000	Merged-chr17-51912401-22
