#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR1040--MA0690.1.TBX21	chr17	88701105	88701114	+	0.000	0.000	Merged-chr17-88701095-28
NR1311--MA0690.1.TBX21	chr2	144489493	144489502	+	0.000	0.000	Merged-chr2-144489532-6
NR1576--MA0690.1.TBX21	chr4	102545344	102545353	-	0.000	0.000	Merged-chr4-102545412-1
NR1284--MA0690.1.TBX21	chr2	122485882	122485891	+	0.000	0.000	Merged-chr2-122485879-27
NR740--MA0690.1.TBX21	chr14	78710902	78710911	+	0.000	0.000	Merged-chr14-78710863-14
NR1786--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1481--MA0690.1.TBX21	chr3	144561697	144561706	+	0.000	0.000	Merged-chr3-144561824-38
NR1404--MA0690.1.TBX21	chr3	65985096	65985105	-	0.000	0.000	Merged-chr3-65985116-9
NR1080--MA0690.1.TBX21	chr18	65207721	65207730	-	0.000	0.000	Merged-chr18-65207601-18
NR963--MA0690.1.TBX21	chr17	24063746	24063755	+	0.000	0.000	Merged-chr17-24063697-12
NR780--MA0690.1.TBX21	chr15	6512376	6512385	+	0.000	0.000	Merged-chr15-6512431-6
NR1098--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR1030--MA0690.1.TBX21	chr17	84166624	84166633	+	0.000	0.000	Merged-chr17-84166652-22
NR1688--MA0690.1.TBX21	chr5	68033413	68033422	-	0.000	0.000	Merged-chr5-68033501-23
NR525--MA0690.1.TBX21	chr12	102641790	102641799	+	0.000	0.000	Merged-chr12-102641833-10
NR472--MA0690.1.TBX21	chr12	3524421	3524430	+	0.000	0.000	Merged-chr12-3524419-17
NR995--MA0690.1.TBX21	chr17	50070269	50070278	+	0.000	0.000	Merged-chr17-50070273-24
NR961--MA0690.1.TBX21	chr17	23748250	23748259	-	0.000	0.000	Merged-chr17-23748319-15
NR2182--MA0690.1.TBX21	chr8	120396913	120396922	+	0.000	0.000	Merged-chr8-120396987-32
NR1136--MA0690.1.TBX21	chr19	25059709	25059718	+	0.000	0.000	Merged-chr19-25059831-2
NR1245--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR130--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR305--MA0690.1.TBX21	chr10	98728849	98728858	-	0.000	0.000	Merged-chr10-98728864-24
NR143--MA0690.1.TBX21	chr1	165183959	165183968	-	0.000	0.000	Merged-chr1-165184032-20
NR937--MA0690.1.TBX21	chr16	93977822	93977831	-	0.000	0.000	Merged-chr16-93977807-10
NR361--MA0690.1.TBX21	chr11	22834097	22834106	-	0.000	0.000	Merged-chr11-22833941-10
NR2355--MA0690.1.TBX21	chrX	150468422	150468431	-	0.000	0.000	Merged-chrX-150468455-12
NR419--MA0690.1.TBX21	chr11	83637010	83637019	+	0.000	0.000	Merged-chr11-83637048-8
NR2193--MA0690.1.TBX21	chr8	122772618	122772627	+	0.000	0.000	Merged-chr8-122772435-1,Merged-chr8-122772813-21
NR759--MA0690.1.TBX21	chr14	118838788	118838797	+	0.000	0.000	Merged-chr14-118838804-5
NR249--MA0690.1.TBX21	chr10	39462220	39462229	+	0.000	0.000	Merged-chr10-39462164-7
NR1440--MA0690.1.TBX21	chr3	115712601	115712610	+	0.000	0.000	Merged-chr3-115712776-1
NR215--MA0690.1.TBX21	chr10	12949469	12949478	-	0.000	0.000	Merged-chr10-12949602-11
NR1291--MA0690.1.TBX21	chr2	128189836	128189845	-	0.000	0.000	Merged-chr2-128189675-1
NR1764--MA0690.1.TBX21	chr5	139290988	139290997	-	0.000	0.000	Merged-chr5-139290875-38
NR34--MA0690.1.TBX21	chr1	53894448	53894457	-	0.000	0.000	Merged-chr1-53894600-6
NR1730--MA0690.1.TBX21	chr5	107533851	107533860	+	0.000	0.000	Merged-chr5-107533890-8
NR1995--MA0690.1.TBX21	chr7	66250098	66250107	-	0.000	0.000	Merged-chr7-66250161-34
NR962--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1594--MA0690.1.TBX21	chr4	120959620	120959629	+	0.000	0.000	Merged-chr4-120959527-5
NR1748--MA0690.1.TBX21	chr5	118590818	118590827	+	0.000	0.000	Merged-chr5-118590932-25
NR1151--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR925--MA0690.1.TBX21	chr16	84496897	84496906	-	0.000	0.000	Merged-chr16-84496971-26
NR1130--MA0690.1.TBX21	chr19	17152781	17152790	-	0.000	0.000	Merged-chr19-17152711-1
NR872--MA0690.1.TBX21	chr16	7453489	7453498	-	0.000	0.000	Merged-chr16-7453487-1
NR1374--MA0690.1.TBX21	chr2	180074455	180074464	+	0.000	0.000	Merged-chr2-180074483-5
NR211--MA0690.1.TBX21	chr10	8415278	8415287	-	0.000	0.000	Merged-chr10-8415419-33
NR726--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR1249--MA0690.1.TBX21	chr2	75064831	75064840	-	0.000	0.000	Merged-chr2-75064849-10
NR2240--MA0690.1.TBX21	chr9	44582509	44582518	+	0.000	0.000	Merged-chr9-44582588-15
NR1079--MA0690.1.TBX21	chr18	65189351	65189360	+	0.000	0.000	Merged-chr18-65189388-18
NR439--MA0690.1.TBX21	chr11	103776915	103776924	+	0.000	0.000	Merged-chr11-103776919-6
NR896--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR482--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR56--MA0690.1.TBX21	chr1	80597085	80597094	+	0.000	0.000	Merged-chr1-80596993-13
NR2192--MA0690.1.TBX21	chr8	122430451	122430460	+	0.000	0.000	Merged-chr8-122430402-7
NR113--MA0690.1.TBX21	chr1	143628973	143628982	+	0.000	0.000	Merged-chr1-143628948-7
NR779--MA0690.1.TBX21	chr15	5762407	5762416	+	0.000	0.000	Merged-chr15-5762586-40
NR888--MA0690.1.TBX21	chr16	35055325	35055334	-	0.000	0.000	Merged-chr16-35055168-21
NR474--MA0690.1.TBX21	chr12	11281813	11281822	+	0.000	0.000	Merged-chr12-11281796-7
NR649--MA0690.1.TBX21	chr13	104615149	104615158	+	0.000	0.000	Merged-chr13-104615216-10
NR2280--MA0690.1.TBX21	chr9	78593264	78593273	+	0.000	0.000	Merged-chr9-78593326-11
NR737--MA0690.1.TBX21	chr14	76001958	76001967	+	0.000	0.000	Merged-chr14-76001968-11
NR323--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1431--MA0690.1.TBX21	chr3	103406616	103406625	+	0.000	0.000	Merged-chr3-103406514-32
NR2189--MA0690.1.TBX21	chr8	121176417	121176426	+	0.000	0.000	Merged-chr8-121176463-20
NR729--MA0690.1.TBX21	chr14	67951871	67951880	-	0.000	0.000	Merged-chr14-67951902-1
NR1824--MA0690.1.TBX21	chr6	37564070	37564079	-	0.000	0.000	Merged-chr6-37564158-19
NR2264--MA0690.1.TBX21	chr9	61754045	61754054	-	0.000	0.000	Merged-chr9-61753912-30
NR2168--MA0690.1.TBX21	chr8	115222257	115222266	+	0.000	0.000	Merged-chr8-115222208-2
NR1131--MA0690.1.TBX21	chr19	17152789	17152798	-	0.000	0.000	Merged-chr19-17152711-1
