#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_dn.bed
NR3518--MA0037.3.GATA3	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR5362--MA0766.1.GATA5	chr5	114374680	114374687	-	0.000	0.000	Merged-chr5-114374787-5
NR3727--MA0766.1.GATA5	chr2	26566417	26566424	+	0.000	0.000	Merged-chr2-26566393-14
NR71--MA0035.3.Gata1	chr1	43521165	43521175	-	0.000	0.000	Merged-chr1-43521160-6
NR842--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR7024--MA0036.3.GATA2	chr9	118059236	118059246	+	0.000	0.000	Merged-chr9-118059304-13
NR3521--MA0036.3.GATA2	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR6850--MA0035.3.Gata1	chr9	79970744	79970754	-	0.000	0.000	Merged-chr9-79970896-33
NR4038--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR2307--MA0482.1.Gata4	chr14	66241477	66241487	+	0.000	0.000	Merged-chr14-66241484-22
NR2650--MA0766.1.GATA5	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR1543--MA0482.1.Gata4	chr12	93227050	93227060	+	0.000	0.000	Merged-chr12-93227052-12
NR5363--MA0035.3.Gata1	chr5	114374679	114374689	+	0.000	0.000	Merged-chr5-114374787-5
NR351--MA0035.3.Gata1	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
NR840--MA0035.3.Gata1	chr10	117938872	117938882	+	0.000	0.000	Merged-chr10-117938782-19
NR1819--MA0482.1.Gata4	chr13	43485436	43485446	+	0.000	0.000	Merged-chr13-43485409-24
NR65--MA0766.1.GATA5	chr1	43520879	43520886	-	0.000	0.000	Merged-chr1-43520918-1
NR2308--MA1104.1.GATA6	chr14	66241475	66241487	-	0.000	0.000	Merged-chr14-66241484-22
NR2311--MA0035.3.Gata1	chr14	66241476	66241486	+	0.000	0.000	Merged-chr14-66241484-22
NR5323--MA0482.1.Gata4	chr5	107533777	107533787	+	0.000	0.000	Merged-chr5-107533890-8
NR2651--MA0035.3.Gata1	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR988--MA0036.3.GATA2	chr11	32445892	32445902	+	0.000	0.000	Merged-chr11-32445818-14
NR6849--MA0766.1.GATA5	chr9	79970746	79970753	+	0.000	0.000	Merged-chr9-79970896-33
NR1078--MA0482.1.Gata4	chr11	70221901	70221911	+	0.000	0.000	Merged-chr11-70221855-4
NR66--MA0035.3.Gata1	chr1	43520878	43520888	+	0.000	0.000	Merged-chr1-43520918-1
NR5324--MA1104.1.GATA6	chr5	107533775	107533787	-	0.000	0.000	Merged-chr5-107533890-8
NR839--MA0766.1.GATA5	chr10	117938873	117938880	-	0.000	0.000	Merged-chr10-117938782-19
NR7022--MA0482.1.Gata4	chr9	118059237	118059247	+	0.000	0.000	Merged-chr9-118059304-13
NR1079--MA1104.1.GATA6	chr11	70221899	70221911	-	0.000	0.000	Merged-chr11-70221855-4
NR1368--MA0482.1.Gata4	chr12	13512376	13512386	+	0.000	0.000	Merged-chr12-13512538-15
NR7023--MA1104.1.GATA6	chr9	118059235	118059247	-	0.000	0.000	Merged-chr9-118059304-13
NR5322--MA0037.3.GATA3	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR4170--MA1104.1.GATA6	chr2	162998787	162998799	+	0.000	0.000	Merged-chr2-162998735-32
NR3881--MA0035.3.Gata1	chr2	75634494	75634504	+	0.000	0.000	Merged-chr2-75634644-14
NR1080--MA0036.3.GATA2	chr11	70221900	70221910	+	0.000	0.000	Merged-chr11-70221855-4
NR7021--MA0037.3.GATA3	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR5584--MA0766.1.GATA5	chr6	30230605	30230612	+	0.000	0.000	Merged-chr6-30230479-12
NR3522--MA0766.1.GATA5	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR5359--MA0037.3.GATA3	chr5	114374680	114374687	-	0.000	0.000	Merged-chr5-114374787-5
NR1500--MA0482.1.Gata4	chr12	85945551	85945561	+	0.000	0.000	Merged-chr12-85945472-7
NR4169--MA0482.1.Gata4	chr2	162998787	162998797	-	0.000	0.000	Merged-chr2-162998735-32
NR5360--MA1104.1.GATA6	chr5	114374678	114374690	-	0.000	0.000	Merged-chr5-114374787-5
NR7026--MA0035.3.Gata1	chr9	118059236	118059246	+	0.000	0.000	Merged-chr9-118059304-13
NR3523--MA0035.3.Gata1	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR2619--MA0140.2.GATA1::TAL1	chr15	78810498	78810515	+	0.000	0.000	Merged-chr15-78810431-5
NR5728--MA0482.1.Gata4	chr6	86922089	86922099	+	0.000	0.000	Merged-chr6-86921974-19
NR62--MA0482.1.Gata4	chr1	43520879	43520889	+	0.000	0.000	Merged-chr1-43520918-1
NR5325--MA0036.3.GATA2	chr5	107533776	107533786	+	0.000	0.000	Merged-chr5-107533890-8
NR989--MA0766.1.GATA5	chr11	32445893	32445900	-	0.000	0.000	Merged-chr11-32445818-14
NR67--MA0482.1.Gata4	chr1	43521164	43521174	-	0.000	0.000	Merged-chr1-43521160-6
NR406--MA0035.3.Gata1	chr1	178685216	178685226	-	0.000	0.000	Merged-chr1-178685366-1
NR63--MA1104.1.GATA6	chr1	43520877	43520889	-	0.000	0.000	Merged-chr1-43520918-1
NR350--MA0766.1.GATA5	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
NR2674--MA0035.3.Gata1	chr15	93298391	93298401	+	0.000	0.000	Merged-chr15-93298411-30
NR68--MA1104.1.GATA6	chr1	43521164	43521176	+	0.000	0.000	Merged-chr1-43521160-6
NR347--MA0482.1.Gata4	chr1	162615720	162615730	-	0.000	0.000	Merged-chr1-162615694-15
NR2310--MA0766.1.GATA5	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR488--MA0036.3.GATA2	chr1	191803662	191803672	+	0.000	0.000	Merged-chr1-191803516-12
NR836--MA0482.1.Gata4	chr10	117938873	117938883	+	0.000	0.000	Merged-chr10-117938782-19
NR4168--MA0037.3.GATA3	chr2	162998790	162998797	+	0.000	0.000	Merged-chr2-162998735-32
NR352--MA0140.2.GATA1::TAL1	chr1	162615712	162615729	-	0.000	0.000	Merged-chr1-162615694-15
NR6847--MA1104.1.GATA6	chr9	79970743	79970755	+	0.000	0.000	Merged-chr9-79970896-33
NR3356--MA0140.2.GATA1::TAL1	chr18	53817653	53817670	-	0.000	0.000	Merged-chr18-53817599-8
NR1852--MA0140.2.GATA1::TAL1	chr13	63112806	63112823	-	0.000	0.000	Merged-chr13-63112828-16
NR4171--MA0036.3.GATA2	chr2	162998788	162998798	-	0.000	0.000	Merged-chr2-162998735-32
NR5727--MA0037.3.GATA3	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR2647--MA0482.1.Gata4	chr15	82906890	82906900	-	0.000	0.000	Merged-chr15-82906941-10
NR348--MA1104.1.GATA6	chr1	162615720	162615732	+	0.000	0.000	Merged-chr1-162615694-15
NR61--MA0037.3.GATA3	chr1	43520879	43520886	-	0.000	0.000	Merged-chr1-43520918-1
NR837--MA1104.1.GATA6	chr10	117938871	117938883	-	0.000	0.000	Merged-chr10-117938782-19
NR2648--MA1104.1.GATA6	chr15	82906890	82906902	+	0.000	0.000	Merged-chr15-82906941-10
NR6845--MA0037.3.GATA3	chr9	79970746	79970753	+	0.000	0.000	Merged-chr9-79970896-33
NR2970--MA0140.2.GATA1::TAL1	chr16	91755092	91755109	+	0.000	0.000	Merged-chr16-91755082-17
NR1820--MA0140.2.GATA1::TAL1	chr13	43485437	43485454	+	0.000	0.000	Merged-chr13-43485409-24
NR346--MA0037.3.GATA3	chr1	162615723	162615730	+	0.000	0.000	Merged-chr1-162615694-15
NR5729--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR835--MA0037.3.GATA3	chr10	117938873	117938880	-	0.000	0.000	Merged-chr10-117938782-19
NR5361--MA0036.3.GATA2	chr5	114374679	114374689	+	0.000	0.000	Merged-chr5-114374787-5
NR2306--MA0037.3.GATA3	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR3880--MA0482.1.Gata4	chr2	75634495	75634505	+	0.000	0.000	Merged-chr2-75634644-14
NR2646--MA0037.3.GATA3	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR3086--MA0037.3.GATA3	chr17	18615310	18615317	+	0.000	0.000	Merged-chr17-18615356-8
NR841--MA1104.1.GATA6	chr10	117969928	117969940	+	0.000	0.000	Merged-chr10-117970017-9
NR7056--MA0140.2.GATA1::TAL1	chr9	122246135	122246152	+	0.000	0.000	Merged-chr9-122246104-16
NR3520--MA1104.1.GATA6	chr19	12805881	12805893	+	0.000	0.000	Merged-chr19-12806193-62
NR4932--MA0035.3.Gata1	chr4	132783978	132783988	-	0.000	0.000	Merged-chr4-132783946-19
NR5326--MA0766.1.GATA5	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR1252--MA0482.1.Gata4	chr11	107432477	107432487	+	0.000	0.000	Merged-chr11-107432419-10
NR3726--MA0482.1.Gata4	chr2	26566414	26566424	-	0.000	0.000	Merged-chr2-26566393-14
NR64--MA0036.3.GATA2	chr1	43520878	43520888	+	0.000	0.000	Merged-chr1-43520918-1
NR986--MA0482.1.Gata4	chr11	32445893	32445903	+	0.000	0.000	Merged-chr11-32445818-14
NR69--MA0036.3.GATA2	chr1	43521165	43521175	-	0.000	0.000	Merged-chr1-43521160-6
