#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-log2fc-1_dn.bed
NR2712--MA0769.1.Tcf7	chr16	51719825	51719836	+	0.000	0.000	Merged-chr16-51719841-20
NR6549--MA1421.1.TCF7L1	chr8	126839489	126839500	-	0.000	0.000	Merged-chr8-126839529-33
NR5880--MA0523.1.TCF7L2	chr7	19202621	19202634	-	0.000	0.000	Merged-chr7-19202544-28
NR2049--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR4122--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR4816--MA0523.1.TCF7L2	chr4	117153892	117153905	-	0.000	0.000	Merged-chr4-117153955-7
NR1014--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR6344--MA0523.1.TCF7L2	chr8	41334201	41334214	+	0.000	0.000	Merged-chr8-41334366-24
NR3312--MA0523.1.TCF7L2	chr19	18759122	18759135	-	0.000	0.000	Merged-chr19-18759218-5
NR2293--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR641--MA0769.1.Tcf7	chr10	24111238	24111249	-	0.000	0.000	Merged-chr10-24111264-14
NR2711--MA0523.1.TCF7L2	chr16	51719825	51719838	+	0.000	0.000	Merged-chr16-51719841-20
NR2735--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR6508--MA0523.1.TCF7L2	chr8	120977380	120977393	-	0.000	0.000	Merged-chr8-120977346-26
NR2856--MA0769.1.Tcf7	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR646--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR2238--MA0523.1.TCF7L2	chr14	100222405	100222418	+	0.000	0.000	Merged-chr14-100222353-13
NR5911--MA0769.1.Tcf7	chr7	30440004	30440015	-	0.000	0.000	Merged-chr7-30439933-8
NR3576--MA1421.1.TCF7L1	chr2	56028488	56028499	+	0.000	0.000	Merged-chr2-56028640-17
NR6428--MA0769.1.Tcf7	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR693--MA0523.1.TCF7L2	chr10	43783356	43783369	+	0.000	0.000	Merged-chr10-43783399-14
NR673--MA0769.1.Tcf7	chr10	39768386	39768397	+	0.000	0.000	Merged-chr10-39768344-17
NR4899--MA1421.1.TCF7L1	chr4	145200437	145200448	-	0.000	0.000	Merged-chr4-145200481-37
NR2776--MA0769.1.Tcf7	chr16	87726093	87726104	-	0.000	0.000	Merged-chr16-87726198-44
NR5091--MA1421.1.TCF7L1	chr5	65322157	65322168	-	0.000	0.000	Merged-chr5-65322314-18
NR920--MA0769.1.Tcf7	chr10	116175590	116175601	-	0.000	0.000	Merged-chr10-116175646-10
NR3148--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4557--MA0523.1.TCF7L2	chr4	6941293	6941306	-	0.000	0.000	Merged-chr4-6941109-33
NR5871--MA0523.1.TCF7L2	chr7	16343815	16343828	+	0.000	0.000	Merged-chr7-16343810-22
NR3354--MA0523.1.TCF7L2	chr19	34570104	34570117	+	0.000	0.000	Merged-chr19-34570289-10
NR5836--MA0769.1.Tcf7	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR7069--MA0523.1.TCF7L2	chrX	166805811	166805824	-	0.000	0.000	Merged-chrX-166805944-25
NR6035--MA0769.1.Tcf7	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR6034--MA0523.1.TCF7L2	chr7	84143204	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR3446--MA0769.1.Tcf7	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR2589--MA0769.1.Tcf7	chr16	4752303	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR258--MA0769.1.Tcf7	chr1	127215120	127215131	-	0.000	0.000	Merged-chr1-127215096-15
NR4119--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR3533--MA1421.1.TCF7L1	chr2	35445582	35445593	+	0.000	0.000	Merged-chr2-35445506-29
NR1778--MA0523.1.TCF7L2	chr13	51712203	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2764--MA1421.1.TCF7L1	chr16	78595989	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR4363--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR5179--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR2052--MA0523.1.TCF7L2	chr14	21507258	21507271	-	0.000	0.000	Merged-chr14-21507188-15
NR4350--MA0523.1.TCF7L2	chr3	129545474	129545487	-	0.000	0.000	Merged-chr3-129545403-15
NR5057--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR1378--MA0523.1.TCF7L2	chr12	35999207	35999220	+	0.000	0.000	Merged-chr12-35999221-22
NR2294--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR6973--MA1421.1.TCF7L1	chrX	57189512	57189523	-	0.000	0.000	Merged-chrX-57189507-26
NR2254--MA0523.1.TCF7L2	chr14	104517112	104517125	+	0.000	0.000	Merged-chr14-104517244-7
NR695--MA1421.1.TCF7L1	chr10	43919143	43919154	-	0.000	0.000	Merged-chr10-43919152-21
NR4125--MA0769.1.Tcf7	chr3	58552641	58552652	+	0.000	0.000	Merged-chr3-58552438-57
NR2751--MA0769.1.Tcf7	chr16	76447469	76447480	+	0.000	0.000	Merged-chr16-76447349-16
NR4501--MA0523.1.TCF7L2	chr3	152127434	152127447	+	0.000	0.000	Merged-chr3-152127515-20
NR765--MA0769.1.Tcf7	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR3116--MA1421.1.TCF7L1	chr18	40308227	40308238	+	0.000	0.000	Merged-chr18-40308184-41
NR667--MA0523.1.TCF7L2	chr10	37207193	37207206	+	0.000	0.000	Merged-chr10-37207171-14
NR6463--MA0523.1.TCF7L2	chr8	111582597	111582610	+	0.000	0.000	Merged-chr8-111582684-27
NR5780--MA0523.1.TCF7L2	chr6	140684324	140684337	+	0.000	0.000	Merged-chr6-140684445-39
NR2721--MA1421.1.TCF7L1	chr16	55745356	55745367	+	0.000	0.000	Merged-chr16-55745275-12
NR4927--MA0769.1.Tcf7	chr4	149282666	149282677	-	0.000	0.000	Merged-chr4-149282639-35
NR2854--MA1421.1.TCF7L1	chr17	21433939	21433950	+	0.000	0.000	Merged-chr17-21433933-15
NR6377--MA0523.1.TCF7L2	chr8	64726424	64726437	-	0.000	0.000	Merged-chr8-64726365-32
NR4329--MA0523.1.TCF7L2	chr3	126589697	126589710	+	0.000	0.000	Merged-chr3-126589665-27
NR3094--MA0769.1.Tcf7	chr18	35776812	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR1828--MA1421.1.TCF7L1	chr13	69488208	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR5941--MA0769.1.Tcf7	chr7	49581702	49581713	-	0.000	0.000	Merged-chr7-49581640-7
NR5389--MA0523.1.TCF7L2	chr6	5997770	5997783	-	0.000	0.000	Merged-chr6-5997718-16
NR3137--MA1421.1.TCF7L1	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR2704--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2211--MA0523.1.TCF7L2	chr14	78474312	78474325	+	0.000	0.000	Merged-chr14-78474159-29
NR2813--MA0523.1.TCF7L2	chr16	95820200	95820213	-	0.000	0.000	Merged-chr16-95820235-13
NR6145--MA0769.1.Tcf7	chr7	116557589	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR3233--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR2778--MA0523.1.TCF7L2	chr16	89816957	89816970	+	0.000	0.000	Merged-chr16-89817047-30
NR2765--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR662--MA0523.1.TCF7L2	chr10	33986850	33986863	+	0.000	0.000	Merged-chr10-33986962-32
NR4567--MA1421.1.TCF7L1	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR4242--MA0523.1.TCF7L2	chr3	100582785	100582798	-	0.000	0.000	Merged-chr3-100582913-18
NR610--MA0769.1.Tcf7	chr10	12974821	12974832	+	0.000	0.000	Merged-chr10-12974738-28
NR3355--MA0769.1.Tcf7	chr19	34570104	34570115	+	0.000	0.000	Merged-chr19-34570289-10
NR3140--MA0769.1.Tcf7	chr18	53951320	53951331	-	0.000	0.000	Merged-chr18-53951279-47
NR6540--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR6965--MA0769.1.Tcf7	chrX	41400781	41400792	-	0.000	0.000	Merged-chrX-41400640-20
NR6427--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR718--MA0769.1.Tcf7	chr10	58351891	58351902	+	0.000	0.000	Merged-chr10-58351765-21
NR839--MA0769.1.Tcf7	chr10	90967039	90967050	+	0.000	0.000	Merged-chr10-90966965-2
NR3456--MA0523.1.TCF7L2	chr2	9677262	9677275	+	0.000	0.000	Merged-chr2-9677324-22
NR6670--MA0769.1.Tcf7	chr9	61720239	61720250	+	0.000	0.000	Merged-chr9-61720309-20
NR6424--MA0769.1.Tcf7	chr8	80948565	80948576	+	0.000	0.000	Merged-chr8-80948626-26
NR5567--MA0769.1.Tcf7	chr6	85075138	85075149	+	0.000	0.000	Merged-chr6-85075148-16
NR3405--MA0523.1.TCF7L2	chr19	57093567	57093580	+	0.000	0.000	Merged-chr19-57093567-48
NR4646--MA0523.1.TCF7L2	chr4	63655217	63655230	+	0.000	0.000	Merged-chr4-63655103-11
NR3947--MA0769.1.Tcf7	chr2	153325731	153325742	+	0.000	0.000	Merged-chr2-153325949-22
NR3611--MA0523.1.TCF7L2	chr2	61494270	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR2226--MA1421.1.TCF7L1	chr14	87349057	87349068	-	0.000	0.000	Merged-chr14-87349015-16
NR3467--MA1421.1.TCF7L1	chr2	11441904	11441915	-	0.000	0.000	Merged-chr2-11441982-17
NR681--MA1421.1.TCF7L1	chr10	42633463	42633474	+	0.000	0.000	Merged-chr10-42633342-1
NR3750--MA0769.1.Tcf7	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR6460--MA0769.1.Tcf7	chr8	110846145	110846156	-	0.000	0.000	Merged-chr8-110845988-12
NR2893--MA0769.1.Tcf7	chr17	31693696	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR674--MA0769.1.Tcf7	chr10	39768375	39768386	-	0.000	0.000	Merged-chr10-39768344-17
NR5354--MA0523.1.TCF7L2	chr5	148377544	148377557	+	0.000	0.000	Merged-chr5-148377759-34
NR4191--MA0769.1.Tcf7	chr3	87385452	87385463	+	0.000	0.000	Merged-chr3-87385488-4
NR4246--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR4706--MA0769.1.Tcf7	chr4	88912351	88912362	+	0.000	0.000	Merged-chr4-88912378-27
NR692--MA0769.1.Tcf7	chr10	43740321	43740332	+	0.000	0.000	Merged-chr10-43740419-60
NR3634--MA0769.1.Tcf7	chr2	68884946	68884957	-	0.000	0.000	Merged-chr2-68884857-23
NR2756--MA0523.1.TCF7L2	chr16	78247903	78247916	-	0.000	0.000	Merged-chr16-78247900-23
NR4848--MA0523.1.TCF7L2	chr4	130706923	130706936	-	0.000	0.000	Merged-chr4-130706849-20
NR2588--MA0523.1.TCF7L2	chr16	4752301	4752314	-	0.000	0.000	Merged-chr16-4752313-9
NR2705--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR2537--MA0523.1.TCF7L2	chr15	95826801	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR3406--MA0769.1.Tcf7	chr19	57093567	57093578	+	0.000	0.000	Merged-chr19-57093567-48
NR5474--MA0523.1.TCF7L2	chr6	51200468	51200481	-	0.000	0.000	Merged-chr6-51200388-15
NR218--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR2352--MA0769.1.Tcf7	chr15	36855724	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR5062--MA0769.1.Tcf7	chr5	46445799	46445810	+	0.000	0.000	Merged-chr5-46445949-13
NR3092--MA1421.1.TCF7L1	chr18	35776812	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR4897--MA1421.1.TCF7L1	chr4	144986271	144986282	+	0.000	0.000	Merged-chr4-144986370-39
NR1139--MA1421.1.TCF7L1	chr11	73267034	73267045	+	0.000	0.000	Merged-chr11-73267242-14
NR6144--MA0523.1.TCF7L2	chr7	116557587	116557600	-	0.000	0.000	Merged-chr7-116557657-1
NR1379--MA0769.1.Tcf7	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR2199--MA1421.1.TCF7L1	chr14	75444803	75444814	+	0.000	0.000	Merged-chr14-75444835-23
NR2375--MA0769.1.Tcf7	chr15	53688644	53688655	-	0.000	0.000	Merged-chr15-53688797-27
NR3630--MA1421.1.TCF7L1	chr2	68884858	68884869	+	0.000	0.000	Merged-chr2-68884857-23
NR5061--MA0523.1.TCF7L2	chr5	46445799	46445812	+	0.000	0.000	Merged-chr5-46445949-13
NR2393--MA0769.1.Tcf7	chr15	59019052	59019063	+	0.000	0.000	Merged-chr15-59019141-20
NR3577--MA0769.1.Tcf7	chr2	56028488	56028499	+	0.000	0.000	Merged-chr2-56028640-17
NR2507--MA0523.1.TCF7L2	chr15	85347170	85347183	-	0.000	0.000	Merged-chr15-85347177-12
NR4452--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR5541--MA1421.1.TCF7L1	chr6	70862832	70862843	-	0.000	0.000	Merged-chr6-70862834-28
NR2713--MA0523.1.TCF7L2	chr16	51719911	51719924	+	0.000	0.000	Merged-chr16-51719841-20
NR613--MA0769.1.Tcf7	chr10	13469065	13469076	+	0.000	0.000	Merged-chr10-13469041-19
NR4582--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR3735--MA0523.1.TCF7L2	chr2	102044453	102044466	-	0.000	0.000	Merged-chr2-102044515-18
NR6977--MA0769.1.Tcf7	chrX	71464353	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR4569--MA0769.1.Tcf7	chr4	11610155	11610166	+	0.000	0.000	Merged-chr4-11610147-18
NR6285--MA0523.1.TCF7L2	chr8	4507785	4507798	-	0.000	0.000	Merged-chr8-4507701-32
NR2351--MA0523.1.TCF7L2	chr15	36855722	36855735	-	0.000	0.000	Merged-chr15-36855718-24
NR4014--MA0769.1.Tcf7	chr2	170147682	170147693	+	0.000	0.000	Merged-chr2-170147732-33
NR3988--MA0523.1.TCF7L2	chr2	163298933	163298946	-	0.000	0.000	Merged-chr2-163299110-16
NR4299--MA1421.1.TCF7L1	chr3	115584852	115584863	-	0.000	0.000	Merged-chr3-115584831-13
NR726--MA0523.1.TCF7L2	chr10	61599722	61599735	+	0.000	0.000	Merged-chr10-61599733-13
NR2758--MA1421.1.TCF7L1	chr16	78452568	78452579	+	0.000	0.000	Merged-chr16-78452542-29
NR764--MA0523.1.TCF7L2	chr10	75417902	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1779--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR4704--MA1421.1.TCF7L1	chr4	88912351	88912362	+	0.000	0.000	Merged-chr4-88912378-27
NR295--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR2757--MA0769.1.Tcf7	chr16	78247905	78247916	-	0.000	0.000	Merged-chr16-78247900-23
NR339--MA0523.1.TCF7L2	chr1	150100066	150100079	+	0.000	0.000	Merged-chr1-150100024-34
NR3632--MA0769.1.Tcf7	chr2	68884858	68884869	+	0.000	0.000	Merged-chr2-68884857-23
NR5835--MA0523.1.TCF7L2	chr6	146960263	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR2892--MA0523.1.TCF7L2	chr17	31693694	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR6748--MA1421.1.TCF7L1	chr9	82967388	82967399	+	0.000	0.000	Merged-chr9-82967336-26
NR2770--MA1421.1.TCF7L1	chr16	84995568	84995579	+	0.000	0.000	Merged-chr16-84995665-26
NR3534--MA0769.1.Tcf7	chr2	35445582	35445593	+	0.000	0.000	Merged-chr2-35445506-29
NR6911--MA0769.1.Tcf7	chr9	120692066	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR3093--MA0523.1.TCF7L2	chr18	35776810	35776823	-	0.000	0.000	Merged-chr18-35776738-19
NR2029--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR6392--MA0769.1.Tcf7	chr8	70160266	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR1590--MA0523.1.TCF7L2	chr12	110861505	110861518	-	0.000	0.000	Merged-chr12-110861556-21
NR4390--MA0523.1.TCF7L2	chr3	135621474	135621487	+	0.000	0.000	Merged-chr3-135621532-24
NR5265--MA1421.1.TCF7L1	chr5	118614716	118614727	+	0.000	0.000	Merged-chr5-118614593-18
NR7070--MA0523.1.TCF7L2	chrX	166808397	166808410	-	0.000	0.000	Merged-chrX-166808277-26
NR4773--MA0523.1.TCF7L2	chr4	102887069	102887082	+	0.000	0.000	Merged-chr4-102887084-22
NR717--MA0523.1.TCF7L2	chr10	58351891	58351904	+	0.000	0.000	Merged-chr10-58351765-21
NR4692--MA0769.1.Tcf7	chr4	86725321	86725332	+	0.000	0.000	Merged-chr4-86725378-12
NR4120--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
