#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR2153--MA0508.2.PRDM1	chr7	97878157	97878166	+	0.000	0.000	Merged-chr7-97878127-12
NR2145--MA0508.2.PRDM1	chr7	90081810	90081819	-	0.000	0.000	Merged-chr7-90081975-11
NR1891--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR414--MA0508.2.PRDM1	chr11	88455569	88455578	+	0.000	0.000	Merged-chr11-88455545-42
NR395--MA0508.2.PRDM1	chr11	76599182	76599191	+	0.000	0.000	Merged-chr11-76599172-10
NR775--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR427--MA0508.2.PRDM1	chr11	98588212	98588221	+	0.000	0.000	Merged-chr11-98588289-18
NR2342--MA0508.2.PRDM1	chr8	128165794	128165803	+	0.000	0.000	Merged-chr8-128165876-22
NR1740--MA0508.2.PRDM1	chr4	145201414	145201423	+	0.000	0.000	Merged-chr4-145201623-9
NR387--MA0508.2.PRDM1	chr11	72718439	72718448	-	0.000	0.000	Merged-chr11-72718326-14
NR2498--MA0508.2.PRDM1	chrX	130602372	130602381	+	0.000	0.000	Merged-chrX-130602171-7
NR2103--MA0508.2.PRDM1	chr7	39642552	39642561	+	0.000	0.000	Merged-chr7-39642605-22
NR496--MA0508.2.PRDM1	chr12	72533804	72533813	+	0.000	0.000	Merged-chr12-72533880-3
NR1862--MA0508.2.PRDM1	chr5	103698385	103698394	+	0.000	0.000	Merged-chr5-103698415-15
NR2334--MA0508.2.PRDM1	chr8	124046022	124046031	+	0.000	0.000	Merged-chr8-124045987-6
NR475--MA0508.2.PRDM1	chr12	41340479	41340488	-	0.000	0.000	Merged-chr12-41340383-18
NR2238--MA0508.2.PRDM1	chr8	8440886	8440895	+	0.000	0.000	Merged-chr8-8440827-49
NR236--MA0508.2.PRDM1	chr10	40462436	40462445	+	0.000	0.000	Merged-chr10-40462347-27
NR1570--MA0508.2.PRDM1	chr3	146699285	146699294	+	0.000	0.000	Merged-chr3-146699153-10
NR2076--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2448--MA0508.2.PRDM1	chr9	114632418	114632427	+	0.000	0.000	Merged-chr9-114632456-28
NR1921--MA0508.2.PRDM1	chr6	29278874	29278883	+	0.000	0.000	Merged-chr6-29279043-26
NR1894--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR1798--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1655--MA0508.2.PRDM1	chr4	63486631	63486640	-	0.000	0.000	Merged-chr4-63486767-20
NR1621--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR1668--MA0508.2.PRDM1	chr4	86725257	86725266	+	0.000	0.000	Merged-chr4-86725378-12
NR1982--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
NR1905--MA0508.2.PRDM1	chr5	149427532	149427541	-	0.000	0.000	Merged-chr5-149427432-30
NR1376--MA0508.2.PRDM1	chr2	150869559	150869568	+	0.000	0.000	Merged-chr2-150869596-45
NR1103--MA0508.2.PRDM1	chr18	54482791	54482800	-	0.000	0.000	Merged-chr18-54482664-28
NR1116--MA0508.2.PRDM1	chr18	65015988	65015997	-	0.000	0.000	Merged-chr18-65016159-16
NR1573--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR1599--MA0508.2.PRDM1	chr4	7961867	7961876	-	0.000	0.000	Merged-chr4-7961828-25
NR1042--MA0508.2.PRDM1	chr17	63459979	63459988	-	0.000	0.000	Merged-chr17-63460148-16
NR1294--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR532--MA0508.2.PRDM1	chr12	99946277	99946286	-	0.000	0.000	Merged-chr12-99946342-2
NR1422--MA0508.2.PRDM1	chr3	28405494	28405503	-	0.000	0.000	Merged-chr3-28405628-27
NR1578--MA0508.2.PRDM1	chr3	152127485	152127494	-	0.000	0.000	Merged-chr3-152127515-20
NR1021--MA0508.2.PRDM1	chr17	34103002	34103011	+	0.000	0.000	Merged-chr17-34102981-20
NR1273--MA0508.2.PRDM1	chr2	69043581	69043590	-	0.000	0.000	Merged-chr2-69043604-35
NR917--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR1807--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR1101--MA0508.2.PRDM1	chr18	52410246	52410255	-	0.000	0.000	Merged-chr18-52410134-29
NR734--MA0508.2.PRDM1	chr14	19979595	19979604	-	0.000	0.000	Merged-chr14-19979538-4
NR1127--MA0508.2.PRDM1	chr18	69068570	69068579	+	0.000	0.000	Merged-chr18-69068591-21
NR280--MA0508.2.PRDM1	chr10	81249703	81249712	-	0.000	0.000	Merged-chr10-81249714-12
NR822--MA0508.2.PRDM1	chr14	118109989	118109998	+	0.000	0.000	Merged-chr14-118109992-14
NR2391--MA0508.2.PRDM1	chr9	61745155	61745164	+	0.000	0.000	Merged-chr9-61745239-9
NR2261--MA0508.2.PRDM1	chr8	36030434	36030443	+	0.000	0.000	Merged-chr8-36030382-8
NR795--MA0508.2.PRDM1	chr14	79331947	79331956	-	0.000	0.000	Merged-chr14-79332097-1
NR142--MA0508.2.PRDM1	chr1	161480175	161480184	+	0.000	0.000	Merged-chr1-161480099-19
NR251--MA0508.2.PRDM1	chr10	56486743	56486752	-	0.000	0.000	Merged-chr10-56486689-18
NR2484--MA0508.2.PRDM1	chrX	77522749	77522758	+	0.000	0.000	Merged-chrX-77522857-17
NR501--MA0508.2.PRDM1	chr12	75531651	75531660	-	0.000	0.000	Merged-chr12-75531793-15
NR1901--MA0508.2.PRDM1	chr5	148419286	148419295	+	0.000	0.000	Merged-chr5-148419241-23
NR548--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
NR2102--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR190--MA0508.2.PRDM1	chr1	184060590	184060599	-	0.000	0.000	Merged-chr1-184060676-8
NR2367--MA0508.2.PRDM1	chr9	36802493	36802502	-	0.000	0.000	Merged-chr9-36802612-8
NR2346--MA0508.2.PRDM1	chr9	7473079	7473088	+	0.000	0.000	Merged-chr9-7473003-16
NR453--MA0508.2.PRDM1	chr12	8344997	8345006	-	0.000	0.000	Merged-chr12-8345102-29
NR357--MA0508.2.PRDM1	chr11	20064304	20064313	-	0.000	0.000	Merged-chr11-20064139-6
NR214--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR846--MA0508.2.PRDM1	chr15	30662237	30662246	-	0.000	0.000	Merged-chr15-30662184-17
NR336--MA0508.2.PRDM1	chr10	122194304	122194313	-	0.000	0.000	Merged-chr10-122194311-33
NR1941--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR2447--MA0508.2.PRDM1	chr9	114592575	114592584	+	0.000	0.000	Merged-chr9-114592565-4
NR174--MA0508.2.PRDM1	chr1	176996870	176996879	+	0.000	0.000	Merged-chr1-176997002-19
NR1920--MA0508.2.PRDM1	chr6	24516169	24516178	+	0.000	0.000	Merged-chr6-24516367-18
NR2121--MA0508.2.PRDM1	chr7	64309596	64309605	-	0.000	0.000	Merged-chr7-64309656-8
NR1261--MA0508.2.PRDM1	chr2	59617060	59617069	+	0.000	0.000	Merged-chr2-59617159-6
NR2365--MA0508.2.PRDM1	chr9	35007139	35007148	+	0.000	0.000	Merged-chr9-35007274-11
NR1492--MA0508.2.PRDM1	chr3	98086092	98086101	-	0.000	0.000	Merged-chr3-98085981-10
NR2357--MA0508.2.PRDM1	chr9	21978126	21978135	+	0.000	0.000	Merged-chr9-21978174-8
NR368--MA0508.2.PRDM1	chr11	34093255	34093264	+	0.000	0.000	Merged-chr11-34093385-10
NR1973--MA0508.2.PRDM1	chr6	70103465	70103474	-	0.000	0.000	Merged-chr6-70103466-27
NR2206--MA0508.2.PRDM1	chr7	130773359	130773368	+	0.000	0.000	Merged-chr7-130773473-37
NR1508--MA0508.2.PRDM1	chr3	109433442	109433451	-	0.000	0.000	Merged-chr3-109433404-19
NR1617--MA0508.2.PRDM1	chr4	33270254	33270263	+	0.000	0.000	Merged-chr4-33270288-23
NR1272--MA0508.2.PRDM1	chr2	68932316	68932325	+	0.000	0.000	Merged-chr2-68932401-28
NR1400--MA0508.2.PRDM1	chr2	174723538	174723547	+	0.000	0.000	Merged-chr2-174723668-14
NR1923--MA0508.2.PRDM1	chr6	30141149	30141158	+	0.000	0.000	Merged-chr6-30141112-2
NR1394--MA0508.2.PRDM1	chr2	169396589	169396598	-	0.000	0.000	Merged-chr2-169396513-5
NR1569--MA0508.2.PRDM1	chr3	146173285	146173294	+	0.000	0.000	Merged-chr3-146173193-9
NR1439--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1399--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1527--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR1017--MA0508.2.PRDM1	chr17	31011881	31011890	-	0.000	0.000	Merged-chr17-31011806-34
NR855--MA0508.2.PRDM1	chr15	50298320	50298329	+	0.000	0.000	Merged-chr15-50298353-6
