#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR37659--MA1107.1.KLF9	chr2	113430867	113430879	+	0.000	0.000	Merged-chr2-113431034-10
NR15526--MA1107.1.KLF9	chr12	107953663	107953675	+	0.000	0.000	Merged-chr12-107953476-22
NR39082--MA1107.1.KLF9	chr2	154713410	154713422	+	0.000	0.000	Merged-chr2-154713279-3
NR52839--MA1107.1.KLF9	chr5	127478709	127478721	-	0.000	0.000	Merged-chr5-127478750-4
NR61239--MA0599.1.KLF5	chr7	80911181	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR44778--MA1107.1.KLF9	chr4	32342544	32342556	+	0.000	0.000	Merged-chr4-32342446-3
NR57994--MA0599.1.KLF5	chr6	135150456	135150465	-	0.000	0.000	Merged-chr6-135150450-14
NR35274--MA0493.1.Klf1	chr2	25170654	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR62206--MA0741.1.KLF16	chr7	114284580	114284590	-	0.000	0.000	Merged-chr7-114284648-5
NR47351--MA0740.1.KLF14	chr4	127095285	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR50262--MA0599.1.KLF5	chr5	44971074	44971083	+	0.000	0.000	Merged-chr5-44970910-1
NR31054--MA0599.1.KLF5	chr18	24653027	24653036	-	0.000	0.000	Merged-chr18-24652935-1
NR60955--MA0599.1.KLF5	chr7	71379408	71379417	-	0.000	0.000	Merged-chr7-71379218-17
NR68380--MA0740.1.KLF14	chr9	42423777	42423790	+	0.000	0.000	Merged-chr9-42423784-11
NR11995--MA1107.1.KLF9	chr11	98348309	98348321	+	0.000	0.000	Merged-chr11-98348383-15
NR62207--MA1107.1.KLF9	chr7	114284552	114284564	-	0.000	0.000	Merged-chr7-114284648-5
NR56582--MA0599.1.KLF5	chr6	97487828	97487837	-	0.000	0.000	Merged-chr6-97487837-16
NR4161--MA0740.1.KLF14	chr1	178777942	178777955	+	0.000	0.000	Merged-chr1-178777930-3
NR42454--MA0741.1.KLF16	chr3	103862687	103862697	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR68041--MA0657.1.KLF13	chr9	22468429	22468446	+	0.000	0.000	Merged-chr9-22468507-1
NR58824--MA0493.1.Klf1	chr7	4777375	4777385	+	0.000	0.000	Merged-chr7-4777194-35
NR49020--MA0599.1.KLF5	chr4	154964935	154964944	+	0.000	0.000	Merged-chr4-154964941-1
NR1702--MA0657.1.KLF13	chr1	92627898	92627915	-	0.000	0.000	Merged-chr1-92627858-2
NR31170--MA0493.1.Klf1	chr18	34119162	34119172	+	0.000	0.000	Merged-chr18-34119023-1
NR13906--MA0039.3.KLF4	chr12	33036353	33036363	+	0.000	0.000	Merged-chr12-33036196-25
NR849--MA0039.3.KLF4	chr1	58774019	58774029	+	0.000	0.000	Merged-chr1-58774084-24
NR71780--MA0599.1.KLF5	chrX	12151848	12151857	+	0.000	0.000	Merged-chrX-12151801-24
NR19153--MA0599.1.KLF5	chr14	7818952	7818961	-	0.000	0.000	Merged-chr14-7819138-4
NR4174--MA0740.1.KLF14	chr1	178959912	178959925	-	0.000	0.000	Merged-chr1-178959718-2
NR62243--MA1107.1.KLF9	chr7	115416164	115416176	-	0.000	0.000	Merged-chr7-115416169-1
NR4165--MA1107.1.KLF9	chr1	178777942	178777954	+	0.000	0.000	Merged-chr1-178777930-3
NR62118--MA1107.1.KLF9	chr7	111847388	111847400	+	0.000	0.000	Merged-chr7-111847259-1
NR14053--MA0599.1.KLF5	chr12	41566408	41566417	+	0.000	0.000	Merged-chr12-41566300-31
NR21163--MA0599.1.KLF5	chr14	78687441	78687450	-	0.000	0.000	Merged-chr14-78687431-2
NR15123--MA0741.1.KLF16	chr12	93572170	93572180	+	0.000	0.000	Merged-chr12-93572105-1
NR1704--MA0741.1.KLF16	chr1	92627903	92627913	-	0.000	0.000	Merged-chr1-92627858-2
NR53949--MA0742.1.Klf12	chr5	142926605	142926619	-	0.000	0.000	Merged-chr5-142926803-39
NR67339--MA1107.1.KLF9	chr8	124022256	124022268	-	0.000	0.000	Merged-chr8-124022219-1
NR47723--MA0740.1.KLF14	chr4	133039342	133039355	+	0.000	0.000	Merged-chr4-133039433-1
NR15124--MA1107.1.KLF9	chr12	93572149	93572161	+	0.000	0.000	Merged-chr12-93572105-1
NR14052--MA1107.1.KLF9	chr12	41566223	41566235	-	0.000	0.000	Merged-chr12-41566300-31
NR6345--MA1107.1.KLF9	chr10	63381571	63381583	+	0.000	0.000	Merged-chr10-63381719-30
NR68381--MA0657.1.KLF13	chr9	42423776	42423793	+	0.000	0.000	Merged-chr9-42423784-11
NR1491--MA1107.1.KLF9	chr1	85720756	85720768	+	0.000	0.000	Merged-chr1-85720773-26
NR8870--MA0493.1.Klf1	chr10	127151501	127151511	+	0.000	0.000	Merged-chr10-127151405-14
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR56904--MA1107.1.KLF9	chr6	112162829	112162841	+	0.000	0.000	Merged-chr6-112162678-1
NR4160--MA0742.1.Klf12	chr1	178777844	178777858	-	0.000	0.000	Merged-chr1-178777930-3
NR71925--MA0741.1.KLF16	chrX	41401273	41401283	-	0.000	0.000	Merged-chrX-41401443-3
NR67215--MA0741.1.KLF16	chr8	122451268	122451278	-	0.000	0.000	Merged-chr8-122451262-3
NR69081--MA0741.1.KLF16	chr9	62261191	62261201	-	0.000	0.000	Merged-chr9-62261115-16
NR67738--MA0741.1.KLF16	chr9	14281803	14281813	-	0.000	0.000	Merged-chr9-14281792-3
NR19833--MA0657.1.KLF13	chr14	33099319	33099336	+	0.000	0.000	Merged-chr14-33099452-34
NR42773--MA0741.1.KLF16	chr3	115897932	115897942	+	0.000	0.000	Merged-chr3-115897908-5
NR68003--MA0740.1.KLF14	chr9	22132312	22132325	-	0.000	0.000	Merged-chr9-22132302-2
NR67842--MA0599.1.KLF5	chr9	20757379	20757388	-	0.000	0.000	Merged-chr9-20757221-14
NR61065--MA0493.1.Klf1	chr7	78383921	78383931	+	0.000	0.000	Merged-chr7-78384000-1
NR12795--MA1107.1.KLF9	chr11	114813028	114813040	+	0.000	0.000	Merged-chr11-114812922-18
NR1496--MA1107.1.KLF9	chr1	85720766	85720778	+	0.000	0.000	Merged-chr1-85720773-26
NR5194--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR2939--MA0742.1.Klf12	chr1	150465584	150465598	+	0.000	0.000	Merged-chr1-150465561-21
NR8409--MA1107.1.KLF9	chr10	118090009	118090021	-	0.000	0.000	Merged-chr10-118090052-13
NR33180--MA1107.1.KLF9	chr19	7118089	7118101	+	0.000	0.000	Merged-chr19-7118010-10
NR35685--MA0741.1.KLF16	chr2	31950221	31950231	-	0.000	0.000	Merged-chr2-31950269-16
NR4177--MA0741.1.KLF16	chr1	178959912	178959922	-	0.000	0.000	Merged-chr1-178959718-2
NR12791--MA0657.1.KLF13	chr11	114812807	114812824	-	0.000	0.000	Merged-chr11-114812922-18
NR10120--MA0741.1.KLF16	chr11	52248933	52248943	-	0.000	0.000	Merged-chr11-52248814-1
NR1643--MA0741.1.KLF16	chr1	90676794	90676804	+	0.000	0.000	Merged-chr1-90676812-13
NR14608--MA1107.1.KLF9	chr12	76596419	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR35903--MA0599.1.KLF5	chr2	35729772	35729781	+	0.000	0.000	Merged-chr2-35729635-16
NR47109--MA0740.1.KLF14	chr4	120747002	120747015	-	0.000	0.000	Merged-chr4-120746874-1
NR8865--MA0740.1.KLF14	chr10	127151463	127151476	+	0.000	0.000	Merged-chr10-127151405-14
NR58001--MA1107.1.KLF9	chr6	135150458	135150470	-	0.000	0.000	Merged-chr6-135150450-14
NR40174--MA1107.1.KLF9	chr2	178891674	178891686	+	0.000	0.000	Merged-chr2-178891686-1
NR68385--MA1107.1.KLF9	chr9	42423777	42423789	+	0.000	0.000	Merged-chr9-42423784-11
NR25625--MA0039.3.KLF4	chr16	23375107	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR56584--MA0741.1.KLF16	chr6	97487827	97487837	-	0.000	0.000	Merged-chr6-97487837-16
NR61661--MA0493.1.Klf1	chr7	98995318	98995328	-	0.000	0.000	Merged-chr7-98995432-21
NR42453--MA0493.1.Klf1	chr3	103862700	103862710	+	0.000	0.000	Merged-chr3-103862515-1,Merged-chr3-103862758-3
NR54798--MA0599.1.KLF5	chr6	29517294	29517303	+	0.000	0.000	Merged-chr6-29517345-20
NR12362--MA0493.1.Klf1	chr11	103351165	103351175	+	0.000	0.000	Merged-chr11-103350991-5
NR8687--MA1107.1.KLF9	chr10	122778157	122778169	+	0.000	0.000	Merged-chr10-122778014-1
NR936--MA1107.1.KLF9	chr1	62049748	62049760	+	0.000	0.000	Merged-chr1-62049803-1
NR8682--MA0039.3.KLF4	chr10	122778139	122778149	+	0.000	0.000	Merged-chr10-122778014-1
NR19838--MA0039.3.KLF4	chr14	33099302	33099312	+	0.000	0.000	Merged-chr14-33099452-34
NR19759--MA0599.1.KLF5	chr14	30675196	30675205	-	0.000	0.000	Merged-chr14-30675172-26
NR37661--MA1107.1.KLF9	chr2	113430871	113430883	+	0.000	0.000	Merged-chr2-113431034-10
NR62247--MA0742.1.Klf12	chr7	115543709	115543723	+	0.000	0.000	Merged-chr7-115543677-6
NR60115--MA0493.1.Klf1	chr7	37978641	37978651	+	0.000	0.000	Merged-chr7-37978660-9
NR13905--MA0599.1.KLF5	chr12	33036352	33036361	+	0.000	0.000	Merged-chr12-33036196-25
NR53948--MA0740.1.KLF14	chr5	142926606	142926619	-	0.000	0.000	Merged-chr5-142926803-39
NR11094--MA0599.1.KLF5	chr11	75926973	75926982	+	0.000	0.000	Merged-chr11-75926776-30
NR45835--MA0493.1.Klf1	chr4	62695859	62695869	+	0.000	0.000	Merged-chr4-62695960-32
NR19155--MA0741.1.KLF16	chr14	7818951	7818961	-	0.000	0.000	Merged-chr14-7819138-4
NR59030--MA0599.1.KLF5	chr7	16129743	16129752	+	0.000	0.000	Merged-chr7-16129723-14
NR47290--MA0599.1.KLF5	chr4	125116714	125116723	-	0.000	0.000	Merged-chr4-125116565-9
NR38178--MA0039.3.KLF4	chr2	128396172	128396182	+	0.000	0.000	Merged-chr2-128396137-30
