#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR869--MA0659.1.MAFG	chr1	177248866	177248886	+	0.000	0.000	Merged-chr1-177248824-22
NR2159--MA0496.2.MAFK	chr11	72941084	72941102	+	0.000	0.000	Merged-chr11-72940930-27
NR8653--MA0089.1.MAFG::NFE2L1	chr4	98113737	98113742	+	0.000	0.000	Merged-chr4-98113853-12
NR12395--MA0496.2.MAFK	chr9	69702280	69702298	+	0.000	0.000	Merged-chr9-69702378-12
NR10760--MA0089.1.MAFG::NFE2L1	chr6	147484586	147484591	+	0.000	0.000	Merged-chr6-147484715-1
NR4835--MA0501.1.MAF::NFE2	chr16	8610453	8610467	-	0.000	0.000	Merged-chr16-8610568-23
NR1478--MA0591.1.Bach1::Mafk	chr10	83197945	83197959	-	0.000	0.000	Merged-chr10-83198046-22
NR7433--MA0089.1.MAFG::NFE2L1	chr2	167967795	167967800	-	0.000	0.000	Merged-chr2-167967809-5
NR5779--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR4819--MA0591.1.Bach1::Mafk	chr16	4469922	4469936	-	0.000	0.000	Merged-chr16-4469915-27
NR3753--MA0117.2.Mafb	chr13	110683202	110683213	-	0.000	0.000	Merged-chr13-110683272-3
NR7239--MA0501.1.MAF::NFE2	chr2	144352565	144352579	+	0.000	0.000	Merged-chr2-144352435-1
NR2197--MA0089.1.MAFG::NFE2L1	chr11	77446737	77446742	-	0.000	0.000	Merged-chr11-77446738-31
NR3993--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR1153--MA0089.1.MAFG::NFE2L1	chr10	7826372	7826377	+	0.000	0.000	Merged-chr10-7826287-40
NR5689--MA0089.1.MAFG::NFE2L1	chr17	94341816	94341821	+	0.000	0.000	Merged-chr17-94341834-1
NR10830--MA0495.2.MAFF	chr7	19086152	19086172	+	0.000	0.000	Merged-chr7-19086207-16
NR627--MA0501.1.MAF::NFE2	chr1	152817556	152817570	+	0.000	0.000	Merged-chr1-152817500-27
NR6470--MA0496.2.MAFK	chr2	8628740	8628758	-	0.000	0.000	Merged-chr2-8628681-1
NR6702--MA0089.1.MAFG::NFE2L1	chr2	52938351	52938356	-	0.000	0.000	Merged-chr2-52938398-15
NR7857--MA0501.1.MAF::NFE2	chr3	100421769	100421783	+	0.000	0.000	Merged-chr3-100421832-10
NR10832--MA0659.1.MAFG	chr7	19086152	19086172	+	0.000	0.000	Merged-chr7-19086207-16
NR12424--MA0501.1.MAF::NFE2	chr9	75209435	75209449	-	0.000	0.000	Merged-chr9-75209368-16
NR4737--MA0591.1.Bach1::Mafk	chr15	94404187	94404201	+	0.000	0.000	Merged-chr15-94404282-43
NR9601--MA0089.1.MAFG::NFE2L1	chr5	107754956	107754961	-	0.000	0.000	Merged-chr5-107754930-37
NR6249--MA0117.2.Mafb	chr19	32406945	32406956	-	0.000	0.000	Merged-chr19-32406889-30
NR6704--MA0495.2.MAFF	chr2	52938453	52938473	-	0.000	0.000	Merged-chr2-52938398-15
NR3210--MA0496.2.MAFK	chr13	9082704	9082722	+	0.000	0.000	Merged-chr13-9082570-19
NR2288--MA0501.1.MAF::NFE2	chr11	90576723	90576737	+	0.000	0.000	Merged-chr11-90576690-20
NR5842--MA0496.2.MAFK	chr18	43492937	43492955	+	0.000	0.000	Merged-chr18-43493033-11
NR2271--MA0591.1.Bach1::Mafk	chr11	87240404	87240418	+	0.000	0.000	Merged-chr11-87240422-3
NR1175--MA0089.1.MAFG::NFE2L1	chr10	14040896	14040901	-	0.000	0.000	Merged-chr10-14040919-9
NR290--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR183--MA0591.1.Bach1::Mafk	chr1	61151394	61151408	+	0.000	0.000	Merged-chr1-61151289-6
NR6468--MA0501.1.MAF::NFE2	chr2	8628739	8628753	-	0.000	0.000	Merged-chr2-8628681-1
NR3249--MA0659.1.MAFG	chr13	20139977	20139997	+	0.000	0.000	Merged-chr13-20140166-30
NR10081--MA0591.1.Bach1::Mafk	chr6	51592879	51592893	-	0.000	0.000	Merged-chr6-51593053-1
NR8472--MA0496.2.MAFK	chr4	32425704	32425722	+	0.000	0.000	Merged-chr4-32425710-19
NR6044--MA0089.1.MAFG::NFE2L1	chr18	80642635	80642640	+	0.000	0.000	Merged-chr18-80642669-13
NR9370--MA0495.2.MAFF	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR5202--MA0089.1.MAFG::NFE2L1	chr16	93153374	93153379	-	0.000	0.000	Merged-chr16-93153200-34
NR12816--MA0117.2.Mafb	chr9	120116469	120116480	+	0.000	0.000	Merged-chr9-120116499-4
NR9372--MA0659.1.MAFG	chr5	74471049	74471069	+	0.000	0.000	Merged-chr5-74471085-11
NR328--MA0501.1.MAF::NFE2	chr1	88497495	88497509	-	0.000	0.000	Merged-chr1-88497619-10
NR12019--MA0089.1.MAFG::NFE2L1	chr8	120832256	120832261	-	0.000	0.000	Merged-chr8-120832220-19
NR2297--MA0591.1.Bach1::Mafk	chr11	94253921	94253935	+	0.000	0.000	Merged-chr11-94253783-2
NR8550--MA0591.1.Bach1::Mafk	chr4	62739896	62739910	+	0.000	0.000	Merged-chr4-62739923-10
NR10276--MA0591.1.Bach1::Mafk	chr6	91713071	91713085	-	0.000	0.000	Merged-chr6-91712946-25
NR7575--MA0089.1.MAFG::NFE2L1	chr3	8971816	8971821	+	0.000	0.000	Merged-chr3-8971852-23
NR4372--MA0089.1.MAFG::NFE2L1	chr15	9435986	9435991	+	0.000	0.000	Merged-chr15-9435954-24
NR8401--MA0089.1.MAFG::NFE2L1	chr4	7112407	7112412	+	0.000	0.000	Merged-chr4-7112485-9
NR628--MA0496.2.MAFK	chr1	152817551	152817569	-	0.000	0.000	Merged-chr1-152817500-27
NR9174--MA0495.2.MAFF	chr5	20082524	20082544	+	0.000	0.000	Merged-chr5-20082786-46
NR56--MA0496.2.MAFK	chr1	33454542	33454560	+	0.000	0.000	Merged-chr1-33454547-11
NR5262--MA0501.1.MAF::NFE2	chr16	97002597	97002611	-	0.000	0.000	Merged-chr16-97002537-1
NR1431--MA0591.1.Bach1::Mafk	chr10	77225546	77225560	+	0.000	0.000	Merged-chr10-77225622-11
NR3204--MA0495.2.MAFF	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR10647--MA0089.1.MAFG::NFE2L1	chr6	141435623	141435628	+	0.000	0.000	Merged-chr6-141435632-1
NR5826--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR1165--MA0117.2.Mafb	chr10	12821572	12821583	-	0.000	0.000	Merged-chr10-12821526-15
NR3206--MA0117.2.Mafb	chr13	9082712	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR6389--MA0495.2.MAFF	chr19	57329136	57329156	+	0.000	0.000	Merged-chr19-57329037-3
NR9620--MA0591.1.Bach1::Mafk	chr5	111150876	111150890	+	0.000	0.000	Merged-chr5-111150785-19
NR7607--MA0089.1.MAFG::NFE2L1	chr3	21224541	21224546	+	0.000	0.000	Merged-chr3-21224399-4,Merged-chr3-21224664-3
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR6711--MA0496.2.MAFK	chr2	52938454	52938472	+	0.000	0.000	Merged-chr2-52938398-15
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR8338--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR9176--MA0501.1.MAF::NFE2	chr5	20082524	20082538	-	0.000	0.000	Merged-chr5-20082786-46
NR7862--MA0501.1.MAF::NFE2	chr3	101056906	101056920	-	0.000	0.000	Merged-chr3-101056914-14
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR2287--MA0117.2.Mafb	chr11	90576726	90576737	-	0.000	0.000	Merged-chr11-90576690-20
NR4415--MA0089.1.MAFG::NFE2L1	chr15	31418319	31418324	-	0.000	0.000	Merged-chr15-31418440-29
NR5720--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR9374--MA0501.1.MAF::NFE2	chr5	74471049	74471063	-	0.000	0.000	Merged-chr5-74471085-11
NR9364--MA0495.2.MAFF	chr5	74470989	74471009	+	0.000	0.000	Merged-chr5-74471085-11
NR9175--MA0591.1.Bach1::Mafk	chr5	20082527	20082541	-	0.000	0.000	Merged-chr5-20082786-46
NR8715--MA0117.2.Mafb	chr4	109135038	109135049	-	0.000	0.000	Merged-chr4-109135224-18
NR5804--MA0659.1.MAFG	chr18	34202739	34202759	+	0.000	0.000	Merged-chr18-34202543-19
NR11517--MA0496.2.MAFK	chr7	136152646	136152664	+	0.000	0.000	Merged-chr7-136152676-10
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR8368--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR4524--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR2365--MA0089.1.MAFG::NFE2L1	chr11	103776890	103776895	-	0.000	0.000	Merged-chr11-103776919-6
NR6464--MA0117.2.Mafb	chr2	8628739	8628750	+	0.000	0.000	Merged-chr2-8628681-1
NR6943--MA0501.1.MAF::NFE2	chr2	104208180	104208194	+	0.000	0.000	Merged-chr2-104208216-12
NR9181--MA0089.1.MAFG::NFE2L1	chr5	20792269	20792274	-	0.000	0.000	Merged-chr5-20792282-29
NR4504--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR10831--MA0495.2.MAFF	chr7	19086152	19086172	-	0.000	0.000	Merged-chr7-19086207-16
NR3015--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR10833--MA0659.1.MAFG	chr7	19086152	19086172	-	0.000	0.000	Merged-chr7-19086207-16
NR11355--MA0501.1.MAF::NFE2	chr7	116484455	116484469	+	0.000	0.000	Merged-chr7-116484434-42
NR11516--MA0501.1.MAF::NFE2	chr7	136152651	136152665	+	0.000	0.000	Merged-chr7-136152676-10
NR9177--MA0496.2.MAFK	chr5	20082525	20082543	+	0.000	0.000	Merged-chr5-20082786-46
NR3211--MA0496.2.MAFK	chr13	9082704	9082722	-	0.000	0.000	Merged-chr13-9082570-19
NR10275--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR5843--MA0496.2.MAFK	chr18	43492937	43492955	-	0.000	0.000	Merged-chr18-43493033-11
NR9404--MA0089.1.MAFG::NFE2L1	chr5	86079040	86079045	+	0.000	0.000	Merged-chr5-86079042-21
NR6705--MA0089.1.MAFG::NFE2L1	chr2	52938463	52938468	-	0.000	0.000	Merged-chr2-52938398-15
NR6465--MA0591.1.Bach1::Mafk	chr2	8628742	8628756	-	0.000	0.000	Merged-chr2-8628681-1
NR1074--MA0117.2.Mafb	chr1	191402721	191402732	-	0.000	0.000	Merged-chr1-191402800-7
NR3239--MA0089.1.MAFG::NFE2L1	chr13	17185298	17185303	+	0.000	0.000	Merged-chr13-17185459-34
NR12164--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR11991--MA0659.1.MAFG	chr8	116755756	116755776	+	0.000	0.000	Merged-chr8-116755810-6
NR12040--MA0591.1.Bach1::Mafk	chr8	122772828	122772842	-	0.000	0.000	Merged-chr8-122772813-21
NR8473--MA0496.2.MAFK	chr4	32425704	32425722	-	0.000	0.000	Merged-chr4-32425710-19
NR8370--MA0496.2.MAFK	chr3	157884229	157884247	-	0.000	0.000	Merged-chr3-157884103-23
NR8083--MA0089.1.MAFG::NFE2L1	chr3	130571191	130571196	-	0.000	0.000	Merged-chr3-130571110-5
NR5470--MA0591.1.Bach1::Mafk	chr17	47150861	47150875	-	0.000	0.000	Merged-chr17-47150762-7
NR4834--MA0591.1.Bach1::Mafk	chr16	8610456	8610470	-	0.000	0.000	Merged-chr16-8610568-23
NR9373--MA0659.1.MAFG	chr5	74471049	74471069	-	0.000	0.000	Merged-chr5-74471085-11
NR7196--MA0495.2.MAFF	chr2	138245710	138245730	+	0.000	0.000	Merged-chr2-138245729-1
NR8208--MA0089.1.MAFG::NFE2L1	chr3	143304288	143304293	+	0.000	0.000	Merged-chr3-143304285-1
NR5471--MA0501.1.MAF::NFE2	chr17	47150858	47150872	-	0.000	0.000	Merged-chr17-47150762-7
NR10557--MA0117.2.Mafb	chr6	134274189	134274200	-	0.000	0.000	Merged-chr6-134274107-38
NR963--MA0591.1.Bach1::Mafk	chr1	185191177	185191191	-	0.000	0.000	Merged-chr1-185191202-1
NR10139--MA0089.1.MAFG::NFE2L1	chr6	61263660	61263665	-	0.000	0.000	Merged-chr6-61263601-18
NR7493--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	-	0.000	0.000	Merged-chr2-173647246-19
NR11724--MA0501.1.MAF::NFE2	chr8	57660444	57660458	-	0.000	0.000	Merged-chr8-57660259-14
NR4377--MA0089.1.MAFG::NFE2L1	chr15	10600106	10600111	+	0.000	0.000	Merged-chr15-10599937-7
NR5809--MA0089.1.MAFG::NFE2L1	chr18	35848621	35848626	+	0.000	0.000	Merged-chr18-35848691-1
NR57--MA0496.2.MAFK	chr1	33454542	33454560	-	0.000	0.000	Merged-chr1-33454547-11
NR6460--MA0496.2.MAFK	chr2	8628708	8628726	+	0.000	0.000	Merged-chr2-8628681-1
NR12396--MA0501.1.MAF::NFE2	chr9	69757379	69757393	-	0.000	0.000	Merged-chr9-69757438-24
NR12657--MA0117.2.Mafb	chr9	104205393	104205404	-	0.000	0.000	Merged-chr9-104205383-8
NR2200--MA0089.1.MAFG::NFE2L1	chr11	77766683	77766688	-	0.000	0.000	Merged-chr11-77766597-12
NR7665--MA0089.1.MAFG::NFE2L1	chr3	51906040	51906045	+	0.000	0.000	Merged-chr3-51906016-20
NR3205--MA0495.2.MAFF	chr13	9082703	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR10070--MA0117.2.Mafb	chr6	49161926	49161937	+	0.000	0.000	Merged-chr6-49161850-8
NR6391--MA0591.1.Bach1::Mafk	chr19	57329139	57329153	+	0.000	0.000	Merged-chr19-57329037-3
NR1477--MA0496.2.MAFK	chr10	83094422	83094440	+	0.000	0.000	Merged-chr10-83094341-29
NR7753--MA0501.1.MAF::NFE2	chr3	85023090	85023104	+	0.000	0.000	Merged-chr3-85023059-16
NR9079--MA0117.2.Mafb	chr5	3193799	3193810	-	0.000	0.000	Merged-chr5-3193757-27
NR1385--MA0089.1.MAFG::NFE2L1	chr10	67840978	67840983	-	0.000	0.000	Merged-chr10-67841086-29
NR1278--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR1401--MA0501.1.MAF::NFE2	chr10	69542865	69542879	+	0.000	0.000	Merged-chr10-69542895-13
NR10834--MA0496.2.MAFK	chr7	19086153	19086171	+	0.000	0.000	Merged-chr7-19086207-16
NR9625--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR12495--MA0089.1.MAFG::NFE2L1	chr9	82787439	82787444	-	0.000	0.000	Merged-chr9-82787525-14
NR8400--MA0089.1.MAFG::NFE2L1	chr4	7112369	7112374	+	0.000	0.000	Merged-chr4-7112485-9
NR11174--MA0117.2.Mafb	chr7	97626084	97626095	+	0.000	0.000	Merged-chr7-97625910-13
NR6712--MA0496.2.MAFK	chr2	52938454	52938472	-	0.000	0.000	Merged-chr2-52938398-15
NR870--MA0659.1.MAFG	chr1	177248866	177248886	-	0.000	0.000	Merged-chr1-177248824-22
NR2160--MA0496.2.MAFK	chr11	72941084	72941102	-	0.000	0.000	Merged-chr11-72940930-27
NR10291--MA0591.1.Bach1::Mafk	chr6	95484472	95484486	+	0.000	0.000	Merged-chr6-95484610-23
NR50--MA0495.2.MAFF	chr1	33454541	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR9687--MA0495.2.MAFF	chr5	118620495	118620515	-	0.000	0.000	Merged-chr5-118620530-42
NR9371--MA0591.1.Bach1::Mafk	chr5	74471052	74471066	-	0.000	0.000	Merged-chr5-74471085-11
NR9355--MA0089.1.MAFG::NFE2L1	chr5	73630401	73630406	-	0.000	0.000	Merged-chr5-73630268-26
NR9689--MA0659.1.MAFG	chr5	118620495	118620515	-	0.000	0.000	Merged-chr5-118620530-42
NR6459--MA0591.1.Bach1::Mafk	chr2	8628710	8628724	-	0.000	0.000	Merged-chr2-8628681-1
NR2978--MA0591.1.Bach1::Mafk	chr12	106766362	106766376	-	0.000	0.000	Merged-chr12-106766403-23
NR11947--MA0501.1.MAF::NFE2	chr8	107574918	107574932	-	0.000	0.000	Merged-chr8-107575004-5
NR867--MA0591.1.Bach1::Mafk	chr1	177248869	177248883	+	0.000	0.000	Merged-chr1-177248824-22
NR8340--MA0501.1.MAF::NFE2	chr3	155235699	155235713	+	0.000	0.000	Merged-chr3-155235663-12
NR8369--MA0496.2.MAFK	chr3	157884229	157884247	+	0.000	0.000	Merged-chr3-157884103-23
NR3700--MA0591.1.Bach1::Mafk	chr13	108056943	108056957	+	0.000	0.000	Merged-chr13-108057126-33
NR11518--MA0496.2.MAFK	chr7	136152646	136152664	-	0.000	0.000	Merged-chr7-136152676-10
NR6392--MA0501.1.MAF::NFE2	chr19	57329142	57329156	+	0.000	0.000	Merged-chr19-57329037-3
NR3207--MA0591.1.Bach1::Mafk	chr13	9082706	9082720	-	0.000	0.000	Merged-chr13-9082570-19
NR334--MA0117.2.Mafb	chr1	89093918	89093929	+	0.000	0.000	Merged-chr1-89093874-9
NR7573--MA0659.1.MAFG	chr3	8971766	8971786	+	0.000	0.000	Merged-chr3-8971852-23
NR5086--MA0501.1.MAF::NFE2	chr16	72663570	72663584	-	0.000	0.000	Merged-chr16-72663616-18
NR12423--MA0591.1.Bach1::Mafk	chr9	75209438	75209452	-	0.000	0.000	Merged-chr9-75209368-16
NR55--MA0501.1.MAF::NFE2	chr1	33454547	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR4414--MA0089.1.MAFG::NFE2L1	chr15	31418295	31418300	-	0.000	0.000	Merged-chr15-31418440-29
NR10855--MA0089.1.MAFG::NFE2L1	chr7	24945352	24945357	+	0.000	0.000	Merged-chr7-24945337-3
NR7529--MA0591.1.Bach1::Mafk	chr2	177897153	177897167	+	0.000	0.000	Merged-chr2-177897114-64
NR7528--MA0089.1.MAFG::NFE2L1	chr2	177897167	177897172	-	0.000	0.000	Merged-chr2-177897114-64
NR11513--MA0591.1.Bach1::Mafk	chr7	136152648	136152662	+	0.000	0.000	Merged-chr7-136152676-10
NR6708--MA0659.1.MAFG	chr2	52938453	52938473	-	0.000	0.000	Merged-chr2-52938398-15
NR944--MA0117.2.Mafb	chr1	183657288	183657299	-	0.000	0.000	Merged-chr1-183657260-22
NR184--MA0501.1.MAF::NFE2	chr1	61151397	61151411	+	0.000	0.000	Merged-chr1-61151289-6
NR2272--MA0501.1.MAF::NFE2	chr11	87240407	87240421	+	0.000	0.000	Merged-chr11-87240422-3
NR11511--MA0495.2.MAFF	chr7	136152645	136152665	+	0.000	0.000	Merged-chr7-136152676-10
NR1475--MA0591.1.Bach1::Mafk	chr10	83094424	83094438	-	0.000	0.000	Merged-chr10-83094341-29
NR8077--MA0089.1.MAFG::NFE2L1	chr3	129588849	129588854	-	0.000	0.000	Merged-chr3-129588899-30
NR6706--MA0591.1.Bach1::Mafk	chr2	52938456	52938470	-	0.000	0.000	Merged-chr2-52938398-15
NR625--MA0495.2.MAFF	chr1	152817550	152817570	-	0.000	0.000	Merged-chr1-152817500-27
NR9447--MA0591.1.Bach1::Mafk	chr5	91083257	91083271	-	0.000	0.000	Merged-chr5-91083328-13
NR5140--MA0501.1.MAF::NFE2	chr16	84625359	84625373	-	0.000	0.000	Merged-chr16-84625247-15
NR1550--MA0117.2.Mafb	chr10	91187604	91187615	+	0.000	0.000	Merged-chr10-91187552-2
NR11175--MA0591.1.Bach1::Mafk	chr7	97626067	97626081	+	0.000	0.000	Merged-chr7-97625910-13
NR750--MA0089.1.MAFG::NFE2L1	chr1	164665797	164665802	+	0.000	0.000	Merged-chr1-164665875-3
NR10775--MA0089.1.MAFG::NFE2L1	chr6	148594010	148594015	-	0.000	0.000	Merged-chr6-148594065-2
NR6870--MA0089.1.MAFG::NFE2L1	chr2	83762333	83762338	-	0.000	0.000	Merged-chr2-83762342-13
NR3403--MA0089.1.MAFG::NFE2L1	chr13	51325654	51325659	+	0.000	0.000	Merged-chr13-51325526-1
NR5261--MA0089.1.MAFG::NFE2L1	chr16	97002607	97002612	-	0.000	0.000	Merged-chr16-97002537-1
NR8236--MA0501.1.MAF::NFE2	chr3	144432276	144432290	-	0.000	0.000	Merged-chr3-144432353-38
NR5274--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR8679--MA0089.1.MAFG::NFE2L1	chr4	102955809	102955814	-	0.000	0.000	Merged-chr4-102955684-33
NR11310--MA0089.1.MAFG::NFE2L1	chr7	112679287	112679292	+	0.000	0.000	Merged-chr7-112679423-49
NR1685--MA0117.2.Mafb	chr10	111719771	111719782	+	0.000	0.000	Merged-chr10-111719810-23
NR2158--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR10973--MA0591.1.Bach1::Mafk	chr7	49762896	49762910	+	0.000	0.000	Merged-chr7-49762758-15
NR12065--MA0089.1.MAFG::NFE2L1	chr8	123807201	123807206	+	0.000	0.000	Merged-chr8-123807206-24
NR10786--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR3038--MA0089.1.MAFG::NFE2L1	chr12	112699369	112699374	+	0.000	0.000	Merged-chr12-112699364-12
NR6998--MA0496.2.MAFK	chr2	117335755	117335773	+	0.000	0.000	Merged-chr2-117335736-33
NR5803--MA0117.2.Mafb	chr18	34202739	34202750	+	0.000	0.000	Merged-chr18-34202543-19
NR9368--MA0496.2.MAFK	chr5	74470990	74471008	+	0.000	0.000	Merged-chr5-74471085-11
NR3516--MA0117.2.Mafb	chr13	81013330	81013341	+	0.000	0.000	Merged-chr13-81013354-1
NR330--MA0496.2.MAFK	chr1	88497496	88497514	-	0.000	0.000	Merged-chr1-88497619-10
NR6461--MA0496.2.MAFK	chr2	8628708	8628726	-	0.000	0.000	Merged-chr2-8628681-1
NR6390--MA0495.2.MAFF	chr19	57329136	57329156	-	0.000	0.000	Merged-chr19-57329037-3
NR871--MA0501.1.MAF::NFE2	chr1	177248872	177248886	+	0.000	0.000	Merged-chr1-177248824-22
NR12089--MA0089.1.MAFG::NFE2L1	chr8	126536297	126536302	-	0.000	0.000	Merged-chr8-126536353-14
NR6227--MA0501.1.MAF::NFE2	chr19	26414882	26414896	-	0.000	0.000	Merged-chr19-26414799-20
NR327--MA0591.1.Bach1::Mafk	chr1	88497498	88497512	-	0.000	0.000	Merged-chr1-88497619-10
NR12041--MA0501.1.MAF::NFE2	chr8	122772825	122772839	-	0.000	0.000	Merged-chr8-122772813-21
NR8082--MA0089.1.MAFG::NFE2L1	chr3	130571193	130571198	+	0.000	0.000	Merged-chr3-130571110-5
NR1386--MA0117.2.Mafb	chr10	67841235	67841246	+	0.000	0.000	Merged-chr10-67841086-29
NR488--MA0495.2.MAFF	chr1	128772711	128772731	+	0.000	0.000	Merged-chr1-128772538-19
NR3208--MA0659.1.MAFG	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR5838--MA0495.2.MAFF	chr18	43492936	43492956	+	0.000	0.000	Merged-chr18-43493033-11
NR5068--MA0495.2.MAFF	chr16	65542404	65542424	+	0.000	0.000	Merged-chr16-65542301-4
NR8282--MA0089.1.MAFG::NFE2L1	chr3	149042648	149042653	+	0.000	0.000	Merged-chr3-149042766-1
