#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR9960--MA0591.1.Bach1::Mafk	chr6	100601864	100601878	+	0.000	0.000	Merged-chr6-100601796-17
NR2384--MA0117.2.Mafb	chr11	114965569	114965580	-	0.000	0.000	Merged-chr11-114965534-1
NR5354--MA0089.1.MAFG::NFE2L1	chr17	66074078	66074083	+	0.000	0.000	Merged-chr17-66074199-45
NR602--MA0495.2.MAFF	chr1	152038375	152038395	-	0.000	0.000	Merged-chr1-152038311-34
NR5403--MA0117.2.Mafb	chr17	74354552	74354563	+	0.000	0.000	Merged-chr17-74354475-5
NR2170--MA0501.1.MAF::NFE2	chr11	87724912	87724926	+	0.000	0.000	Merged-chr11-87724985-4
NR11723--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR4342--MA0591.1.Bach1::Mafk	chr15	64156007	64156021	+	0.000	0.000	Merged-chr15-64155964-10
NR7224--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR4664--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	+	0.000	0.000	Merged-chr16-22794765-7
NR11246--MA0496.2.MAFK	chr8	22537098	22537116	+	0.000	0.000	Merged-chr8-22537059-19
NR9660--MA0089.1.MAFG::NFE2L1	chr6	34346746	34346751	-	0.000	0.000	Merged-chr6-34346731-18
NR4278--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR7526--MA0089.1.MAFG::NFE2L1	chr3	28969065	28969070	-	0.000	0.000	Merged-chr3-28968988-13
NR9257--MA0501.1.MAF::NFE2	chr5	103519351	103519365	-	0.000	0.000	Merged-chr5-103519211-48
NR11963--MA0495.2.MAFF	chr9	61187130	61187150	-	0.000	0.000	Merged-chr9-61187199-16
NR4694--MA0659.1.MAFG	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR5415--MA0495.2.MAFF	chr17	74808029	74808049	-	0.000	0.000	Merged-chr17-74808088-1
NR10429--MA0591.1.Bach1::Mafk	chr7	12955037	12955051	+	0.000	0.000	Merged-chr7-12955055-4
NR3709--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR1010--MA0501.1.MAF::NFE2	chr10	3238612	3238626	-	0.000	0.000	Merged-chr10-3238463-21
NR3495--MA0089.1.MAFG::NFE2L1	chr13	102873652	102873657	+	0.000	0.000	Merged-chr13-102873625-24
NR2168--MA0495.2.MAFF	chr11	87724906	87724926	-	0.000	0.000	Merged-chr11-87724985-4
NR6570--MA0089.1.MAFG::NFE2L1	chr2	59393329	59393334	-	0.000	0.000	Merged-chr2-59393267-21
NR10460--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR5365--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR5667--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR2089--MA0591.1.Bach1::Mafk	chr11	75878755	75878769	+	0.000	0.000	Merged-chr11-75878686-10
NR1635--MA0089.1.MAFG::NFE2L1	chr10	121398916	121398921	-	0.000	0.000	Merged-chr10-121398884-14
NR9382--MA0089.1.MAFG::NFE2L1	chr5	121843014	121843019	-	0.000	0.000	Merged-chr5-121843055-34
NR4710--MA0089.1.MAFG::NFE2L1	chr16	30678489	30678494	+	0.000	0.000	Merged-chr16-30678432-4
NR3129--MA0089.1.MAFG::NFE2L1	chr13	30154492	30154497	-	0.000	0.000	Merged-chr13-30154580-19
NR10426--MA0495.2.MAFF	chr7	12955034	12955054	+	0.000	0.000	Merged-chr7-12955055-4
NR3505--MA0089.1.MAFG::NFE2L1	chr13	104914807	104914812	-	0.000	0.000	Merged-chr13-104914750-21
NR6394--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR6687--MA0591.1.Bach1::Mafk	chr2	90752575	90752589	-	0.000	0.000	Merged-chr2-90752646-2
NR11197--MA0501.1.MAF::NFE2	chr8	8695508	8695522	-	0.000	0.000	Merged-chr8-8695569-9
NR7390--MA0501.1.MAF::NFE2	chr2	173386021	173386035	+	0.000	0.000	Merged-chr2-173385876-50
NR7085--MA0495.2.MAFF	chr2	145804907	145804927	-	0.000	0.000	Merged-chr2-145804796-32
NR9920--MA0117.2.Mafb	chr6	97447139	97447150	-	0.000	0.000	Merged-chr6-97447180-22
NR7971--MA0501.1.MAF::NFE2	chr3	142533316	142533330	+	0.000	0.000	Merged-chr3-142533345-44
NR9797--MA0496.2.MAFK	chr6	67668205	67668223	-	0.000	0.000	Merged-chr6-67668321-12
NR2088--MA0495.2.MAFF	chr11	75878752	75878772	-	0.000	0.000	Merged-chr11-75878686-10
NR10309--MA0089.1.MAFG::NFE2L1	chr6	143366044	143366049	+	0.000	0.000	Merged-chr6-143366035-15
NR3057--MA0495.2.MAFF	chr13	6626710	6626730	-	0.000	0.000	Merged-chr13-6626818-32
NR9318--MA0089.1.MAFG::NFE2L1	chr5	110650402	110650407	-	0.000	0.000	Merged-chr5-110650328-3
NR3777--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR7911--MA0089.1.MAFG::NFE2L1	chr3	133160001	133160006	-	0.000	0.000	Merged-chr3-133159832-24
NR1478--MA0591.1.Bach1::Mafk	chr10	95442381	95442395	+	0.000	0.000	Merged-chr10-95442476-5
NR3982--MA0089.1.MAFG::NFE2L1	chr14	79249189	79249194	+	0.000	0.000	Merged-chr14-79249040-19
NR7137--MA0501.1.MAF::NFE2	chr2	150582221	150582235	-	0.000	0.000	Merged-chr2-150582331-12
NR4697--MA0496.2.MAFK	chr16	24854664	24854682	-	0.000	0.000	Merged-chr16-24854563-13
NR12187--MA0117.2.Mafb	chr9	93131711	93131722	+	0.000	0.000	Merged-chr9-93131866-17
NR2083--MA0496.2.MAFK	chr11	74973440	74973458	-	0.000	0.000	Merged-chr11-74973432-13
NR4432--MA0089.1.MAFG::NFE2L1	chr15	81254513	81254518	+	0.000	0.000	Merged-chr15-81254471-25
NR1535--MA0496.2.MAFK	chr10	105229293	105229311	+	0.000	0.000	Merged-chr10-105229362-2
NR298--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR2689--MA0501.1.MAF::NFE2	chr12	75905548	75905562	-	0.000	0.000	Merged-chr12-75905530-21
NR2645--MA0117.2.Mafb	chr12	54369486	54369497	-	0.000	0.000	Merged-chr12-54369471-30
NR11330--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR9173--MA0659.1.MAFG	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR10457--MA0591.1.Bach1::Mafk	chr7	16343738	16343752	+	0.000	0.000	Merged-chr7-16343810-22
NR8641--MA0501.1.MAF::NFE2	chr4	135664668	135664682	-	0.000	0.000	Merged-chr4-135664760-27
NR4469--MA0496.2.MAFK	chr15	85469118	85469136	-	0.000	0.000	Merged-chr15-85469002-5
NR8802--MA0501.1.MAF::NFE2	chr4	148774920	148774934	-	0.000	0.000	Merged-chr4-148774974-1
NR5040--MA0495.2.MAFF	chr16	96912137	96912157	+	0.000	0.000	Merged-chr16-96912143-1
NR6390--MA0089.1.MAFG::NFE2L1	chr2	24776396	24776401	+	0.000	0.000	Merged-chr2-24776490-30
NR3691--MA0089.1.MAFG::NFE2L1	chr14	16313612	16313617	-	0.000	0.000	Merged-chr14-16313482-17
NR7903--MA0591.1.Bach1::Mafk	chr3	131169289	131169303	+	0.000	0.000	Merged-chr3-131169425-15
NR9066--MA0591.1.Bach1::Mafk	chr5	64580285	64580299	-	0.000	0.000	Merged-chr5-64580190-8
NR11928--MA0591.1.Bach1::Mafk	chr9	55410490	55410504	+	0.000	0.000	Merged-chr9-55410514-19
NR3970--MA0496.2.MAFK	chr14	78273821	78273839	-	0.000	0.000	Merged-chr14-78273841-14
NR5051--MA0659.1.MAFG	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR9731--MA0591.1.Bach1::Mafk	chr6	53498059	53498073	+	0.000	0.000	Merged-chr6-53498072-40
NR10462--MA0496.2.MAFK	chr7	16343736	16343754	-	0.000	0.000	Merged-chr7-16343810-22
NR12178--MA0591.1.Bach1::Mafk	chr9	92602543	92602557	+	0.000	0.000	Merged-chr9-92602445-4
NR232--MA0495.2.MAFF	chr1	69350804	69350824	+	0.000	0.000	Merged-chr1-69350970-27
NR10160--MA0659.1.MAFG	chr6	128345840	128345860	-	0.000	0.000	Merged-chr6-128345779-18
NR12065--MA0501.1.MAF::NFE2	chr9	75209435	75209449	-	0.000	0.000	Merged-chr9-75209368-16
NR5585--MA0591.1.Bach1::Mafk	chr18	13013827	13013841	-	0.000	0.000	Merged-chr18-13013955-24
NR961--MA0089.1.MAFG::NFE2L1	chr1	191152565	191152570	-	0.000	0.000	Merged-chr1-191152485-1
NR789--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR1166--MA0089.1.MAFG::NFE2L1	chr10	40688489	40688494	-	0.000	0.000	Merged-chr10-40688620-20
NR2095--MA0089.1.MAFG::NFE2L1	chr11	76823839	76823844	-	0.000	0.000	Merged-chr11-76823820-9
NR5174--MA0501.1.MAF::NFE2	chr17	28193757	28193771	-	0.000	0.000	Merged-chr17-28193674-11
NR6110--MA0501.1.MAF::NFE2	chr19	33429569	33429583	-	0.000	0.000	Merged-chr19-33429713-40
NR6112--MA0496.2.MAFK	chr19	33429570	33429588	-	0.000	0.000	Merged-chr19-33429713-40
NR4543--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR3266--MA0591.1.Bach1::Mafk	chr13	52915692	52915706	+	0.000	0.000	Merged-chr13-52915528-4
NR5049--MA0591.1.Bach1::Mafk	chr16	97442083	97442097	-	0.000	0.000	Merged-chr16-97442198-19
NR346--MA0117.2.Mafb	chr1	89093918	89093929	+	0.000	0.000	Merged-chr1-89093874-9
NR11245--MA0591.1.Bach1::Mafk	chr8	22537100	22537114	+	0.000	0.000	Merged-chr8-22537059-19
NR10418--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR7627--MA0591.1.Bach1::Mafk	chr3	79336211	79336225	-	0.000	0.000	Merged-chr3-79336264-23
NR1012--MA0496.2.MAFK	chr10	3238613	3238631	-	0.000	0.000	Merged-chr10-3238463-21
NR3159--MA0591.1.Bach1::Mafk	chr13	36368339	36368353	-	0.000	0.000	Merged-chr13-36368196-54
NR2246--MA0591.1.Bach1::Mafk	chr11	99132536	99132550	+	0.000	0.000	Merged-chr11-99132520-18
NR1171--MA0117.2.Mafb	chr10	41615688	41615699	+	0.000	0.000	Merged-chr10-41615681-31
NR10547--MA0591.1.Bach1::Mafk	chr7	44344736	44344750	-	0.000	0.000	Merged-chr7-44344765-20
NR9176--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR2332--MA0501.1.MAF::NFE2	chr11	109124536	109124550	-	0.000	0.000	Merged-chr11-109124612-1
NR494--MA0089.1.MAFG::NFE2L1	chr1	128771028	128771033	+	0.000	0.000	Merged-chr1-128770934-28
NR5177--MA0117.2.Mafb	chr17	28701337	28701348	-	0.000	0.000	Merged-chr17-28701389-22
NR4663--MA0495.2.MAFF	chr16	22794955	22794975	-	0.000	0.000	Merged-chr16-22794765-7
NR9629--MA0495.2.MAFF	chr6	29735986	29736006	+	0.000	0.000	Merged-chr6-29735888-24
NR3249--MA0089.1.MAFG::NFE2L1	chr13	49270737	49270742	-	0.000	0.000	Merged-chr13-49270675-31
NR5750--MA0117.2.Mafb	chr18	61626449	61626460	-	0.000	0.000	Merged-chr18-61626581-16
NR9783--MA0659.1.MAFG	chr6	65765317	65765337	-	0.000	0.000	Merged-chr6-65765316-29
NR7118--MA0495.2.MAFF	chr2	148537465	148537485	-	0.000	0.000	Merged-chr2-148537326-5
NR5824--MA0591.1.Bach1::Mafk	chr18	75139774	75139788	-	0.000	0.000	Merged-chr18-75139954-8
NR5054--MA0496.2.MAFK	chr16	97442081	97442099	-	0.000	0.000	Merged-chr16-97442198-19
NR9338--MA0089.1.MAFG::NFE2L1	chr5	114618880	114618885	-	0.000	0.000	Merged-chr5-114618965-1
NR11044--MA0501.1.MAF::NFE2	chr7	126725174	126725188	-	0.000	0.000	Merged-chr7-126725257-13
NR1937--MA0117.2.Mafb	chr11	54105171	54105182	+	0.000	0.000	Merged-chr11-54105258-8
NR3523--MA0089.1.MAFG::NFE2L1	chr13	107866816	107866821	+	0.000	0.000	Merged-chr13-107866970-30
NR7122--MA0496.2.MAFK	chr2	148537466	148537484	-	0.000	0.000	Merged-chr2-148537326-5
NR8371--MA0659.1.MAFG	chr4	89350396	89350416	+	0.000	0.000	Merged-chr4-89350457-2
NR11156--MA0089.1.MAFG::NFE2L1	chr7	141097387	141097392	+	0.000	0.000	Merged-chr7-141097451-2
NR8801--MA0591.1.Bach1::Mafk	chr4	148774923	148774937	-	0.000	0.000	Merged-chr4-148774974-1
NR842--MA0495.2.MAFF	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR1294--MA0591.1.Bach1::Mafk	chr10	68357155	68357169	+	0.000	0.000	Merged-chr10-68357242-13
NR10335--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR1185--MA0117.2.Mafb	chr10	44684911	44684922	+	0.000	0.000	Merged-chr10-44684800-1
NR844--MA0659.1.MAFG	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR6335--MA0089.1.MAFG::NFE2L1	chr2	11623430	11623435	-	0.000	0.000	Merged-chr2-11623326-4
NR10430--MA0659.1.MAFG	chr7	12955034	12955054	+	0.000	0.000	Merged-chr7-12955055-4
NR5672--MA0501.1.MAF::NFE2	chr18	39877927	39877941	+	0.000	0.000	Merged-chr18-39877975-43
NR11806--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR5406--MA0117.2.Mafb	chr17	74753546	74753557	-	0.000	0.000	Merged-chr17-74753393-19
NR12180--MA0659.1.MAFG	chr9	92602540	92602560	+	0.000	0.000	Merged-chr9-92602445-4
NR7566--MA0089.1.MAFG::NFE2L1	chr3	52567766	52567771	+	0.000	0.000	Merged-chr3-52567771-7
NR3137--MA0659.1.MAFG	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR6146--MA0089.1.MAFG::NFE2L1	chr19	42266461	42266466	-	0.000	0.000	Merged-chr19-42266343-14
NR9779--MA0117.2.Mafb	chr6	65569870	65569881	-	0.000	0.000	Merged-chr6-65569933-17
NR11443--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR3265--MA0495.2.MAFF	chr13	52915689	52915709	-	0.000	0.000	Merged-chr13-52915528-4
NR692--MA0089.1.MAFG::NFE2L1	chr1	164053746	164053751	+	0.000	0.000	Merged-chr1-164053798-7
NR8809--MA0089.1.MAFG::NFE2L1	chr4	149680854	149680859	-	0.000	0.000	Merged-chr4-149680900-7
NR2139--MA0496.2.MAFK	chr11	83828748	83828766	+	0.000	0.000	Merged-chr11-83828814-21
NR7551--MA0089.1.MAFG::NFE2L1	chr3	37686938	37686943	+	0.000	0.000	Merged-chr3-37686909-1
NR10648--MA0495.2.MAFF	chr7	73517587	73517607	-	0.000	0.000	Merged-chr7-73517689-25
NR1746--MA0501.1.MAF::NFE2	chr11	4263036	4263050	-	0.000	0.000	Merged-chr11-4263034-2
NR8338--MA0496.2.MAFK	chr4	88079189	88079207	+	0.000	0.000	Merged-chr4-88079193-33
NR2553--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	+	0.000	0.000	Merged-chr12-25851772-17
NR8897--MA0089.1.MAFG::NFE2L1	chr5	10245953	10245958	-	0.000	0.000	Merged-chr5-10245943-14
NR9291--MA0591.1.Bach1::Mafk	chr5	106885764	106885778	-	0.000	0.000	Merged-chr5-106885750-27
NR5675--MA0117.2.Mafb	chr18	39878031	39878042	-	0.000	0.000	Merged-chr18-39877975-43
NR6923--MA0501.1.MAF::NFE2	chr2	124636604	124636618	+	0.000	0.000	Merged-chr2-124636722-8
NR2195--MA0117.2.Mafb	chr11	94253938	94253949	+	0.000	0.000	Merged-chr11-94253783-2
NR6790--MA0495.2.MAFF	chr2	114059828	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR628--MA0495.2.MAFF	chr1	155091522	155091542	+	0.000	0.000	Merged-chr1-155091563-28
NR10532--MA0591.1.Bach1::Mafk	chr7	34322213	34322227	+	0.000	0.000	Merged-chr7-34322146-9
NR1529--MA0495.2.MAFF	chr10	105229292	105229312	+	0.000	0.000	Merged-chr10-105229362-2
NR3914--MA0496.2.MAFK	chr14	70096506	70096524	-	0.000	0.000	Merged-chr14-70096534-4
NR3274--MA0591.1.Bach1::Mafk	chr13	54569970	54569984	+	0.000	0.000	Merged-chr13-54570147-9
NR1213--MA0659.1.MAFG	chr10	53346649	53346669	+	0.000	0.000	Merged-chr10-53346835-25
NR11809--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	+	0.000	0.000	Merged-chr9-14248366-20
NR7815--MA0501.1.MAF::NFE2	chr3	109165414	109165428	-	0.000	0.000	Merged-chr3-109165436-34
NR4393--MA0659.1.MAFG	chr15	73627474	73627494	-	0.000	0.000	Merged-chr15-73627530-51
NR600--MA0089.1.MAFG::NFE2L1	chr1	151465792	151465797	-	0.000	0.000	Merged-chr1-151465762-7
NR790--MA0089.1.MAFG::NFE2L1	chr1	177484721	177484726	+	0.000	0.000	Merged-chr1-177484692-10
NR9332--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR2010--MA0089.1.MAFG::NFE2L1	chr11	68087714	68087719	+	0.000	0.000	Merged-chr11-68087888-14
NR2090--MA0496.2.MAFK	chr11	75878753	75878771	+	0.000	0.000	Merged-chr11-75878686-10
NR11335--MA0501.1.MAF::NFE2	chr8	69149355	69149369	-	0.000	0.000	Merged-chr8-69149326-14
NR10456--MA0495.2.MAFF	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR9258--MA0089.1.MAFG::NFE2L1	chr5	103680516	103680521	-	0.000	0.000	Merged-chr5-103680526-14
NR10433--MA0496.2.MAFK	chr7	12955035	12955053	+	0.000	0.000	Merged-chr7-12955055-4
NR4661--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR8726--MA0659.1.MAFG	chr4	144916721	144916741	-	0.000	0.000	Merged-chr4-144916675-7
NR4297--MA0591.1.Bach1::Mafk	chr15	59726090	59726104	-	0.000	0.000	Merged-chr15-59726056-17
NR2552--MA0495.2.MAFF	chr12	25851735	25851755	-	0.000	0.000	Merged-chr12-25851772-17
NR8379--MA0591.1.Bach1::Mafk	chr4	89530185	89530199	-	0.000	0.000	Merged-chr4-89530281-33
NR11076--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR8090--MA0117.2.Mafb	chr3	155235659	155235670	-	0.000	0.000	Merged-chr3-155235663-12
NR1887--MA0496.2.MAFK	chr11	46660876	46660894	+	0.000	0.000	Merged-chr11-46660819-1
NR8336--MA0591.1.Bach1::Mafk	chr4	88079191	88079205	+	0.000	0.000	Merged-chr4-88079193-33
NR12039--MA0591.1.Bach1::Mafk	chr9	68972415	68972429	+	0.000	0.000	Merged-chr9-68972513-17
NR3845--MA0089.1.MAFG::NFE2L1	chr14	61046558	61046563	+	0.000	0.000	Merged-chr14-61046434-63
NR3087--MA0495.2.MAFF	chr13	18757806	18757826	+	0.000	0.000	Merged-chr13-18757680-4
NR42--MA0501.1.MAF::NFE2	chr1	15544449	15544463	+	0.000	0.000	Merged-chr1-15544410-27
NR10758--MA0501.1.MAF::NFE2	chr7	88459922	88459936	+	0.000	0.000	Merged-chr7-88459917-15
