#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR7800--MA0002.2.RUNX1	chr5	67155858	67155868	-	0.000	0.000	Merged-chr5-67155759-12
NR5329--MA0684.1.RUNX3	chr19	32121043	32121052	-	0.000	0.000	Merged-chr19-32120972-21
NR265--MA0002.2.RUNX1	chr1	89108778	89108788	+	0.000	0.000	Merged-chr1-89108793-22
NR9269--MA0002.2.RUNX1	chr7	71242729	71242739	+	0.000	0.000	Merged-chr7-71242656-21
NR9841--MA0002.2.RUNX1	chr8	46420691	46420701	+	0.000	0.000	Merged-chr8-46420639-16
NR6097--MA0002.2.RUNX1	chr2	136058482	136058492	+	0.000	0.000	Merged-chr2-136058435-1
NR6768--MA0684.1.RUNX3	chr3	128337279	128337288	+	0.000	0.000	Merged-chr3-128337320-26
NR4706--MA0684.1.RUNX3	chr17	59844694	59844703	-	0.000	0.000	Merged-chr17-59844739-2
NR2193--MA0002.2.RUNX1	chr12	40082661	40082671	+	0.000	0.000	Merged-chr12-40082699-21
NR2407--MA0684.1.RUNX3	chr12	100747341	100747350	+	0.000	0.000	Merged-chr12-100747316-18
NR5570--MA0002.2.RUNX1	chr2	16571473	16571483	-	0.000	0.000	Merged-chr2-16571405-4
NR2593--MA0684.1.RUNX3	chr12	119148036	119148045	+	0.000	0.000	Merged-chr12-119148040-28
NR4719--MA0684.1.RUNX3	chr17	63356450	63356459	+	0.000	0.000	Merged-chr17-63356437-30
NR6042--MA0002.2.RUNX1	chr2	127760722	127760732	-	0.000	0.000	Merged-chr2-127760760-14
NR7513--MA0002.2.RUNX1	chr4	148115748	148115758	-	0.000	0.000	Merged-chr4-148115678-7
NR4026--MA0684.1.RUNX3	chr16	8731900	8731909	+	0.000	0.000	Merged-chr16-8732071-1
NR7873--MA0684.1.RUNX3	chr5	90452958	90452967	+	0.000	0.000	Merged-chr5-90452927-18
NR4065--MA0511.2.RUNX2	chr16	22461878	22461886	-	0.000	0.000	Merged-chr16-22461951-26
NR9751--MA0002.2.RUNX1	chr8	9811314	9811324	-	0.000	0.000	Merged-chr8-9811294-16
NR3614--MA0002.2.RUNX1	chr15	12447227	12447237	-	0.000	0.000	Merged-chr15-12447311-14
NR10410--MA0684.1.RUNX3	chr9	66274930	66274939	+	0.000	0.000	Merged-chr9-66274857-15
NR10662--MA0684.1.RUNX3	chr9	108154970	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR9485--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR5111--MA0002.2.RUNX1	chr18	78969594	78969604	+	0.000	0.000	Merged-chr18-78969407-8
NR6017--MA0684.1.RUNX3	chr2	123243765	123243774	+	0.000	0.000	Merged-chr2-123243838-1
NR4066--MA0684.1.RUNX3	chr16	22461877	22461886	-	0.000	0.000	Merged-chr16-22461951-26
NR1241--MA0002.2.RUNX1	chr10	89832518	89832528	-	0.000	0.000	Merged-chr10-89832604-4
NR2951--MA0002.2.RUNX1	chr13	89965753	89965763	-	0.000	0.000	Merged-chr13-89965778-3
NR3186--MA0002.2.RUNX1	chr14	16152014	16152024	-	0.000	0.000	Merged-chr14-16152025-9
NR1363--MA0002.2.RUNX1	chr10	117118607	117118617	-	0.000	0.000	Merged-chr10-117118585-40
NR9953--MA0002.2.RUNX1	chr8	84813284	84813294	+	0.000	0.000	Merged-chr8-84813219-19
NR9300--MA0002.2.RUNX1	chr7	78566849	78566859	+	0.000	0.000	Merged-chr7-78566867-22
NR5612--MA0684.1.RUNX3	chr2	25620565	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR9599--MA0002.2.RUNX1	chr7	127922867	127922877	-	0.000	0.000	Merged-chr7-127922827-35
NR1851--MA0684.1.RUNX3	chr11	90196637	90196646	-	0.000	0.000	Merged-chr11-90196675-9
NR5509--MA0002.2.RUNX1	chr19	60837864	60837874	-	0.000	0.000	Merged-chr19-60837918-27
NR7060--MA0511.2.RUNX2	chr4	41708559	41708567	-	0.000	0.000	Merged-chr4-41708469-7
NR4570--MA0002.2.RUNX1	chr17	29297861	29297871	+	0.000	0.000	Merged-chr17-29297953-13
NR3623--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR9752--MA0511.2.RUNX2	chr8	9811411	9811419	+	0.000	0.000	Merged-chr8-9811294-16
NR5326--MA0002.2.RUNX1	chr19	31910323	31910333	+	0.000	0.000	Merged-chr19-31910490-12
NR10661--MA0002.2.RUNX1	chr9	108154969	108154979	+	0.000	0.000	Merged-chr9-108154914-20
NR9840--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR9265--MA0002.2.RUNX1	chr7	67911936	67911946	-	0.000	0.000	Merged-chr7-67912081-16
NR6096--MA0511.2.RUNX2	chr2	136058484	136058492	-	0.000	0.000	Merged-chr2-136058435-1
NR7694--MA0002.2.RUNX1	chr5	35462511	35462521	+	0.000	0.000	Merged-chr5-35462574-17
NR5020--MA0684.1.RUNX3	chr18	62267402	62267411	-	0.000	0.000	Merged-chr18-62267467-16
NR10849--MA0002.2.RUNX1	chrX	20790071	20790081	-	0.000	0.000	Merged-chrX-20790140-13
NR7455--MA0002.2.RUNX1	chr4	140860318	140860328	+	0.000	0.000	Merged-chr4-140860263-13
NR5169--MA0002.2.RUNX1	chr18	85484168	85484178	-	0.000	0.000	Merged-chr18-85484055-1
NR1609--MA0684.1.RUNX3	chr11	46229296	46229305	-	0.000	0.000	Merged-chr11-46229299-6
NR1827--MA0684.1.RUNX3	chr11	87240397	87240406	+	0.000	0.000	Merged-chr11-87240422-3
NR851--MA0002.2.RUNX1	chr10	3238581	3238591	-	0.000	0.000	Merged-chr10-3238463-21
NR3468--MA0002.2.RUNX1	chr14	79236447	79236457	-	0.000	0.000	Merged-chr14-79236608-48
NR2343--MA0002.2.RUNX1	chr12	89479238	89479248	+	0.000	0.000	Merged-chr12-89479308-33
NR2181--MA0002.2.RUNX1	chr12	34248929	34248939	-	0.000	0.000	Merged-chr12-34249045-49
NR2290--MA0002.2.RUNX1	chr12	76305071	76305081	-	0.000	0.000	Merged-chr12-76305169-2
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR9837--MA0511.2.RUNX2	chr8	46420600	46420608	+	0.000	0.000	Merged-chr8-46420639-16
NR2974--MA0684.1.RUNX3	chr13	94144820	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR2910--MA0511.2.RUNX2	chr13	81690692	81690700	+	0.000	0.000	Merged-chr13-81690701-7
NR5696--MA0511.2.RUNX2	chr2	48249784	48249792	+	0.000	0.000	Merged-chr2-48249744-17
NR5060--MA0684.1.RUNX3	chr18	69547155	69547164	+	0.000	0.000	Merged-chr18-69547283-22
NR8464--MA0002.2.RUNX1	chr6	59313396	59313406	+	0.000	0.000	Merged-chr6-59313455-54
NR9383--MA0511.2.RUNX2	chr7	99798455	99798463	-	0.000	0.000	Merged-chr7-99798520-10
NR1222--MA0684.1.RUNX3	chr10	88346742	88346751	-	0.000	0.000	Merged-chr10-88346697-18
NR5327--MA0511.2.RUNX2	chr19	32121044	32121052	-	0.000	0.000	Merged-chr19-32120972-21
NR29--MA0002.2.RUNX1	chr1	20825285	20825295	-	0.000	0.000	Merged-chr1-20825313-33
NR957--MA0002.2.RUNX1	chr10	26879360	26879370	+	0.000	0.000	Merged-chr10-26879299-36
NR1105--MA0684.1.RUNX3	chr10	67891369	67891378	+	0.000	0.000	Merged-chr10-67891340-18
NR88--MA0511.2.RUNX2	chr1	43127911	43127919	-	0.000	0.000	Merged-chr1-43127994-2
NR3539--MA0684.1.RUNX3	chr14	118483013	118483022	-	0.000	0.000	Merged-chr14-118482949-23
NR826--MA0684.1.RUNX3	chr1	193146437	193146446	+	0.000	0.000	Merged-chr1-193146532-29
NR9598--MA0511.2.RUNX2	chr7	127922867	127922875	+	0.000	0.000	Merged-chr7-127922827-35
NR4718--MA0684.1.RUNX3	chr17	63356437	63356446	+	0.000	0.000	Merged-chr17-63356437-30
NR351--MA0684.1.RUNX3	chr1	115921110	115921119	-	0.000	0.000	Merged-chr1-115921039-2
NR887--MA0684.1.RUNX3	chr10	13438594	13438603	+	0.000	0.000	Merged-chr10-13438536-33
NR3881--MA0002.2.RUNX1	chr15	84372841	84372851	+	0.000	0.000	Merged-chr15-84372915-18
NR2978--MA0002.2.RUNX1	chr13	94154624	94154634	+	0.000	0.000	Merged-chr13-94154628-40
NR6208--MA0002.2.RUNX1	chr2	155868842	155868852	-	0.000	0.000	Merged-chr2-155868757-5
NR8087--MA0002.2.RUNX1	chr5	115693470	115693480	-	0.000	0.000	Merged-chr5-115693567-32
NR6393--MA0684.1.RUNX3	chr3	10151850	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR4715--MA0511.2.RUNX2	chr17	63356450	63356458	+	0.000	0.000	Merged-chr17-63356437-30
NR7106--MA0511.2.RUNX2	chr4	57452074	57452082	+	0.000	0.000	Merged-chr4-57452125-10
NR3852--MA0002.2.RUNX1	chr15	80611652	80611662	+	0.000	0.000	Merged-chr15-80611666-31
NR6779--MA0002.2.RUNX1	chr3	130571234	130571244	+	0.000	0.000	Merged-chr3-130571110-5
NR5610--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR2342--MA0511.2.RUNX2	chr12	89479240	89479248	-	0.000	0.000	Merged-chr12-89479308-33
NR2180--MA0511.2.RUNX2	chr12	34248929	34248937	+	0.000	0.000	Merged-chr12-34249045-49
NR6378--MA0002.2.RUNX1	chr3	8717370	8717380	-	0.000	0.000	Merged-chr3-8717539-26
NR1893--MA0002.2.RUNX1	chr11	98909882	98909892	+	0.000	0.000	Merged-chr11-98909769-23
NR6596--MA0002.2.RUNX1	chr3	87816711	87816721	-	0.000	0.000	Merged-chr3-87816803-25
NR10511--MA0002.2.RUNX1	chr9	81864010	81864020	+	0.000	0.000	Merged-chr9-81863870-55
NR2398--MA0684.1.RUNX3	chr12	100277062	100277071	+	0.000	0.000	Merged-chr12-100277058-24
NR3932--MA0002.2.RUNX1	chr15	94279443	94279453	-	0.000	0.000	Merged-chr15-94279400-2
NR1904--MA0002.2.RUNX1	chr11	100393849	100393859	-	0.000	0.000	Merged-chr11-100393918-7
NR266--MA0684.1.RUNX3	chr1	89108779	89108788	-	0.000	0.000	Merged-chr1-89108793-22
NR9842--MA0684.1.RUNX3	chr8	46420692	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR2979--MA0511.2.RUNX2	chr13	94177383	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR6098--MA0684.1.RUNX3	chr2	136058483	136058492	-	0.000	0.000	Merged-chr2-136058435-1
NR9203--MA0002.2.RUNX1	chr7	49364549	49364559	-	0.000	0.000	Merged-chr7-49364720-42
NR5572--MA0002.2.RUNX1	chr2	17597762	17597772	+	0.000	0.000	Merged-chr2-17597899-18
NR1659--MA0002.2.RUNX1	chr11	55194591	55194601	-	0.000	0.000	Merged-chr11-55194635-21
NR831--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR10850--MA0684.1.RUNX3	chrX	20790071	20790080	+	0.000	0.000	Merged-chrX-20790140-13
NR2194--MA0684.1.RUNX3	chr12	40082662	40082671	-	0.000	0.000	Merged-chr12-40082699-21
NR10340--MA0684.1.RUNX3	chr9	44526489	44526498	-	0.000	0.000	Merged-chr9-44526635-59
NR3874--MA0511.2.RUNX2	chr15	84178922	84178930	+	0.000	0.000	Merged-chr15-84178956-9
NR6043--MA0684.1.RUNX3	chr2	127760722	127760731	+	0.000	0.000	Merged-chr2-127760760-14
NR9033--MA0002.2.RUNX1	chr6	147591275	147591285	+	0.000	0.000	Merged-chr6-147591193-1
NR6165--MA0684.1.RUNX3	chr2	150861204	150861213	-	0.000	0.000	Merged-chr2-150861270-8
NR1825--MA0511.2.RUNX2	chr11	87240397	87240405	+	0.000	0.000	Merged-chr11-87240422-3
NR4117--MA0002.2.RUNX1	chr16	31035467	31035477	-	0.000	0.000	Merged-chr16-31035448-26
NR7061--MA0002.2.RUNX1	chr4	41708557	41708567	+	0.000	0.000	Merged-chr4-41708469-7
NR3624--MA0002.2.RUNX1	chr15	18951817	18951827	+	0.000	0.000	Merged-chr15-18951851-25
NR3876--MA0002.2.RUNX1	chr15	84178922	84178932	-	0.000	0.000	Merged-chr15-84178956-9
NR7074--MA0002.2.RUNX1	chr4	44106707	44106717	+	0.000	0.000	Merged-chr4-44106569-17
NR9482--MA0002.2.RUNX1	chr7	112414758	112414768	-	0.000	0.000	Merged-chr7-112414814-18
NR9753--MA0002.2.RUNX1	chr8	9811411	9811421	-	0.000	0.000	Merged-chr8-9811294-16
NR9862--MA0002.2.RUNX1	chr8	57586834	57586844	-	0.000	0.000	Merged-chr8-57586876-3
NR5698--MA0684.1.RUNX3	chr2	48249784	48249793	+	0.000	0.000	Merged-chr2-48249744-17
NR9385--MA0684.1.RUNX3	chr7	99798454	99798463	-	0.000	0.000	Merged-chr7-99798520-10
NR1032--MA0684.1.RUNX3	chr10	54255394	54255403	-	0.000	0.000	Merged-chr10-54255218-57
NR2981--MA0684.1.RUNX3	chr13	94177382	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR4069--MA0002.2.RUNX1	chr16	22632552	22632562	-	0.000	0.000	Merged-chr16-22632558-6
NR5623--MA0002.2.RUNX1	chr2	26623154	26623164	+	0.000	0.000	Merged-chr2-26623162-26
NR3615--MA0684.1.RUNX3	chr15	12447227	12447236	+	0.000	0.000	Merged-chr15-12447311-14
NR1439--MA0002.2.RUNX1	chr10	123857283	123857293	+	0.000	0.000	Merged-chr10-123857138-2
NR10230--MA0002.2.RUNX1	chr9	7830106	7830116	+	0.000	0.000	Merged-chr9-7830026-47
NR7872--MA0511.2.RUNX2	chr5	90452958	90452966	+	0.000	0.000	Merged-chr5-90452927-18
NR5605--MA0511.2.RUNX2	chr2	23540191	23540199	+	0.000	0.000	Merged-chr2-23540156-12
NR1103--MA0511.2.RUNX2	chr10	67891369	67891377	+	0.000	0.000	Merged-chr10-67891340-18
NR8086--MA0511.2.RUNX2	chr5	115693470	115693478	+	0.000	0.000	Merged-chr5-115693567-32
NR7276--MA0002.2.RUNX1	chr4	107602495	107602505	+	0.000	0.000	Merged-chr4-107602648-9
NR7799--MA0002.2.RUNX1	chr5	67155694	67155704	-	0.000	0.000	Merged-chr5-67155759-12
NR10365--MA0002.2.RUNX1	chr9	57522346	57522356	+	0.000	0.000	Merged-chr9-57522211-1
NR6640--MA0002.2.RUNX1	chr3	97294613	97294623	-	0.000	0.000	Merged-chr3-97294559-20
NR9954--MA0684.1.RUNX3	chr8	84813285	84813294	-	0.000	0.000	Merged-chr8-84813219-19
NR824--MA0511.2.RUNX2	chr1	193146437	193146445	+	0.000	0.000	Merged-chr1-193146532-29
NR9838--MA0002.2.RUNX1	chr8	46420600	46420610	-	0.000	0.000	Merged-chr8-46420639-16
NR1214--MA0002.2.RUNX1	chr10	86794910	86794920	+	0.000	0.000	Merged-chr10-86794881-42
NR2911--MA0002.2.RUNX1	chr13	81690692	81690702	-	0.000	0.000	Merged-chr13-81690701-7
NR5697--MA0002.2.RUNX1	chr2	48249784	48249794	-	0.000	0.000	Merged-chr2-48249744-17
NR5606--MA0684.1.RUNX3	chr2	23540191	23540200	+	0.000	0.000	Merged-chr2-23540156-12
NR1849--MA0511.2.RUNX2	chr11	90196638	90196646	-	0.000	0.000	Merged-chr11-90196675-9
NR9384--MA0002.2.RUNX1	chr7	99798453	99798463	+	0.000	0.000	Merged-chr7-99798520-10
NR5328--MA0002.2.RUNX1	chr19	32121042	32121052	+	0.000	0.000	Merged-chr19-32120972-21
NR2980--MA0002.2.RUNX1	chr13	94177381	94177391	+	0.000	0.000	Merged-chr13-94177315-11
NR6767--MA0002.2.RUNX1	chr3	128337279	128337289	-	0.000	0.000	Merged-chr3-128337320-26
NR9095--MA0511.2.RUNX2	chr7	24517477	24517485	-	0.000	0.000	Merged-chr7-24517301-15
NR885--MA0511.2.RUNX2	chr10	13438594	13438602	+	0.000	0.000	Merged-chr10-13438536-33
NR89--MA0002.2.RUNX1	chr1	43127909	43127919	+	0.000	0.000	Merged-chr1-43127994-2
NR1900--MA0002.2.RUNX1	chr11	99307797	99307807	+	0.000	0.000	Merged-chr11-99307699-7
NR7033--MA0511.2.RUNX2	chr4	35138189	35138197	+	0.000	0.000	Merged-chr4-35138282-17
NR9266--MA0684.1.RUNX3	chr7	67911936	67911945	+	0.000	0.000	Merged-chr7-67912081-16
NR7695--MA0684.1.RUNX3	chr5	35462512	35462521	-	0.000	0.000	Merged-chr5-35462574-17
NR10307--MA0002.2.RUNX1	chr9	41004623	41004633	+	0.000	0.000	Merged-chr9-41004686-23
NR6391--MA0511.2.RUNX2	chr3	10151851	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR2746--MA0002.2.RUNX1	chr13	35960096	35960106	+	0.000	0.000	Merged-chr13-35959953-5
NR8971--MA0002.2.RUNX1	chr6	146200982	146200992	+	0.000	0.000	Merged-chr6-146200905-10
NR2907--MA0684.1.RUNX3	chr13	81297355	81297364	-	0.000	0.000	Merged-chr13-81297421-2
NR4025--MA0002.2.RUNX1	chr16	8731900	8731910	-	0.000	0.000	Merged-chr16-8732071-1
NR6337--MA0002.2.RUNX1	chr2	174069772	174069782	+	0.000	0.000	Merged-chr2-174069813-20
NR7034--MA0684.1.RUNX3	chr4	35138189	35138198	+	0.000	0.000	Merged-chr4-35138282-17
NR2344--MA0684.1.RUNX3	chr12	89479239	89479248	-	0.000	0.000	Merged-chr12-89479308-33
NR10597--MA0511.2.RUNX2	chr9	96545688	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR3448--MA0684.1.RUNX3	chr14	77742008	77742017	+	0.000	0.000	Merged-chr14-77742060-11
NR4714--MA0511.2.RUNX2	chr17	63356437	63356445	+	0.000	0.000	Merged-chr17-63356437-30
NR5058--MA0511.2.RUNX2	chr18	69547155	69547163	+	0.000	0.000	Merged-chr18-69547283-22
NR264--MA0511.2.RUNX2	chr1	89108780	89108788	-	0.000	0.000	Merged-chr1-89108793-22
NR6016--MA0002.2.RUNX1	chr2	123243765	123243775	-	0.000	0.000	Merged-chr2-123243838-1
NR4716--MA0002.2.RUNX1	chr17	63356437	63356447	-	0.000	0.000	Merged-chr17-63356437-30
NR6234--MA0002.2.RUNX1	chr2	160421723	160421733	+	0.000	0.000	Merged-chr2-160421769-26
NR958--MA0684.1.RUNX3	chr10	26879361	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR7835--MA0002.2.RUNX1	chr5	73630402	73630412	+	0.000	0.000	Merged-chr5-73630268-26
NR2192--MA0511.2.RUNX2	chr12	40082663	40082671	-	0.000	0.000	Merged-chr12-40082699-21
NR4424--MA0002.2.RUNX1	chr16	95809281	95809291	-	0.000	0.000	Merged-chr16-95809247-50
NR6041--MA0511.2.RUNX2	chr2	127760722	127760730	+	0.000	0.000	Merged-chr2-127760760-14
NR2747--MA0511.2.RUNX2	chr13	36214465	36214473	+	0.000	0.000	Merged-chr13-36214295-21
NR5611--MA0002.2.RUNX1	chr2	25620564	25620574	+	0.000	0.000	Merged-chr2-25620603-21
NR7543--MA0002.2.RUNX1	chr4	154246713	154246723	-	0.000	0.000	Merged-chr4-154246608-23
NR2346--MA0511.2.RUNX2	chr12	90236208	90236216	-	0.000	0.000	Merged-chr12-90236268-16
NR1850--MA0002.2.RUNX1	chr11	90196636	90196646	+	0.000	0.000	Merged-chr11-90196675-9
NR4658--MA0511.2.RUNX2	chr17	47710437	47710445	-	0.000	0.000	Merged-chr17-47710307-11
NR8028--MA0002.2.RUNX1	chr5	111235963	111235973	+	0.000	0.000	Merged-chr5-111235959-11
NR1929--MA0002.2.RUNX1	chr11	103776883	103776893	+	0.000	0.000	Merged-chr11-103776919-6
NR1462--MA0002.2.RUNX1	chr10	128259225	128259235	+	0.000	0.000	Merged-chr10-128259156-8
NR2748--MA0684.1.RUNX3	chr13	36214465	36214474	+	0.000	0.000	Merged-chr13-36214295-21
NR349--MA0511.2.RUNX2	chr1	115921111	115921119	-	0.000	0.000	Merged-chr1-115921039-2
NR8477--MA0002.2.RUNX1	chr6	65937442	65937452	+	0.000	0.000	Merged-chr6-65937524-1
NR5943--MA0002.2.RUNX1	chr2	104561596	104561606	+	0.000	0.000	Merged-chr2-104561694-40
NR2347--MA0684.1.RUNX3	chr12	90236207	90236216	-	0.000	0.000	Merged-chr12-90236268-16
NR1550--MA0002.2.RUNX1	chr11	20064076	20064086	-	0.000	0.000	Merged-chr11-20064139-6
NR6766--MA0511.2.RUNX2	chr3	128337279	128337287	+	0.000	0.000	Merged-chr3-128337320-26
NR3613--MA0511.2.RUNX2	chr15	12447227	12447235	+	0.000	0.000	Merged-chr15-12447311-14
NR1440--MA0684.1.RUNX3	chr10	123857284	123857293	-	0.000	0.000	Merged-chr10-123857138-2
NR1215--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR9786--MA0002.2.RUNX1	chr8	22544815	22544825	+	0.000	0.000	Merged-chr8-22544867-25
NR3875--MA0002.2.RUNX1	chr15	84178915	84178925	-	0.000	0.000	Merged-chr15-84178956-9
NR1608--MA0002.2.RUNX1	chr11	46229295	46229305	+	0.000	0.000	Merged-chr11-46229299-6
