#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-log2fc-1_up.bed
NR1089--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR131--MA0690.1.TBX21	chr1	174041076	174041085	-	0.000	0.000	Merged-chr1-174041007-47
NR2112--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR428--MA0690.1.TBX21	chr12	69102085	69102094	+	0.000	0.000	Merged-chr12-69102156-32
NR266--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR808--MA0690.1.TBX21	chr16	48772285	48772294	+	0.000	0.000	Merged-chr16-48772238-46
NR1632--MA0690.1.TBX21	chr6	73255031	73255040	+	0.000	0.000	Merged-chr6-73255048-51
NR1884--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR497--MA0690.1.TBX21	chr13	5286470	5286479	+	0.000	0.000	Merged-chr13-5286449-11
NR128--MA0690.1.TBX21	chr1	173098233	173098242	+	0.000	0.000	Merged-chr1-173098347-1
NR1462--MA0690.1.TBX21	chr4	150652225	150652234	-	0.000	0.000	Merged-chr4-150652076-9
NR1061--MA0690.1.TBX21	chr2	4454954	4454963	+	0.000	0.000	Merged-chr2-4454837-7
NR2109--MA0690.1.TBX21	chrX	134804501	134804510	-	0.000	0.000	Merged-chrX-134804510-14
NR1781--MA0690.1.TBX21	chr7	92087899	92087908	-	0.000	0.000	Merged-chr7-92087702-17
NR1704--MA0690.1.TBX21	chr6	145002429	145002438	+	0.000	0.000	Merged-chr6-145002461-23
NR1922--MA0690.1.TBX21	chr8	115113139	115113148	-	0.000	0.000	Merged-chr8-115113135-10
NR64--MA0690.1.TBX21	chr1	92953203	92953212	-	0.000	0.000	Merged-chr1-92953215-1
NR1773--MA0690.1.TBX21	chr7	84192460	84192469	-	0.000	0.000	Merged-chr7-84192440-15
NR1709--MA0690.1.TBX21	chr6	146516278	146516287	+	0.000	0.000	Merged-chr6-146516138-30
NR963--MA0690.1.TBX21	chr18	54839459	54839468	-	0.000	0.000	Merged-chr18-54839471-21
NR1582--MA0690.1.TBX21	chr5	148265518	148265527	+	0.000	0.000	Merged-chr5-148265362-14
NR724--MA0690.1.TBX21	chr15	66818856	66818865	+	0.000	0.000	Merged-chr15-66818844-13
NR562--MA0690.1.TBX21	chr13	91033692	91033701	-	0.000	0.000	Merged-chr13-91033672-15
NR1627--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1879--MA0690.1.TBX21	chr8	40963119	40963128	+	0.000	0.000	Merged-chr8-40963134-88
NR1051--MA0690.1.TBX21	chr19	57055819	57055828	-	0.000	0.000	Merged-chr19-57055875-36
NR541--MA0690.1.TBX21	chr13	52874051	52874060	-	0.000	0.000	Merged-chr13-52874286-33
NR1749--MA0690.1.TBX21	chr7	58759486	58759495	+	0.000	0.000	Merged-chr7-58759463-23
NR1335--MA0690.1.TBX21	chr3	146063221	146063230	+	0.000	0.000	Merged-chr3-146063322-20
NR424--MA0690.1.TBX21	chr12	52729841	52729850	-	0.000	0.000	Merged-chr12-52729820-57
NR1314--MA0690.1.TBX21	chr3	130571130	130571139	-	0.000	0.000	Merged-chr3-130571110-5
NR676--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR371--MA0690.1.TBX21	chr11	100846071	100846080	+	0.000	0.000	Merged-chr11-100846095-37
NR132--MA0690.1.TBX21	chr1	175672133	175672142	+	0.000	0.000	Merged-chr1-175671979-22
NR241--MA0690.1.TBX21	chr10	95372241	95372250	+	0.000	0.000	Merged-chr10-95372183-15
NR512--MA0690.1.TBX21	chr13	24467805	24467814	+	0.000	0.000	Merged-chr13-24467982-34
NR1449--MA0690.1.TBX21	chr4	135568111	135568120	-	0.000	0.000	Merged-chr4-135567986-19
NR525--MA0690.1.TBX21	chr13	41682969	41682978	-	0.000	0.000	Merged-chr13-41683049-20
NR634--MA0690.1.TBX21	chr14	62798846	62798855	+	0.000	0.000	Merged-chr14-62798973-44
NR1048--MA0690.1.TBX21	chr19	54015085	54015094	-	0.000	0.000	Merged-chr19-54015154-21
NR2060--MA0690.1.TBX21	chr9	115526252	115526261	-	0.000	0.000	Merged-chr9-115526484-32
NR852--MA0690.1.TBX21	chr17	7905014	7905023	-	0.000	0.000	Merged-chr17-7905100-9
NR1537--MA0690.1.TBX21	chr5	111531900	111531909	-	0.000	0.000	Merged-chr5-111531814-27
NR1245--MA0690.1.TBX21	chr3	37183603	37183612	-	0.000	0.000	Merged-chr3-37183520-10
NR1115--MA0690.1.TBX21	chr2	57102488	57102497	-	0.000	0.000	Merged-chr2-57102684-19
NR748--MA0690.1.TBX21	chr15	85469104	85469113	+	0.000	0.000	Merged-chr15-85469002-5
NR857--MA0690.1.TBX21	chr17	10229842	10229851	-	0.000	0.000	Merged-chr17-10229858-11
NR695--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR966--MA0690.1.TBX21	chr18	60624684	60624693	-	0.000	0.000	Merged-chr18-60624660-132
NR185--MA0690.1.TBX21	chr10	25433174	25433183	-	0.000	0.000	Merged-chr10-25433084-18
NR531--MA0690.1.TBX21	chr13	45708593	45708602	+	0.000	0.000	Merged-chr13-45708640-10
NR958--MA0690.1.TBX21	chr18	39657190	39657199	+	0.000	0.000	Merged-chr18-39657147-8
NR99--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR395--MA0690.1.TBX21	chr11	114571305	114571314	-	0.000	0.000	Merged-chr11-114571439-19
NR265--MA0690.1.TBX21	chr10	118813776	118813785	-	0.000	0.000	Merged-chr10-118813922-11
NR645--MA0690.1.TBX21	chr14	71035793	71035802	+	0.000	0.000	Merged-chr14-71035782-16
NR278--MA0690.1.TBX21	chr11	6324414	6324423	-	0.000	0.000	Merged-chr11-6324359-18
NR135--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR2103--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR2084--MA0690.1.TBX21	chr9	122398978	122398987	+	0.000	0.000	Merged-chr9-122399009-31
NR496--MA0690.1.TBX21	chr13	3642178	3642187	-	0.000	0.000	Merged-chr13-3642271-16
NR353--MA0690.1.TBX21	chr11	88567232	88567241	+	0.000	0.000	Merged-chr11-88567097-31
NR1610--MA0690.1.TBX21	chr6	47560204	47560213	+	0.000	0.000	Merged-chr6-47560085-16
NR889--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR2063--MA0690.1.TBX21	chr9	116091613	116091622	-	0.000	0.000	Merged-chr9-116091467-52
NR1984--MA0690.1.TBX21	chr9	53706352	53706361	+	0.000	0.000	Merged-chr9-53706205-55
NR1950--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR1270--MA0690.1.TBX21	chr3	85419409	85419418	+	0.000	0.000	Merged-chr3-85419465-1
NR1812--MA0690.1.TBX21	chr7	117406455	117406464	+	0.000	0.000	Merged-chr7-117406595-16
NR1934--MA0690.1.TBX21	chr8	120890466	120890475	-	0.000	0.000	Merged-chr8-120890385-4
NR1785--MA0690.1.TBX21	chr7	98360292	98360301	-	0.000	0.000	Merged-chr7-98360329-15
NR1371--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
NR1913--MA0690.1.TBX21	chr8	111771971	111771980	+	0.000	0.000	Merged-chr8-111771953-9
NR159--MA0690.1.TBX21	chr1	190899936	190899945	-	0.000	0.000	Merged-chr1-190900039-25
NR1743--MA0690.1.TBX21	chr7	45695323	45695332	+	0.000	0.000	Merged-chr7-45695271-16
NR1899--MA0690.1.TBX21	chr8	81881752	81881761	-	0.000	0.000	Merged-chr8-81881786-34
NR832--MA0690.1.TBX21	chr16	91562153	91562162	+	0.000	0.000	Merged-chr16-91562152-19
NR1573--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR1748--MA0690.1.TBX21	chr7	58697354	58697363	+	0.000	0.000	Merged-chr7-58697290-29
NR1063--MA0690.1.TBX21	chr2	6547518	6547527	-	0.000	0.000	Merged-chr2-6547586-22
NR1076--MA0690.1.TBX21	chr2	14312571	14312580	-	0.000	0.000	Merged-chr2-14312633-23
NR370--MA0690.1.TBX21	chr11	99150507	99150516	-	0.000	0.000	Merged-chr11-99150380-50
NR1021--MA0690.1.TBX21	chr19	24984245	24984254	+	0.000	0.000	Merged-chr19-24984187-40
NR1448--MA0690.1.TBX21	chr4	135290429	135290438	-	0.000	0.000	Merged-chr4-135290466-2
NR1299--MA0690.1.TBX21	chr3	104841018	104841027	+	0.000	0.000	Merged-chr3-104841189-28
NR45--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR1897--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR1026--MA0690.1.TBX21	chr19	30924251	30924260	+	0.000	0.000	Merged-chr19-30924347-34
NR1148--MA0690.1.TBX21	chr2	102034538	102034547	+	0.000	0.000	Merged-chr2-102034492-49
NR843--MA0690.1.TBX21	chr16	95869739	95869748	-	0.000	0.000	Merged-chr16-95869616-44
NR224--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR999--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR790--MA0690.1.TBX21	chr16	25485350	25485359	+	0.000	0.000	Merged-chr16-25485313-47
NR346--MA0690.1.TBX21	chr11	82424780	82424789	+	0.000	0.000	Merged-chr11-82424845-7
NR29--MA0690.1.TBX21	chr1	59189721	59189730	+	0.000	0.000	Merged-chr1-59189721-10
NR293--MA0690.1.TBX21	chr11	33700902	33700911	+	0.000	0.000	Merged-chr11-33701004-51
NR2001--MA0690.1.TBX21	chr9	67902161	67902170	+	0.000	0.000	Merged-chr9-67901955-26
NR394--MA0690.1.TBX21	chr11	113009614	113009623	-	0.000	0.000	Merged-chr11-113009621-13
NR665--MA0690.1.TBX21	chr14	103850570	103850579	+	0.000	0.000	Merged-chr14-103850623-36
NR5--MA0690.1.TBX21	chr1	23321325	23321334	+	0.000	0.000	Merged-chr1-23321414-28
NR678--MA0690.1.TBX21	chr14	121107878	121107887	-	0.000	0.000	Merged-chr14-121107843-45
NR1058--MA0690.1.TBX21	chr19	60877274	60877283	-	0.000	0.000	Merged-chr19-60877259-13
NR753--MA0690.1.TBX21	chr15	89498835	89498844	+	0.000	0.000	Merged-chr15-89498857-24
NR134--MA0690.1.TBX21	chr1	176986426	176986435	-	0.000	0.000	Merged-chr1-176986467-25
NR309--MA0690.1.TBX21	chr11	52109669	52109678	+	0.000	0.000	Merged-chr11-52109659-16
NR495--MA0690.1.TBX21	chr13	3360928	3360937	-	0.000	0.000	Merged-chr13-3361067-38
NR1037--MA0690.1.TBX21	chr19	43896238	43896247	+	0.000	0.000	Merged-chr19-43896459-20
NR1970--MA0690.1.TBX21	chr9	42229614	42229623	-	0.000	0.000	Merged-chr9-42229723-12
NR474--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR201--MA0690.1.TBX21	chr10	41687584	41687593	+	0.000	0.000	Merged-chr10-41687676-7
NR2107--MA0690.1.TBX21	chrX	106962486	106962495	-	0.000	0.000	Merged-chrX-106962471-28
NR1962--MA0690.1.TBX21	chr9	21455339	21455348	-	0.000	0.000	Merged-chr9-21455385-20
NR161--MA0690.1.TBX21	chr1	191520000	191520009	+	0.000	0.000	Merged-chr1-191519897-26
NR1683--MA0690.1.TBX21	chr6	134184205	134184214	-	0.000	0.000	Merged-chr6-134184108-53
NR1954--MA0690.1.TBX21	chr9	14248476	14248485	-	0.000	0.000	Merged-chr9-14248366-20
NR1811--MA0690.1.TBX21	chr7	117404642	117404651	+	0.000	0.000	Merged-chr7-117404576-18
NR2059--MA0690.1.TBX21	chr9	114447965	114447974	-	0.000	0.000	Merged-chr9-114447903-15
NR1370--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR1641--MA0690.1.TBX21	chr6	87119585	87119594	-	0.000	0.000	Merged-chr6-87119636-27
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
