#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_up.bed
NR60212--MA0740.1.KLF14	chr7	100700067	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR53937--MA0741.1.KLF16	chr6	47621484	47621494	+	0.000	0.000	Merged-chr6-47621326-39
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR19778--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR68878--MA1107.1.KLF9	chr9	116243758	116243770	-	0.000	0.000	Merged-chr9-116243832-57
NR35890--MA0599.1.KLF5	chr2	60375320	60375329	-	0.000	0.000	Merged-chr2-60375404-17
NR66170--MA1107.1.KLF9	chr9	43242633	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR65501--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR57077--MA0039.3.KLF4	chr6	144332302	144332312	-	0.000	0.000	Merged-chr6-144332292-25
NR58727--MA1107.1.KLF9	chr7	35742599	35742611	-	0.000	0.000	Merged-chr7-35742502-39
NR53265--MA0741.1.KLF16	chr5	150840388	150840398	+	0.000	0.000	Merged-chr5-150840546-64
NR43502--MA0740.1.KLF14	chr3	146220864	146220877	-	0.000	0.000	Merged-chr3-146220972-27
NR23411--MA0493.1.Klf1	chr15	80076945	80076955	+	0.000	0.000	Merged-chr15-80076989-19
NR34759--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR63995--MA0741.1.KLF16	chr8	88361762	88361772	+	0.000	0.000	Merged-chr8-88361574-1
NR56459--MA0599.1.KLF5	chr6	134348665	134348674	-	0.000	0.000	Merged-chr6-134348726-53
NR53534--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR45361--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR23421--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR59621--MA0599.1.KLF5	chr7	79363686	79363695	-	0.000	0.000	Merged-chr7-79363578-43
NR64751--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR16696--MA0740.1.KLF14	chr13	38152877	38152890	+	0.000	0.000	Merged-chr13-38152778-13
NR10339--MA1107.1.KLF9	chr11	66961665	66961677	+	0.000	0.000	Merged-chr11-66961666-9
NR31737--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR8206--MA0741.1.KLF16	chr10	117660144	117660154	-	0.000	0.000	Merged-chr10-117659981-30
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR31047--MA0493.1.Klf1	chr18	55161686	55161696	-	0.000	0.000	Merged-chr18-55161771-19
NR60742--MA0493.1.Klf1	chr7	114356566	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR2896--MA1107.1.KLF9	chr1	156217435	156217447	-	0.000	0.000	Merged-chr1-156217514-18
NR53743--MA0039.3.KLF4	chr6	33683797	33683807	-	0.000	0.000	Merged-chr6-33683719-46
NR490--MA0599.1.KLF5	chr1	39196991	39197000	-	0.000	0.000	Merged-chr1-39196974-45
NR29735--MA1107.1.KLF9	chr17	83158738	83158750	+	0.000	0.000	Merged-chr17-83158899-1
NR14045--MA1107.1.KLF9	chr12	52383144	52383156	-	0.000	0.000	Merged-chr12-52383146-23
NR66527--MA0741.1.KLF16	chr9	56098022	56098032	+	0.000	0.000	Merged-chr9-56098023-21
NR56575--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR55826--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR68801--MA0742.1.Klf12	chr9	114978268	114978282	-	0.000	0.000	Merged-chr9-114978138-2
NR53095--MA0493.1.Klf1	chr5	148709065	148709075	-	0.000	0.000	Merged-chr5-148709171-35
NR62721--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR58442--MA0599.1.KLF5	chr7	28451956	28451965	+	0.000	0.000	Merged-chr7-28452002-19
NR22098--MA0741.1.KLF16	chr15	25413988	25413998	+	0.000	0.000	Merged-chr15-25413790-40
NR57665--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26,Merged-chr7-4948937-4
NR18512--MA1107.1.KLF9	chr13	102284446	102284458	+	0.000	0.000	Merged-chr13-102284441-1
NR28681--MA1107.1.KLF9	chr17	47171163	47171175	-	0.000	0.000	Merged-chr17-47171280-54
NR34094--MA0741.1.KLF16	chr19	56703306	56703316	+	0.000	0.000	Merged-chr19-56703417-11
NR48925--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR2902--MA0599.1.KLF5	chr1	156217595	156217604	+	0.000	0.000	Merged-chr1-156217514-18
NR2883--MA0742.1.Klf12	chr1	155647087	155647101	+	0.000	0.000	Merged-chr1-155646912-20
NR64672--MA0493.1.Klf1	chr8	114888924	114888934	+	0.000	0.000	Merged-chr8-114888790-56
NR64798--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR12443--MA1107.1.KLF9	chr11	109124567	109124579	+	0.000	0.000	Merged-chr11-109124612-1
NR27103--MA0039.3.KLF4	chr17	10229877	10229887	+	0.000	0.000	Merged-chr17-10229858-11
NR19670--MA0741.1.KLF16	chr14	27114840	27114850	+	0.000	0.000	Merged-chr14-27114945-21
NR57664--MA0039.3.KLF4	chr7	4948748	4948758	-	0.000	0.000	Merged-chr7-4948568-26,Merged-chr7-4948937-4
NR34134--MA0599.1.KLF5	chr19	57117014	57117023	+	0.000	0.000	Merged-chr19-57117009-44
NR4731--MA0039.3.KLF4	chr1	193421574	193421584	-	0.000	0.000	Merged-chr1-193421738-60
NR66511--MA1107.1.KLF9	chr9	55283730	55283742	+	0.000	0.000	Merged-chr9-55283833-16
NR2901--MA1107.1.KLF9	chr1	156217445	156217457	-	0.000	0.000	Merged-chr1-156217514-18
NR64671--MA0039.3.KLF4	chr8	114888926	114888936	+	0.000	0.000	Merged-chr8-114888790-56
NR8321--MA1107.1.KLF9	chr10	118766023	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR67033--MA0493.1.Klf1	chr9	69068529	69068539	-	0.000	0.000	Merged-chr9-69068633-33
NR10053--MA1107.1.KLF9	chr11	58290579	58290591	+	0.000	0.000	Merged-chr11-58290425-28
NR34437--MA0039.3.KLF4	chr2	5003274	5003284	+	0.000	0.000	Merged-chr2-5003396-19
NR27381--MA1107.1.KLF9	chr17	22081337	22081349	+	0.000	0.000	Merged-chr17-22081170-26
NR55902--MA0741.1.KLF16	chr6	121110179	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR12901--MA0599.1.KLF5	chr11	116688047	116688056	-	0.000	0.000	Merged-chr11-116688042-60
NR34963--MA0741.1.KLF16	chr2	26628446	26628456	+	0.000	0.000	Merged-chr2-26628456-31
NR4947--MA0741.1.KLF16	chr10	7212275	7212285	-	0.000	0.000	Merged-chr10-7212223-140
NR30105--MA1107.1.KLF9	chr17	88479191	88479203	-	0.000	0.000	Merged-chr17-88479234-18
NR65230--MA0599.1.KLF5	chr8	124085801	124085810	+	0.000	0.000	Merged-chr8-124085760-17
NR61076--MA0493.1.Klf1	chr7	122932283	122932293	-	0.000	0.000	Merged-chr7-122932357-26
NR12659--MA0493.1.Klf1	chr11	113508467	113508477	+	0.000	0.000	Merged-chr11-113508478-30
NR37850--MA0039.3.KLF4	chr2	132669327	132669337	+	0.000	0.000	Merged-chr2-132669439-31
NR69142--MA0599.1.KLF5	chr9	120116454	120116463	-	0.000	0.000	Merged-chr9-120116499-4
NR31676--MA0740.1.KLF14	chr18	74224676	74224689	-	0.000	0.000	Merged-chr18-74224728-18
NR20103--MA0599.1.KLF5	chr14	52272899	52272908	+	0.000	0.000	Merged-chr14-52272946-13
NR12216--MA0493.1.Klf1	chr11	103351165	103351175	+	0.000	0.000	Merged-chr11-103350991-5
NR28804--MA0599.1.KLF5	chr17	50025422	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR60739--MA0742.1.Klf12	chr7	114356562	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR34989--MA0741.1.KLF16	chr2	27432626	27432636	+	0.000	0.000	Merged-chr2-27432813-10
NR1396--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR24261--MA0599.1.KLF5	chr15	98699671	98699680	-	0.000	0.000	Merged-chr15-98699636-21
NR3469--MA0599.1.KLF5	chr1	172197218	172197227	+	0.000	0.000	Merged-chr1-172197316-25
NR30248--MA0741.1.KLF16	chr18	3933946	3933956	-	0.000	0.000	Merged-chr18-3933786-31
NR61646--MA0741.1.KLF16	chr7	135598566	135598576	+	0.000	0.000	Merged-chr7-135598633-32
NR38567--MA0741.1.KLF16	chr2	153292441	153292451	+	0.000	0.000	Merged-chr2-153292567-49
NR13695--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR12814--MA0741.1.KLF16	chr11	115747602	115747612	-	0.000	0.000	Merged-chr11-115747608-16
NR9560--MA0493.1.Klf1	chr11	43703694	43703704	+	0.000	0.000	Merged-chr11-43703862-10
NR59733--MA0742.1.Klf12	chr7	81454606	81454620	+	0.000	0.000	Merged-chr7-81454544-19
NR19424--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR17016--MA1107.1.KLF9	chr13	52800950	52800962	+	0.000	0.000	Merged-chr13-52800951-49
NR1767--MA0741.1.KLF16	chr1	106714613	106714623	-	0.000	0.000	Merged-chr1-106714804-1
NR33993--MA1107.1.KLF9	chr19	53760461	53760473	-	0.000	0.000	Merged-chr19-53760542-10
NR30249--MA1107.1.KLF9	chr18	3933945	3933957	-	0.000	0.000	Merged-chr18-3933786-31
NR11226--MA0741.1.KLF16	chr11	85407804	85407814	+	0.000	0.000	Merged-chr11-85407928-27
NR16159--MA1107.1.KLF9	chr13	5768075	5768087	+	0.000	0.000	Merged-chr13-5768061-15
NR63857--MA0599.1.KLF5	chr8	84811136	84811145	-	0.000	0.000	Merged-chr8-84811046-12
NR66567--MA0599.1.KLF5	chr9	57346115	57346124	-	0.000	0.000	Merged-chr9-57346292-13
NR44988--MA1107.1.KLF9	chr4	55342830	55342842	+	0.000	0.000	Merged-chr4-55342780-17
NR65118--MA1107.1.KLF9	chr8	122712169	122712181	-	0.000	0.000	Merged-chr8-122712057-14
NR12906--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR11303--MA0740.1.KLF14	chr11	87817280	87817293	+	0.000	0.000	Merged-chr11-87817234-11
NR59564--MA0493.1.Klf1	chr7	75914149	75914159	-	0.000	0.000	Merged-chr7-75914112-33
NR970--MA0493.1.Klf1	chr1	64549349	64549359	+	0.000	0.000	Merged-chr1-64549530-8
NR55782--MA0493.1.Klf1	chr6	119451004	119451014	+	0.000	0.000	Merged-chr6-119451010-23
NR61467--MA0599.1.KLF5	chr7	130812686	130812695	-	0.000	0.000	Merged-chr7-130812664-20
NR59737--MA0741.1.KLF16	chr7	81454607	81454617	+	0.000	0.000	Merged-chr7-81454544-19
NR28915--MA0039.3.KLF4	chr17	56023589	56023599	-	0.000	0.000	Merged-chr17-56023630-14
NR66571--MA0493.1.Klf1	chr9	57346465	57346475	-	0.000	0.000	Merged-chr9-57346292-13
NR60774--MA0742.1.Klf12	chr7	115495322	115495336	+	0.000	0.000	Merged-chr7-115495056-66
NR43466--MA0742.1.Klf12	chr3	146039641	146039655	-	0.000	0.000	Merged-chr3-146039588-29
NR63937--MA0741.1.KLF16	chr8	86485164	86485174	-	0.000	0.000	Merged-chr8-86484982-16
NR55334--MA1107.1.KLF9	chr6	108338391	108338403	-	0.000	0.000	Merged-chr6-108338556-41
NR22767--MA0599.1.KLF5	chr15	59805063	59805072	-	0.000	0.000	Merged-chr15-59805045-21
NR4940--MA0599.1.KLF5	chr10	7212244	7212253	-	0.000	0.000	Merged-chr10-7212223-140
NR68751--MA0493.1.Klf1	chr9	114613222	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR10332--MA0741.1.KLF16	chr11	66961630	66961640	+	0.000	0.000	Merged-chr11-66961666-9
NR45541--MA1107.1.KLF9	chr4	89359535	89359547	-	0.000	0.000	Merged-chr4-89359690-21
NR47035--MA0741.1.KLF16	chr4	134059106	134059116	-	0.000	0.000	Merged-chr4-134059039-2
NR34501--MA0039.3.KLF4	chr2	7270158	7270168	+	0.000	0.000	Merged-chr2-7270224-62
NR67423--MA0039.3.KLF4	chr9	80313810	80313820	-	0.000	0.000	Merged-chr9-80313733-27
NR1768--MA1107.1.KLF9	chr1	106714612	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR68750--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR55899--MA0493.1.Klf1	chr6	121110159	121110169	-	0.000	0.000	Merged-chr6-121110104-77
NR7183--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR58838--MA0599.1.KLF5	chr7	43475859	43475868	+	0.000	0.000	Merged-chr7-43475865-26
NR47955--MA0599.1.KLF5	chr4	149664350	149664359	+	0.000	0.000	Merged-chr4-149664202-47
NR22445--MA0599.1.KLF5	chr15	38709603	38709612	+	0.000	0.000	Merged-chr15-38709565-1
NR18935--MA0741.1.KLF16	chr13	111634785	111634795	+	0.000	0.000	Merged-chr13-111634662-22
NR24368--MA0039.3.KLF4	chr15	99652667	99652677	-	0.000	0.000	Merged-chr15-99652729-6
NR47635--MA0740.1.KLF14	chr4	144901710	144901723	+	0.000	0.000	Merged-chr4-144901724-37
NR10490--MA0599.1.KLF5	chr11	70005851	70005860	+	0.000	0.000	Merged-chr11-70005839-25
NR35614--MA1107.1.KLF9	chr2	45172978	45172990	-	0.000	0.000	Merged-chr2-45172921-51
NR55344--MA0493.1.Klf1	chr6	108512319	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR8204--MA0741.1.KLF16	chr10	117660142	117660152	-	0.000	0.000	Merged-chr10-117659981-30
NR8194--MA0742.1.Klf12	chr10	117651212	117651226	-	0.000	0.000	Merged-chr10-117651194-26
NR4730--MA0599.1.KLF5	chr1	193421576	193421585	-	0.000	0.000	Merged-chr1-193421738-60
NR69524--MA0599.1.KLF5	chrX	7865658	7865667	+	0.000	0.000	Merged-chrX-7865862-63
NR45537--MA1107.1.KLF9	chr4	89359527	89359539	-	0.000	0.000	Merged-chr4-89359690-21
NR13691--MA0742.1.Klf12	chr12	25247228	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR65168--MA1107.1.KLF9	chr8	123163069	123163081	+	0.000	0.000	Merged-chr8-123163099-40
NR34436--MA0599.1.KLF5	chr2	5003273	5003282	+	0.000	0.000	Merged-chr2-5003396-19
NR14035--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR57662--MA1107.1.KLF9	chr7	4922659	4922671	+	0.000	0.000	Merged-chr7-4922801-35
NR67419--MA0039.3.KLF4	chr9	80313761	80313771	-	0.000	0.000	Merged-chr9-80313733-27
NR877--MA0493.1.Klf1	chr1	60017018	60017028	+	0.000	0.000	Merged-chr1-60017133-4
NR2894--MA1107.1.KLF9	chr1	156217431	156217443	-	0.000	0.000	Merged-chr1-156217514-18
NR59947--MA0741.1.KLF16	chr7	92420558	92420568	-	0.000	0.000	Merged-chr7-92420666-38
NR8198--MA0741.1.KLF16	chr10	117651215	117651225	-	0.000	0.000	Merged-chr10-117651194-26
NR20861--MA0599.1.KLF5	chr14	74918656	74918665	+	0.000	0.000	Merged-chr14-74918775-39
NR69560--MA0599.1.KLF5	chrX	11807621	11807630	-	0.000	0.000	Merged-chrX-11807540-17
NR12660--MA1107.1.KLF9	chr11	113508467	113508479	+	0.000	0.000	Merged-chr11-113508478-30
NR61468--MA0741.1.KLF16	chr7	130812673	130812683	-	0.000	0.000	Merged-chr7-130812664-20
NR52997--MA0493.1.Klf1	chr5	146974169	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR53746--MA1107.1.KLF9	chr6	34364838	34364850	-	0.000	0.000	Merged-chr6-34364838-25
NR35982--MA0493.1.Klf1	chr2	61755185	61755195	+	0.000	0.000	Merged-chr2-61755182-23
NR66506--MA0740.1.KLF14	chr9	55283730	55283743	+	0.000	0.000	Merged-chr9-55283833-16
NR12907--MA0741.1.KLF16	chr11	116688052	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR69501--MA0741.1.KLF16	chrX	7586649	7586659	-	0.000	0.000	Merged-chrX-7586610-10
NR23222--MA0599.1.KLF5	chr15	77071686	77071695	-	0.000	0.000	Merged-chr15-77071598-27
NR59488--MA0039.3.KLF4	chr7	73517693	73517703	-	0.000	0.000	Merged-chr7-73517689-25
