#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-log2fc-1_dn.bed
NR3446--MA0511.2.RUNX2	chr14	77742008	77742016	+	0.000	0.000	Merged-chr14-77742060-11
NR5235--MA0511.2.RUNX2	chr19	10830054	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR3999--MA0684.1.RUNX3	chr15	100997383	100997392	-	0.000	0.000	Merged-chr15-100997392-7
NR2060--MA0002.2.RUNX1	chr11	117790432	117790442	-	0.000	0.000	Merged-chr11-117790518-2
NR2997--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR6780--MA0002.2.RUNX1	chr3	130788180	130788190	+	0.000	0.000	Merged-chr3-130788036-10
NR10537--MA0002.2.RUNX1	chr9	86103760	86103770	-	0.000	0.000	Merged-chr9-86103730-10
NR6561--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR10060--MA0511.2.RUNX2	chr8	115222245	115222253	-	0.000	0.000	Merged-chr8-115222208-2
NR2724--MA0002.2.RUNX1	chr13	31902758	31902768	+	0.000	0.000	Merged-chr13-31902870-3
NR7112--MA0511.2.RUNX2	chr4	59244348	59244356	+	0.000	0.000	Merged-chr4-59244253-10
NR10483--MA0684.1.RUNX3	chr9	78593272	78593281	+	0.000	0.000	Merged-chr9-78593326-11
NR1135--MA0684.1.RUNX3	chr10	75429620	75429629	-	0.000	0.000	Merged-chr10-75429705-8
NR7026--MA0002.2.RUNX1	chr4	33983879	33983889	-	0.000	0.000	Merged-chr4-33983877-2
NR5031--MA0511.2.RUNX2	chr18	65207730	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR4377--MA0002.2.RUNX1	chr16	91424307	91424317	-	0.000	0.000	Merged-chr16-91424269-6
NR6662--MA0684.1.RUNX3	chr3	103844404	103844413	-	0.000	0.000	Merged-chr3-103844386-3
NR10227--MA0511.2.RUNX2	chr9	7790863	7790871	-	0.000	0.000	Merged-chr9-7790841-6
NR6850--MA0511.2.RUNX2	chr3	142674815	142674823	-	0.000	0.000	Merged-chr3-142674758-15
NR204--MA0002.2.RUNX1	chr1	75533601	75533611	+	0.000	0.000	Merged-chr1-75533497-24
NR2715--MA0684.1.RUNX3	chr13	29979450	29979459	+	0.000	0.000	Merged-chr13-29979339-43
NR2772--MA0002.2.RUNX1	chr13	41346054	41346064	-	0.000	0.000	Merged-chr13-41345949-16
NR979--MA0002.2.RUNX1	chr10	39005776	39005786	-	0.000	0.000	Merged-chr10-39005753-18
NR10598--MA0002.2.RUNX1	chr9	96545686	96545696	+	0.000	0.000	Merged-chr9-96545653-10
NR2361--MA0511.2.RUNX2	chr12	92823631	92823639	+	0.000	0.000	Merged-chr12-92823421-39
NR8301--MA0002.2.RUNX1	chr6	6577522	6577532	-	0.000	0.000	Merged-chr6-6577639-1
NR7127--MA0002.2.RUNX1	chr4	62367820	62367830	-	0.000	0.000	Merged-chr4-62367859-6
NR8205--MA0002.2.RUNX1	chr5	140624007	140624017	-	0.000	0.000	Merged-chr5-140623883-3
NR3972--MA0002.2.RUNX1	chr15	99336093	99336103	-	0.000	0.000	Merged-chr15-99336095-27
NR9839--MA0684.1.RUNX3	chr8	46420600	46420609	+	0.000	0.000	Merged-chr8-46420639-16
NR2132--MA0002.2.RUNX1	chr12	16321296	16321306	-	0.000	0.000	Merged-chr12-16321346-3
NR6693--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR2158--MA0002.2.RUNX1	chr12	25362963	25362973	+	0.000	0.000	Merged-chr12-25363030-6
NR4837--MA0002.2.RUNX1	chr17	86760370	86760380	+	0.000	0.000	Merged-chr17-86760300-15
NR8763--MA0002.2.RUNX1	chr6	127723184	127723194	-	0.000	0.000	Merged-chr6-127723234-26
NR9841--MA0002.2.RUNX1	chr8	46420691	46420701	+	0.000	0.000	Merged-chr8-46420639-16
NR8319--MA0002.2.RUNX1	chr6	13584122	13584132	+	0.000	0.000	Merged-chr6-13584220-9
NR6097--MA0002.2.RUNX1	chr2	136058482	136058492	+	0.000	0.000	Merged-chr2-136058435-1
NR1915--MA0002.2.RUNX1	chr11	102061325	102061335	-	0.000	0.000	Merged-chr11-102061381-17
NR8000--MA0684.1.RUNX3	chr5	107564619	107564628	+	0.000	0.000	Merged-chr5-107564651-5
NR4706--MA0684.1.RUNX3	chr17	59844694	59844703	-	0.000	0.000	Merged-chr17-59844739-2
NR2193--MA0002.2.RUNX1	chr12	40082661	40082671	+	0.000	0.000	Merged-chr12-40082699-21
NR5570--MA0002.2.RUNX1	chr2	16571473	16571483	-	0.000	0.000	Merged-chr2-16571405-4
NR2050--MA0002.2.RUNX1	chr11	116136518	116136528	-	0.000	0.000	Merged-chr11-116136465-12
NR4414--MA0684.1.RUNX3	chr16	94485295	94485304	-	0.000	0.000	Merged-chr16-94485171-25
NR4808--MA0002.2.RUNX1	chr17	84036277	84036287	-	0.000	0.000	Merged-chr17-84036191-5
NR9270--MA0002.2.RUNX1	chr7	72339570	72339580	-	0.000	0.000	Merged-chr7-72339570-17
NR2128--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR474--MA0684.1.RUNX3	chr1	144276046	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR7513--MA0002.2.RUNX1	chr4	148115748	148115758	-	0.000	0.000	Merged-chr4-148115678-7
NR2294--MA0002.2.RUNX1	chr12	76889716	76889726	+	0.000	0.000	Merged-chr12-76889803-12
NR4026--MA0684.1.RUNX3	chr16	8731900	8731909	+	0.000	0.000	Merged-chr16-8732071-1
NR5008--MA0684.1.RUNX3	chr18	56871869	56871878	+	0.000	0.000	Merged-chr18-56871976-16
NR152--MA0511.2.RUNX2	chr1	62834665	62834673	+	0.000	0.000	Merged-chr1-62834522-10
NR1976--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR9533--MA0002.2.RUNX1	chr7	118254166	118254176	+	0.000	0.000	Merged-chr7-118254195-24
NR5411--MA0002.2.RUNX1	chr19	45528076	45528086	+	0.000	0.000	Merged-chr19-45528060-29
NR2927--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR9751--MA0002.2.RUNX1	chr8	9811314	9811324	-	0.000	0.000	Merged-chr8-9811294-16
NR7723--MA0002.2.RUNX1	chr5	43837745	43837755	+	0.000	0.000	Merged-chr5-43837616-20
NR6278--MA0002.2.RUNX1	chr2	166046189	166046199	-	0.000	0.000	Merged-chr2-166046105-43
NR2047--MA0002.2.RUNX1	chr11	115581559	115581569	+	0.000	0.000	Merged-chr11-115581536-6
NR206--MA0684.1.RUNX3	chr1	75533602	75533611	-	0.000	0.000	Merged-chr1-75533497-24
NR6277--MA0684.1.RUNX3	chr2	165956428	165956437	-	0.000	0.000	Merged-chr2-165956535-28
NR3614--MA0002.2.RUNX1	chr15	12447227	12447237	-	0.000	0.000	Merged-chr15-12447311-14
NR8207--MA0684.1.RUNX3	chr5	140624014	140624023	+	0.000	0.000	Merged-chr5-140623883-3
NR9485--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR9613--MA0002.2.RUNX1	chr7	128382345	128382355	+	0.000	0.000	Merged-chr7-128382170-51
NR8316--MA0684.1.RUNX3	chr6	12081955	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR6017--MA0684.1.RUNX3	chr2	123243765	123243774	+	0.000	0.000	Merged-chr2-123243838-1
NR8677--MA0684.1.RUNX3	chr6	114934410	114934419	+	0.000	0.000	Merged-chr6-114934394-6
NR2127--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR3566--MA0002.2.RUNX1	chr14	122041458	122041468	-	0.000	0.000	Merged-chr14-122041440-5
NR4899--MA0511.2.RUNX2	chr18	14675979	14675987	+	0.000	0.000	Merged-chr18-14675814-20
NR9791--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR5484--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR5321--MA0002.2.RUNX1	chr19	29196946	29196956	-	0.000	0.000	Merged-chr19-29196940-3
NR3644--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR2943--MA0002.2.RUNX1	chr13	87753754	87753764	+	0.000	0.000	Merged-chr13-87753928-1
NR1232--MA0684.1.RUNX3	chr10	89415728	89415737	+	0.000	0.000	Merged-chr10-89415714-14
NR8204--MA0511.2.RUNX2	chr5	140624014	140624022	+	0.000	0.000	Merged-chr5-140623883-3
NR5076--MA0002.2.RUNX1	chr18	73745003	73745013	-	0.000	0.000	Merged-chr18-73745138-6
NR10612--MA0684.1.RUNX3	chr9	96953705	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR1573--MA0002.2.RUNX1	chr11	32693766	32693776	+	0.000	0.000	Merged-chr11-32693838-13
NR4139--MA0002.2.RUNX1	chr16	32954109	32954119	-	0.000	0.000	Merged-chr16-32954126-18
NR9752--MA0511.2.RUNX2	chr8	9811411	9811419	+	0.000	0.000	Merged-chr8-9811294-16
NR1334--MA0002.2.RUNX1	chr10	108110442	108110452	+	0.000	0.000	Merged-chr10-108110299-11
NR8356--MA0684.1.RUNX3	chr6	28949422	28949431	+	0.000	0.000	Merged-chr6-28949446-17
NR3266--MA0002.2.RUNX1	chr14	48246459	48246469	+	0.000	0.000	Merged-chr14-48246381-22
NR1586--MA0002.2.RUNX1	chr11	35747242	35747252	+	0.000	0.000	Merged-chr11-35747326-7
NR3997--MA0511.2.RUNX2	chr15	100997384	100997392	-	0.000	0.000	Merged-chr15-100997392-7
NR933--MA0002.2.RUNX1	chr10	21535820	21535830	+	0.000	0.000	Merged-chr10-21535730-30
NR1347--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR5796--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR7999--MA0002.2.RUNX1	chr5	107564619	107564629	-	0.000	0.000	Merged-chr5-107564651-5
NR9840--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR7114--MA0684.1.RUNX3	chr4	59244348	59244357	+	0.000	0.000	Merged-chr4-59244253-10
NR6096--MA0511.2.RUNX2	chr2	136058484	136058492	-	0.000	0.000	Merged-chr2-136058435-1
NR10674--MA0002.2.RUNX1	chr9	111138402	111138412	-	0.000	0.000	Merged-chr9-111138403-3
NR1726--MA0684.1.RUNX3	chr11	68768602	68768611	+	0.000	0.000	Merged-chr11-68768507-16
NR10783--MA0002.2.RUNX1	chr9	120059519	120059529	+	0.000	0.000	Merged-chr9-120059540-6
NR5033--MA0684.1.RUNX3	chr18	65207729	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR5156--MA0002.2.RUNX1	chr18	84355495	84355505	+	0.000	0.000	Merged-chr18-84355361-12
NR10481--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7216--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5122--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR5169--MA0002.2.RUNX1	chr18	85484168	85484178	-	0.000	0.000	Merged-chr18-85484055-1
NR6452--MA0002.2.RUNX1	chr3	37738620	37738630	-	0.000	0.000	Merged-chr3-37738517-40
NR904--MA0002.2.RUNX1	chr10	17512260	17512270	+	0.000	0.000	Merged-chr10-17512175-6
NR4900--MA0002.2.RUNX1	chr18	14675979	14675989	-	0.000	0.000	Merged-chr18-14675814-20
NR2996--MA0002.2.RUNX1	chr13	96555284	96555294	+	0.000	0.000	Merged-chr13-96555289-36
NR8621--MA0002.2.RUNX1	chr6	102944644	102944654	+	0.000	0.000	Merged-chr6-102944548-1
NR980--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR9759--MA0002.2.RUNX1	chr8	11107277	11107287	-	0.000	0.000	Merged-chr8-11107220-18
NR2290--MA0002.2.RUNX1	chr12	76305071	76305081	-	0.000	0.000	Merged-chr12-76305169-2
NR1806--MA0684.1.RUNX3	chr11	83010974	83010983	-	0.000	0.000	Merged-chr11-83011014-13
NR3609--MA0002.2.RUNX1	chr15	9455443	9455453	+	0.000	0.000	Merged-chr15-9455441-21
NR5369--MA0511.2.RUNX2	chr19	37109990	37109998	-	0.000	0.000	Merged-chr19-37109967-3
NR2670--MA0002.2.RUNX1	chr13	20502835	20502845	+	0.000	0.000	Merged-chr13-20502802-9
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR877--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR9837--MA0511.2.RUNX2	chr8	46420600	46420608	+	0.000	0.000	Merged-chr8-46420639-16
NR5236--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR3208--MA0002.2.RUNX1	chr14	27268393	27268403	-	0.000	0.000	Merged-chr14-27268313-23
NR9532--MA0511.2.RUNX2	chr7	118254168	118254176	-	0.000	0.000	Merged-chr7-118254195-24
NR7167--MA0684.1.RUNX3	chr4	84118724	84118733	-	0.000	0.000	Merged-chr4-84118627-8
NR9161--MA0684.1.RUNX3	chr7	43430965	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR1222--MA0684.1.RUNX3	chr10	88346742	88346751	-	0.000	0.000	Merged-chr10-88346697-18
NR6131--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR9206--MA0684.1.RUNX3	chr7	49752418	49752427	+	0.000	0.000	Merged-chr7-49752450-3
NR4063--MA0002.2.RUNX1	chr16	18915641	18915651	+	0.000	0.000	Merged-chr16-18915632-5
NR5588--MA0684.1.RUNX3	chr2	18962704	18962713	-	0.000	0.000	Merged-chr2-18962712-7
NR10228--MA0002.2.RUNX1	chr9	7790861	7790871	+	0.000	0.000	Merged-chr9-7790841-6
NR6851--MA0002.2.RUNX1	chr3	142674813	142674823	+	0.000	0.000	Merged-chr3-142674758-15
NR2667--MA0002.2.RUNX1	chr13	20502779	20502789	+	0.000	0.000	Merged-chr13-20502802-9
NR2362--MA0002.2.RUNX1	chr12	92823631	92823641	-	0.000	0.000	Merged-chr12-92823421-39
NR4565--MA0002.2.RUNX1	chr17	28366329	28366339	-	0.000	0.000	Merged-chr17-28366309-12
NR2331--MA0511.2.RUNX2	chr12	85127124	85127132	+	0.000	0.000	Merged-chr12-85127239-15
NR472--MA0511.2.RUNX2	chr1	144276047	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR8252--MA0002.2.RUNX1	chr5	146791092	146791102	+	0.000	0.000	Merged-chr5-146791085-4
NR154--MA0684.1.RUNX3	chr1	62834665	62834674	+	0.000	0.000	Merged-chr1-62834522-10
NR277--MA0002.2.RUNX1	chr1	91080306	91080316	+	0.000	0.000	Merged-chr1-91080419-21
NR1789--MA0511.2.RUNX2	chr11	79520075	79520083	-	0.000	0.000	Merged-chr11-79520137-35
NR1296--MA0684.1.RUNX3	chr10	96481315	96481324	+	0.000	0.000	Merged-chr10-96481360-10
NR2929--MA0684.1.RUNX3	chr13	85399091	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR8515--MA0002.2.RUNX1	chr6	83478695	83478705	-	0.000	0.000	Merged-chr6-83478852-15
NR351--MA0684.1.RUNX3	chr1	115921110	115921119	-	0.000	0.000	Merged-chr1-115921039-2
NR9--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR9920--MA0002.2.RUNX1	chr8	77490489	77490499	-	0.000	0.000	Merged-chr8-77490437-4
NR4244--MA0002.2.RUNX1	chr16	57176582	57176592	-	0.000	0.000	Merged-chr16-57176339-30
NR6275--MA0511.2.RUNX2	chr2	165956429	165956437	-	0.000	0.000	Merged-chr2-165956535-28
NR6781--MA0684.1.RUNX3	chr3	130788181	130788190	-	0.000	0.000	Merged-chr3-130788036-10
NR3642--MA0002.2.RUNX1	chr15	31264975	31264985	-	0.000	0.000	Merged-chr15-31264963-30
NR2468--MA0002.2.RUNX1	chr12	111851971	111851981	+	0.000	0.000	Merged-chr12-111851900-7
NR10107--MA0511.2.RUNX2	chr8	120396889	120396897	-	0.000	0.000	Merged-chr8-120396987-32
NR5811--MA0002.2.RUNX1	chr2	73547518	73547528	-	0.000	0.000	Merged-chr2-73547425-29
NR10008--MA0002.2.RUNX1	chr8	105753168	105753178	-	0.000	0.000	Merged-chr8-105753259-4
NR4160--MA0511.2.RUNX2	chr16	37099541	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR8314--MA0511.2.RUNX2	chr6	12081956	12081964	-	0.000	0.000	Merged-chr6-12082002-27
NR7722--MA0002.2.RUNX1	chr5	43837607	43837617	+	0.000	0.000	Merged-chr5-43837616-20
NR1967--MA0002.2.RUNX1	chr11	107407889	107407899	-	0.000	0.000	Merged-chr11-107407910-19
NR8175--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR5370--MA0002.2.RUNX1	chr19	37109988	37109998	+	0.000	0.000	Merged-chr19-37109967-3
NR6560--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR4337--MA0002.2.RUNX1	chr16	84813439	84813449	-	0.000	0.000	Merged-chr16-84813469-4
NR7714--MA0002.2.RUNX1	chr5	37259132	37259142	-	0.000	0.000	Merged-chr5-37259222-30
NR8302--MA0684.1.RUNX3	chr6	6577522	6577531	+	0.000	0.000	Merged-chr6-6577639-1
NR9960--MA0002.2.RUNX1	chr8	86891775	86891785	-	0.000	0.000	Merged-chr8-86891702-1
NR4161--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR2133--MA0684.1.RUNX3	chr12	16321296	16321305	+	0.000	0.000	Merged-chr12-16321346-3
NR10610--MA0511.2.RUNX2	chr9	96953706	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR2669--MA0684.1.RUNX3	chr13	20502808	20502817	-	0.000	0.000	Merged-chr13-20502802-9
NR3932--MA0002.2.RUNX1	chr15	94279443	94279453	-	0.000	0.000	Merged-chr15-94279400-2
NR8354--MA0511.2.RUNX2	chr6	28949422	28949430	+	0.000	0.000	Merged-chr6-28949446-17
NR1904--MA0002.2.RUNX1	chr11	100393849	100393859	-	0.000	0.000	Merged-chr11-100393918-7
NR3294--MA0002.2.RUNX1	chr14	54122127	54122137	+	0.000	0.000	Merged-chr14-54122024-10
NR3836--MA0002.2.RUNX1	chr15	78518541	78518551	+	0.000	0.000	Merged-chr15-78518416-16
NR9842--MA0684.1.RUNX3	chr8	46420692	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR2979--MA0511.2.RUNX2	chr13	94177383	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR6098--MA0684.1.RUNX3	chr2	136058483	136058492	-	0.000	0.000	Merged-chr2-136058435-1
NR10070--MA0002.2.RUNX1	chr8	116605490	116605500	+	0.000	0.000	Merged-chr8-116605593-15
NR9835--MA0002.2.RUNX1	chr8	45817246	45817256	-	0.000	0.000	Merged-chr8-45817273-17
NR5604--MA0002.2.RUNX1	chr2	23041658	23041668	-	0.000	0.000	Merged-chr2-23041695-10
NR2879--MA0684.1.RUNX3	chr13	65070185	65070194	-	0.000	0.000	Merged-chr13-65070187-24
NR2194--MA0684.1.RUNX3	chr12	40082662	40082671	-	0.000	0.000	Merged-chr12-40082699-21
NR7645--MA0002.2.RUNX1	chr5	23626316	23626326	-	0.000	0.000	Merged-chr5-23626360-14
NR7996--MA0511.2.RUNX2	chr5	107525198	107525206	-	0.000	0.000	Merged-chr5-107525104-2
NR8312--MA0511.2.RUNX2	chr6	12012341	12012349	-	0.000	0.000	Merged-chr6-12012357-7
NR2349--MA0002.2.RUNX1	chr12	91013217	91013227	-	0.000	0.000	Merged-chr12-91013240-1
NR9033--MA0002.2.RUNX1	chr6	147591275	147591285	+	0.000	0.000	Merged-chr6-147591193-1
NR3645--MA0002.2.RUNX1	chr15	34356866	34356876	-	0.000	0.000	Merged-chr15-34356866-8
NR4117--MA0002.2.RUNX1	chr16	31035467	31035477	-	0.000	0.000	Merged-chr16-31035448-26
NR5272--MA0002.2.RUNX1	chr19	16790168	16790178	-	0.000	0.000	Merged-chr19-16790195-21
NR329--MA0511.2.RUNX2	chr1	106035311	106035319	-	0.000	0.000	Merged-chr1-106035367-19
NR9753--MA0002.2.RUNX1	chr8	9811411	9811421	-	0.000	0.000	Merged-chr8-9811294-16
NR2860--MA0002.2.RUNX1	chr13	63112800	63112810	-	0.000	0.000	Merged-chr13-63112828-16
NR7997--MA0684.1.RUNX3	chr5	107525197	107525206	-	0.000	0.000	Merged-chr5-107525104-2
NR9534--MA0684.1.RUNX3	chr7	118254167	118254176	-	0.000	0.000	Merged-chr7-118254195-24
NR861--MA0511.2.RUNX2	chr10	6904164	6904172	-	0.000	0.000	Merged-chr10-6904105-6
NR7563--MA0002.2.RUNX1	chr5	5420362	5420372	-	0.000	0.000	Merged-chr5-5420247-39
NR3998--MA0002.2.RUNX1	chr15	100997382	100997392	+	0.000	0.000	Merged-chr15-100997392-7
NR2981--MA0684.1.RUNX3	chr13	94177382	94177391	-	0.000	0.000	Merged-chr13-94177315-11
NR3615--MA0684.1.RUNX3	chr15	12447227	12447236	+	0.000	0.000	Merged-chr15-12447311-14
NR1439--MA0002.2.RUNX1	chr10	123857283	123857293	+	0.000	0.000	Merged-chr10-123857138-2
NR10482--MA0002.2.RUNX1	chr9	78593272	78593282	-	0.000	0.000	Merged-chr9-78593326-11
NR3717--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR1769--MA0511.2.RUNX2	chr11	76770766	76770774	+	0.000	0.000	Merged-chr11-76770779-7
NR6661--MA0002.2.RUNX1	chr3	103844403	103844413	+	0.000	0.000	Merged-chr3-103844386-3
NR5586--MA0511.2.RUNX2	chr2	18962705	18962713	-	0.000	0.000	Merged-chr2-18962712-7
NR2714--MA0002.2.RUNX1	chr13	29979450	29979460	-	0.000	0.000	Merged-chr13-29979339-43
NR8843--MA0002.2.RUNX1	chr6	134710564	134710574	+	0.000	0.000	Merged-chr6-134710635-12
NR331--MA0684.1.RUNX3	chr1	106035310	106035319	-	0.000	0.000	Merged-chr1-106035367-19
NR6130--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR1966--MA0511.2.RUNX2	chr11	107407889	107407897	+	0.000	0.000	Merged-chr11-107407910-19
NR9315--MA0002.2.RUNX1	chr7	81863350	81863360	-	0.000	0.000	Merged-chr7-81863346-31
NR9838--MA0002.2.RUNX1	chr8	46420600	46420610	-	0.000	0.000	Merged-chr8-46420639-16
NR1294--MA0511.2.RUNX2	chr10	96481315	96481323	+	0.000	0.000	Merged-chr10-96481360-10
NR1574--MA0684.1.RUNX3	chr11	32693934	32693943	+	0.000	0.000	Merged-chr11-32693838-13
NR5807--MA0511.2.RUNX2	chr2	73070767	73070775	+	0.000	0.000	Merged-chr2-73070867-8
NR2980--MA0002.2.RUNX1	chr13	94177381	94177391	+	0.000	0.000	Merged-chr13-94177315-11
NR7--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
