#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR7377--MA0002.2.RUNX1	chr5	53509645	53509655	-	0.000	0.000	Merged-chr5-53509705-20
NR2530--MA0684.1.RUNX3	chr13	32982846	32982855	-	0.000	0.000	Merged-chr13-32982935-23
NR7267--MA0684.1.RUNX3	chr5	21030385	21030394	-	0.000	0.000	Merged-chr5-21030379-15
NR5267--MA0002.2.RUNX1	chr2	30257926	30257936	+	0.000	0.000	Merged-chr2-30257905-18
NR6550--MA0002.2.RUNX1	chr3	152127413	152127423	+	0.000	0.000	Merged-chr3-152127515-20
NR4394--MA0002.2.RUNX1	chr17	71561633	71561643	+	0.000	0.000	Merged-chr17-71561740-8
NR4915--MA0002.2.RUNX1	chr19	10198988	10198998	+	0.000	0.000	Merged-chr19-10198987-5
NR660--MA0511.2.RUNX2	chr1	165603453	165603461	+	0.000	0.000	Merged-chr1-165603509-17
NR6297--MA0002.2.RUNX1	chr3	109133229	109133239	-	0.000	0.000	Merged-chr3-109133281-24
NR2262--MA0684.1.RUNX3	chr12	100421110	100421119	+	0.000	0.000	Merged-chr12-100421149-3
NR9993--MA0002.2.RUNX1	chr9	116270573	116270583	+	0.000	0.000	Merged-chr9-116270494-11
NR1167--MA0511.2.RUNX2	chr10	77962993	77963001	+	0.000	0.000	Merged-chr10-77962952-24
NR9340--MA0002.2.RUNX1	chr8	94240484	94240494	-	0.000	0.000	Merged-chr8-94240399-13
NR2887--MA0002.2.RUNX1	chr13	111297823	111297833	-	0.000	0.000	Merged-chr13-111297823-12
NR8179--MA0002.2.RUNX1	chr6	100323496	100323506	-	0.000	0.000	Merged-chr6-100323311-5
NR10159--MA0511.2.RUNX2	chrX	77808854	77808862	+	0.000	0.000	Merged-chrX-77808891-20
NR1632--MA0002.2.RUNX1	chr11	57686222	57686232	+	0.000	0.000	Merged-chr11-57686202-30
NR7288--MA0511.2.RUNX2	chr5	23722212	23722220	+	0.000	0.000	Merged-chr5-23722080-21
NR2517--MA0684.1.RUNX3	chr13	30914008	30914017	+	0.000	0.000	Merged-chr13-30913971-16
NR8693--MA0511.2.RUNX2	chr7	68350156	68350164	-	0.000	0.000	Merged-chr7-68350249-38
NR4733--MA0511.2.RUNX2	chr18	65626678	65626686	-	0.000	0.000	Merged-chr18-65626623-8
NR1723--MA0511.2.RUNX2	chr11	80484436	80484444	-	0.000	0.000	Merged-chr11-80484398-4
NR2527--MA0511.2.RUNX2	chr13	32982810	32982818	-	0.000	0.000	Merged-chr13-32982935-23
NR9417--MA0002.2.RUNX1	chr8	117395352	117395362	+	0.000	0.000	Merged-chr8-117395323-13
NR7290--MA0684.1.RUNX3	chr5	23722212	23722221	+	0.000	0.000	Merged-chr5-23722080-21
NR9635--MA0002.2.RUNX1	chr9	48404003	48404013	-	0.000	0.000	Merged-chr9-48403880-28
NR3519--MA0002.2.RUNX1	chr15	59669846	59669856	+	0.000	0.000	Merged-chr15-59669905-17
NR9723--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR3010--MA0002.2.RUNX1	chr14	26878882	26878892	+	0.000	0.000	Merged-chr14-26878931-33
NR5213--MA0002.2.RUNX1	chr2	17845528	17845538	+	0.000	0.000	Merged-chr2-17845339-45
NR1525--MA0684.1.RUNX3	chr11	16988016	16988025	+	0.000	0.000	Merged-chr11-16987963-24
NR9457--MA0002.2.RUNX1	chr8	124085843	124085853	+	0.000	0.000	Merged-chr8-124085760-17
