#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR1342--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR1443--MA0508.2.PRDM1	chr3	59222492	59222501	-	0.000	0.000	Merged-chr3-59222464-17
NR933--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR1552--MA0508.2.PRDM1	chr3	138420515	138420524	-	0.000	0.000	Merged-chr3-138420589-27
NR1937--MA0508.2.PRDM1	chr6	50159897	50159906	-	0.000	0.000	Merged-chr6-50160084-30
NR362--MA0508.2.PRDM1	chr11	26586728	26586737	+	0.000	0.000	Merged-chr11-26586855-34
NR45--MA0508.2.PRDM1	chr1	60070965	60070974	+	0.000	0.000	Merged-chr1-60070874-17
NR1135--MA0508.2.PRDM1	chr18	79080252	79080261	-	0.000	0.000	Merged-chr18-79080001-30
NR572--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR604--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
NR442--MA0508.2.PRDM1	chr11	115999827	115999836	+	0.000	0.000	Merged-chr11-115999757-14
NR978--MA0508.2.PRDM1	chr16	90277060	90277069	+	0.000	0.000	Merged-chr16-90277146-33
NR1597--MA0508.2.PRDM1	chr4	6844285	6844294	+	0.000	0.000	Merged-chr4-6844197-28
NR814--MA0508.2.PRDM1	chr14	103850768	103850777	-	0.000	0.000	Merged-chr14-103850623-36
NR1066--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR304--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR413--MA0508.2.PRDM1	chr11	88131963	88131972	-	0.000	0.000	Merged-chr11-88132051-21
NR2463--MA0508.2.PRDM1	chr9	123935546	123935555	+	0.000	0.000	Merged-chr9-123935599-31
NR466--MA0508.2.PRDM1	chr12	25254963	25254972	-	0.000	0.000	Merged-chr12-25254889-35
NR161--MA0508.2.PRDM1	chr1	172306395	172306404	+	0.000	0.000	Merged-chr1-172306276-26
NR697--MA0508.2.PRDM1	chr13	108426961	108426970	+	0.000	0.000	Merged-chr13-108426890-1
NR458--MA0508.2.PRDM1	chr12	11300958	11300967	+	0.000	0.000	Merged-chr12-11300955-23
NR328--MA0508.2.PRDM1	chr10	118550409	118550418	-	0.000	0.000	Merged-chr10-118550430-27
NR437--MA0508.2.PRDM1	chr11	108224762	108224771	+	0.000	0.000	Merged-chr11-108224834-18
NR2277--MA0508.2.PRDM1	chr8	68218585	68218594	-	0.000	0.000	Merged-chr8-68218689-19
NR2017--MA0508.2.PRDM1	chr6	108717980	108717989	-	0.000	0.000	Merged-chr6-108717791-30
NR158--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR1070--MA0508.2.PRDM1	chr17	88038451	88038460	+	0.000	0.000	Merged-chr17-88038382-13
NR1192--MA0508.2.PRDM1	chr19	40684278	40684287	+	0.000	0.000	Merged-chr19-40684349-18
NR1062--MA0508.2.PRDM1	chr17	83307020	83307029	+	0.000	0.000	Merged-chr17-83307130-30
NR1171--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR1251--MA0508.2.PRDM1	chr2	53088983	53088992	-	0.000	0.000	Merged-chr2-53088913-36
NR1360--MA0508.2.PRDM1	chr2	144188137	144188146	+	0.000	0.000	Merged-chr2-144188289-22
