#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_dn.bed
NR2269--MA0482.1.Gata4	chr14	16172523	16172533	-	0.000	0.000	Merged-chr14-16172497-2
NR5296--MA0037.3.GATA3	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR1458--MA0037.3.GATA3	chr12	16258477	16258484	+	0.000	0.000	Merged-chr12-16258722-16
NR1707--MA0766.1.GATA5	chr12	92976672	92976679	-	0.000	0.000	Merged-chr12-92976529-13
NR1583--MA0035.3.Gata1	chr12	73384066	73384076	+	0.000	0.000	Merged-chr12-73384028-7
NR1277--MA0036.3.GATA2	chr11	80068120	80068130	+	0.000	0.000	Merged-chr11-80068268-1
NR5243--MA0140.2.GATA1::TAL1	chr3	149474481	149474498	-	0.000	0.000	Merged-chr3-149474598-6
NR1461--MA0036.3.GATA2	chr12	16258475	16258485	-	0.000	0.000	Merged-chr12-16258722-16
NR813--MA0035.3.Gata1	chr10	69244596	69244606	-	0.000	0.000	Merged-chr10-69244536-1
NR2047--MA0035.3.Gata1	chr13	73505698	73505708	+	0.000	0.000	Merged-chr13-73505560-1
NR1581--MA1104.1.GATA6	chr12	73384065	73384077	-	0.000	0.000	Merged-chr12-73384028-7
NR7620--MA1104.1.GATA6	chr9	54614612	54614624	+	0.000	0.000	Merged-chr9-54614475-15
NR5280--MA0766.1.GATA5	chr3	159505789	159505796	+	0.000	0.000	Merged-chr3-159505893-1
NR1328--MA0035.3.Gata1	chr11	98660772	98660782	-	0.000	0.000	Merged-chr11-98660794-12
NR1708--MA0035.3.Gata1	chr12	92976671	92976681	+	0.000	0.000	Merged-chr12-92976529-13
NR7651--MA0482.1.Gata4	chr9	67712080	67712090	-	0.000	0.000	Merged-chr9-67712232-1
NR2764--MA0766.1.GATA5	chr15	41429629	41429636	+	0.000	0.000	Merged-chr15-41429607-8
NR404--MA0036.3.GATA2	chr1	143993246	143993256	+	0.000	0.000	Merged-chr1-143993220-9
NR4017--MA0140.2.GATA1::TAL1	chr2	3525983	3526000	+	0.000	0.000	Merged-chr2-3525948-8
NR1689--MA0036.3.GATA2	chr12	92625446	92625456	+	0.000	0.000	Merged-chr12-92625384-3
NR1142--MA0766.1.GATA5	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR7726--MA1104.1.GATA6	chr9	86579813	86579825	-	0.000	0.000	Merged-chr9-86579809-9
NR364--MA0036.3.GATA2	chr1	133571485	133571495	-	0.000	0.000	Merged-chr1-133571423-3
NR7765--MA0482.1.Gata4	chr9	96353968	96353978	-	0.000	0.000	Merged-chr9-96354104-1
NR2268--MA0037.3.GATA3	chr14	16172526	16172533	+	0.000	0.000	Merged-chr14-16172497-2
NR1139--MA0482.1.Gata4	chr11	36001079	36001089	+	0.000	0.000	Merged-chr11-36000971-2
NR7768--MA0035.3.Gata1	chr9	96353969	96353979	-	0.000	0.000	Merged-chr9-96354104-1
NR420--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR6914--MA0035.3.Gata1	chr7	82834593	82834603	+	0.000	0.000	Merged-chr7-82834673-11
NR2762--MA0482.1.Gata4	chr15	41429626	41429636	-	0.000	0.000	Merged-chr15-41429607-8
NR2271--MA0036.3.GATA2	chr14	16172524	16172534	-	0.000	0.000	Merged-chr14-16172497-2
NR7417--MA0766.1.GATA5	chr8	122533230	122533237	+	0.000	0.000	Merged-chr8-122533289-14
NR4812--MA0035.3.Gata1	chr3	27067359	27067369	+	0.000	0.000	Merged-chr3-27067455-6
NR2765--MA0035.3.Gata1	chr15	41429627	41429637	-	0.000	0.000	Merged-chr15-41429607-8
NR1838--MA0482.1.Gata4	chr12	116932355	116932365	+	0.000	0.000	Merged-chr12-116932315-2
NR7766--MA1104.1.GATA6	chr9	96353968	96353980	+	0.000	0.000	Merged-chr9-96354104-1
NR6912--MA1104.1.GATA6	chr7	82834592	82834604	-	0.000	0.000	Merged-chr7-82834673-11
NR7256--MA1104.1.GATA6	chr8	69168491	69168503	+	0.000	0.000	Merged-chr8-69168549-18
NR7619--MA0482.1.Gata4	chr9	54614612	54614622	-	0.000	0.000	Merged-chr9-54614475-15
NR5228--MA1104.1.GATA6	chr3	146776672	146776684	+	0.000	0.000	Merged-chr3-146776816-2
NR1275--MA0482.1.Gata4	chr11	80068121	80068131	+	0.000	0.000	Merged-chr11-80068268-1
NR421--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR5299--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR2082--MA0766.1.GATA5	chr13	94381980	94381987	+	0.000	0.000	Merged-chr13-94381981-20
NR627--MA0482.1.Gata4	chr10	4079703	4079713	-	0.000	0.000	Merged-chr10-4079812-35
NR2960--MA0037.3.GATA3	chr16	7767896	7767903	+	0.000	0.000	Merged-chr16-7768064-22
NR2956--MA0482.1.Gata4	chr16	7419926	7419936	+	0.000	0.000	Merged-chr16-7419949-42
NR1276--MA1104.1.GATA6	chr11	80068119	80068131	-	0.000	0.000	Merged-chr11-80068268-1
NR6489--MA0037.3.GATA3	chr6	122334238	122334245	+	0.000	0.000	Merged-chr6-122334221-7
NR2045--MA0482.1.Gata4	chr13	73505699	73505709	+	0.000	0.000	Merged-chr13-73505560-1
NR1690--MA0766.1.GATA5	chr12	92625447	92625454	-	0.000	0.000	Merged-chr12-92625384-3
NR5300--MA0766.1.GATA5	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR1138--MA0037.3.GATA3	chr11	36001079	36001086	-	0.000	0.000	Merged-chr11-36000971-2
NR628--MA1104.1.GATA6	chr10	4079703	4079715	+	0.000	0.000	Merged-chr10-4079812-35
NR2080--MA0482.1.Gata4	chr13	94381977	94381987	-	0.000	0.000	Merged-chr13-94381981-20
NR2957--MA1104.1.GATA6	chr16	7419924	7419936	-	0.000	0.000	Merged-chr16-7419949-42
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR362--MA0482.1.Gata4	chr1	133571484	133571494	-	0.000	0.000	Merged-chr1-133571423-3
NR2330--MA0482.1.Gata4	chr14	30024461	30024471	+	0.000	0.000	Merged-chr14-30024538-20
NR1478--MA0037.3.GATA3	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR6659--MA0036.3.GATA2	chr6	142567727	142567737	+	0.000	0.000	Merged-chr6-142567710-6
NR2761--MA0037.3.GATA3	chr15	41429629	41429636	+	0.000	0.000	Merged-chr15-41429607-8
NR2046--MA1104.1.GATA6	chr13	73505697	73505709	-	0.000	0.000	Merged-chr13-73505560-1
NR1141--MA0036.3.GATA2	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR1840--MA0035.3.Gata1	chr12	116932354	116932364	+	0.000	0.000	Merged-chr12-116932315-2
NR7618--MA0037.3.GATA3	chr9	54614615	54614622	+	0.000	0.000	Merged-chr9-54614475-15
NR5620--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR1691--MA0035.3.Gata1	chr12	92625446	92625456	+	0.000	0.000	Merged-chr12-92625384-3
NR2081--MA1104.1.GATA6	chr13	94381977	94381989	+	0.000	0.000	Merged-chr13-94381981-20
NR1274--MA0037.3.GATA3	chr11	80068121	80068128	-	0.000	0.000	Merged-chr11-80068268-1
NR4376--MA0482.1.Gata4	chr2	92192026	92192036	-	0.000	0.000	Merged-chr2-92192158-30
NR5301--MA0035.3.Gata1	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR2331--MA1104.1.GATA6	chr14	30024459	30024471	-	0.000	0.000	Merged-chr14-30024538-20
NR1582--MA0036.3.GATA2	chr12	73384066	73384076	+	0.000	0.000	Merged-chr12-73384028-7
NR7621--MA0036.3.GATA2	chr9	54614613	54614623	-	0.000	0.000	Merged-chr9-54614475-15
NR7416--MA0036.3.GATA2	chr8	122533228	122533238	-	0.000	0.000	Merged-chr8-122533289-14
NR1462--MA0766.1.GATA5	chr12	16258477	16258484	+	0.000	0.000	Merged-chr12-16258722-16
NR1704--MA0482.1.Gata4	chr12	92976672	92976682	+	0.000	0.000	Merged-chr12-92976529-13
NR626--MA0037.3.GATA3	chr10	4079706	4079713	+	0.000	0.000	Merged-chr10-4079812-35
NR4377--MA1104.1.GATA6	chr2	92192026	92192038	+	0.000	0.000	Merged-chr2-92192158-30
NR5197--MA0037.3.GATA3	chr3	143977280	143977287	+	0.000	0.000	Merged-chr3-143977087-2
NR1327--MA0036.3.GATA2	chr11	98660772	98660782	-	0.000	0.000	Merged-chr11-98660794-12
NR7727--MA0036.3.GATA2	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR6359--MA0482.1.Gata4	chr6	86922089	86922099	+	0.000	0.000	Merged-chr6-86921974-19
NR1279--MA0035.3.Gata1	chr11	80068120	80068130	+	0.000	0.000	Merged-chr11-80068268-1
NR1705--MA1104.1.GATA6	chr12	92976670	92976682	-	0.000	0.000	Merged-chr12-92976529-13
NR5128--MA0035.3.Gata1	chr3	135582002	135582012	+	0.000	0.000	Merged-chr3-135581925-8
NR5279--MA0036.3.GATA2	chr3	159505787	159505797	-	0.000	0.000	Merged-chr3-159505893-1
NR1463--MA0035.3.Gata1	chr12	16258475	16258485	-	0.000	0.000	Merged-chr12-16258722-16
NR7122--MA0140.2.GATA1::TAL1	chr8	8497284	8497301	+	0.000	0.000	Merged-chr8-8497226-1
NR4850--MA0766.1.GATA5	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR1577--MA0035.3.Gata1	chr12	70232401	70232411	+	0.000	0.000	Merged-chr12-70232391-28
NR7767--MA0036.3.GATA2	chr9	96353969	96353979	-	0.000	0.000	Merged-chr9-96354104-1
NR6913--MA0036.3.GATA2	chr7	82834593	82834603	+	0.000	0.000	Merged-chr7-82834673-11
NR4375--MA0037.3.GATA3	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR7257--MA0036.3.GATA2	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR5229--MA0036.3.GATA2	chr3	146776673	146776683	-	0.000	0.000	Merged-chr3-146776816-2
NR2272--MA0766.1.GATA5	chr14	16172526	16172533	+	0.000	0.000	Merged-chr14-16172497-2
NR6360--MA0766.1.GATA5	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR1688--MA0482.1.Gata4	chr12	92625447	92625457	+	0.000	0.000	Merged-chr12-92625384-3
NR4811--MA0036.3.GATA2	chr3	27067359	27067369	+	0.000	0.000	Merged-chr3-27067455-6
NR5302--MA0140.2.GATA1::TAL1	chr4	11404222	11404239	+	0.000	0.000	Merged-chr4-11404244-13
NR1575--MA1104.1.GATA6	chr12	70232400	70232412	-	0.000	0.000	Merged-chr12-70232391-28
NR1703--MA0037.3.GATA3	chr12	92976672	92976679	-	0.000	0.000	Merged-chr12-92976529-13
NR7414--MA0482.1.Gata4	chr8	122533227	122533237	-	0.000	0.000	Merged-chr8-122533289-14
NR1140--MA1104.1.GATA6	chr11	36001077	36001089	-	0.000	0.000	Merged-chr11-36000971-2
NR2958--MA0035.3.Gata1	chr16	7419925	7419935	+	0.000	0.000	Merged-chr16-7419949-42
NR2273--MA0035.3.Gata1	chr14	16172524	16172534	-	0.000	0.000	Merged-chr14-16172497-2
NR6358--MA0037.3.GATA3	chr6	86922089	86922096	-	0.000	0.000	Merged-chr6-86921974-19
NR294--MA0482.1.Gata4	chr1	108038618	108038628	+	0.000	0.000	Merged-chr1-108038539-17
NR7415--MA1104.1.GATA6	chr8	122533227	122533239	+	0.000	0.000	Merged-chr8-122533289-14
NR629--MA0036.3.GATA2	chr10	4079704	4079714	-	0.000	0.000	Merged-chr10-4079812-35
NR6491--MA0036.3.GATA2	chr6	122334236	122334246	-	0.000	0.000	Merged-chr6-122334221-7
NR297--MA0035.3.Gata1	chr1	108038617	108038627	+	0.000	0.000	Merged-chr1-108038539-17
NR2079--MA0037.3.GATA3	chr13	94381980	94381987	+	0.000	0.000	Merged-chr13-94381981-20
NR5198--MA1104.1.GATA6	chr3	143977277	143977289	+	0.000	0.000	Merged-chr3-143977087-2
NR6658--MA0140.2.GATA1::TAL1	chr6	142567587	142567604	+	0.000	0.000	Merged-chr6-142567710-6
NR2332--MA0035.3.Gata1	chr14	30024460	30024470	+	0.000	0.000	Merged-chr14-30024538-20
NR295--MA1104.1.GATA6	chr1	108038616	108038628	-	0.000	0.000	Merged-chr1-108038539-17
NR5621--MA0036.3.GATA2	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR1686--MA0140.2.GATA1::TAL1	chr12	92582433	92582450	-	0.000	0.000	Merged-chr12-92582334-1
NR2334--MA0482.1.Gata4	chr14	30675115	30675125	-	0.000	0.000	Merged-chr14-30675172-26
NR5230--MA0766.1.GATA5	chr3	146776675	146776682	+	0.000	0.000	Merged-chr3-146776816-2
NR1687--MA0037.3.GATA3	chr12	92625447	92625454	-	0.000	0.000	Merged-chr12-92625384-3
NR3282--MA0036.3.GATA2	chr16	92307632	92307642	-	0.000	0.000	Merged-chr16-92307633-7
NR2337--MA0035.3.Gata1	chr14	30675116	30675126	-	0.000	0.000	Merged-chr14-30675172-26
NR5278--MA1104.1.GATA6	chr3	159505786	159505798	+	0.000	0.000	Merged-chr3-159505893-1
NR5281--MA0035.3.Gata1	chr3	159505787	159505797	-	0.000	0.000	Merged-chr3-159505893-1
NR7413--MA0037.3.GATA3	chr8	122533230	122533237	+	0.000	0.000	Merged-chr8-122533289-14
NR3593--MA0035.3.Gata1	chr17	84241679	84241689	+	0.000	0.000	Merged-chr17-84241728-6
NR4378--MA0036.3.GATA2	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR7622--MA0766.1.GATA5	chr9	54614615	54614622	+	0.000	0.000	Merged-chr9-54614475-15
NR2335--MA1104.1.GATA6	chr14	30675115	30675127	+	0.000	0.000	Merged-chr14-30675172-26
NR1143--MA0035.3.Gata1	chr11	36001078	36001088	+	0.000	0.000	Merged-chr11-36000971-2
NR1479--MA0766.1.GATA5	chr12	28699759	28699766	-	0.000	0.000	Merged-chr12-28699931-23
NR4930--MA0140.2.GATA1::TAL1	chr3	79177880	79177897	-	0.000	0.000	Merged-chr3-79177806-73
NR1706--MA0036.3.GATA2	chr12	92976671	92976681	+	0.000	0.000	Merged-chr12-92976529-13
NR630--MA0766.1.GATA5	chr10	4079706	4079713	+	0.000	0.000	Merged-chr10-4079812-35
NR7728--MA0766.1.GATA5	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR4849--MA0037.3.GATA3	chr3	52298748	52298755	-	0.000	0.000	Merged-chr3-52298855-38
NR7623--MA0035.3.Gata1	chr9	54614613	54614623	-	0.000	0.000	Merged-chr9-54614475-15
NR2959--MA0140.2.GATA1::TAL1	chr16	7419927	7419944	+	0.000	0.000	Merged-chr16-7419949-42
NR1460--MA1104.1.GATA6	chr12	16258474	16258486	+	0.000	0.000	Merged-chr12-16258722-16
NR1326--MA0482.1.Gata4	chr11	98660771	98660781	-	0.000	0.000	Merged-chr11-98660794-12
NR631--MA0035.3.Gata1	chr10	4079704	4079714	-	0.000	0.000	Merged-chr10-4079812-35
NR5242--MA0035.3.Gata1	chr3	149474490	149474500	-	0.000	0.000	Merged-chr3-149474598-6
NR1576--MA0036.3.GATA2	chr12	70232401	70232411	+	0.000	0.000	Merged-chr12-70232391-28
NR7258--MA0766.1.GATA5	chr8	69168494	69168501	+	0.000	0.000	Merged-chr8-69168549-18
NR2763--MA0036.3.GATA2	chr15	41429627	41429637	-	0.000	0.000	Merged-chr15-41429607-8
NR3280--MA0482.1.Gata4	chr16	92307631	92307641	-	0.000	0.000	Merged-chr16-92307633-7
NR7729--MA0035.3.Gata1	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR3283--MA0035.3.Gata1	chr16	92307632	92307642	-	0.000	0.000	Merged-chr16-92307633-7
NR6660--MA0035.3.Gata1	chr6	142567727	142567737	+	0.000	0.000	Merged-chr6-142567710-6
NR1839--MA0036.3.GATA2	chr12	116932354	116932364	+	0.000	0.000	Merged-chr12-116932315-2
NR365--MA0035.3.Gata1	chr1	133571485	133571495	-	0.000	0.000	Merged-chr1-133571423-3
NR7046--MA0482.1.Gata4	chr7	125281540	125281550	-	0.000	0.000	Merged-chr7-125281590-1
