#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR42636--MA1107.1.KLF9	chr5	150259546	150259558	+	0.000	0.000	Merged-chr5-150259783-65
NR47562--MA0740.1.KLF14	chr7	78583948	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR15185--MA0493.1.Klf1	chr14	7791559	7791569	+	0.000	0.000	Merged-chr14-7791631-72
NR54539--MA0493.1.Klf1	chr9	103134833	103134843	+	0.000	0.000	Merged-chr9-103134672-43
NR49210--MA1107.1.KLF9	chr7	136894538	136894550	+	0.000	0.000	Merged-chr7-136894538-85
NR4128--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR49207--MA0493.1.Klf1	chr7	136894538	136894548	+	0.000	0.000	Merged-chr7-136894538-85
NR49208--MA0741.1.KLF16	chr7	136894533	136894543	+	0.000	0.000	Merged-chr7-136894538-85
NR25780--MA0740.1.KLF14	chr18	89626889	89626902	+	0.000	0.000	Merged-chr18-89627032-39
NR47561--MA0493.1.Klf1	chr7	78451845	78451855	+	0.000	0.000	Merged-chr7-78451897-56
NR29340--MA0493.1.Klf1	chr2	102039502	102039512	-	0.000	0.000	Merged-chr2-102039537-38
NR38038--MA0741.1.KLF16	chr4	150087364	150087374	-	0.000	0.000	Merged-chr4-150087480-81
NR19017--MA0742.1.Klf12	chr15	91573240	91573254	-	0.000	0.000	Merged-chr15-91573061-60
NR42637--MA1107.1.KLF9	chr5	150259548	150259560	+	0.000	0.000	Merged-chr5-150259783-65
NR38037--MA0599.1.KLF5	chr4	150087365	150087374	-	0.000	0.000	Merged-chr4-150087480-81
NR47564--MA0599.1.KLF5	chr7	78583951	78583960	-	0.000	0.000	Merged-chr7-78583930-15
NR42148--MA0741.1.KLF16	chr5	140871309	140871319	-	0.000	0.000	Merged-chr5-140871418-38
NR42150--MA1107.1.KLF9	chr5	140871302	140871314	-	0.000	0.000	Merged-chr5-140871418-38
NR19016--MA0740.1.KLF14	chr15	91573241	91573254	-	0.000	0.000	Merged-chr15-91573061-60
NR39908--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR12416--MA0657.1.KLF13	chr12	108275475	108275492	+	0.000	0.000	Merged-chr12-108275445-64
NR12418--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR25782--MA0039.3.KLF4	chr18	89626891	89626901	+	0.000	0.000	Merged-chr18-89627032-39
NR42145--MA0599.1.KLF5	chr5	140871304	140871313	-	0.000	0.000	Merged-chr5-140871418-38
NR25784--MA0741.1.KLF16	chr18	89626890	89626900	+	0.000	0.000	Merged-chr18-89627032-39
NR40506--MA0039.3.KLF4	chr5	112130131	112130141	+	0.000	0.000	Merged-chr5-112130163-21
NR12417--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR47560--MA0599.1.KLF5	chr7	78451846	78451855	+	0.000	0.000	Merged-chr7-78451897-56
NR42638--MA1107.1.KLF9	chr5	150259560	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR25781--MA0599.1.KLF5	chr18	89626890	89626899	+	0.000	0.000	Merged-chr18-89627032-39
NR39907--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR47565--MA0493.1.Klf1	chr7	78583951	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR47563--MA0742.1.Klf12	chr7	78583947	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR45762--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR1638--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR12420--MA0741.1.KLF16	chr12	108275620	108275630	-	0.000	0.000	Merged-chr12-108275445-64
NR45763--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR47567--MA1107.1.KLF9	chr7	78583949	78583961	-	0.000	0.000	Merged-chr7-78583930-15
NR42147--MA0741.1.KLF16	chr5	140871303	140871313	-	0.000	0.000	Merged-chr5-140871418-38
NR15184--MA0039.3.KLF4	chr14	7791561	7791571	+	0.000	0.000	Merged-chr14-7791631-72
NR34067--MA0599.1.KLF5	chr3	132928115	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR49205--MA0740.1.KLF14	chr7	136894538	136894551	+	0.000	0.000	Merged-chr7-136894538-85
NR1357--MA0741.1.KLF16	chr1	89070383	89070393	+	0.000	0.000	Merged-chr1-89070221-114
NR19018--MA0599.1.KLF5	chr15	91573244	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR12419--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR28536--MA0493.1.Klf1	chr2	59053687	59053697	+	0.000	0.000	Merged-chr2-59053724-29
