#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR17102--MA0742.1.Klf12	chr15	84168787	84168801	-	0.000	0.000	Merged-chr15-84168860-11
NR41717--MA1107.1.KLF9	chr7	3290305	3290317	+	0.000	0.000	Merged-chr7-3290343-35
NR1369--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR23622--MA0493.1.Klf1	chr18	89626889	89626899	+	0.000	0.000	Merged-chr18-89627032-39
NR38541--MA0039.3.KLF4	chr5	140871490	140871500	+	0.000	0.000	Merged-chr5-140871418-38
NR49672--MA0741.1.KLF16	chr9	92542214	92542224	+	0.000	0.000	Merged-chr9-92542439-104
NR43070--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR47877--MA1107.1.KLF9	chr8	126882104	126882116	-	0.000	0.000	Merged-chr8-126881934-28
NR48990--MA0493.1.Klf1	chr9	61779365	61779375	+	0.000	0.000	Merged-chr9-61779248-32
NR33137--MA0741.1.KLF16	chr4	63854085	63854095	+	0.000	0.000	Merged-chr4-63853989-30
NR11432--MA0741.1.KLF16	chr12	110381480	110381490	+	0.000	0.000	Merged-chr12-110381552-59
NR48987--MA0740.1.KLF14	chr9	61779365	61779378	+	0.000	0.000	Merged-chr9-61779248-32
NR18415--MA0740.1.KLF14	chr16	22601867	22601880	+	0.000	0.000	Merged-chr16-22601739-32
NR23624--MA1107.1.KLF9	chr18	89626889	89626901	+	0.000	0.000	Merged-chr18-89627032-39
NR47884--MA1107.1.KLF9	chr8	126882118	126882130	-	0.000	0.000	Merged-chr8-126881934-28
NR48992--MA1107.1.KLF9	chr9	61779365	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR11368--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR48991--MA0741.1.KLF16	chr9	61779366	61779376	+	0.000	0.000	Merged-chr9-61779248-32
NR36594--MA0741.1.KLF16	chr5	89882148	89882158	-	0.000	0.000	Merged-chr5-89882343-19
NR38970--MA0740.1.KLF14	chr5	150262887	150262900	+	0.000	0.000	Merged-chr5-150262822-29
NR42733--MA0599.1.KLF5	chr7	39544414	39544423	+	0.000	0.000	Merged-chr7-39544508-62
NR47873--MA1107.1.KLF9	chr8	126882096	126882108	-	0.000	0.000	Merged-chr8-126881934-28
NR43071--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR13176--MA0741.1.KLF16	chr13	94144779	94144789	-	0.000	0.000	Merged-chr13-94144726-31
NR47878--MA1107.1.KLF9	chr8	126882106	126882118	-	0.000	0.000	Merged-chr8-126881934-28
NR3675--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR49670--MA0599.1.KLF5	chr9	92542214	92542223	+	0.000	0.000	Merged-chr9-92542439-104
NR11367--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR47880--MA1107.1.KLF9	chr8	126882110	126882122	-	0.000	0.000	Merged-chr8-126881934-28
NR43073--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR11366--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR47885--MA1107.1.KLF9	chr8	126882120	126882132	-	0.000	0.000	Merged-chr8-126881934-28
NR41716--MA0741.1.KLF16	chr7	3290306	3290316	+	0.000	0.000	Merged-chr7-3290343-35
NR33136--MA0741.1.KLF16	chr4	63854084	63854094	+	0.000	0.000	Merged-chr4-63853989-30
NR38973--MA0493.1.Klf1	chr5	150262887	150262897	+	0.000	0.000	Merged-chr5-150262822-29
NR48989--MA0039.3.KLF4	chr9	61779367	61779377	+	0.000	0.000	Merged-chr9-61779248-32
NR41722--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR38974--MA0741.1.KLF16	chr5	150262888	150262898	+	0.000	0.000	Merged-chr5-150262822-29
NR47874--MA1107.1.KLF9	chr8	126882098	126882110	-	0.000	0.000	Merged-chr8-126881934-28
NR47879--MA1107.1.KLF9	chr8	126882108	126882120	-	0.000	0.000	Merged-chr8-126881934-28
NR13815--MA0741.1.KLF16	chr14	7791692	7791702	+	0.000	0.000	Merged-chr14-7791631-72
NR48988--MA0599.1.KLF5	chr9	61779366	61779375	+	0.000	0.000	Merged-chr9-61779248-32
NR38975--MA1107.1.KLF9	chr5	150262887	150262899	+	0.000	0.000	Merged-chr5-150262822-29
NR17366--MA0741.1.KLF16	chr15	91573243	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR44325--MA0599.1.KLF5	chr7	125186708	125186717	-	0.000	0.000	Merged-chr7-125186656-23
NR34890--MA0599.1.KLF5	chr4	145342060	145342069	+	0.000	0.000	Merged-chr4-145342099-62
NR49671--MA0493.1.Klf1	chr9	92542213	92542223	+	0.000	0.000	Merged-chr9-92542439-104
NR23621--MA0039.3.KLF4	chr18	89626891	89626901	+	0.000	0.000	Merged-chr18-89627032-39
NR47881--MA1107.1.KLF9	chr8	126882112	126882124	-	0.000	0.000	Merged-chr8-126881934-28
NR30180--MA0740.1.KLF14	chr3	86915431	86915444	+	0.000	0.000	Merged-chr3-86915418-7
NR21625--MA0741.1.KLF16	chr17	70888108	70888118	+	0.000	0.000	Merged-chr17-70888088-40
NR47868--MA0742.1.Klf12	chr8	126539778	126539792	-	0.000	0.000	Merged-chr8-126539798-23
NR23620--MA0599.1.KLF5	chr18	89626890	89626899	+	0.000	0.000	Merged-chr18-89627032-39
NR43067--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR38969--MA1107.1.KLF9	chr5	150259560	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR878--MA0599.1.KLF5	chr1	73940883	73940892	+	0.000	0.000	Merged-chr1-73940938-50
NR13174--MA0599.1.KLF5	chr13	94144784	94144793	-	0.000	0.000	Merged-chr13-94144726-31
NR43068--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR11370--MA1107.1.KLF9	chr12	108275619	108275631	-	0.000	0.000	Merged-chr12-108275445-64
NR47875--MA1107.1.KLF9	chr8	126882100	126882112	-	0.000	0.000	Merged-chr8-126881934-28
NR33135--MA0741.1.KLF16	chr4	63854083	63854093	+	0.000	0.000	Merged-chr4-63853989-30
NR17365--MA0599.1.KLF5	chr15	91573244	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR41714--MA0599.1.KLF5	chr7	3290306	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR44761--MA0742.1.Klf12	chr7	136894410	136894424	-	0.000	0.000	Merged-chr7-136894538-85
NR11431--MA0599.1.KLF5	chr12	110381480	110381489	+	0.000	0.000	Merged-chr12-110381552-59
NR38967--MA0039.3.KLF4	chr5	150259562	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR35077--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR44326--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR43069--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR47882--MA1107.1.KLF9	chr8	126882114	126882126	-	0.000	0.000	Merged-chr8-126881934-28
NR11365--MA0599.1.KLF5	chr12	108275456	108275465	-	0.000	0.000	Merged-chr12-108275445-64
NR7416--MA0039.3.KLF4	chr11	66905994	66906004	+	0.000	0.000	Merged-chr11-66906049-23
