#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-dn/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR9295--MA0039.3.KLF4	chr11	66905994	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR14104--MA0740.1.KLF14	chr12	108275453	108275466	-	0.000	0.000	Merged-chr12-108275445-64
NR1402--MA0599.1.KLF5	chr1	89070319	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR1396--MA0039.3.KLF4	chr1	89070174	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR51670--MA0599.1.KLF5	chr7	3290306	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR14107--MA0599.1.KLF5	chr12	108275456	108275465	-	0.000	0.000	Merged-chr12-108275445-64
NR17348--MA0741.1.KLF16	chr14	7791692	7791702	+	0.000	0.000	Merged-chr14-7791631-72
NR51679--MA1107.1.KLF9	chr7	3290415	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR51674--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR1395--MA0599.1.KLF5	chr1	89070178	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR48029--MA0039.3.KLF4	chr5	150262889	150262899	+	0.000	0.000	Merged-chr5-150262822-29
NR51675--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR1401--MA0742.1.Klf12	chr1	89070318	89070332	+	0.000	0.000	Merged-chr1-89070221-114
NR16446--MA0741.1.KLF16	chr13	92722742	92722752	+	0.000	0.000	Merged-chr13-92722597-29
NR1405--MA0741.1.KLF16	chr1	89070319	89070329	+	0.000	0.000	Merged-chr1-89070221-114
NR1017--MA0741.1.KLF16	chr1	73940883	73940893	+	0.000	0.000	Merged-chr1-73940938-50
NR43260--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR1400--MA0740.1.KLF14	chr1	89070318	89070331	+	0.000	0.000	Merged-chr1-89070221-114
NR60730--MA0493.1.Klf1	chr9	61779365	61779375	+	0.000	0.000	Merged-chr9-61779248-32
NR53298--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR7206--MA1107.1.KLF9	chr10	118787589	118787601	+	0.000	0.000	Merged-chr10-118787587-44
